KeyFamilyId,KeyFamilyName
QNA,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Quarterly National Accounts')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Comptes nationaux trimestriels')])]"
PAT_IND,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Patent indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Brevets - Indicateurs')])]"
SNA_TABLE11,"[OrderedDict([('@xml:lang', 'en'), ('#text', '11. Government expenditure by function (COFOG)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '11. Dépense des administrations publiques par fonction (COFOG)')])]"
EO78_MAIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 78 - December 2005 - Annual Projections for OECD Countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 78 - décembre 2005 - Projections annuelles pour les pays OCDE')])]"
ANHRS,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Average annual hours actually worked per worker')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Heures moyennes annuelles ouvrées par travailleur')])]"
GOV_DEBT,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Central Government Debt')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Dette de l'administration centrale"")])]"
EO78_TRADE,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 78 - December 2005 - Annual Trade and Payments Projections')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 78 - décembre 2005 - Perspectives annuelles des commerces et paiements')])]"
USLHRS_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Usual hours worked by weekly hour bands')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Durée du travail par tranche d'heures hebdomadaires"")])]"
SNA_TABLE10,"[OrderedDict([('@xml:lang', 'en'), ('#text', '10. Taxes and social contributions receipts')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '10. Impôts et cotisations sociales')])]"
EO77_MAIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 77 - June 2005 - Annual Projections for OECD Countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 77 - juin 2005 - Perspectives annuelles pour les pays OCDE')])]"
USLHRS_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of employment by usual weekly hours worked')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Fréquence de l'emploi selon les durées hebdomadaires de travail"")])]"
EO77_TRADE,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 77 - June 2005 - Annual Trade and Payments Projections')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 77 - juin 2005 - Perspectives annuelles des commerces et paiements')])]"
MEI_CLI,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Composite Leading Indicators (MEI)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Indicateurs composites avancés (PIE)')])]"
JOBQ_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'OECD Inventory of Survey Questions on the Quality of the Working Environment')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Inventaire de l'OCDE des questions d'enquête sur la qualité de l'environnement de travail"")])]"
FTPTN_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'FTPT employment based on national definitions')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Emploi FTPT basée sur des définitions nationales')])]"
FTPTN_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of FTPT employment - national definitions')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Fréquence de l'emploi FTPT - définitions nationales"")])]"
MEI_REAL,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Production and Sales (MEI)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Production et Ventes (PIE)')])]"
LMPEXP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Public expenditure and participant stocks on LMP')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Dépenses publiques et nombre de participants PMT')])]"
MEI_BOP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Archive - Balance of Payments BPM5')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Archive - Balance des paiements BPM5')])]"
ALFS_POP_VITAL,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Population and Vital Statistics')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Statistiques de population et statistiques vitales')])]"
ALFS_POP_LABOUR,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Population and Labour Force')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Population et population active')])]"
ALFS_EMP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Employment by activities and status (ALFS)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Emploi par activité et statut (ALFS)')])]"
FDI_FLOW_INDUSTRY,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'FDI flows by industry')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'IDE flux par industrie')])]"
EXP_PM2_5_FUA,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Exposure to PM2.5 in Functional Urban Areas')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Exposure to PM2.5 in Functional Urban Areas')])]"
PMR,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Product Market Regulation 2013.')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Réglementation du marché des produits 2013')])]"
DEC_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Decile ratios of gross earnings')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Ratios deciles des salaires bruts')])]"
HEALTH_STAT,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Health Status')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'État de Santé')])]"
MIN2AVE,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Minimum relative to average wages of full-time workers')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Salaires minimum en proportion du salaire moyen des salariés à plein temps')])]"
FIGURE1_E_AEO2013,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Figure 1: Real GDP growth 2013 (East)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Figure 1: Taux de croissance du PIB réel 2013 (E)')])]"
TABLE4,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Private direct investment and other private capital [DAC4]')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Investissements directs privés et autres apports de capitaux privés [CAD4]')])]"
HEALTH_REAC,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Health Care Resources')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Ressources en Santé')])]"
TABLE_II4,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Table II.4. Overall statutory tax rates on dividend income')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Table II.4. Overall statutory tax rates on dividend income')])]"
BATIS_EBOPS2002,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'EBOPS 2002 - Balanced International Trade in Services (1995-2012)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'EBOPS 2002 - Équilibre du commerce international des services (1995-2012)')])]"
TUD,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Trade Union')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Trade Union')])]"
FDI_POSITION_INDUSTRY,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'FDI positions by industry')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'IDE positions par industrie')])]"
