Day,death_cnt,case_cnt,daily_death,daily_cases
2020-03-09,0.0,114.0,,
2020-03-10,0.0,133.0,0.0,19.0
2020-03-11,0.0,157.0,0.0,24.0
2020-03-12,0.0,202.0,0.0,45.0
2020-03-13,0.0,202.0,0.0,0.0
2020-03-14,0.0,252.0,0.0,50.0
2020-03-15,0.0,293.0,0.0,41.0
2020-03-16,6.0,335.0,6.0,42.0
2020-03-17,11.0,483.0,5.0,148.0
2020-03-18,13.0,611.0,2.0,128.0
2020-03-19,18.0,924.0,5.0,313.0
2020-03-20,20.0,1063.0,2.0,139.0
2020-03-21,24.0,1279.0,4.0,216.0
2020-03-22,27.0,1536.0,3.0,257.0
2020-03-23,27.0,1733.0,0.0,197.0
2020-03-24,40.0,2102.0,13.0,369.0
2020-03-25,53.0,2355.0,13.0,253.0
2020-03-26,65.0,3006.0,12.0,651.0
2020-03-27,78.0,3879.0,13.0,873.0
2020-03-28,101.0,4643.0,23.0,764.0
2020-03-29,123.0,5708.0,22.0,1065.0
2020-03-30,133.0,6447.0,10.0,739.0
2020-03-31,153.0,7482.0,20.0,1035.0
2020-04-01,171.0,8155.0,18.0,673.0
2020-04-02,203.0,9191.0,32.0,1036.0
2020-04-03,237.0,10701.0,34.0,1510.0
2020-04-04,276.0,12026.0,39.0,1325.0
2020-04-05,319.0,13438.0,43.0,1412.0
2020-04-06,343.0,14336.0,24.0,898.0
2020-04-07,374.0,15865.0,31.0,1529.0
2020-04-08,442.0,16957.0,68.0,1092.0
2020-04-09,492.0,18309.0,50.0,1352.0
2020-04-10,541.0,19472.0,49.0,1163.0
2020-04-11,609.0,20615.0,68.0,1143.0
2020-04-12,651.0,21794.0,42.0,1179.0
2020-04-13,687.0,22348.0,36.0,554.0
2020-04-14,758.0,23338.0,71.0,990.0
2020-04-15,821.0,24424.0,63.0,1086.0
2020-04-16,890.0,26182.0,69.0,1758.0
2020-04-17,985.0,27528.0,95.0,1346.0
2020-04-18,1072.0,28963.0,87.0,1435.0
2020-04-19,1166.0,30333.0,94.0,1370.0
2020-04-20,1208.0,30978.0,42.0,645.0
2020-04-21,1268.0,33261.0,60.0,2283.0
2020-04-22,1354.0,35396.0,86.0,2135.0
2020-04-23,1469.0,37369.0,115.0,1973.0
2020-04-24,1562.0,39254.0,93.0,1885.0
2020-04-25,1651.0,41137.0,89.0,1883.0
2020-04-26,1710.0,42164.0,59.0,1027.0
2020-04-27,1755.0,43464.0,45.0,1300.0
2020-04-28,1809.0,45031.0,54.0,1567.0
2020-04-29,1887.0,46500.0,78.0,1469.0
2020-04-30,1982.0,48917.0,95.0,2417.0
2020-05-01,2073.0,50442.0,91.0,1525.0
2020-05-02,2171.0,52197.0,98.0,1755.0
2020-05-03,2215.0,53616.0,44.0,1419.0
2020-05-04,2254.0,54937.0,39.0,1321.0
2020-05-05,2317.0,56212.0,63.0,1275.0
2020-05-06,2412.0,58815.0,95.0,2603.0
2020-05-07,2504.0,60614.0,92.0,1799.0
2020-05-08,2585.0,62512.0,81.0,1898.0
2020-05-09,2678.0,64561.0,93.0,2049.0
2020-05-10,2745.0,66680.0,67.0,2119.0
2020-05-11,2770.0,67939.0,25.0,1259.0
2020-05-12,2847.0,69382.0,77.0,1443.0
2020-05-13,2934.0,71141.0,87.0,1759.0
2020-05-15,3062.717171717172,70138.77777777778,,
2020-05-16,3126.080808080808,71254.33333333333,63.36363636363603,1115.5555555555475
2020-05-17,3187.939393939394,72334.38383838384,61.85858585858614,1080.0505050505162
2020-05-18,3248.2020202020203,73378.52525252526,60.26262626262633,1044.1414141414134
2020-05-19,3306.89898989899,74387.101010101,58.69696969696952,1008.5757575757452
2020-05-20,3363.929292929293,75360.74747474748,57.030303030303,973.6464646464738
2020-05-21,3419.3838383838383,76300.15151515152,55.454545454545496,939.4040404040425
2020-05-22,3473.161616161616,77205.73737373737,53.77777777777783,905.5858585858514
2020-05-23,3525.2929292929293,78077.71717171717,52.13131313131316,871.9797979798022
2020-05-24,3575.7979797979797,78916.41414141415,50.50505050505035,838.6969696969754
2020-05-25,3624.686868686869,79722.47474747474,48.88888888888914,806.0606060605933
2020-05-26,3671.919191919192,80496.32323232324,47.232323232323324,773.848484848495
2020-05-27,3717.5757575757575,81239.16161616161,45.65656565656536,742.8383838383743
2020-05-28,3761.6666666666665,81951.74747474748,44.09090909090901,712.5858585858659
2020-05-29,3804.151515151515,82634.66666666667,42.4848484848485,682.9191919191944
2020-05-30,3845.080808080808,83288.66666666667,40.92929292929284,654.0
2020-05-31,3884.4949494949497,83914.62626262626,39.414141414141795,625.9595959595899
2020-06-01,3922.3636363636365,84513.30303030302,37.86868686868684,598.6767676767631
2020-06-02,3958.808080808081,85085.53535353535,36.44444444444434,572.2323232323251
2020-06-03,3993.939393939394,85632.06060606061,35.13131313131316,546.5252525252581
2020-06-04,4027.4747474747473,86153.74747474748,33.53535353535335,521.6868686868693
2020-06-05,4059.777777777778,86651.40404040404,32.30303030303048,497.65656565656536
2020-06-06,4090.7676767676767,87125.76767676767,30.989898989898848,474.3636363636324
2020-06-07,4120.333333333333,87577.75757575757,29.565656565656354,451.98989898989385
2020-06-08,4148.787878787879,88008.37373737374,28.45454545454595,430.61616161616985
2020-06-09,4175.939393939394,88418.29292929293,27.151515151515014,409.9191919191944
2020-06-10,4201.878787878788,88808.21212121213,25.939393939393995,389.9191919191944
2020-06-11,4226.737373737374,89178.93939393939,24.858585858585684,370.7272727272648
2020-06-12,4250.444444444444,89531.35353535354,23.70707070707067,352.4141414141486
2020-06-13,4273.10101010101,89866.0808080808,22.656565656565363,334.7272727272648
2020-06-14,4294.707070707071,90183.8686868687,21.606060606060964,317.78787878788717
