date,region,death_cnt,case_cnt,day_since100
0020-01-23 00:00:00,Singapore,0,1,-37
0020-01-24 00:00:00,Singapore,0,3,-36
0020-01-25 00:00:00,Singapore,0,3,-35
0020-01-26 00:00:00,Singapore,0,4,-34
0020-01-27 00:00:00,Singapore,0,5,-33
0020-01-28 00:00:00,Singapore,0,7,-32
0020-01-29 00:00:00,Singapore,0,7,-31
0020-01-30 00:00:00,Singapore,0,10,-30
0020-01-31 00:00:00,Singapore,0,13,-29
0020-02-01 00:00:00,Singapore,0,16,-28
0020-02-02 00:00:00,Singapore,0,18,-27
0020-02-03 00:00:00,Singapore,0,18,-26
0020-02-04 00:00:00,Singapore,0,24,-25
0020-02-05 00:00:00,Singapore,0,28,-24
0020-02-06 00:00:00,Singapore,0,28,-23
0020-02-07 00:00:00,Singapore,0,30,-22
0020-02-08 00:00:00,Singapore,0,33,-21
0020-02-09 00:00:00,Singapore,0,40,-20
0020-02-10 00:00:00,Singapore,0,45,-19
0020-02-11 00:00:00,Singapore,0,47,-18
0020-02-12 00:00:00,Singapore,0,50,-17
0020-02-13 00:00:00,Singapore,0,58,-16
0020-02-14 00:00:00,Singapore,0,67,-15
0020-02-15 00:00:00,Singapore,0,72,-14
0020-02-16 00:00:00,Singapore,0,75,-13
0020-02-17 00:00:00,Singapore,0,77,-12
0020-02-18 00:00:00,Singapore,0,81,-11
0020-02-19 00:00:00,Singapore,0,84,-10
0020-02-20 00:00:00,Singapore,0,84,-9
0020-02-21 00:00:00,Singapore,0,85,-8
0020-02-22 00:00:00,Singapore,0,85,-7
0020-02-23 00:00:00,Singapore,0,89,-6
0020-02-24 00:00:00,Singapore,0,89,-5
0020-02-25 00:00:00,Singapore,0,91,-4
0020-02-26 00:00:00,Singapore,0,93,-3
0020-02-27 00:00:00,Singapore,0,93,-2
0020-02-28 00:00:00,Singapore,0,93,-1
0020-02-29 00:00:00,Singapore,0,102,0
0020-03-01 00:00:00,Singapore,0,106,1
0020-03-02 00:00:00,Singapore,0,108,2
0020-03-03 00:00:00,Singapore,0,110,3
0020-03-04 00:00:00,Singapore,0,110,4
0020-03-05 00:00:00,Singapore,0,117,5
0020-03-06 00:00:00,Singapore,0,130,6
0020-03-07 00:00:00,Singapore,0,138,7
0020-03-08 00:00:00,Singapore,0,150,8
0020-03-09 00:00:00,Singapore,0,150,9
0020-03-10 00:00:00,Singapore,0,160,10
0020-03-11 00:00:00,Singapore,0,178,11
0020-03-12 00:00:00,Singapore,0,178,12
0020-03-13 00:00:00,Singapore,0,200,13
0020-03-14 00:00:00,Singapore,0,212,14
0020-03-15 00:00:00,Singapore,0,226,15
0020-03-16 00:00:00,Singapore,0,243,16
0020-03-17 00:00:00,Singapore,0,266,17
0020-03-18 00:00:00,Singapore,0,313,18
0020-03-19 00:00:00,Singapore,0,345,19
0020-03-20 00:00:00,Singapore,0,385,20
0020-03-21 00:00:00,Singapore,2,432,21
0020-03-22 00:00:00,Singapore,2,455,22
0020-03-23 00:00:00,Singapore,2,509,23
0020-03-24 00:00:00,Singapore,2,558,24
0020-03-25 00:00:00,Singapore,2,631,25
0020-03-26 00:00:00,Singapore,2,683,26
0020-03-27 00:00:00,Singapore,2,732,27
0020-03-28 00:00:00,Singapore,2,802,28
0020-03-29 00:00:00,Singapore,3,844,29
0020-03-30 00:00:00,Singapore,3,879,30
0020-03-31 00:00:00,Singapore,3,926,31
0020-04-01 00:00:00,Singapore,3,1000,32
0020-04-02 00:00:00,Singapore,4,1049,33
0020-04-03 00:00:00,Singapore,5,1114,34
0020-04-04 00:00:00,Singapore,6,1189,35
0020-04-05 00:00:00,Singapore,6,1309,36
0020-04-06 00:00:00,Singapore,6,1375,37
0020-04-07 00:00:00,Singapore,6,1481,38
0020-04-08 00:00:00,Singapore,6,1623,39
0020-04-09 00:00:00,Singapore,6,1910,40
0020-04-10 00:00:00,Singapore,7,2108,41
0020-04-11 00:00:00,Singapore,8,2299,42
0020-04-12 00:00:00,Singapore,8,2532,43
0020-04-13 00:00:00,Singapore,9,2918,44
0020-04-14 00:00:00,Singapore,10,3252,45
0020-04-15 00:00:00,Singapore,10,3699,46
0020-04-16 00:00:00,Singapore,10,4427,47
0020-04-17 00:00:00,Singapore,11,5050,48
0020-04-18 00:00:00,Singapore,11,5992,49
0020-04-19 00:00:00,Singapore,11,6588,50
0020-04-20 00:00:00,Singapore,11,8014,51
0020-04-21 00:00:00,Singapore,11,9125,52
0020-04-22 00:00:00,Singapore,12,10141,53
0020-04-23 00:00:00,Singapore,12,11178,54
0020-04-24 00:00:00,Singapore,12,12075,55
0020-04-25 00:00:00,Singapore,12,12693,56
0020-04-26 00:00:00,Singapore,12,13624,57
0020-04-27 00:00:00,Singapore,14,14423,58
0020-04-28 00:00:00,Singapore,14,14951,59
0020-04-29 00:00:00,Singapore,14,15641,60
0020-04-30 00:00:00,Singapore,15,16169,61
0020-05-01 00:00:00,Singapore,16,17101,62
0020-05-02 00:00:00,Singapore,17,17548,63
0020-05-03 00:00:00,Singapore,18,18205,64
0020-05-04 00:00:00,Singapore,18,18778,65
0020-05-05 00:00:00,Singapore,18,19410,66
0020-05-06 00:00:00,Singapore,20,20198,67
0020-05-07 00:00:00,Singapore,20,20939,68
0020-05-08 00:00:00,Singapore,20,21707,69
0020-05-09 00:00:00,Singapore,20,22460,70
0020-05-10 00:00:00,Singapore,20,23336,71
