Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-12,Asia,Singapore,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,Asia,Singapore,None,30.0,78.0,89.0,58.0,167.0,80.0,181.0,27.0,96.0,86.0,43.0,86.0,30.0,116.0,47.0,74.0,123.0,19.0,70.0,48.0,87.0,150.0,233.0,48.0,105.0,139.0,55.0,29.0,31.0,19.0,198.0,92.0,62.0,30.0,57.0,136.0,80.0,64.0,81.0,137.0,26.0,89.0,110.0,162.0,52.0,102.0,21.0,99.0,49.0,82.0,88.0,66.0,158.0,128.0,72.0,117.0,131.0,67.0,42.0,130.0,69.0,103.0,3.0,33.0,58.0,88.0,40.0,111.0,106.0,148.0,102.0,139.0,24.0,70.0,51.0,116.0,144.0,84.0,76.0,129.0,68.0,114.0,41.0,159.0,138.0,167.0,120.0,94.0,117.0,77.0,27.0,76.0,79.0,48.0,0.0,77.0,57.0,86.0,51.0,25.0
2020-05-14,Asia,Singapore,None,28.0,76.0,85.0,56.0,165.0,78.0,179.0,25.0,93.0,82.0,40.0,84.0,27.0,112.0,45.0,71.0,120.0,19.0,65.0,45.0,84.0,146.0,231.0,45.0,102.0,136.0,52.0,26.0,28.0,18.0,195.0,88.0,59.0,28.0,55.0,133.0,77.0,61.0,77.0,133.0,24.0,85.0,107.0,160.0,50.0,98.0,19.0,96.0,46.0,79.0,85.0,63.0,156.0,124.0,68.0,114.0,129.0,64.0,40.0,126.0,66.0,99.0,2.0,31.0,55.0,84.0,37.0,108.0,102.0,145.0,98.0,135.0,23.0,66.0,48.0,113.0,141.0,81.0,73.0,126.0,64.0,110.0,38.0,155.0,135.0,165.0,116.0,90.0,113.0,73.0,24.0,73.0,76.0,45.0,0.0,74.0,54.0,82.0,48.0,23.0
2020-05-15,Asia,Singapore,None,26.0,72.0,82.0,52.0,162.0,75.0,175.0,23.0,90.0,78.0,38.0,81.0,25.0,110.0,42.0,69.0,117.0,17.0,63.0,43.0,80.0,144.0,230.0,43.0,99.0,133.0,50.0,25.0,27.0,17.0,193.0,85.0,56.0,26.0,51.0,130.0,75.0,58.0,75.0,130.0,23.0,82.0,103.0,157.0,48.0,95.0,18.0,92.0,44.0,75.0,82.0,61.0,152.0,122.0,66.0,111.0,126.0,61.0,37.0,122.0,63.0,97.0,3.0,29.0,52.0,80.0,35.0,105.0,98.0,142.0,95.0,133.0,22.0,63.0,46.0,109.0,138.0,79.0,71.0,123.0,63.0,107.0,36.0,153.0,131.0,161.0,112.0,87.0,111.0,71.0,23.0,70.0,73.0,43.0,0.0,70.0,51.0,79.0,46.0,21.0
2020-05-16,Asia,Singapore,None,25.0,70.0,79.0,50.0,159.0,72.0,173.0,22.0,87.0,76.0,36.0,77.0,23.0,106.0,39.0,65.0,114.0,16.0,60.0,40.0,77.0,140.0,228.0,41.0,95.0,130.0,47.0,23.0,26.0,15.0,191.0,83.0,52.0,24.0,50.0,126.0,72.0,55.0,71.0,127.0,22.0,79.0,99.0,154.0,45.0,92.0,16.0,89.0,42.0,71.0,79.0,59.0,150.0,119.0,63.0,107.0,123.0,58.0,36.0,119.0,60.0,93.0,2.0,28.0,50.0,77.0,33.0,100.0,95.0,139.0,90.0,129.0,20.0,60.0,44.0,105.0,134.0,75.0,68.0,119.0,59.0,103.0,34.0,149.0,128.0,159.0,109.0,83.0,106.0,67.0,22.0,68.0,70.0,40.0,0.0,68.0,49.0,76.0,44.0,20.0
2020-05-17,Asia,Singapore,None,24.0,66.0,76.0,47.0,157.0,69.0,170.0,19.0,84.0,72.0,34.0,75.0,22.0,103.0,37.0,62.0,110.0,15.0,58.0,37.0,74.0,136.0,227.0,39.0,92.0,127.0,44.0,21.0,23.0,15.0,188.0,81.0,51.0,23.0,46.0,123.0,69.0,53.0,69.0,123.0,20.0,75.0,96.0,151.0,42.0,89.0,15.0,85.0,39.0,68.0,75.0,56.0,146.0,115.0,60.0,104.0,119.0,55.0,34.0,116.0,57.0,90.0,2.0,26.0,46.0,74.0,30.0,98.0,93.0,136.0,87.0,126.0,19.0,58.0,41.0,102.0,132.0,72.0,66.0,115.0,56.0,101.0,32.0,146.0,125.0,155.0,106.0,81.0,104.0,65.0,19.0,64.0,66.0,38.0,0.0,64.0,46.0,72.0,41.0,18.0
2020-05-18,Asia,Singapore,None,21.0,63.0,72.0,45.0,154.0,67.0,167.0,19.0,80.0,70.0,31.0,71.0,20.0,99.0,35.0,59.0,107.0,14.0,54.0,35.0,70.0,134.0,224.0,37.0,88.0,123.0,43.0,20.0,22.0,13.0,185.0,78.0,47.0,21.0,44.0,120.0,66.0,50.0,66.0,121.0,19.0,71.0,94.0,149.0,40.0,86.0,14.0,81.0,37.0,65.0,72.0,54.0,143.0,113.0,57.0,100.0,116.0,53.0,32.0,113.0,53.0,87.0,1.0,24.0,45.0,70.0,29.0,94.0,89.0,132.0,84.0,123.0,17.0,54.0,39.0,99.0,128.0,69.0,62.0,112.0,54.0,96.0,30.0,144.0,122.0,153.0,102.0,77.0,101.0,62.0,19.0,61.0,64.0,35.0,0.0,61.0,44.0,69.0,39.0,17.0
2020-05-19,Asia,Singapore,None,21.0,62.0,69.0,43.0,151.0,64.0,164.0,17.0,77.0,67.0,29.0,68.0,18.0,97.0,33.0,57.0,104.0,14.0,52.0,34.0,68.0,130.0,223.0,34.0,86.0,120.0,40.0,18.0,20.0,13.0,183.0,75.0,45.0,19.0,41.0,116.0,63.0,47.0,63.0,117.0,18.0,69.0,91.0,146.0,38.0,82.0,13.0,79.0,34.0,62.0,69.0,52.0,141.0,109.0,55.0,98.0,113.0,50.0,30.0,108.0,51.0,83.0,2.0,23.0,42.0,67.0,26.0,91.0,87.0,129.0,81.0,120.0,16.0,52.0,37.0,95.0,125.0,67.0,59.0,109.0,51.0,94.0,28.0,140.0,119.0,149.0,99.0,73.0,97.0,59.0,16.0,58.0,61.0,34.0,0.0,58.0,42.0,67.0,37.0,15.0
2020-05-20,Asia,Singapore,None,19.0,59.0,67.0,41.0,148.0,61.0,160.0,15.0,74.0,65.0,28.0,65.0,17.0,93.0,31.0,54.0,100.0,12.0,49.0,31.0,64.0,127.0,220.0,33.0,82.0,117.0,37.0,17.0,19.0,12.0,179.0,73.0,43.0,19.0,39.0,113.0,60.0,45.0,60.0,113.0,16.0,65.0,88.0,143.0,35.0,79.0,11.0,76.0,33.0,59.0,67.0,49.0,137.0,105.0,52.0,94.0,109.0,48.0,28.0,106.0,48.0,80.0,1.0,22.0,40.0,64.0,24.0,88.0,84.0,126.0,78.0,117.0,15.0,50.0,35.0,92.0,122.0,63.0,57.0,105.0,48.0,89.0,26.0,137.0,115.0,146.0,95.0,71.0,95.0,56.0,16.0,55.0,58.0,31.0,0.0,56.0,39.0,64.0,35.0,14.0
2020-05-21,Asia,Singapore,None,18.0,56.0,64.0,38.0,145.0,59.0,158.0,15.0,71.0,61.0,26.0,63.0,15.0,91.0,29.0,51.0,98.0,12.0,46.0,29.0,62.0,123.0,218.0,31.0,79.0,114.0,36.0,15.0,18.0,10.0,177.0,69.0,41.0,16.0,36.0,110.0,57.0,43.0,58.0,111.0,16.0,63.0,85.0,139.0,34.0,76.0,11.0,73.0,31.0,56.0,63.0,47.0,134.0,102.0,49.0,91.0,106.0,45.0,27.0,101.0,46.0,77.0,1.0,21.0,38.0,61.0,23.0,85.0,80.0,122.0,75.0,114.0,14.0,47.0,33.0,89.0,119.0,61.0,54.0,102.0,46.0,86.0,24.0,133.0,112.0,143.0,92.0,67.0,92.0,54.0,14.0,53.0,56.0,29.0,0.0,53.0,37.0,61.0,33.0,13.0
