date,region,death_cnt,case_cnt,day_since100
0020-01-31 00:00:00,Sweden,0,1,-35
0020-02-01 00:00:00,Sweden,0,1,-34
0020-02-02 00:00:00,Sweden,0,1,-33
0020-02-03 00:00:00,Sweden,0,1,-32
0020-02-04 00:00:00,Sweden,0,1,-31
0020-02-05 00:00:00,Sweden,0,1,-30
0020-02-06 00:00:00,Sweden,0,1,-29
0020-02-07 00:00:00,Sweden,0,1,-28
0020-02-08 00:00:00,Sweden,0,1,-27
0020-02-09 00:00:00,Sweden,0,1,-26
0020-02-10 00:00:00,Sweden,0,1,-25
0020-02-11 00:00:00,Sweden,0,1,-24
0020-02-12 00:00:00,Sweden,0,1,-23
0020-02-13 00:00:00,Sweden,0,1,-22
0020-02-14 00:00:00,Sweden,0,1,-21
0020-02-15 00:00:00,Sweden,0,1,-20
0020-02-16 00:00:00,Sweden,0,1,-19
0020-02-17 00:00:00,Sweden,0,1,-18
0020-02-18 00:00:00,Sweden,0,1,-17
0020-02-19 00:00:00,Sweden,0,1,-16
0020-02-20 00:00:00,Sweden,0,1,-15
0020-02-21 00:00:00,Sweden,0,1,-14
0020-02-22 00:00:00,Sweden,0,1,-13
0020-02-23 00:00:00,Sweden,0,1,-12
0020-02-24 00:00:00,Sweden,0,1,-11
0020-02-25 00:00:00,Sweden,0,1,-10
0020-02-26 00:00:00,Sweden,0,2,-9
0020-02-27 00:00:00,Sweden,0,7,-8
0020-02-28 00:00:00,Sweden,0,7,-7
0020-02-29 00:00:00,Sweden,0,12,-6
0020-03-01 00:00:00,Sweden,0,14,-5
0020-03-02 00:00:00,Sweden,0,15,-4
0020-03-03 00:00:00,Sweden,0,21,-3
0020-03-04 00:00:00,Sweden,0,35,-2
0020-03-05 00:00:00,Sweden,0,94,-1
0020-03-06 00:00:00,Sweden,0,101,0
0020-03-07 00:00:00,Sweden,0,161,1
0020-03-08 00:00:00,Sweden,0,203,2
0020-03-09 00:00:00,Sweden,0,248,3
0020-03-10 00:00:00,Sweden,0,355,4
0020-03-11 00:00:00,Sweden,1,500,5
0020-03-12 00:00:00,Sweden,1,599,6
0020-03-13 00:00:00,Sweden,1,814,7
0020-03-14 00:00:00,Sweden,2,961,8
0020-03-15 00:00:00,Sweden,3,1022,9
0020-03-16 00:00:00,Sweden,6,1103,10
0020-03-17 00:00:00,Sweden,7,1190,11
0020-03-18 00:00:00,Sweden,10,1279,12
0020-03-19 00:00:00,Sweden,11,1439,13
0020-03-20 00:00:00,Sweden,16,1639,14
0020-03-21 00:00:00,Sweden,20,1763,15
0020-03-22 00:00:00,Sweden,21,1934,16
0020-03-23 00:00:00,Sweden,25,2046,17
0020-03-24 00:00:00,Sweden,36,2286,18
0020-03-25 00:00:00,Sweden,62,2526,19
0020-03-26 00:00:00,Sweden,77,2840,20
0020-03-27 00:00:00,Sweden,105,3069,21
0020-03-28 00:00:00,Sweden,105,3447,22
0020-03-29 00:00:00,Sweden,110,3700,23
0020-03-30 00:00:00,Sweden,146,4028,24
0020-03-31 00:00:00,Sweden,180,4435,25
0020-04-01 00:00:00,Sweden,239,4947,26
0020-04-02 00:00:00,Sweden,308,5568,27
0020-04-03 00:00:00,Sweden,358,6131,28
0020-04-04 00:00:00,Sweden,373,6443,29
0020-04-05 00:00:00,Sweden,401,6830,30
0020-04-06 00:00:00,Sweden,477,7206,31
0020-04-07 00:00:00,Sweden,591,7693,32
0020-04-08 00:00:00,Sweden,687,8419,33
0020-04-09 00:00:00,Sweden,793,9141,34
0020-04-10 00:00:00,Sweden,870,9685,35
0020-04-11 00:00:00,Sweden,887,10151,36
0020-04-12 00:00:00,Sweden,899,10483,37
0020-04-13 00:00:00,Sweden,919,10948,38
0020-04-14 00:00:00,Sweden,1033,11445,39
0020-04-15 00:00:00,Sweden,1203,11927,40
0020-04-16 00:00:00,Sweden,1333,12540,41
0020-04-17 00:00:00,Sweden,1400,13216,42
0020-04-18 00:00:00,Sweden,1511,13822,43
0020-04-19 00:00:00,Sweden,1540,14385,44
0020-04-20 00:00:00,Sweden,1580,14777,45
0020-04-21 00:00:00,Sweden,1765,15322,46
0020-04-22 00:00:00,Sweden,1937,16004,47
0020-04-23 00:00:00,Sweden,2021,16755,48
0020-04-24 00:00:00,Sweden,2152,17567,49
0020-04-25 00:00:00,Sweden,2192,18177,50
0020-04-26 00:00:00,Sweden,2194,18640,51
0020-04-27 00:00:00,Sweden,2274,18926,52
0020-04-28 00:00:00,Sweden,2355,19621,53
0020-04-29 00:00:00,Sweden,2462,20302,54
0020-04-30 00:00:00,Sweden,2586,21092,55
0020-05-01 00:00:00,Sweden,2653,21520,56
0020-05-02 00:00:00,Sweden,2669,22082,57
0020-05-03 00:00:00,Sweden,2679,22317,58
0020-05-04 00:00:00,Sweden,2769,22721,59
0020-05-05 00:00:00,Sweden,2854,23216,60
0020-05-06 00:00:00,Sweden,2941,23918,61
0020-05-07 00:00:00,Sweden,3040,24623,62
0020-05-08 00:00:00,Sweden,3175,25265,63
0020-05-09 00:00:00,Sweden,3220,25921,64
0020-05-10 00:00:00,Sweden,3225,26322,65
