date,region,death_cnt,case_cnt,day_since100
2020-02-26,Brazil,0,1,-16
2020-02-27,Brazil,0,1,-15
2020-02-28,Brazil,0,1,-14
2020-02-29,Brazil,0,2,-13
2020-03-01,Brazil,0,2,-12
2020-03-02,Brazil,0,2,-11
2020-03-03,Brazil,0,2,-10
2020-03-04,Brazil,0,4,-9
2020-03-05,Brazil,0,4,-8
2020-03-06,Brazil,0,13,-7
2020-03-07,Brazil,0,13,-6
2020-03-08,Brazil,0,20,-5
2020-03-09,Brazil,0,25,-4
2020-03-10,Brazil,0,31,-3
2020-03-11,Brazil,0,38,-2
2020-03-12,Brazil,0,52,-1
2020-03-13,Brazil,0,151,0
2020-03-14,Brazil,0,151,1
2020-03-15,Brazil,0,162,2
2020-03-16,Brazil,0,200,3
2020-03-17,Brazil,1,321,4
2020-03-18,Brazil,3,372,5
2020-03-19,Brazil,6,621,6
2020-03-20,Brazil,11,793,7
2020-03-21,Brazil,15,1021,8
2020-03-22,Brazil,25,1546,9
2020-03-23,Brazil,34,1924,10
2020-03-24,Brazil,46,2247,11
2020-03-25,Brazil,59,2554,12
2020-03-26,Brazil,77,2985,13
2020-03-27,Brazil,92,3417,14
2020-03-28,Brazil,111,3904,15
2020-03-29,Brazil,136,4256,16
2020-03-30,Brazil,159,4579,17
2020-03-31,Brazil,201,5717,18
2020-04-01,Brazil,240,6836,19
2020-04-02,Brazil,324,8044,20
2020-04-03,Brazil,359,9056,21
2020-04-04,Brazil,445,10360,22
2020-04-05,Brazil,486,11130,23
2020-04-06,Brazil,564,12161,24
2020-04-07,Brazil,686,14034,25
2020-04-08,Brazil,819,16170,26
2020-04-09,Brazil,950,18092,27
2020-04-10,Brazil,1057,19638,28
2020-04-11,Brazil,1124,20727,29
2020-04-12,Brazil,1223,22192,30
2020-04-13,Brazil,1328,23430,31
2020-04-14,Brazil,1532,25262,32
2020-04-15,Brazil,1736,28320,33
2020-04-16,Brazil,1924,30425,34
2020-04-17,Brazil,2141,33682,35
2020-04-18,Brazil,2354,36658,36
2020-04-19,Brazil,2462,38654,37
2020-04-20,Brazil,2587,40743,38
2020-04-21,Brazil,2741,43079,39
2020-04-22,Brazil,2906,45757,40
2020-04-23,Brazil,3331,50036,41
2020-04-24,Brazil,3704,54043,42
2020-04-25,Brazil,4057,59324,43
2020-04-26,Brazil,4286,63100,44
2020-04-27,Brazil,4603,67446,45
2020-04-28,Brazil,5083,73235,46
2020-04-29,Brazil,5513,79685,47
2020-04-30,Brazil,6006,87187,48
2020-05-01,Brazil,6412,92202,49
2020-05-02,Brazil,6761,97100,50
2020-05-03,Brazil,7051,101826,51
2020-05-04,Brazil,7367,108620,52
2020-05-05,Brazil,7938,115455,53
2020-05-06,Brazil,8588,126611,54
2020-05-07,Brazil,9190,135773,55
2020-05-08,Brazil,10017,146894,56
2020-05-09,Brazil,10656,156061,57
2020-05-10,Brazil,11123,162699,58
