Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,South America,Brazil,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,South America,Brazil,None,10334.0,10210.0,10433.0,6044.0,10162.0,8542.0,10209.0,9412.0,503.0,17.0,1.0,1.0,10272.0,11041.0,9439.0,10327.0,0.0,9447.0,0.0,10346.0,4584.0,10935.0,4917.0,8015.0,12.0,9896.0,9854.0,10323.0,3704.0,8168.0,10891.0,7929.0,0.0,10184.0,10023.0,10249.0,9876.0,802.0,10438.0,10488.0,7508.0,10603.0,8058.0,10101.0,10020.0,8679.0,9145.0,9836.0,9282.0,1.0,10662.0,8840.0,3270.0,9798.0,10144.0,9481.0,10912.0,9060.0,9895.0,9974.0,10436.0,10112.0,10666.0,8078.0,9372.0,7323.0,10484.0,10614.0,10018.0,9966.0,10624.0,272.0,8814.0,8677.0,7901.0,9755.0,0.0,7893.0,8186.0,10948.0,9396.0,10895.0,9628.0,0.0,4.0,9150.0,10603.0,10000.0,11.0,9629.0,10815.0,9963.0,8125.0,266.0,10.0,10444.0,9930.0,9179.0,10140.0,9158.0
2020-05-17,South America,Brazil,None,10573.0,10432.0,10689.0,5901.0,10384.0,8559.0,10431.0,9527.0,458.0,14.0,1.0,0.0,10506.0,11380.0,9565.0,10563.0,0.0,9573.0,0.0,10586.0,4457.0,11260.0,4869.0,7986.0,12.0,10077.0,10029.0,10565.0,3570.0,8147.0,11210.0,7942.0,0.0,10401.0,10226.0,10475.0,10052.0,736.0,10690.0,10749.0,7516.0,10881.0,8031.0,10307.0,10217.0,8706.0,9257.0,10007.0,9386.0,1.0,10945.0,8894.0,3195.0,9964.0,10356.0,9604.0,11234.0,9150.0,10075.0,10165.0,10687.0,10329.0,10951.0,8015.0,9490.0,7223.0,10744.0,10895.0,10230.0,10155.0,10905.0,250.0,8870.0,8713.0,7850.0,9917.0,0.0,7840.0,8170.0,11275.0,9528.0,11213.0,9772.0,0.0,3.0,9240.0,10880.0,10199.0,9.0,9774.0,11123.0,10152.0,8145.0,249.0,9.0,10700.0,10120.0,9283.0,10361.0,9249.0
2020-05-18,South America,Brazil,None,10801.0,10644.0,10940.0,5748.0,10600.0,8559.0,10643.0,9625.0,416.0,11.0,1.0,1.0,10731.0,11716.0,9680.0,10792.0,0.0,9685.0,0.0,10818.0,4331.0,11580.0,4817.0,7943.0,11.0,10247.0,10191.0,10798.0,3429.0,8113.0,11524.0,7944.0,0.0,10609.0,10419.0,10693.0,10218.0,675.0,10935.0,11000.0,7516.0,11151.0,7990.0,10504.0,10404.0,8713.0,9351.0,10165.0,9480.0,1.0,11224.0,8930.0,3109.0,10117.0,10558.0,9712.0,11553.0,9224.0,10243.0,10344.0,10933.0,10534.0,11230.0,7936.0,9596.0,7104.0,10995.0,11169.0,10435.0,10334.0,11180.0,231.0,8913.0,8734.0,7781.0,10065.0,0.0,7771.0,8140.0,11599.0,9648.0,11528.0,9903.0,0.0,3.0,9316.0,11150.0,10391.0,9.0,9908.0,11424.0,10329.0,8154.0,235.0,9.0,10945.0,10302.0,9374.0,10571.0,9325.0
2020-05-19,South America,Brazil,None,11023.0,10848.0,11183.0,5581.0,10805.0,8546.0,10848.0,9713.0,376.0,10.0,1.0,0.0,10948.0,12050.0,9783.0,11011.0,0.0,9785.0,0.0,11042.0,4206.0,11896.0,4762.0,7886.0,9.0,10403.0,10342.0,11025.0,3281.0,8063.0,11834.0,7932.0,0.0,10809.0,10602.0,10901.0,10374.0,618.0,11171.0,11245.0,7509.0,11415.0,7938.0,10692.0,10579.0,8704.0,9430.0,10311.0,9558.0,1.0,11496.0,8952.0,3016.0,10259.0,10752.0,9808.0,11866.0,9286.0,10397.0,10512.0,11169.0,10729.0,11502.0,7839.0,9688.0,6969.0,11239.0,11437.0,10632.0,10500.0,11447.0,214.0,8943.0,8739.0,7702.0,10202.0,0.0,7689.0,8096.0,11918.0,9754.0,11839.0,10021.0,0.0,2.0,9379.0,11412.0,10573.0,8.0,10030.0,11722.0,10494.0,8150.0,219.0,7.0,11184.0,10472.0,9454.0,10776.0,9384.0
2020-05-20,South America,Brazil,None,11235.0,11040.0,11420.0,5411.0,11000.0,8515.0,11042.0,9785.0,338.0,8.0,1.0,0.0,11154.0,12382.0,9870.0,11223.0,1.0,9871.0,0.0,11256.0,4080.0,12208.0,4707.0,7814.0,9.0,10547.0,10480.0,11243.0,3129.0,8000.0,12138.0,7912.0,0.0,10998.0,10772.0,11100.0,10520.0,568.0,11401.0,11482.0,7483.0,11672.0,7872.0,10866.0,10742.0,8680.0,9493.0,10443.0,9620.0,0.0,11761.0,8957.0,2920.0,10388.0,10934.0,9891.0,12176.0,9336.0,10540.0,10665.0,11398.0,10914.0,11768.0,7732.0,9766.0,6828.0,11474.0,11697.0,10820.0,10652.0,11708.0,196.0,8957.0,8729.0,7609.0,10326.0,0.0,7591.0,8037.0,12232.0,9850.0,12145.0,10123.0,1.0,3.0,9426.0,11669.0,10741.0,7.0,10136.0,12012.0,10646.0,8134.0,207.0,7.0,11415.0,10629.0,9520.0,10968.0,9429.0
2020-05-21,South America,Brazil,None,11438.0,11219.0,11646.0,5242.0,11186.0,8470.0,11223.0,9845.0,304.0,6.0,1.0,1.0,11349.0,12709.0,9946.0,11423.0,0.0,9945.0,0.0,11459.0,3949.0,12514.0,4651.0,7726.0,8.0,10680.0,10607.0,11450.0,2988.0,7923.0,12436.0,7879.0,0.0,11173.0,10930.0,11288.0,10654.0,519.0,11620.0,11711.0,7448.0,11920.0,7791.0,11029.0,10891.0,8641.0,9545.0,10562.0,9669.0,1.0,12019.0,8947.0,2823.0,10507.0,11103.0,9957.0,12480.0,9372.0,10667.0,10807.0,11618.0,11089.0,12026.0,7607.0,9831.0,6681.0,11702.0,11950.0,11000.0,10792.0,11960.0,181.0,8958.0,8705.0,7503.0,10443.0,0.0,7477.0,7962.0,12541.0,9932.0,12443.0,10215.0,0.0,2.0,9456.0,11916.0,10898.0,6.0,10228.0,12297.0,10785.0,8101.0,195.0,6.0,11637.0,10774.0,9575.0,11151.0,9459.0
2020-05-22,South America,Brazil,None,11628.0,11388.0,11864.0,5070.0,11360.0,8412.0,11394.0,9888.0,275.0,5.0,0.0,0.0,11534.0,13030.0,10008.0,11613.0,0.0,10004.0,0.0,11652.0,3812.0,12815.0,4591.0,7626.0,8.0,10800.0,10723.0,11648.0,2857.0,7831.0,12729.0,7837.0,0.0,11338.0,11076.0,11464.0,10772.0,475.0,11830.0,11929.0,7406.0,12161.0,7697.0,11178.0,11029.0,8586.0,9587.0,10670.0,9702.0,0.0,12269.0,8923.0,2729.0,10612.0,11261.0,10008.0,12780.0,9394.0,10784.0,10935.0,11825.0,11252.0,12277.0,7469.0,9883.0,6521.0,11919.0,12197.0,11170.0,10920.0,12206.0,166.0,8945.0,8666.0,7383.0,10543.0,0.0,7348.0,7874.0,12844.0,10003.0,12736.0,10293.0,0.0,1.0,9475.0,12157.0,11043.0,6.0,10305.0,12575.0,10912.0,8060.0,182.0,6.0,11850.0,10907.0,9616.0,11322.0,9473.0
2020-05-23,South America,Brazil,None,11807.0,11545.0,12071.0,4891.0,11525.0,8340.0,11552.0,9916.0,249.0,5.0,1.0,0.0,11709.0,13345.0,10057.0,11790.0,0.0,10048.0,0.0,11833.0,3669.0,13109.0,4523.0,7517.0,7.0,10909.0,10824.0,11835.0,2729.0,7724.0,13015.0,7784.0,0.0,11491.0,11211.0,11628.0,10878.0,432.0,12027.0,12136.0,7357.0,12394.0,7588.0,11317.0,11154.0,8517.0,9621.0,10764.0,9721.0,0.0,12510.0,8885.0,2640.0,10701.0,11405.0,10046.0,13073.0,9403.0,10889.0,11053.0,12023.0,11406.0,12519.0,7324.0,9920.0,6351.0,12127.0,12432.0,11329.0,11035.0,12444.0,154.0,8919.0,8615.0,7243.0,10631.0,0.0,7210.0,7772.0,13141.0,10062.0,13024.0,10357.0,0.0,2.0,9477.0,12388.0,11176.0,6.0,10371.0,12846.0,11028.0,8013.0,169.0,5.0,12051.0,11029.0,9644.0,11483.0,9475.0
2020-05-24,South America,Brazil,None,11975.0,11690.0,12267.0,4699.0,11679.0,8255.0,11698.0,9931.0,222.0,3.0,0.0,0.0,11874.0,13654.0,10095.0,11956.0,0.0,10078.0,0.0,12002.0,3518.0,13397.0,4451.0,7398.0,6.0,11003.0,10912.0,12009.0,2599.0,7606.0,13294.0,7722.0,0.0,11630.0,11332.0,11781.0,10971.0,393.0,12215.0,12333.0,7300.0,12616.0,7471.0,11442.0,11268.0,8436.0,9649.0,10844.0,9727.0,1.0,12741.0,8831.0,2562.0,10778.0,11538.0,10068.0,13358.0,9402.0,10978.0,11156.0,12210.0,11546.0,12750.0,7167.0,9944.0,6172.0,12322.0,12658.0,11480.0,11138.0,12671.0,140.0,8881.0,8551.0,7095.0,10703.0,0.0,7065.0,7664.0,13432.0,10108.0,13303.0,10406.0,0.0,2.0,9467.0,12608.0,11298.0,4.0,10423.0,13109.0,11130.0,7957.0,159.0,4.0,12241.0,11139.0,9661.0,11631.0,9462.0
