Day,Continent,Country,Province,daily_deaths sim0,daily_deaths sim1,daily_deaths sim2,daily_deaths sim3,daily_deaths sim4,daily_deaths sim5,daily_deaths sim6,daily_deaths sim7,daily_deaths sim8,daily_deaths sim9,daily_deaths sim10,daily_deaths sim11,daily_deaths sim12,daily_deaths sim13,daily_deaths sim14,daily_deaths sim15,daily_deaths sim16,daily_deaths sim17,daily_deaths sim18,daily_deaths sim19,daily_deaths sim20,daily_deaths sim21,daily_deaths sim22,daily_deaths sim23,daily_deaths sim24,daily_deaths sim25,daily_deaths sim26,daily_deaths sim27,daily_deaths sim28,daily_deaths sim29,daily_deaths sim30,daily_deaths sim31,daily_deaths sim32,daily_deaths sim33,daily_deaths sim34,daily_deaths sim35,daily_deaths sim36,daily_deaths sim37,daily_deaths sim38,daily_deaths sim39,daily_deaths sim40,daily_deaths sim41,daily_deaths sim42,daily_deaths sim43,daily_deaths sim44,daily_deaths sim45,daily_deaths sim46,daily_deaths sim47,daily_deaths sim48,daily_deaths sim49,daily_deaths sim50,daily_deaths sim51,daily_deaths sim52,daily_deaths sim53,daily_deaths sim54,daily_deaths sim55,daily_deaths sim56,daily_deaths sim57,daily_deaths sim58,daily_deaths sim59,daily_deaths sim60,daily_deaths sim61,daily_deaths sim62,daily_deaths sim63,daily_deaths sim64,daily_deaths sim65,daily_deaths sim66,daily_deaths sim67,daily_deaths sim68,daily_deaths sim69,daily_deaths sim70,daily_deaths sim71,daily_deaths sim72,daily_deaths sim73,daily_deaths sim74,daily_deaths sim75,daily_deaths sim76,daily_deaths sim77,daily_deaths sim78,daily_deaths sim79,daily_deaths sim80,daily_deaths sim81,daily_deaths sim82,daily_deaths sim83,daily_deaths sim84,daily_deaths sim85,daily_deaths sim86,daily_deaths sim87,daily_deaths sim88,daily_deaths sim89,daily_deaths sim90,daily_deaths sim91,daily_deaths sim92,daily_deaths sim93,daily_deaths sim94,daily_deaths sim95,daily_deaths sim96,daily_deaths sim97,daily_deaths sim98,daily_deaths sim99
2020-05-15,South America,Brazil,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,South America,Brazil,None,755.0,750.0,760.0,544.0,751.0,647.0,749.0,700.0,194.0,74.0,1.0,5.0,753.0,799.0,702.0,754.0,0.0,700.0,0.0,757.0,622.0,792.0,576.0,612.0,4.0,730.0,725.0,754.0,558.0,622.0,790.0,628.0,0.0,747.0,738.0,750.0,727.0,236.0,761.0,764.0,655.0,771.0,614.0,743.0,739.0,656.0,913.0,725.0,692.0,4.0,774.0,665.0,455.0,723.0,746.0,704.0,790.0,675.0,730.0,736.0,762.0,741.0,775.0,621.0,696.0,569.0,764.0,771.0,734.0,735.0,773.0,149.0,661.0,654.0,606.0,720.0,10.0,606.0,623.0,794.0,698.0,792.0,713.0,8.0,2.0,684.0,771.0,736.0,4.0,715.0,784.0,734.0,635.0,145.0,3.0,761.0,732.0,683.0,743.0,685.0
2020-05-17,South America,Brazil,None,776.0,768.0,782.0,538.0,768.0,650.0,768.0,711.0,187.0,70.0,0.0,4.0,772.0,825.0,715.0,775.0,0.0,713.0,0.0,777.0,624.0,816.0,581.0,612.0,4.0,744.0,741.0,775.0,556.0,623.0,813.0,632.0,0.0,767.0,754.0,770.0,744.0,228.0,783.0,786.0,661.0,792.0,616.0,761.0,755.0,660.0,942.0,740.0,703.0,3.0,797.0,672.0,454.0,737.0,763.0,717.0,813.0,686.0,745.0,750.0,783.0,758.0,797.0,620.0,707.0,564.0,785.0,793.0,753.0,750.0,794.0,144.0,668.0,659.0,605.0,734.0,10.0,604.0,624.0,818.0,708.0,814.0,725.0,8.0,3.0,694.0,792.0,753.0,3.0,727.0,807.0,749.0,639.0,140.0,4.0,783.0,748.0,692.0,763.0,693.0
2020-05-18,South America,Brazil,None,795.0,785.0,804.0,530.0,785.0,654.0,785.0,722.0,181.0,66.0,0.0,4.0,790.0,853.0,724.0,795.0,0.0,724.0,0.0,797.0,625.0,841.0,587.0,612.0,3.0,758.0,756.0,795.0,555.0,623.0,838.0,635.0,0.0,783.0,769.0,789.0,759.0,222.0,804.0,808.0,667.0,815.0,614.0,776.0,769.0,663.0,970.0,754.0,711.0,3.0,821.0,675.0,453.0,752.0,781.0,728.0,840.0,694.0,758.0,765.0,804.0,776.0,820.0,618.0,718.0,557.0,806.0,817.0,771.0,764.0,816.0,140.0,674.0,663.0,603.0,749.0,9.0,602.0,624.0,842.0,718.0,838.0,737.0,7.0,2.0,700.0,816.0,768.0,3.0,739.0,832.0,764.0,644.0,135.0,3.0,804.0,761.0,703.0,780.0,700.0
2020-05-19,South America,Brazil,None,814.0,800.0,823.0,521.0,801.0,653.0,802.0,731.0,174.0,64.0,1.0,4.0,806.0,877.0,732.0,814.0,0.0,735.0,0.0,814.0,626.0,867.0,592.0,609.0,3.0,773.0,770.0,813.0,551.0,622.0,862.0,638.0,0.0,799.0,784.0,806.0,772.0,215.0,823.0,828.0,671.0,838.0,613.0,790.0,783.0,665.0,998.0,768.0,718.0,3.0,844.0,679.0,452.0,765.0,794.0,737.0,866.0,701.0,772.0,779.0,823.0,793.0,844.0,613.0,728.0,550.0,828.0,840.0,787.0,778.0,840.0,134.0,678.0,667.0,598.0,761.0,9.0,598.0,624.0,867.0,730.0,862.0,750.0,7.0,2.0,706.0,837.0,782.0,3.0,749.0,856.0,778.0,645.0,132.0,3.0,824.0,775.0,711.0,795.0,707.0
2020-05-20,South America,Brazil,None,830.0,817.0,841.0,511.0,819.0,654.0,816.0,738.0,168.0,60.0,0.0,4.0,824.0,902.0,741.0,829.0,0.0,743.0,0.0,830.0,626.0,893.0,597.0,607.0,3.0,787.0,783.0,829.0,547.0,620.0,888.0,639.0,0.0,813.0,799.0,821.0,784.0,208.0,841.0,846.0,675.0,859.0,610.0,806.0,798.0,667.0,1024.0,780.0,725.0,3.0,865.0,683.0,449.0,778.0,810.0,743.0,891.0,707.0,787.0,794.0,839.0,810.0,866.0,607.0,736.0,542.0,847.0,860.0,800.0,793.0,861.0,130.0,683.0,668.0,594.0,774.0,7.0,593.0,622.0,893.0,740.0,887.0,760.0,6.0,2.0,713.0,859.0,796.0,3.0,759.0,881.0,794.0,647.0,127.0,2.0,842.0,790.0,719.0,811.0,714.0
2020-05-21,South America,Brazil,None,846.0,832.0,858.0,500.0,835.0,652.0,832.0,743.0,161.0,58.0,0.0,3.0,841.0,926.0,750.0,845.0,0.0,749.0,0.0,847.0,625.0,918.0,600.0,601.0,2.0,800.0,795.0,846.0,543.0,615.0,913.0,639.0,0.0,830.0,813.0,836.0,795.0,201.0,858.0,864.0,678.0,880.0,606.0,820.0,812.0,666.0,1051.0,793.0,732.0,2.0,885.0,685.0,446.0,787.0,825.0,751.0,915.0,710.0,798.0,807.0,858.0,825.0,886.0,599.0,742.0,531.0,864.0,880.0,815.0,807.0,882.0,125.0,684.0,668.0,587.0,782.0,8.0,587.0,619.0,919.0,749.0,912.0,770.0,6.0,1.0,717.0,880.0,811.0,2.0,768.0,904.0,806.0,648.0,123.0,3.0,860.0,804.0,725.0,826.0,719.0
2020-05-22,South America,Brazil,None,862.0,849.0,876.0,487.0,852.0,651.0,848.0,749.0,156.0,55.0,0.0,2.0,858.0,953.0,758.0,861.0,0.0,755.0,0.0,865.0,622.0,941.0,603.0,597.0,2.0,810.0,803.0,862.0,537.0,611.0,936.0,638.0,0.0,844.0,828.0,852.0,807.0,194.0,874.0,881.0,680.0,897.0,601.0,835.0,825.0,664.0,1076.0,801.0,737.0,2.0,903.0,686.0,444.0,795.0,840.0,757.0,938.0,714.0,811.0,820.0,875.0,839.0,904.0,591.0,747.0,520.0,880.0,898.0,830.0,819.0,901.0,121.0,685.0,666.0,581.0,791.0,6.0,579.0,613.0,943.0,755.0,937.0,776.0,5.0,2.0,723.0,897.0,825.0,2.0,778.0,925.0,819.0,647.0,119.0,2.0,876.0,817.0,728.0,842.0,723.0
2020-05-23,South America,Brazil,None,879.0,863.0,895.0,475.0,867.0,648.0,863.0,754.0,149.0,52.0,1.0,3.0,873.0,980.0,764.0,877.0,0.0,761.0,0.0,881.0,619.0,962.0,605.0,590.0,2.0,819.0,813.0,880.0,531.0,605.0,957.0,637.0,0.0,860.0,840.0,867.0,817.0,187.0,893.0,899.0,681.0,915.0,595.0,849.0,838.0,660.0,1100.0,810.0,741.0,2.0,923.0,685.0,440.0,805.0,853.0,763.0,959.0,716.0,818.0,831.0,893.0,850.0,923.0,582.0,752.0,509.0,899.0,918.0,844.0,829.0,919.0,116.0,684.0,666.0,572.0,800.0,7.0,570.0,608.0,967.0,760.0,960.0,782.0,5.0,1.0,724.0,914.0,838.0,2.0,785.0,945.0,827.0,646.0,116.0,2.0,893.0,828.0,732.0,858.0,724.0
2020-05-24,South America,Brazil,None,894.0,876.0,913.0,462.0,880.0,643.0,877.0,758.0,143.0,49.0,0.0,2.0,887.0,1005.0,768.0,893.0,0.0,766.0,0.0,897.0,616.0,984.0,607.0,582.0,2.0,827.0,822.0,896.0,524.0,598.0,978.0,635.0,0.0,872.0,851.0,882.0,827.0,181.0,910.0,918.0,680.0,934.0,587.0,859.0,847.0,657.0,1123.0,817.0,744.0,2.0,943.0,682.0,436.0,814.0,866.0,768.0,982.0,719.0,826.0,838.0,910.0,862.0,944.0,571.0,757.0,498.0,916.0,937.0,859.0,837.0,937.0,112.0,684.0,662.0,564.0,809.0,6.0,561.0,602.0,988.0,765.0,979.0,788.0,4.0,1.0,726.0,934.0,849.0,2.0,791.0,966.0,836.0,643.0,111.0,1.0,911.0,836.0,735.0,871.0,724.0
