Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,South America,Brazil,None,209223.0,208861.0,209354.0,191396.0,208618.0,203454.0,208844.0,206444.0,122939.0,92163.0,6037.0,17655.0,209039.0,211319.0,206496.0,209200.0,4733.0,206314.0,3799.0,209264.0,177668.0,211003.0,175185.0,201555.0,12454.0,207892.0,207754.0,209027.0,170922.0,202142.0,210874.0,199491.0,6395.0,208779.0,208091.0,208968.0,207805.0,130159.0,209530.0,209681.0,196054.0,210008.0,201690.0,208534.0,208291.0,204190.0,204599.0,207738.0,205820.0,16491.0,210192.0,204425.0,161403.0,207594.0,208665.0,206671.0,210912.0,204946.0,207921.0,208161.0,209527.0,208372.0,210204.0,202912.0,206052.0,199301.0,209668.0,209969.0,207922.0,208135.0,210094.0,70189.0,204177.0,203830.0,201310.0,207480.0,21241.0,201314.0,202173.0,211045.0,205999.0,210882.0,207086.0,20105.0,13733.0,205388.0,210012.0,208025.0,12937.0,207092.0,210649.0,208123.0,200438.0,48675.0,13057.0,209539.0,207811.0,205297.0,208432.0,205446.0
2020-05-16,South America,Brazil,None,219557.0,219071.0,219787.0,197440.0,218780.0,211996.0,219053.0,215856.0,123442.0,92180.0,6038.0,17656.0,219311.0,222360.0,215935.0,219527.0,4733.0,215761.0,3799.0,219610.0,182252.0,221938.0,180102.0,209570.0,12466.0,217788.0,217608.0,219350.0,174626.0,210310.0,221765.0,207420.0,6395.0,218963.0,218114.0,219217.0,217681.0,130961.0,219968.0,220169.0,203562.0,220611.0,209748.0,218635.0,218311.0,212869.0,213744.0,217574.0,215102.0,16492.0,220854.0,213265.0,164673.0,217392.0,218809.0,216152.0,221824.0,214006.0,217816.0,218135.0,219963.0,218484.0,220870.0,210990.0,215424.0,206624.0,220152.0,220583.0,217940.0,218101.0,220718.0,70461.0,212991.0,212507.0,209211.0,217235.0,21241.0,209207.0,210359.0,221993.0,215395.0,221777.0,216714.0,20105.0,13737.0,214538.0,220615.0,218025.0,12948.0,216721.0,221464.0,218086.0,208563.0,48941.0,13067.0,219983.0,217741.0,214476.0,218572.0,214604.0
2020-05-17,South America,Brazil,None,230130.0,229503.0,230476.0,203341.0,229164.0,220555.0,229484.0,225383.0,123900.0,92194.0,6039.0,17656.0,229817.0,233740.0,225500.0,230090.0,4733.0,225334.0,3799.0,230196.0,186709.0,233198.0,184971.0,217556.0,12478.0,227865.0,227637.0,229915.0,178196.0,218457.0,232975.0,215362.0,6395.0,229364.0,228340.0,229692.0,227733.0,131697.0,230658.0,230918.0,211078.0,231492.0,217779.0,228942.0,228528.0,221575.0,223001.0,227581.0,224488.0,16493.0,231799.0,222159.0,167868.0,227356.0,229165.0,225756.0,233058.0,223156.0,227891.0,228300.0,230650.0,228813.0,231821.0,219005.0,224914.0,213847.0,230896.0,231478.0,228170.0,228256.0,231623.0,70711.0,221861.0,221220.0,217061.0,227152.0,21241.0,217047.0,218529.0,233268.0,224923.0,232990.0,226486.0,20105.0,13740.0,223778.0,231495.0,228224.0,12957.0,226495.0,232587.0,228238.0,216708.0,49190.0,13076.0,230683.0,227861.0,223759.0,228933.0,223853.0
2020-05-18,South America,Brazil,None,240931.0,240147.0,241416.0,209089.0,239764.0,229114.0,240127.0,235008.0,124316.0,92205.0,6040.0,17657.0,240548.0,245456.0,235180.0,240882.0,4733.0,235019.0,3799.0,241014.0,191040.0,244778.0,189788.0,225499.0,12489.0,238112.0,237828.0,240713.0,181625.0,226570.0,244499.0,223306.0,6395.0,239973.0,238759.0,240385.0,237951.0,132372.0,241593.0,241918.0,218594.0,242643.0,225769.0,239446.0,238932.0,230288.0,232352.0,237746.0,233968.0,16494.0,243023.0,231089.0,170977.0,237473.0,239723.0,235468.0,244611.0,232380.0,238134.0,238644.0,241583.0,239347.0,243051.0,226941.0,234510.0,220951.0,241891.0,242647.0,238605.0,238590.0,242803.0,70942.0,230774.0,229954.0,224842.0,237217.0,21241.0,224818.0,226669.0,244867.0,234571.0,244518.0,236389.0,20105.0,13743.0,233094.0,242645.0,238615.0,12966.0,236403.0,244011.0,238567.0,224862.0,49425.0,13085.0,241628.0,238163.0,233133.0,239504.0,233178.0
2020-05-19,South America,Brazil,None,251954.0,250995.0,252599.0,214670.0,250569.0,237660.0,250975.0,244721.0,124692.0,92215.0,6041.0,17657.0,251496.0,257506.0,244963.0,251893.0,4733.0,244804.0,3799.0,252056.0,195246.0,256674.0,194550.0,233385.0,12498.0,248515.0,248170.0,251738.0,184906.0,234633.0,256333.0,231238.0,6395.0,250782.0,249361.0,251286.0,248325.0,132990.0,252764.0,253163.0,226103.0,254058.0,233707.0,250138.0,249511.0,238992.0,241782.0,248057.0,243526.0,16495.0,254519.0,240041.0,173993.0,247732.0,250475.0,245276.0,256477.0,241666.0,248531.0,249156.0,252752.0,250076.0,254553.0,234780.0,244198.0,227920.0,253130.0,254084.0,249237.0,249090.0,254250.0,71156.0,239717.0,238693.0,232544.0,247419.0,21241.0,232507.0,234765.0,256785.0,244325.0,256357.0,246410.0,20105.0,13745.0,242473.0,254057.0,249188.0,12974.0,246433.0,255733.0,249061.0,233012.0,49644.0,13092.0,252812.0,248635.0,242587.0,250280.0,242562.0
2020-05-20,South America,Brazil,None,263189.0,262035.0,264019.0,220081.0,261569.0,246175.0,262017.0,254506.0,125030.0,92223.0,6042.0,17657.0,262650.0,269888.0,254833.0,263116.0,4734.0,254675.0,3799.0,263312.0,199326.0,268882.0,199257.0,241199.0,12507.0,259062.0,258650.0,262981.0,188035.0,242633.0,268471.0,239150.0,6395.0,261780.0,260133.0,262386.0,258845.0,133558.0,264165.0,264645.0,233586.0,265730.0,241579.0,261004.0,260253.0,247672.0,251275.0,258500.0,253146.0,16495.0,266280.0,248998.0,176913.0,258120.0,261409.0,255167.0,268653.0,251002.0,259071.0,259821.0,264150.0,260990.0,266321.0,242512.0,253964.0,234748.0,264604.0,265781.0,260057.0,259742.0,265958.0,71352.0,248674.0,247422.0,240153.0,257745.0,21241.0,240098.0,242802.0,269017.0,254175.0,268502.0,256533.0,20106.0,13748.0,251899.0,265726.0,259929.0,12981.0,256569.0,267745.0,259707.0,241146.0,49851.0,13099.0,264227.0,259264.0,252107.0,261248.0,251991.0
2020-05-21,South America,Brazil,None,274627.0,273254.0,275665.0,225323.0,272755.0,254645.0,273240.0,264351.0,125334.0,92229.0,6043.0,17658.0,273999.0,282597.0,264779.0,274539.0,4734.0,264620.0,3799.0,274771.0,203275.0,281396.0,203908.0,248925.0,12515.0,269742.0,269257.0,274431.0,191023.0,250556.0,280907.0,247029.0,6395.0,272953.0,271063.0,273674.0,269499.0,134077.0,275785.0,276356.0,241034.0,277650.0,249370.0,272033.0,271144.0,256313.0,260820.0,269062.0,262815.0,16496.0,278299.0,257945.0,179736.0,268627.0,272512.0,265124.0,281133.0,260374.0,269738.0,270628.0,275768.0,272079.0,278347.0,250119.0,263795.0,241429.0,276306.0,277731.0,271057.0,270534.0,277918.0,71533.0,257632.0,256127.0,247656.0,268188.0,21241.0,247575.0,250764.0,281558.0,264107.0,280945.0,266748.0,20106.0,13750.0,261355.0,277642.0,270827.0,12987.0,266797.0,280042.0,270492.0,249247.0,50046.0,13105.0,275864.0,270038.0,261682.0,272399.0,261450.0
2020-05-22,South America,Brazil,None,286255.0,284642.0,287529.0,230393.0,284115.0,263057.0,284634.0,274239.0,125609.0,92234.0,6043.0,17658.0,285533.0,295627.0,274787.0,286152.0,4734.0,274624.0,3799.0,286423.0,207087.0,294211.0,208499.0,256551.0,12523.0,280542.0,279980.0,286079.0,193880.0,258387.0,293636.0,254866.0,6395.0,284291.0,282139.0,285138.0,280271.0,134552.0,287615.0,288285.0,248440.0,289811.0,257067.0,283211.0,282173.0,264899.0,270407.0,279732.0,272517.0,16496.0,290568.0,266868.0,182465.0,279239.0,283773.0,275132.0,293913.0,269768.0,280522.0,281563.0,287593.0,283331.0,290624.0,257588.0,273678.0,247950.0,288225.0,289928.0,282227.0,281454.0,290124.0,71699.0,266577.0,264793.0,255039.0,278731.0,21241.0,254923.0,258638.0,294402.0,274110.0,293681.0,277041.0,20106.0,13751.0,270830.0,289799.0,281870.0,12993.0,277102.0,292617.0,281404.0,257307.0,50228.0,13111.0,287714.0,280945.0,271298.0,283721.0,270923.0
2020-05-23,South America,Brazil,None,298062.0,296187.0,299600.0,235284.0,295640.0,271397.0,296186.0,284155.0,125858.0,92239.0,6044.0,17658.0,297242.0,308972.0,284844.0,297942.0,4734.0,284672.0,3799.0,298256.0,210756.0,307320.0,213022.0,264068.0,12530.0,291451.0,290804.0,297914.0,196609.0,266111.0,306651.0,262650.0,6395.0,295782.0,293350.0,296766.0,291149.0,134984.0,299642.0,300421.0,255797.0,302205.0,264655.0,294528.0,293327.0,273416.0,280028.0,290496.0,282238.0,16496.0,303078.0,275753.0,185105.0,289940.0,295178.0,285178.0,306986.0,279171.0,291411.0,292616.0,299616.0,294737.0,303143.0,264912.0,283598.0,254301.0,300352.0,302360.0,293556.0,292489.0,302568.0,71853.0,275496.0,273408.0,262282.0,289362.0,21241.0,262133.0,266410.0,307543.0,284172.0,306705.0,287398.0,20106.0,13753.0,280307.0,302187.0,293046.0,12999.0,287473.0,305463.0,292432.0,265320.0,50397.0,13116.0,299765.0,291974.0,280942.0,295204.0,280398.0
2020-05-24,South America,Brazil,None,310037.0,307877.0,311867.0,239983.0,307319.0,279652.0,307884.0,294086.0,126080.0,92242.0,6044.0,17658.0,309116.0,322626.0,294939.0,309898.0,4734.0,294750.0,3799.0,310258.0,214274.0,320717.0,217473.0,271466.0,12536.0,302454.0,301716.0,309923.0,199208.0,273717.0,319945.0,270372.0,6395.0,307412.0,304682.0,308547.0,302120.0,135377.0,311857.0,312754.0,263097.0,314821.0,272126.0,305970.0,304595.0,281852.0,289677.0,301340.0,291965.0,16497.0,315819.0,284584.0,187667.0,300718.0,306716.0,295246.0,320344.0,288573.0,302389.0,303772.0,311826.0,306283.0,315893.0,272079.0,293542.0,260473.0,312674.0,315018.0,305036.0,303627.0,315239.0,71993.0,284377.0,281959.0,269377.0,300065.0,21241.0,269198.0,274074.0,320975.0,294280.0,320008.0,297804.0,20106.0,13755.0,289774.0,314795.0,304344.0,13003.0,297896.0,318572.0,303562.0,273277.0,50556.0,13120.0,312006.0,303113.0,290603.0,306835.0,289860.0
