Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,South America,Brazil,None,14612.0,14593.0,14612.0,13977.0,14602.0,14315.0,14592.0,14475.0,10869.0,8914.0,1508.0,4360.0,14603.0,14715.0,14479.0,14611.0,1183.0,14460.0,950.0,14613.0,14203.0,14702.0,13707.0,14216.0,3105.0,14547.0,14541.0,14595.0,13884.0,14248.0,14695.0,14201.0,1598.0,14589.0,14547.0,14599.0,14541.0,11328.0,14627.0,14635.0,14299.0,14653.0,14223.0,14577.0,14565.0,14365.0,15456.0,14541.0,14434.0,4085.0,14661.0,14365.0,13002.0,14532.0,14583.0,14486.0,14697.0,14387.0,14549.0,14560.0,14626.0,14565.0,14662.0,14336.0,14446.0,14101.0,14635.0,14647.0,14535.0,14559.0,14658.0,10057.0,14349.0,14333.0,14207.0,14528.0,5161.0,14208.0,14249.0,14703.0,14440.0,14694.0,14508.0,4916.0,3415.0,14412.0,14653.0,14544.0,3222.0,14505.0,14685.0,14559.0,14226.0,9502.0,3251.0,14628.0,14534.0,14405.0,14564.0,14417.0
2020-05-16,South America,Brazil,None,15367.0,15343.0,15372.0,14521.0,15353.0,14962.0,15341.0,15175.0,11063.0,8988.0,1509.0,4365.0,15356.0,15514.0,15181.0,15365.0,1183.0,15160.0,950.0,15370.0,14825.0,15494.0,14283.0,14828.0,3109.0,15277.0,15266.0,15349.0,14442.0,14870.0,15485.0,14829.0,1598.0,15336.0,15285.0,15349.0,15268.0,11564.0,15388.0,15399.0,14954.0,15424.0,14837.0,15320.0,15304.0,15021.0,16369.0,15266.0,15126.0,4089.0,15435.0,15030.0,13457.0,15255.0,15329.0,15190.0,15487.0,15062.0,15279.0,15296.0,15388.0,15306.0,15437.0,14957.0,15142.0,14670.0,15399.0,15418.0,15269.0,15294.0,15431.0,10206.0,15010.0,14987.0,14813.0,15248.0,5171.0,14814.0,14872.0,15497.0,15138.0,15486.0,15221.0,4924.0,3417.0,15096.0,15424.0,15280.0,3226.0,15220.0,15469.0,15293.0,14861.0,9647.0,3254.0,15389.0,15266.0,15088.0,15307.0,15102.0
2020-05-17,South America,Brazil,None,16143.0,16111.0,16154.0,15059.0,16121.0,15612.0,16109.0,15886.0,11250.0,9058.0,1509.0,4369.0,16128.0,16339.0,15896.0,16140.0,1183.0,15873.0,950.0,16147.0,15449.0,16310.0,14864.0,15440.0,3113.0,16021.0,16007.0,16124.0,14998.0,15493.0,16298.0,15461.0,1598.0,16103.0,16039.0,16119.0,16012.0,11792.0,16171.0,16185.0,15615.0,16216.0,15453.0,16081.0,16059.0,15681.0,17311.0,16006.0,15829.0,4092.0,16232.0,15702.0,13911.0,15992.0,16092.0,15907.0,16300.0,15748.0,16024.0,16046.0,16171.0,16064.0,16234.0,15577.0,15849.0,15234.0,16184.0,16211.0,16022.0,16044.0,16225.0,10350.0,15678.0,15646.0,15418.0,15982.0,5181.0,15418.0,15496.0,16315.0,15846.0,16300.0,15946.0,4932.0,3420.0,15790.0,16216.0,16033.0,3229.0,15947.0,16276.0,16042.0,15500.0,9787.0,3258.0,16172.0,16014.0,15780.0,16070.0,15795.0
2020-05-18,South America,Brazil,None,16938.0,16896.0,16958.0,15589.0,16906.0,16266.0,16894.0,16608.0,11431.0,9124.0,1509.0,4373.0,16918.0,17192.0,16620.0,16935.0,1183.0,16597.0,950.0,16944.0,16074.0,17151.0,15451.0,16052.0,3116.0,16779.0,16763.0,16919.0,15553.0,16116.0,17136.0,16096.0,1598.0,16886.0,16808.0,16908.0,16771.0,12014.0,16975.0,16993.0,16282.0,17031.0,16067.0,16857.0,16828.0,16344.0,18281.0,16760.0,16540.0,4095.0,17053.0,16377.0,14364.0,16744.0,16873.0,16635.0,17140.0,16442.0,16782.0,16811.0,16975.0,16840.0,17054.0,16195.0,16567.0,15791.0,16990.0,17028.0,16793.0,16808.0,17041.0,10490.0,16352.0,16309.0,16021.0,16731.0,5190.0,16020.0,16120.0,17157.0,16564.0,17138.0,16683.0,4939.0,3422.0,16490.0,17032.0,16801.0,3232.0,16686.0,17108.0,16806.0,16144.0,9922.0,3261.0,16976.0,16775.0,16483.0,16850.0,16495.0
2020-05-19,South America,Brazil,None,17752.0,17696.0,17781.0,16110.0,17707.0,16919.0,17696.0,17339.0,11605.0,9188.0,1510.0,4377.0,17724.0,18069.0,17352.0,17749.0,1183.0,17332.0,950.0,17758.0,16700.0,18018.0,16043.0,16661.0,3119.0,17552.0,17533.0,17732.0,16104.0,16738.0,17998.0,16734.0,1598.0,17685.0,17592.0,17714.0,17543.0,12229.0,17798.0,17821.0,16953.0,17869.0,16680.0,17647.0,17611.0,17009.0,19279.0,17528.0,17258.0,4098.0,17897.0,17056.0,14816.0,17509.0,17667.0,17372.0,18006.0,17143.0,17554.0,17590.0,17798.0,17633.0,17898.0,16808.0,17295.0,16341.0,17818.0,17868.0,17580.0,17586.0,17881.0,10624.0,17030.0,16976.0,16619.0,17492.0,5199.0,16618.0,16744.0,18024.0,17294.0,18000.0,17433.0,4946.0,3424.0,17196.0,17869.0,17583.0,3235.0,17435.0,17964.0,17584.0,16789.0,10054.0,3264.0,17800.0,17550.0,17194.0,17645.0,17202.0
2020-05-20,South America,Brazil,None,18582.0,18513.0,18622.0,16621.0,18526.0,17573.0,18512.0,18077.0,11773.0,9248.0,1510.0,4381.0,18548.0,18971.0,18093.0,18578.0,1183.0,18075.0,950.0,18588.0,17326.0,18911.0,16640.0,17268.0,3122.0,18339.0,18316.0,18561.0,16651.0,17358.0,18886.0,17373.0,1598.0,18498.0,18391.0,18535.0,18327.0,12437.0,18639.0,18667.0,17628.0,18728.0,17290.0,18453.0,18409.0,17676.0,20303.0,18308.0,17983.0,4101.0,18762.0,17739.0,15265.0,18287.0,18477.0,18115.0,18897.0,17850.0,18341.0,18384.0,18637.0,18443.0,18764.0,17415.0,18031.0,16883.0,18665.0,18728.0,18380.0,18379.0,18742.0,10754.0,17713.0,17644.0,17213.0,18266.0,5206.0,17211.0,17366.0,18917.0,18034.0,18887.0,18193.0,4952.0,3426.0,17909.0,18728.0,18379.0,3238.0,18194.0,18845.0,18378.0,17436.0,10181.0,3266.0,18642.0,18340.0,17913.0,18456.0,17916.0
2020-05-21,South America,Brazil,None,19428.0,19345.0,19480.0,17121.0,19361.0,18225.0,19344.0,18820.0,11934.0,9306.0,1510.0,4384.0,19389.0,19897.0,18843.0,19423.0,1183.0,18824.0,950.0,19435.0,17951.0,19829.0,17240.0,17869.0,3124.0,19139.0,19111.0,19407.0,17194.0,17973.0,19799.0,18012.0,1598.0,19328.0,19204.0,19371.0,19122.0,12638.0,19497.0,19531.0,18306.0,19608.0,17896.0,19273.0,19221.0,18342.0,21354.0,19101.0,18715.0,4103.0,19647.0,18424.0,15711.0,19074.0,19302.0,18866.0,19812.0,18560.0,19139.0,19191.0,19495.0,19268.0,19650.0,18014.0,18773.0,17414.0,19529.0,19608.0,19195.0,19186.0,19624.0,10879.0,18397.0,18312.0,17800.0,19048.0,5214.0,17798.0,17985.0,19836.0,18783.0,19799.0,18963.0,4958.0,3427.0,18626.0,19608.0,19190.0,3240.0,18962.0,19749.0,19184.0,18084.0,10304.0,3269.0,19502.0,19144.0,18638.0,19282.0,18635.0
2020-05-22,South America,Brazil,None,20290.0,20194.0,20356.0,17608.0,20213.0,18876.0,20192.0,19569.0,12090.0,9361.0,1510.0,4386.0,20247.0,20850.0,19601.0,20284.0,1183.0,19579.0,950.0,20300.0,18573.0,20770.0,17843.0,18466.0,3126.0,19949.0,19914.0,20269.0,17731.0,18584.0,20735.0,18650.0,1598.0,20172.0,20032.0,20223.0,19929.0,12832.0,20371.0,20412.0,18986.0,20505.0,18497.0,20108.0,20046.0,19006.0,22430.0,19902.0,19452.0,4105.0,20550.0,19110.0,16155.0,19869.0,20142.0,19623.0,20750.0,19274.0,19950.0,20011.0,20370.0,20107.0,20554.0,18605.0,19520.0,17934.0,20409.0,20506.0,20025.0,20005.0,20525.0,11000.0,19082.0,18978.0,18381.0,19839.0,5220.0,18377.0,18598.0,20779.0,19538.0,20736.0,19739.0,4963.0,3429.0,19349.0,20505.0,20015.0,3242.0,19740.0,20674.0,20003.0,18731.0,10423.0,3271.0,20378.0,19961.0,19366.0,20124.0,19358.0
2020-05-23,South America,Brazil,None,21169.0,21057.0,21251.0,18083.0,21080.0,19524.0,21055.0,20323.0,12239.0,9413.0,1511.0,4389.0,21120.0,21830.0,20365.0,21161.0,1183.0,20340.0,950.0,21181.0,19192.0,21732.0,18448.0,19056.0,3128.0,20768.0,20727.0,21149.0,18262.0,19189.0,21692.0,19287.0,1598.0,21032.0,20872.0,21090.0,20746.0,13019.0,21264.0,21311.0,19667.0,21420.0,19092.0,20957.0,20884.0,19666.0,23530.0,20712.0,20193.0,4107.0,21473.0,19795.0,16595.0,20674.0,20995.0,20386.0,21709.0,19990.0,20768.0,20842.0,21263.0,20957.0,21477.0,19187.0,20272.0,18443.0,21308.0,21424.0,20869.0,20834.0,21444.0,11116.0,19766.0,19644.0,18953.0,20639.0,5227.0,18947.0,19206.0,21746.0,20298.0,21696.0,20521.0,4968.0,3430.0,20073.0,21419.0,20853.0,3244.0,20525.0,21619.0,20830.0,19377.0,10539.0,3273.0,21271.0,20789.0,20098.0,20982.0,20082.0
2020-05-24,South America,Brazil,None,22063.0,21933.0,22164.0,18545.0,21960.0,20167.0,21932.0,21081.0,12382.0,9462.0,1511.0,4391.0,22007.0,22835.0,21133.0,22054.0,1183.0,21106.0,950.0,22078.0,19808.0,22716.0,19055.0,19638.0,3130.0,21595.0,21549.0,22045.0,18786.0,19787.0,22670.0,19922.0,1598.0,21904.0,21723.0,21972.0,21573.0,13200.0,22174.0,22229.0,20347.0,22354.0,19679.0,21816.0,21731.0,20323.0,24653.0,21529.0,20937.0,4109.0,22416.0,20477.0,17031.0,21488.0,21861.0,21154.0,22691.0,20709.0,21594.0,21680.0,22173.0,21819.0,22421.0,19758.0,21029.0,18941.0,22224.0,22361.0,21728.0,21671.0,22381.0,11228.0,20450.0,20306.0,19517.0,21448.0,5233.0,19508.0,19808.0,22734.0,21063.0,22675.0,21309.0,4972.0,3431.0,20799.0,22353.0,21702.0,3246.0,21316.0,22585.0,21666.0,20020.0,10650.0,3274.0,22182.0,21625.0,20833.0,21853.0,20806.0
