Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-11,0.0,157.0,,,0.0,0.0,0.0,0.0
2020-03-12,0.0,202.0,0.0,45.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,252.0,0.0,50.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,293.0,0.0,41.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,335.0,0.0,42.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,483.0,0.0,148.0,0.0,0.0,0.0,0.0
2020-03-18,13.0,611.0,13.0,128.0,0.0,0.0,0.0,0.0
2020-03-19,18.0,924.0,5.0,313.0,0.0,0.0,0.0,0.0
2020-03-20,20.0,1063.0,2.0,139.0,0.0,0.0,0.0,0.0
2020-03-21,24.0,1279.0,4.0,216.0,0.0,0.0,0.0,0.0
2020-03-22,27.0,1536.0,3.0,257.0,0.0,0.0,0.0,0.0
2020-03-23,27.0,1733.0,0.0,197.0,0.0,0.0,0.0,0.0
2020-03-24,40.0,2102.0,13.0,369.0,0.0,0.0,0.0,0.0
2020-03-25,53.0,2355.0,13.0,253.0,0.0,0.0,0.0,0.0
2020-03-26,65.0,3006.0,12.0,651.0,0.0,0.0,0.0,0.0
2020-03-27,78.0,3879.0,13.0,873.0,0.0,0.0,0.0,0.0
2020-03-28,101.0,4643.0,23.0,764.0,0.0,0.0,0.0,0.0
2020-03-29,123.0,5708.0,22.0,1065.0,0.0,0.0,0.0,0.0
2020-03-30,133.0,6447.0,10.0,739.0,0.0,0.0,0.0,0.0
2020-03-31,153.0,7482.0,20.0,1035.0,0.0,0.0,0.0,0.0
2020-04-01,171.0,8155.0,18.0,673.0,0.0,0.0,0.0,0.0
2020-04-02,203.0,9191.0,32.0,1036.0,0.0,0.0,0.0,0.0
2020-04-03,237.0,10701.0,34.0,1510.0,0.0,0.0,0.0,0.0
2020-04-04,276.0,12026.0,39.0,1325.0,0.0,0.0,0.0,0.0
2020-04-05,319.0,13438.0,43.0,1412.0,0.0,0.0,0.0,0.0
2020-04-06,343.0,14336.0,24.0,898.0,0.0,0.0,0.0,0.0
2020-04-07,374.0,15865.0,31.0,1529.0,0.0,0.0,0.0,0.0
2020-04-08,442.0,16957.0,68.0,1092.0,0.0,0.0,0.0,0.0
2020-04-09,492.0,18309.0,50.0,1352.0,0.0,0.0,0.0,0.0
2020-04-10,541.0,19472.0,49.0,1163.0,0.0,0.0,0.0,0.0
2020-04-11,609.0,20615.0,68.0,1143.0,0.0,0.0,0.0,0.0
2020-04-12,651.0,21794.0,42.0,1179.0,0.0,0.0,0.0,0.0
2020-04-13,687.0,22348.0,36.0,554.0,0.0,0.0,0.0,0.0
2020-04-14,758.0,23338.0,71.0,990.0,0.0,0.0,0.0,0.0
2020-04-15,821.0,24424.0,63.0,1086.0,0.0,0.0,0.0,0.0
2020-04-16,890.0,26182.0,69.0,1758.0,0.0,0.0,0.0,0.0
2020-04-17,985.0,27528.0,95.0,1346.0,0.0,0.0,0.0,0.0
2020-04-18,1072.0,28963.0,87.0,1435.0,0.0,0.0,0.0,0.0
2020-04-19,1166.0,30333.0,94.0,1370.0,0.0,0.0,0.0,0.0
2020-04-20,1208.0,30978.0,42.0,645.0,0.0,0.0,0.0,0.0
2020-04-21,1268.0,33261.0,60.0,2283.0,0.0,0.0,0.0,0.0
2020-04-22,1354.0,35396.0,86.0,2135.0,0.0,0.0,0.0,0.0
2020-04-23,1469.0,37369.0,115.0,1973.0,0.0,0.0,0.0,0.0
2020-04-24,1562.0,39254.0,93.0,1885.0,0.0,0.0,0.0,0.0
2020-04-25,1651.0,41137.0,89.0,1883.0,0.0,0.0,0.0,0.0
2020-04-26,1710.0,42164.0,59.0,1027.0,0.0,0.0,0.0,0.0
2020-04-27,1755.0,43464.0,45.0,1300.0,0.0,0.0,0.0,0.0
2020-04-28,1809.0,45031.0,54.0,1567.0,0.0,0.0,0.0,0.0
2020-04-29,1887.0,46500.0,78.0,1469.0,0.0,0.0,0.0,0.0
2020-04-30,1982.0,48917.0,95.0,2417.0,0.0,0.0,0.0,0.0
2020-05-01,2073.0,50442.0,91.0,1525.0,0.0,0.0,0.0,0.0
2020-05-02,2171.0,52197.0,98.0,1755.0,0.0,0.0,0.0,0.0
2020-05-03,2215.0,53616.0,44.0,1419.0,0.0,0.0,0.0,0.0
2020-05-04,2254.0,54937.0,39.0,1321.0,0.0,0.0,0.0,0.0
2020-05-05,2317.0,56212.0,63.0,1275.0,0.0,0.0,0.0,0.0
2020-05-06,2412.0,58815.0,95.0,2603.0,0.0,0.0,0.0,0.0
2020-05-07,2504.0,60614.0,92.0,1799.0,0.0,0.0,0.0,0.0
2020-05-08,2585.0,62512.0,81.0,1898.0,0.0,0.0,0.0,0.0
2020-05-09,2678.0,64561.0,93.0,2049.0,0.0,0.0,0.0,0.0
2020-05-10,2745.0,66680.0,67.0,2119.0,0.0,0.0,0.0,0.0
2020-05-11,2770.0,67939.0,25.0,1259.0,0.0,0.0,0.0,0.0
2020-05-12,2847.0,69382.0,77.0,1443.0,0.0,0.0,0.0,0.0
2020-05-13,2934.0,71141.0,87.0,1759.0,0.0,0.0,0.0,0.0
2020-05-14,3032.0,73164.0,98.0,2023.0,0.0,0.0,0.0,0.0
2020-05-15,3108.0,74936.0,76.0,1772.0,0.0,0.0,0.0,0.0
2020-05-16,3042.3939393939395,66265.15151515152,,,31.52976483485832,31.371723054593147,44.36631621881833,44.36631621881833
2020-05-17,3106.181818181818,67470.70707070707,63.787878787878526,1205.5555555555475,31.720182603370965,31.561186439923496,44.63425790792563,44.63425790792563
2020-05-18,3169.030303030303,68654.47474747474,62.848484848484986,1183.7676767676749,31.90653005377648,31.74659990971611,44.896472151553,44.896472151553
2020-05-19,3230.909090909091,69815.95959595959,61.87878787878799,1161.484848484848,32.08883133405679,31.927987491433186,45.15299292966335,45.15299292966335
2020-05-20,3291.6969696969695,70954.74747474748,60.787878787878526,1138.7878787878872,32.26711430427937,32.105376905944595,45.40385944548681,45.40385944548681
