Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-12,North America,US,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,North America,US,California,846.0,1476.0,1063.0,678.0,1429.0,877.0,1252.0,346.0,1278.0,1315.0,1041.0,1475.0,1433.0,1323.0,441.0,1331.0,117.0,1182.0,634.0,1554.0,785.0,594.0,1453.0,1296.0,852.0,1427.0,1340.0,1442.0,1551.0,1457.0,1233.0,1271.0,681.0,953.0,838.0,1293.0,1424.0,1379.0,876.0,1354.0,1403.0,1396.0,1437.0,459.0,1205.0,1548.0,105.0,1226.0,1344.0,1146.0,1344.0,1259.0,1148.0,381.0,1150.0,971.0,472.0,1411.0,1525.0,1242.0,261.0,1163.0,1155.0,1381.0,1267.0,1229.0,1154.0,1216.0,173.0,810.0,1296.0,1382.0,1544.0,439.0,1292.0,845.0,1485.0,1019.0,1513.0,1447.0,1548.0,1553.0,789.0,1205.0,1320.0,212.0,1464.0,1269.0,1289.0,1001.0,1051.0,1277.0,1255.0,1188.0,1412.0,1328.0,1176.0,1433.0,1292.0,1501.0
2020-05-14,North America,US,California,808.0,1449.0,1020.0,638.0,1398.0,831.0,1217.0,320.0,1242.0,1282.0,999.0,1448.0,1402.0,1288.0,415.0,1299.0,109.0,1144.0,595.0,1534.0,756.0,564.0,1425.0,1262.0,818.0,1396.0,1302.0,1413.0,1530.0,1426.0,1195.0,1234.0,644.0,908.0,793.0,1258.0,1394.0,1348.0,838.0,1317.0,1371.0,1362.0,1405.0,433.0,1164.0,1525.0,97.0,1187.0,1306.0,1107.0,1306.0,1224.0,1106.0,347.0,1111.0,922.0,450.0,1381.0,1502.0,1203.0,243.0,1123.0,1113.0,1351.0,1232.0,1190.0,1115.0,1173.0,156.0,782.0,1260.0,1349.0,1518.0,406.0,1254.0,800.0,1456.0,971.0,1490.0,1419.0,1524.0,1532.0,742.0,1164.0,1288.0,194.0,1438.0,1233.0,1254.0,956.0,1007.0,1242.0,1218.0,1149.0,1381.0,1294.0,1137.0,1407.0,1259.0,1478.0
2020-05-15,North America,US,California,778.0,1422.0,977.0,600.0,1367.0,788.0,1180.0,297.0,1206.0,1248.0,960.0,1421.0,1370.0,1255.0,388.0,1266.0,99.0,1106.0,558.0,1511.0,727.0,534.0,1398.0,1228.0,785.0,1366.0,1268.0,1384.0,1507.0,1395.0,1155.0,1198.0,605.0,862.0,748.0,1223.0,1363.0,1312.0,797.0,1285.0,1335.0,1327.0,1372.0,408.0,1123.0,1500.0,90.0,1146.0,1272.0,1070.0,1270.0,1187.0,1066.0,314.0,1067.0,877.0,424.0,1352.0,1478.0,1165.0,225.0,1083.0,1073.0,1317.0,1194.0,1151.0,1075.0,1131.0,140.0,751.0,1225.0,1318.0,1492.0,378.0,1216.0,755.0,1429.0,923.0,1466.0,1390.0,1498.0,1511.0,695.0,1120.0,1256.0,179.0,1411.0,1199.0,1219.0,912.0,965.0,1203.0,1177.0,1110.0,1351.0,1260.0,1097.0,1378.0,1225.0,1451.0
2020-05-16,North America,US,California,744.0,1391.0,934.0,566.0,1333.0,749.0,1141.0,277.0,1170.0,1214.0,919.0,1393.0,1335.0,1222.0,364.0,1231.0,89.0,1066.0,527.0,1488.0,698.0,506.0,1368.0,1192.0,754.0,1334.0,1233.0,1351.0,1484.0,1365.0,1113.0,1161.0,570.0,818.0,701.0,1188.0,1331.0,1277.0,754.0,1252.0,1299.0,1292.0,1341.0,383.0,1084.0,1476.0,84.0,1103.0,1238.0,1029.0,1233.0,1148.0,1027.0,284.0,1024.0,831.0,400.0,1322.0,1453.0,1122.0,208.0,1042.0,1031.0,1282.0,1156.0,1108.0,1034.0,1091.0,125.0,722.0,1192.0,1286.0,1467.0,350.0,1179.0,711.0,1401.0,878.0,1442.0,1358.0,1472.0,1488.0,651.0,1079.0,1222.0,166.0,1383.0,1163.0,1183.0,866.0,923.0,1165.0,1135.0,1071.0,1317.0,1224.0,1055.0,1347.0,1189.0,1422.0
2020-05-17,North America,US,California,708.0,1361.0,888.0,536.0,1301.0,716.0,1100.0,257.0,1134.0,1178.0,877.0,1363.0,1303.0,1188.0,343.0,1194.0,82.0,1024.0,493.0,1462.0,672.0,479.0,1337.0,1153.0,726.0,1301.0,1200.0,1319.0,1459.0,1334.0,1073.0,1123.0,537.0,773.0,659.0,1152.0,1298.0,1243.0,714.0,1220.0,1262.0,1260.0,1309.0,361.0,1046.0,1452.0,78.0,1064.0,1206.0,987.0,1200.0,1107.0,987.0,258.0,983.0,786.0,376.0,1288.0,1427.0,1080.0,193.0,1000.0,988.0,1245.0,1115.0,1067.0,989.0,1052.0,111.0,693.0,1155.0,1254.0,1441.0,322.0,1144.0,671.0,1372.0,836.0,1418.0,1324.0,1444.0,1466.0,615.0,1038.0,1186.0,152.0,1352.0,1124.0,1145.0,820.0,878.0,1128.0,1097.0,1030.0,1283.0,1186.0,1011.0,1315.0,1152.0,1392.0
2020-05-18,North America,US,California,671.0,1328.0,844.0,506.0,1270.0,677.0,1063.0,237.0,1094.0,1140.0,829.0,1332.0,1271.0,1153.0,323.0,1156.0,75.0,985.0,460.0,1437.0,648.0,455.0,1305.0,1116.0,699.0,1265.0,1167.0,1287.0,1433.0,1302.0,1035.0,1082.0,509.0,727.0,620.0,1113.0,1264.0,1211.0,674.0,1188.0,1228.0,1227.0,1278.0,341.0,1007.0,1428.0,72.0,1026.0,1171.0,939.0,1165.0,1069.0,944.0,232.0,944.0,738.0,355.0,1253.0,1400.0,1042.0,179.0,956.0,943.0,1212.0,1079.0,1028.0,948.0,1012.0,100.0,665.0,1116.0,1222.0,1415.0,297.0,1108.0,633.0,1341.0,796.0,1394.0,1290.0,1419.0,1441.0,579.0,1000.0,1149.0,140.0,1320.0,1084.0,1105.0,775.0,834.0,1093.0,1058.0,988.0,1248.0,1147.0,970.0,1281.0,1113.0,1362.0
2020-05-19,North America,US,California,636.0,1293.0,805.0,474.0,1239.0,638.0,1027.0,218.0,1053.0,1103.0,787.0,1300.0,1239.0,1116.0,301.0,1118.0,67.0,946.0,426.0,1408.0,622.0,433.0,1271.0,1080.0,668.0,1229.0,1131.0,1257.0,1404.0,1271.0,997.0,1042.0,478.0,686.0,584.0,1073.0,1228.0,1179.0,640.0,1153.0,1194.0,1193.0,1246.0,321.0,968.0,1404.0,67.0,988.0,1136.0,898.0,1131.0,1031.0,902.0,208.0,905.0,696.0,335.0,1218.0,1369.0,1005.0,166.0,916.0,900.0,1182.0,1042.0,989.0,910.0,972.0,89.0,640.0,1077.0,1188.0,1388.0,272.0,1072.0,597.0,1310.0,756.0,1368.0,1259.0,1392.0,1415.0,541.0,960.0,1111.0,127.0,1288.0,1046.0,1067.0,735.0,793.0,1058.0,1021.0,947.0,1215.0,1110.0,931.0,1249.0,1077.0,1333.0
2020-05-20,North America,US,California,604.0,1260.0,767.0,443.0,1208.0,599.0,990.0,201.0,1015.0,1068.0,749.0,1267.0,1209.0,1078.0,282.0,1082.0,62.0,910.0,397.0,1382.0,595.0,409.0,1239.0,1045.0,639.0,1195.0,1093.0,1227.0,1375.0,1238.0,959.0,1004.0,448.0,647.0,548.0,1036.0,1192.0,1146.0,609.0,1116.0,1159.0,1159.0,1212.0,302.0,927.0,1378.0,62.0,950.0,1098.0,861.0,1094.0,994.0,864.0,186.0,866.0,656.0,315.0,1185.0,1338.0,966.0,153.0,876.0,860.0,1150.0,1006.0,952.0,872.0,930.0,79.0,615.0,1041.0,1152.0,1360.0,252.0,1035.0,560.0,1276.0,714.0,1340.0,1227.0,1365.0,1386.0,505.0,922.0,1076.0,117.0,1258.0,1009.0,1031.0,695.0,756.0,1021.0,983.0,907.0,1182.0,1074.0,892.0,1217.0,1041.0,1305.0
2020-05-21,North America,US,California,577.0,1228.0,730.0,416.0,1177.0,565.0,954.0,187.0,978.0,1033.0,714.0,1236.0,1175.0,1044.0,263.0,1048.0,56.0,871.0,372.0,1354.0,569.0,386.0,1210.0,1010.0,610.0,1160.0,1054.0,1196.0,1347.0,1202.0,919.0,967.0,419.0,611.0,510.0,999.0,1158.0,1113.0,574.0,1080.0,1124.0,1122.0,1177.0,282.0,888.0,1351.0,57.0,911.0,1060.0,826.0,1055.0,958.0,827.0,168.0,825.0,617.0,296.0,1152.0,1308.0,928.0,140.0,840.0,823.0,1118.0,971.0,913.0,836.0,889.0,71.0,588.0,1004.0,1114.0,1331.0,231.0,996.0,522.0,1242.0,670.0,1311.0,1197.0,1337.0,1357.0,473.0,880.0,1044.0,107.0,1228.0,974.0,996.0,658.0,719.0,984.0,944.0,871.0,1150.0,1039.0,853.0,1186.0,1007.0,1277.0
