Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-14,North America,US,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,North America,US,California,1123.0,1195.0,1406.0,1019.0,1099.0,1470.0,1340.0,322.0,1010.0,1367.0,1341.0,1031.0,1520.0,972.0,1258.0,1330.0,1320.0,1301.0,1081.0,1474.0,957.0,838.0,1031.0,1548.0,1333.0,897.0,1276.0,1386.0,1401.0,1388.0,1190.0,873.0,1186.0,1560.0,1446.0,1238.0,1259.0,32.0,1334.0,729.0,1087.0,1204.0,1386.0,1298.0,1094.0,1145.0,1328.0,1392.0,1110.0,1315.0,1266.0,1265.0,344.0,1010.0,1519.0,1349.0,1291.0,859.0,169.0,1093.0,1441.0,1428.0,702.0,23.0,1258.0,1221.0,1282.0,339.0,1358.0,1066.0,1296.0,588.0,1104.0,592.0,1177.0,1425.0,1279.0,1551.0,1496.0,165.0,1220.0,1089.0,1176.0,1427.0,1069.0,1108.0,1468.0,1427.0,1208.0,962.0,1130.0,1519.0,1377.0,1512.0,1436.0,1270.0,1189.0,1344.0,1235.0,1474.0
2020-05-16,North America,US,California,1075.0,1153.0,1373.0,972.0,1052.0,1441.0,1309.0,302.0,963.0,1331.0,1304.0,985.0,1496.0,925.0,1220.0,1295.0,1287.0,1266.0,1037.0,1447.0,920.0,800.0,997.0,1525.0,1302.0,852.0,1240.0,1353.0,1368.0,1354.0,1150.0,826.0,1147.0,1538.0,1417.0,1198.0,1223.0,28.0,1302.0,697.0,1056.0,1164.0,1357.0,1260.0,1049.0,1098.0,1293.0,1359.0,1063.0,1281.0,1228.0,1227.0,320.0,966.0,1494.0,1316.0,1257.0,817.0,153.0,1048.0,1412.0,1399.0,661.0,22.0,1224.0,1179.0,1244.0,321.0,1327.0,1027.0,1261.0,547.0,1062.0,562.0,1136.0,1392.0,1243.0,1528.0,1468.0,150.0,1182.0,1043.0,1132.0,1395.0,1021.0,1067.0,1437.0,1398.0,1166.0,912.0,1083.0,1491.0,1342.0,1486.0,1405.0,1233.0,1150.0,1310.0,1195.0,1448.0
2020-05-17,North America,US,California,1028.0,1114.0,1338.0,925.0,1009.0,1413.0,1277.0,282.0,921.0,1295.0,1269.0,942.0,1470.0,881.0,1182.0,1261.0,1255.0,1229.0,993.0,1419.0,878.0,764.0,959.0,1500.0,1268.0,803.0,1202.0,1318.0,1334.0,1317.0,1111.0,782.0,1107.0,1515.0,1389.0,1155.0,1184.0,24.0,1271.0,665.0,1020.0,1127.0,1328.0,1223.0,1006.0,1054.0,1259.0,1324.0,1016.0,1246.0,1187.0,1188.0,296.0,925.0,1468.0,1281.0,1220.0,776.0,138.0,1006.0,1385.0,1367.0,618.0,20.0,1190.0,1138.0,1205.0,301.0,1296.0,991.0,1224.0,506.0,1015.0,531.0,1097.0,1359.0,1206.0,1503.0,1438.0,138.0,1144.0,993.0,1090.0,1365.0,977.0,1024.0,1408.0,1369.0,1125.0,864.0,1037.0,1466.0,1310.0,1458.0,1377.0,1193.0,1110.0,1275.0,1152.0,1421.0
2020-05-18,North America,US,California,987.0,1074.0,1307.0,879.0,968.0,1384.0,1242.0,263.0,878.0,1259.0,1235.0,896.0,1442.0,835.0,1142.0,1227.0,1223.0,1188.0,948.0,1391.0,836.0,732.0,918.0,1476.0,1234.0,755.0,1162.0,1285.0,1301.0,1281.0,1068.0,741.0,1066.0,1490.0,1358.0,1114.0,1143.0,22.0,1236.0,631.0,982.0,1087.0,1298.0,1181.0,963.0,1011.0,1223.0,1288.0,971.0,1209.0,1147.0,1146.0,275.0,884.0,1440.0,1246.0,1180.0,738.0,125.0,966.0,1357.0,1336.0,577.0,18.0,1152.0,1099.0,1168.0,281.0,1263.0,959.0,1187.0,471.0,971.0,498.0,1056.0,1326.0,1165.0,1478.0,1408.0,126.0,1106.0,945.0,1050.0,1334.0,935.0,980.0,1380.0,1340.0,1085.0,817.0,996.0,1438.0,1278.0,1428.0,1346.0,1152.0,1070.0,1238.0,1111.0,1392.0
2020-05-19,North America,US,California,950.0,1032.0,1273.0,831.0,928.0,1353.0,1205.0,245.0,835.0,1225.0,1201.0,849.0,1413.0,787.0,1101.0,1191.0,1189.0,1150.0,904.0,1362.0,795.0,702.0,879.0,1451.0,1197.0,712.0,1122.0,1253.0,1269.0,1245.0,1027.0,700.0,1024.0,1463.0,1327.0,1075.0,1103.0,20.0,1199.0,600.0,946.0,1048.0,1267.0,1140.0,919.0,968.0,1187.0,1254.0,928.0,1171.0,1108.0,1106.0,255.0,849.0,1411.0,1214.0,1142.0,707.0,113.0,924.0,1327.0,1302.0,538.0,18.0,1114.0,1061.0,1132.0,263.0,1229.0,923.0,1147.0,437.0,929.0,468.0,1013.0,1295.0,1126.0,1454.0,1379.0,113.0,1065.0,902.0,1008.0,1302.0,894.0,937.0,1350.0,1309.0,1045.0,768.0,957.0,1410.0,1245.0,1398.0,1316.0,1110.0,1027.0,1201.0,1071.0,1363.0
2020-05-20,North America,US,California,910.0,990.0,1241.0,788.0,888.0,1323.0,1169.0,228.0,791.0,1190.0,1168.0,805.0,1383.0,740.0,1061.0,1154.0,1152.0,1112.0,859.0,1333.0,756.0,671.0,842.0,1425.0,1158.0,670.0,1084.0,1220.0,1237.0,1210.0,986.0,656.0,982.0,1434.0,1294.0,1036.0,1064.0,17.0,1164.0,571.0,909.0,1007.0,1233.0,1099.0,875.0,927.0,1150.0,1220.0,887.0,1135.0,1072.0,1068.0,237.0,814.0,1381.0,1181.0,1104.0,674.0,102.0,880.0,1296.0,1266.0,505.0,16.0,1075.0,1021.0,1097.0,247.0,1193.0,887.0,1107.0,405.0,889.0,440.0,971.0,1262.0,1088.0,1428.0,1350.0,103.0,1024.0,860.0,966.0,1267.0,851.0,897.0,1320.0,1276.0,1005.0,724.0,919.0,1383.0,1211.0,1368.0,1284.0,1072.0,986.0,1160.0,1033.0,1331.0
2020-05-21,North America,US,California,871.0,948.0,1207.0,746.0,847.0,1289.0,1135.0,214.0,745.0,1154.0,1133.0,764.0,1354.0,698.0,1022.0,1113.0,1116.0,1076.0,818.0,1300.0,723.0,640.0,811.0,1397.0,1123.0,630.0,1047.0,1186.0,1202.0,1175.0,948.0,612.0,943.0,1406.0,1259.0,999.0,1027.0,15.0,1130.0,544.0,874.0,966.0,1198.0,1061.0,834.0,883.0,1110.0,1186.0,846.0,1099.0,1034.0,1031.0,219.0,776.0,1353.0,1149.0,1068.0,640.0,92.0,836.0,1262.0,1232.0,470.0,15.0,1038.0,982.0,1060.0,232.0,1157.0,851.0,1069.0,373.0,849.0,415.0,931.0,1229.0,1051.0,1401.0,1321.0,93.0,987.0,820.0,922.0,1232.0,807.0,860.0,1288.0,1242.0,964.0,682.0,879.0,1352.0,1175.0,1339.0,1248.0,1035.0,947.0,1120.0,994.0,1298.0
2020-05-22,North America,US,California,827.0,909.0,1172.0,705.0,802.0,1255.0,1101.0,199.0,707.0,1116.0,1096.0,725.0,1326.0,659.0,986.0,1076.0,1084.0,1038.0,778.0,1266.0,687.0,608.0,777.0,1368.0,1089.0,590.0,1010.0,1152.0,1167.0,1139.0,912.0,576.0,905.0,1379.0,1226.0,961.0,989.0,13.0,1097.0,517.0,843.0,929.0,1166.0,1022.0,796.0,841.0,1072.0,1151.0,805.0,1063.0,997.0,994.0,203.0,740.0,1324.0,1115.0,1032.0,604.0,82.0,798.0,1229.0,1198.0,438.0,14.0,1004.0,941.0,1023.0,216.0,1123.0,816.0,1033.0,342.0,810.0,391.0,894.0,1193.0,1013.0,1373.0,1292.0,86.0,950.0,777.0,882.0,1196.0,763.0,822.0,1254.0,1208.0,923.0,640.0,837.0,1321.0,1137.0,1310.0,1214.0,997.0,911.0,1083.0,956.0,1267.0
2020-05-23,North America,US,California,786.0,873.0,1136.0,666.0,763.0,1221.0,1069.0,184.0,671.0,1077.0,1060.0,687.0,1297.0,621.0,950.0,1039.0,1049.0,1001.0,740.0,1234.0,652.0,579.0,743.0,1337.0,1055.0,550.0,972.0,1118.0,1130.0,1102.0,876.0,542.0,868.0,1353.0,1193.0,921.0,950.0,12.0,1063.0,490.0,811.0,893.0,1133.0,985.0,758.0,801.0,1035.0,1116.0,760.0,1028.0,958.0,956.0,186.0,703.0,1296.0,1080.0,994.0,572.0,74.0,760.0,1198.0,1165.0,406.0,13.0,970.0,903.0,985.0,201.0,1092.0,782.0,997.0,315.0,768.0,366.0,858.0,1157.0,976.0,1342.0,1261.0,77.0,915.0,733.0,843.0,1162.0,724.0,784.0,1220.0,1176.0,884.0,601.0,795.0,1287.0,1099.0,1280.0,1181.0,958.0,874.0,1046.0,916.0,1236.0
