Day,Continent,Country,Province,daily_deaths sim0,daily_deaths sim1,daily_deaths sim2,daily_deaths sim3,daily_deaths sim4,daily_deaths sim5,daily_deaths sim6,daily_deaths sim7,daily_deaths sim8,daily_deaths sim9,daily_deaths sim10,daily_deaths sim11,daily_deaths sim12,daily_deaths sim13,daily_deaths sim14,daily_deaths sim15,daily_deaths sim16,daily_deaths sim17,daily_deaths sim18,daily_deaths sim19,daily_deaths sim20,daily_deaths sim21,daily_deaths sim22,daily_deaths sim23,daily_deaths sim24,daily_deaths sim25,daily_deaths sim26,daily_deaths sim27,daily_deaths sim28,daily_deaths sim29,daily_deaths sim30,daily_deaths sim31,daily_deaths sim32,daily_deaths sim33,daily_deaths sim34,daily_deaths sim35,daily_deaths sim36,daily_deaths sim37,daily_deaths sim38,daily_deaths sim39,daily_deaths sim40,daily_deaths sim41,daily_deaths sim42,daily_deaths sim43,daily_deaths sim44,daily_deaths sim45,daily_deaths sim46,daily_deaths sim47,daily_deaths sim48,daily_deaths sim49,daily_deaths sim50,daily_deaths sim51,daily_deaths sim52,daily_deaths sim53,daily_deaths sim54,daily_deaths sim55,daily_deaths sim56,daily_deaths sim57,daily_deaths sim58,daily_deaths sim59,daily_deaths sim60,daily_deaths sim61,daily_deaths sim62,daily_deaths sim63,daily_deaths sim64,daily_deaths sim65,daily_deaths sim66,daily_deaths sim67,daily_deaths sim68,daily_deaths sim69,daily_deaths sim70,daily_deaths sim71,daily_deaths sim72,daily_deaths sim73,daily_deaths sim74,daily_deaths sim75,daily_deaths sim76,daily_deaths sim77,daily_deaths sim78,daily_deaths sim79,daily_deaths sim80,daily_deaths sim81,daily_deaths sim82,daily_deaths sim83,daily_deaths sim84,daily_deaths sim85,daily_deaths sim86,daily_deaths sim87,daily_deaths sim88,daily_deaths sim89,daily_deaths sim90,daily_deaths sim91,daily_deaths sim92,daily_deaths sim93,daily_deaths sim94,daily_deaths sim95,daily_deaths sim96,daily_deaths sim97,daily_deaths sim98,daily_deaths sim99
2020-05-11,North America,US,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,North America,US,California,72.0,79.0,71.0,62.0,78.0,67.0,67.0,82.0,64.0,77.0,76.0,69.0,70.0,61.0,68.0,56.0,83.0,75.0,62.0,68.0,39.0,64.0,79.0,73.0,59.0,69.0,73.0,70.0,72.0,77.0,57.0,73.0,78.0,75.0,78.0,64.0,57.0,83.0,80.0,75.0,74.0,75.0,81.0,78.0,74.0,69.0,42.0,72.0,72.0,75.0,81.0,69.0,77.0,75.0,71.0,73.0,67.0,80.0,79.0,70.0,78.0,62.0,65.0,58.0,73.0,77.0,71.0,66.0,83.0,74.0,63.0,49.0,74.0,73.0,67.0,80.0,60.0,75.0,60.0,73.0,83.0,78.0,80.0,70.0,68.0,78.0,45.0,55.0,70.0,54.0,81.0,74.0,80.0,72.0,64.0,43.0,65.0,81.0,80.0,77.0
2020-05-13,North America,US,California,69.0,79.0,69.0,60.0,77.0,64.0,66.0,82.0,63.0,75.0,75.0,68.0,69.0,59.0,66.0,53.0,82.0,74.0,60.0,67.0,38.0,62.0,78.0,71.0,58.0,68.0,71.0,69.0,70.0,75.0,55.0,70.0,78.0,73.0,78.0,61.0,56.0,82.0,80.0,74.0,73.0,74.0,80.0,77.0,72.0,68.0,40.0,70.0,70.0,74.0,80.0,67.0,76.0,74.0,68.0,73.0,65.0,79.0,77.0,69.0,78.0,61.0,64.0,56.0,71.0,75.0,70.0,64.0,82.0,73.0,62.0,48.0,73.0,71.0,64.0,80.0,58.0,74.0,58.0,73.0,82.0,78.0,79.0,68.0,66.0,76.0,43.0,52.0,70.0,53.0,80.0,74.0,80.0,70.0,61.0,41.0,63.0,80.0,79.0,77.0
2020-05-14,North America,US,California,69.0,78.0,68.0,58.0,76.0,63.0,64.0,81.0,62.0,74.0,74.0,66.0,67.0,57.0,65.0,52.0,81.0,72.0,58.0,65.0,37.0,60.0,78.0,70.0,55.0,65.0,70.0,67.0,70.0,75.0,52.0,70.0,76.0,71.0,76.0,60.0,53.0,81.0,79.0,73.0,72.0,73.0,80.0,76.0,70.0,66.0,39.0,69.0,69.0,72.0,80.0,65.0,74.0,73.0,68.0,71.0,63.0,77.0,77.0,68.0,76.0,58.0,62.0,54.0,71.0,75.0,68.0,63.0,82.0,72.0,60.0,46.0,71.0,70.0,62.0,78.0,57.0,72.0,56.0,71.0,81.0,76.0,78.0,67.0,64.0,76.0,40.0,51.0,68.0,52.0,80.0,72.0,78.0,69.0,60.0,39.0,62.0,80.0,78.0,76.0
2020-05-15,North America,US,California,67.0,77.0,66.0,56.0,75.0,62.0,62.0,81.0,60.0,73.0,72.0,64.0,65.0,54.0,64.0,49.0,81.0,72.0,56.0,63.0,36.0,58.0,77.0,69.0,54.0,65.0,68.0,66.0,67.0,73.0,51.0,67.0,76.0,71.0,75.0,58.0,51.0,81.0,78.0,71.0,71.0,72.0,79.0,75.0,70.0,65.0,38.0,68.0,67.0,71.0,79.0,64.0,74.0,71.0,65.0,70.0,62.0,77.0,75.0,66.0,76.0,57.0,60.0,51.0,69.0,73.0,67.0,61.0,81.0,71.0,60.0,45.0,70.0,68.0,61.0,78.0,56.0,71.0,54.0,69.0,80.0,75.0,77.0,65.0,63.0,75.0,37.0,48.0,66.0,50.0,78.0,71.0,78.0,68.0,58.0,38.0,59.0,79.0,78.0,74.0
2020-05-16,North America,US,California,66.0,76.0,65.0,54.0,74.0,59.0,60.0,79.0,59.0,72.0,72.0,63.0,64.0,53.0,61.0,47.0,79.0,70.0,54.0,61.0,35.0,57.0,76.0,67.0,51.0,62.0,67.0,63.0,67.0,72.0,48.0,66.0,74.0,69.0,75.0,56.0,48.0,79.0,77.0,71.0,69.0,71.0,77.0,74.0,68.0,63.0,37.0,66.0,66.0,69.0,78.0,62.0,73.0,71.0,64.0,69.0,60.0,74.0,75.0,64.0,74.0,55.0,58.0,50.0,67.0,72.0,65.0,60.0,81.0,69.0,57.0,44.0,69.0,67.0,60.0,77.0,53.0,70.0,52.0,68.0,80.0,74.0,76.0,63.0,61.0,73.0,35.0,45.0,65.0,48.0,77.0,70.0,77.0,66.0,55.0,37.0,58.0,77.0,76.0,74.0
2020-05-17,North America,US,California,64.0,74.0,63.0,52.0,73.0,58.0,58.0,79.0,58.0,71.0,70.0,61.0,62.0,50.0,59.0,45.0,79.0,68.0,52.0,59.0,35.0,55.0,75.0,66.0,49.0,61.0,65.0,62.0,65.0,71.0,47.0,65.0,74.0,68.0,73.0,54.0,47.0,80.0,76.0,68.0,68.0,69.0,77.0,72.0,66.0,61.0,35.0,64.0,63.0,69.0,77.0,61.0,71.0,68.0,62.0,67.0,57.0,74.0,73.0,62.0,73.0,52.0,57.0,47.0,66.0,71.0,63.0,57.0,79.0,67.0,57.0,42.0,67.0,65.0,57.0,75.0,53.0,69.0,49.0,67.0,78.0,73.0,75.0,62.0,59.0,72.0,33.0,44.0,63.0,46.0,77.0,68.0,75.0,65.0,54.0,35.0,55.0,77.0,75.0,72.0
2020-05-18,North America,US,California,62.0,74.0,61.0,50.0,71.0,55.0,57.0,77.0,57.0,69.0,68.0,59.0,60.0,49.0,58.0,42.0,78.0,67.0,50.0,58.0,33.0,52.0,74.0,65.0,47.0,59.0,64.0,60.0,63.0,69.0,44.0,63.0,72.0,66.0,72.0,52.0,44.0,78.0,74.0,68.0,66.0,68.0,76.0,71.0,64.0,60.0,34.0,62.0,63.0,66.0,76.0,58.0,70.0,68.0,60.0,66.0,56.0,72.0,72.0,61.0,72.0,51.0,54.0,45.0,65.0,69.0,62.0,56.0,79.0,66.0,55.0,40.0,65.0,64.0,55.0,74.0,50.0,66.0,48.0,65.0,78.0,72.0,74.0,60.0,58.0,71.0,31.0,41.0,61.0,45.0,75.0,67.0,75.0,63.0,52.0,34.0,54.0,76.0,73.0,70.0
2020-05-19,North America,US,California,61.0,72.0,60.0,48.0,70.0,54.0,55.0,77.0,55.0,68.0,67.0,57.0,59.0,46.0,55.0,41.0,77.0,66.0,48.0,55.0,32.0,51.0,72.0,63.0,45.0,57.0,62.0,59.0,62.0,68.0,42.0,62.0,71.0,64.0,70.0,50.0,42.0,77.0,74.0,66.0,65.0,66.0,75.0,70.0,63.0,57.0,33.0,61.0,60.0,65.0,74.0,57.0,69.0,66.0,59.0,64.0,55.0,71.0,71.0,59.0,70.0,49.0,53.0,43.0,63.0,68.0,60.0,53.0,78.0,65.0,53.0,40.0,64.0,62.0,54.0,74.0,49.0,66.0,46.0,63.0,77.0,70.0,73.0,58.0,55.0,69.0,28.0,39.0,60.0,43.0,74.0,65.0,73.0,62.0,49.0,33.0,52.0,74.0,73.0,70.0
2020-05-20,North America,US,California,59.0,70.0,57.0,45.0,69.0,52.0,52.0,75.0,54.0,66.0,65.0,55.0,57.0,44.0,54.0,38.0,76.0,64.0,46.0,54.0,31.0,49.0,72.0,61.0,43.0,56.0,60.0,56.0,60.0,66.0,40.0,59.0,69.0,63.0,69.0,48.0,40.0,76.0,72.0,64.0,63.0,65.0,74.0,68.0,61.0,57.0,32.0,59.0,59.0,63.0,74.0,55.0,67.0,64.0,57.0,63.0,52.0,69.0,69.0,58.0,69.0,47.0,50.0,41.0,62.0,67.0,59.0,52.0,77.0,63.0,53.0,38.0,63.0,60.0,52.0,71.0,48.0,63.0,43.0,62.0,75.0,69.0,71.0,57.0,54.0,68.0,26.0,37.0,58.0,42.0,73.0,63.0,72.0,59.0,48.0,31.0,50.0,74.0,71.0,68.0
