Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,North America,US,California,73893.0,73897.0,72895.0,74058.0,72901.0,71073.0,73938.0,10451.0,74079.0,70208.0,71852.0,70954.0,73805.0,74007.0,10519.0,74258.0,73519.0,73943.0,73960.0,72932.0,70406.0,73604.0,73627.0,73875.0,74064.0,74041.0,74010.0,72826.0,20951.0,73678.0,74357.0,74065.0,10863.0,73697.0,74070.0,73929.0,74122.0,74218.0,73102.0,74285.0,74081.0,74003.0,74008.0,74023.0,74092.0,54243.0,74006.0,72052.0,74104.0,72968.0,73569.0,13110.0,57069.0,72015.0,9829.0,74071.0,73630.0,74080.0,13258.0,14110.0,73570.0,74027.0,6718.0,12910.0,74008.0,74073.0,74050.0,74026.0,74112.0,74099.0,74006.0,74004.0,54423.0,73975.0,73829.0,53451.0,74236.0,74122.0,67329.0,73978.0,74077.0,51223.0,3392.0,74042.0,74042.0,73979.0,74387.0,73569.0,70626.0,73273.0,74205.0,73554.0,73434.0,13612.0,74362.0,73989.0,74058.0,74102.0,72685.0,74055.0
2020-05-16,North America,US,California,75419.0,75420.0,74250.0,75640.0,74244.0,72092.0,75482.0,10463.0,75660.0,71113.0,73031.0,71956.0,75311.0,75564.0,10529.0,75890.0,74992.0,75488.0,75515.0,74266.0,71331.0,75084.0,75111.0,75409.0,75638.0,75610.0,75562.0,74151.0,21030.0,75160.0,75979.0,75641.0,10872.0,75202.0,75650.0,75465.0,75716.0,75838.0,74480.0,75887.0,75660.0,75564.0,75564.0,75594.0,75670.0,54389.0,75554.0,73238.0,75693.0,74310.0,75032.0,13111.0,57287.0,73202.0,9830.0,75637.0,75104.0,75653.0,13258.0,14111.0,75039.0,75596.0,6718.0,12911.0,75561.0,75657.0,75619.0,75585.0,75701.0,75684.0,75565.0,75560.0,54476.0,75529.0,75338.0,53613.0,75862.0,75714.0,67851.0,75526.0,75656.0,51287.0,3392.0,75610.0,75608.0,75530.0,76017.0,75037.0,71578.0,74671.0,75820.0,75022.0,74878.0,13613.0,75986.0,75544.0,75630.0,75689.0,73975.0,75626.0
2020-05-17,North America,US,California,76919.0,76919.0,75575.0,77204.0,75551.0,73066.0,77004.0,10473.0,77223.0,71972.0,74173.0,72908.0,76793.0,77100.0,10540.0,77509.0,76442.0,77011.0,77049.0,75565.0,72209.0,76536.0,76568.0,76921.0,77193.0,77159.0,77093.0,75441.0,21105.0,76615.0,77584.0,77199.0,10881.0,76683.0,77210.0,76978.0,77291.0,77441.0,75826.0,77471.0,77220.0,77105.0,77099.0,77144.0,77229.0,54521.0,77080.0,74385.0,77262.0,75618.0,76462.0,13113.0,57489.0,74350.0,9830.0,77182.0,76551.0,77207.0,13258.0,14111.0,76481.0,77145.0,6718.0,12912.0,77093.0,77223.0,77169.0,77125.0,77273.0,77251.0,77103.0,77093.0,54521.0,77061.0,76820.0,53764.0,77473.0,77289.0,68328.0,77052.0,77215.0,51345.0,3392.0,77159.0,77155.0,77059.0,77632.0,76480.0,72484.0,76039.0,77418.0,76465.0,76295.0,13614.0,77594.0,77078.0,77183.0,77258.0,75225.0,77178.0
2020-05-18,North America,US,California,78393.0,78394.0,76867.0,78750.0,76822.0,73994.0,78503.0,10482.0,78767.0,72784.0,75275.0,73811.0,78248.0,78615.0,10549.0,79113.0,77867.0,78512.0,78561.0,76830.0,73041.0,77958.0,77995.0,78409.0,78728.0,78688.0,78601.0,76697.0,21175.0,78043.0,79172.0,78737.0,10888.0,78140.0,78752.0,78467.0,78847.0,79029.0,77139.0,79035.0,78759.0,78625.0,78613.0,78672.0,78768.0,54642.0,78583.0,75491.0,78811.0,76890.0,77859.0,13114.0,57676.0,75458.0,9830.0,78707.0,77969.0,78741.0,13258.0,14112.0,77898.0,78674.0,6718.0,12914.0,78603.0,78772.0,78699.0,78643.0,78826.0,78799.0,78618.0,78601.0,54559.0,78571.0,78276.0,53903.0,79069.0,78845.0,68764.0,78553.0,78754.0,51395.0,3392.0,78688.0,78680.0,78567.0,79231.0,77896.0,73345.0,77375.0,79000.0,77879.0,77683.0,13615.0,79184.0,78591.0,78715.0,78807.0,76435.0,78709.0
2020-05-19,North America,US,California,79841.0,79843.0,78129.0,80275.0,78056.0,74879.0,79980.0,10491.0,80291.0,73547.0,76338.0,74669.0,79678.0,80107.0,10557.0,80702.0,79266.0,79989.0,80050.0,78059.0,73829.0,79351.0,79393.0,79873.0,80242.0,80195.0,80086.0,77918.0,21241.0,79442.0,80742.0,80254.0,10896.0,79570.0,80273.0,79932.0,80384.0,80599.0,78417.0,80580.0,80278.0,80123.0,80104.0,80178.0,80286.0,54754.0,80062.0,76556.0,80338.0,78124.0,79227.0,13114.0,57846.0,76527.0,9830.0,80209.0,79360.0,80254.0,13258.0,14112.0,79286.0,80179.0,6718.0,12915.0,80089.0,80301.0,80208.0,80138.0,80361.0,80328.0,80108.0,80084.0,54592.0,80059.0,79704.0,54031.0,80648.0,80383.0,69158.0,80028.0,80271.0,51441.0,3392.0,80196.0,80185.0,80051.0,80812.0,79284.0,74158.0,78677.0,80565.0,79263.0,79041.0,13615.0,80756.0,80082.0,80226.0,80336.0,77607.0,80219.0
2020-05-20,North America,US,California,81262.0,81265.0,79357.0,81778.0,79256.0,75719.0,81432.0,10499.0,81793.0,74267.0,77357.0,75485.0,81079.0,81575.0,10565.0,82275.0,80640.0,81443.0,81515.0,79248.0,74572.0,80717.0,80763.0,81310.0,81735.0,81680.0,81546.0,79104.0,21303.0,80810.0,82292.0,81750.0,10902.0,80974.0,81772.0,81371.0,81902.0,82153.0,79660.0,82103.0,81776.0,81599.0,81571.0,81662.0,81783.0,54856.0,81517.0,77583.0,81844.0,79320.0,80566.0,13115.0,58003.0,77557.0,9830.0,81688.0,80722.0,81745.0,13258.0,14113.0,80648.0,81660.0,6718.0,12915.0,81552.0,81810.0,81695.0,81610.0,81875.0,81837.0,81573.0,81542.0,54620.0,81523.0,81106.0,54148.0,82210.0,81900.0,69513.0,81476.0,81767.0,51482.0,3392.0,81682.0,81667.0,81511.0,82375.0,80641.0,74924.0,79944.0,82112.0,80618.0,80367.0,13616.0,82310.0,81548.0,81712.0,81843.0,78741.0,81708.0
2020-05-21,North America,US,California,82655.0,82660.0,80554.0,83259.0,80420.0,76518.0,82858.0,10507.0,83273.0,74948.0,78338.0,76258.0,82450.0,83018.0,10572.0,83830.0,81986.0,82870.0,82953.0,80398.0,75271.0,82055.0,82106.0,82720.0,83205.0,83139.0,82980.0,80253.0,21362.0,82145.0,83823.0,83222.0,10908.0,82351.0,83249.0,82783.0,83398.0,83688.0,80867.0,83604.0,83253.0,83050.0,83014.0,83124.0,83256.0,54949.0,82945.0,78570.0,83329.0,80478.0,81876.0,13116.0,58147.0,78548.0,9830.0,83143.0,82053.0,83212.0,13258.0,14113.0,81981.0,83118.0,6718.0,12916.0,82988.0,83298.0,83159.0,83057.0,83370.0,83324.0,83014.0,82973.0,54643.0,82964.0,82479.0,54256.0,83755.0,83398.0,69835.0,82898.0,83241.0,51518.0,3392.0,83144.0,83126.0,82947.0,83919.0,81966.0,75648.0,81176.0,83640.0,81943.0,81662.0,13616.0,83844.0,82990.0,83174.0,83328.0,79837.0,83173.0
2020-05-22,North America,US,California,84020.0,84026.0,81718.0,84718.0,81550.0,77276.0,84256.0,10514.0,84729.0,75591.0,79279.0,76987.0,83789.0,84434.0,10579.0,85368.0,83305.0,84270.0,84366.0,81512.0,75930.0,83366.0,83421.0,84104.0,84651.0,84573.0,84387.0,81365.0,21417.0,83449.0,85334.0,84669.0,10914.0,83701.0,84701.0,84166.0,84875.0,85205.0,82041.0,85083.0,84706.0,84475.0,84429.0,84563.0,84706.0,55034.0,84346.0,79518.0,84792.0,81600.0,83155.0,13116.0,58280.0,79501.0,9830.0,84572.0,83354.0,84654.0,13258.0,14113.0,83286.0,84551.0,6718.0,12917.0,84398.0,84764.0,84598.0,84478.0,84843.0,84790.0,84431.0,84380.0,54663.0,84381.0,83824.0,54356.0,85281.0,84875.0,70127.0,84294.0,84693.0,51551.0,3392.0,84582.0,84560.0,84356.0,85444.0,83259.0,76331.0,82373.0,85150.0,83240.0,82926.0,13617.0,85357.0,84405.0,84611.0,84790.0,80896.0,84614.0
2020-05-23,North America,US,California,85356.0,85360.0,82850.0,86154.0,82644.0,77993.0,85626.0,10520.0,86161.0,76195.0,80183.0,77673.0,85098.0,85823.0,10585.0,86887.0,84594.0,85643.0,85753.0,82589.0,76551.0,84649.0,84708.0,85461.0,86071.0,85981.0,85765.0,82438.0,21469.0,84721.0,86823.0,86092.0,10919.0,85025.0,86129.0,85519.0,86329.0,86703.0,83182.0,86539.0,86136.0,85874.0,85817.0,85978.0,86130.0,55111.0,85718.0,80427.0,86232.0,82687.0,84402.0,13117.0,58401.0,80416.0,9830.0,85975.0,84623.0,86071.0,13258.0,14113.0,84563.0,85961.0,6718.0,12918.0,85779.0,86206.0,86010.0,85871.0,86294.0,86232.0,85822.0,85760.0,54680.0,85772.0,85138.0,54448.0,86790.0,86330.0,70388.0,85663.0,86121.0,51579.0,3392.0,85994.0,85968.0,85739.0,86949.0,84522.0,76976.0,83536.0,86639.0,84507.0,84161.0,13617.0,86850.0,85792.0,86023.0,86231.0,81916.0,86029.0
2020-05-24,North America,US,California,86662.0,86664.0,83950.0,87568.0,83702.0,78672.0,86969.0,10526.0,87568.0,76759.0,81049.0,78319.0,86377.0,87184.0,10591.0,88387.0,85855.0,86989.0,87114.0,83631.0,77134.0,85904.0,85967.0,86792.0,87465.0,87364.0,87115.0,83475.0,21518.0,85962.0,88291.0,87491.0,10923.0,86321.0,87533.0,86844.0,87762.0,88181.0,84289.0,87971.0,87542.0,87248.0,87177.0,87370.0,87529.0,55182.0,87061.0,81299.0,87650.0,83738.0,85615.0,13117.0,58512.0,81295.0,9831.0,87350.0,85859.0,87461.0,13258.0,14114.0,85810.0,87346.0,6718.0,12918.0,87132.0,87625.0,87395.0,87239.0,87722.0,87651.0,87188.0,87113.0,54694.0,87137.0,86420.0,54532.0,88280.0,87762.0,70621.0,87004.0,87526.0,51605.0,3392.0,87379.0,87348.0,87094.0,88433.0,85757.0,77581.0,84665.0,88107.0,85744.0,85365.0,13617.0,88322.0,87152.0,87411.0,87649.0,82895.0,87419.0
2020-05-25,North America,US,California,87935.0,87938.0,85017.0,88959.0,84723.0,79313.0,88285.0,10531.0,88951.0,77287.0,81877.0,78929.0,87626.0,88519.0,10596.0,89867.0,87087.0,88307.0,88449.0,84637.0,77679.0,87127.0,87194.0,88097.0,88833.0,88722.0,88437.0,84478.0,21564.0,87173.0,89737.0,88865.0,10927.0,87590.0,88913.0,88140.0,89171.0,89639.0,85364.0,89379.0,88922.0,88595.0,88510.0,88736.0,88902.0,55246.0,88376.0,82134.0,89044.0,84753.0,86794.0,13118.0,58613.0,82137.0,9831.0,88697.0,87062.0,88826.0,13258.0,14114.0,87028.0,88707.0,6718.0,12918.0,88457.0,89020.0,88753.0,88580.0,89126.0,89045.0,88528.0,88440.0,54706.0,88475.0,87669.0,54610.0,89750.0,89171.0,70831.0,88318.0,88906.0,51628.0,3392.0,88738.0,88700.0,88420.0,89897.0,86961.0,78147.0,85759.0,89554.0,86951.0,86538.0,13618.0,89771.0,88486.0,88773.0,89044.0,83836.0,88782.0
2020-05-26,North America,US,California,89178.0,89183.0,86052.0,90327.0,85708.0,79919.0,89574.0,10536.0,90310.0,77783.0,82667.0,79503.0,88844.0,89826.0,10601.0,91328.0,88291.0,89599.0,89757.0,85606.0,78189.0,88316.0,88388.0,89373.0,90176.0,90055.0,89731.0,85447.0,21608.0,88352.0,91160.0,90214.0,10931.0,88832.0,90270.0,89408.0,90558.0,91077.0,86403.0,90762.0,90275.0,89917.0,89816.0,90078.0,90249.0,55304.0,89662.0,82932.0,90414.0,85730.0,87941.0,13118.0,58706.0,82944.0,9831.0,90018.0,88235.0,90165.0,13258.0,14114.0,88217.0,90043.0,6718.0,12919.0,89755.0,90391.0,90085.0,89895.0,90505.0,90414.0,89841.0,89738.0,54716.0,89784.0,88886.0,54681.0,91201.0,90556.0,71020.0,89604.0,90261.0,51648.0,3392.0,90071.0,90027.0,89718.0,91338.0,88135.0,78677.0,86819.0,90979.0,88128.0,87678.0,13618.0,91198.0,89793.0,90110.0,90415.0,84741.0,90119.0
2020-05-27,North America,US,California,90390.0,90398.0,87055.0,91671.0,86658.0,80490.0,90836.0,10541.0,91646.0,78249.0,83420.0,80042.0,90032.0,91106.0,10605.0,92769.0,89466.0,90863.0,91039.0,86538.0,78667.0,89471.0,89547.0,90619.0,91493.0,91362.0,90997.0,86383.0,21648.0,89499.0,92560.0,91538.0,10935.0,90045.0,91602.0,90647.0,91919.0,92492.0,87408.0,92121.0,91603.0,91212.0,91094.0,91392.0,91571.0,55358.0,90919.0,83695.0,91759.0,86669.0,89055.0,13119.0,58791.0,83715.0,9831.0,91312.0,89376.0,91478.0,13258.0,14114.0,89376.0,91352.0,6718.0,12919.0,91026.0,91739.0,91391.0,91182.0,91860.0,91757.0,91126.0,91007.0,54724.0,91066.0,90072.0,54746.0,92631.0,91916.0,71187.0,90860.0,91590.0,51666.0,3392.0,91378.0,91326.0,90989.0,92758.0,89278.0,79173.0,87842.0,92382.0,89273.0,88784.0,13618.0,92603.0,91073.0,91421.0,91761.0,85610.0,91430.0
2020-05-28,North America,US,California,91572.0,91582.0,88027.0,92991.0,87575.0,81027.0,92070.0,10545.0,92956.0,78683.0,84140.0,80544.0,91189.0,92360.0,10609.0,94189.0,90614.0,92099.0,92294.0,87433.0,79114.0,90594.0,90676.0,91836.0,92785.0,92643.0,92234.0,87285.0,21686.0,90613.0,93936.0,92837.0,10938.0,91229.0,92909.0,91857.0,93256.0,93885.0,88376.0,93454.0,92904.0,92481.0,92346.0,92679.0,92867.0,55406.0,92148.0,84424.0,93078.0,87573.0,90138.0,13119.0,58869.0,84453.0,9831.0,92578.0,90487.0,92765.0,13258.0,14114.0,90507.0,92635.0,6718.0,12920.0,92268.0,93063.0,92671.0,92443.0,93190.0,93076.0,92381.0,92245.0,54731.0,92320.0,91227.0,54806.0,94040.0,93250.0,71336.0,92085.0,92891.0,51682.0,3392.0,92658.0,92600.0,92232.0,94155.0,90387.0,79638.0,88831.0,93763.0,90387.0,89859.0,13618.0,93984.0,92326.0,92705.0,93080.0,86445.0,92716.0
