Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-14,North America,US,California,70173.0,70620.0,71669.0,69722.0,70063.0,72019.0,71304.0,58127.0,69586.0,71507.0,71299.0,69738.0,72185.0,69447.0,70938.0,71310.0,71211.0,71161.0,70033.0,72000.0,68485.0,66307.0,68799.0,72334.0,71286.0,68714.0,71029.0,71573.0,71641.0,71638.0,70546.0,68487.0,70555.0,72371.0,71878.0,70816.0,70949.0,38862.0,71275.0,65033.0,69183.0,70631.0,71546.0,71234.0,70072.0,70381.0,71308.0,71608.0,70191.0,71204.0,70955.0,70965.0,59357.0,68810.0,72173.0,71311.0,71098.0,67137.0,55980.0,70051.0,71820.0,71799.0,66420.0,12172.0,70896.0,70718.0,70996.0,58134.0,71396.0,69006.0,71131.0,65256.0,70001.0,63711.0,70500.0,71798.0,71046.0,72364.0,72075.0,55043.0,70677.0,70093.0,70545.0,71832.0,69944.0,70093.0,72003.0,71772.0,70686.0,69426.0,70214.0,72243.0,71538.0,72173.0,71827.0,71014.0,70553.0,71457.0,70811.0,71980.0
2020-05-15,North America,US,California,71296.0,71815.0,73075.0,70741.0,71162.0,73489.0,72644.0,58449.0,70596.0,72874.0,72640.0,70769.0,73705.0,70419.0,72196.0,72640.0,72531.0,72462.0,71114.0,73474.0,69442.0,67145.0,69830.0,73882.0,72619.0,69611.0,72305.0,72959.0,73042.0,73026.0,71736.0,69360.0,71741.0,73931.0,73324.0,72054.0,72208.0,38894.0,72609.0,65762.0,70270.0,71835.0,72932.0,72532.0,71166.0,71526.0,72636.0,73000.0,71301.0,72519.0,72221.0,72230.0,59701.0,69820.0,73692.0,72660.0,72389.0,67996.0,56149.0,71144.0,73261.0,73227.0,67122.0,12195.0,72154.0,71939.0,72278.0,58473.0,72754.0,70072.0,72427.0,65844.0,71105.0,64303.0,71677.0,73223.0,72325.0,73915.0,73571.0,55208.0,71897.0,71182.0,71721.0,73259.0,71013.0,71201.0,73471.0,73199.0,71894.0,70388.0,71344.0,73762.0,72915.0,73685.0,73263.0,72284.0,71742.0,72801.0,72046.0,73454.0
2020-05-16,North America,US,California,72371.0,72968.0,74448.0,71713.0,72214.0,74930.0,73953.0,58751.0,71559.0,74205.0,73944.0,71754.0,75201.0,71344.0,73416.0,73935.0,73818.0,73728.0,72151.0,74921.0,70362.0,67945.0,70827.0,75407.0,73921.0,70463.0,73545.0,74312.0,74410.0,74380.0,72886.0,70186.0,72888.0,75469.0,74741.0,73252.0,73431.0,38922.0,73911.0,66459.0,71326.0,72999.0,74289.0,73792.0,72215.0,72624.0,73929.0,74359.0,72364.0,73800.0,73449.0,73457.0,60021.0,70786.0,75186.0,73976.0,73646.0,68813.0,56302.0,72192.0,74673.0,74626.0,67783.0,12217.0,73378.0,73118.0,73522.0,58794.0,74081.0,71099.0,73688.0,66391.0,72167.0,64865.0,72813.0,74615.0,73568.0,75443.0,75039.0,55358.0,73079.0,72225.0,72853.0,74654.0,72034.0,72268.0,74908.0,74597.0,73060.0,71300.0,72427.0,75253.0,74257.0,75171.0,74668.0,73517.0,72892.0,74111.0,73241.0,74902.0
2020-05-17,North America,US,California,73399.0,74082.0,75786.0,72638.0,73223.0,76343.0,75230.0,59033.0,72480.0,75500.0,75213.0,72696.0,76671.0,72225.0,74598.0,75196.0,75073.0,74957.0,73144.0,76340.0,71240.0,68709.0,71786.0,76907.0,75189.0,71266.0,74747.0,75630.0,75744.0,75697.0,73997.0,70968.0,73995.0,76984.0,76130.0,74407.0,74615.0,38946.0,75182.0,67124.0,72346.0,74126.0,75617.0,75015.0,73221.0,73678.0,75188.0,75683.0,73380.0,75046.0,74636.0,74645.0,60317.0,71711.0,76654.0,75257.0,74866.0,69589.0,56440.0,73198.0,76058.0,75993.0,68401.0,12237.0,74568.0,74256.0,74727.0,59095.0,75377.0,72090.0,74912.0,66897.0,73182.0,65396.0,73910.0,75974.0,74774.0,76946.0,76477.0,55496.0,74223.0,73218.0,73943.0,76019.0,73011.0,73292.0,76316.0,75966.0,74185.0,72164.0,73464.0,76719.0,75567.0,76629.0,76045.0,74710.0,74002.0,75386.0,74393.0,76323.0
2020-05-18,North America,US,California,74386.0,75156.0,77093.0,73517.0,74191.0,77727.0,76472.0,59296.0,73358.0,76759.0,76448.0,73592.0,78113.0,73060.0,75740.0,76423.0,76296.0,76145.0,74092.0,77731.0,72076.0,69441.0,72704.0,78383.0,76423.0,72021.0,75909.0,76915.0,77045.0,76978.0,75065.0,71709.0,75061.0,78474.0,77488.0,75521.0,75758.0,38968.0,76418.0,67755.0,73328.0,75213.0,76915.0,76196.0,74184.0,74689.0,76411.0,76971.0,74351.0,76255.0,75783.0,75791.0,60592.0,72595.0,78094.0,76503.0,76046.0,70327.0,56565.0,74164.0,77415.0,77329.0,68978.0,12255.0,75720.0,75355.0,75895.0,59376.0,76640.0,73049.0,76099.0,67368.0,74153.0,65894.0,74966.0,77300.0,75939.0,78424.0,77885.0,55622.0,75329.0,74163.0,74993.0,77353.0,73946.0,74272.0,77696.0,77306.0,75270.0,72981.0,74460.0,78157.0,76845.0,78057.0,77391.0,75862.0,75072.0,76624.0,75504.0,77715.0
2020-05-19,North America,US,California,75336.0,76188.0,78366.0,74348.0,75119.0,79080.0,77677.0,59541.0,74193.0,77984.0,77649.0,74441.0,79526.0,73847.0,76841.0,77614.0,77485.0,77295.0,74996.0,79093.0,72871.0,70143.0,73583.0,79834.0,77620.0,72733.0,77031.0,78168.0,78314.0,78223.0,76092.0,72409.0,76085.0,79937.0,78815.0,76596.0,76861.0,38988.0,77617.0,68355.0,74274.0,76261.0,78182.0,77336.0,75103.0,75657.0,77598.0,78225.0,75279.0,77426.0,76891.0,76897.0,60847.0,73444.0,79505.0,77717.0,77188.0,71034.0,56678.0,75088.0,78742.0,78631.0,69516.0,12273.0,76834.0,76416.0,77027.0,59639.0,77869.0,73972.0,77246.0,67805.0,75082.0,66362.0,75979.0,78595.0,77065.0,79878.0,79264.0,55735.0,76394.0,75065.0,76001.0,78655.0,74840.0,75209.0,79046.0,78615.0,76315.0,73749.0,75417.0,79567.0,78090.0,79455.0,78707.0,76972.0,76099.0,77825.0,76575.0,79078.0
2020-05-20,North America,US,California,76246.0,77178.0,79607.0,75136.0,76007.0,80403.0,78846.0,59769.0,74984.0,79174.0,78817.0,75246.0,80909.0,74587.0,77902.0,78768.0,78637.0,78407.0,75855.0,80426.0,73627.0,70814.0,74425.0,81259.0,78778.0,73403.0,78115.0,79388.0,79551.0,79433.0,77078.0,73065.0,77067.0,81371.0,80109.0,77632.0,77925.0,39005.0,78781.0,68926.0,75183.0,77268.0,79415.0,78435.0,75978.0,76584.0,78748.0,79445.0,76166.0,78561.0,77963.0,77965.0,61084.0,74258.0,80886.0,78898.0,78292.0,71708.0,56780.0,75968.0,80038.0,79897.0,70021.0,12289.0,77909.0,77437.0,78124.0,59886.0,79062.0,74859.0,78353.0,68210.0,75971.0,66802.0,76950.0,79857.0,78153.0,81306.0,80614.0,55838.0,77418.0,75925.0,76967.0,79922.0,75691.0,76106.0,80366.0,79891.0,77320.0,74473.0,76336.0,80950.0,79301.0,80823.0,79991.0,78044.0,77085.0,78985.0,77608.0,80409.0
2020-05-21,North America,US,California,77117.0,78126.0,80814.0,75882.0,76854.0,81692.0,79981.0,59983.0,75729.0,80328.0,79950.0,76010.0,82263.0,75285.0,78924.0,79881.0,79753.0,79483.0,76673.0,81726.0,74350.0,71454.0,75236.0,82656.0,79901.0,74033.0,79162.0,80574.0,80753.0,80608.0,78026.0,73677.0,78010.0,82777.0,81368.0,78631.0,78952.0,39020.0,79911.0,69470.0,76057.0,78234.0,80613.0,79496.0,76812.0,77467.0,79858.0,80631.0,77012.0,79660.0,78997.0,78996.0,61303.0,75034.0,82239.0,80047.0,79360.0,72348.0,56872.0,76804.0,81300.0,81129.0,70491.0,12304.0,78947.0,78419.0,79184.0,60118.0,80219.0,75710.0,79422.0,68583.0,76820.0,67217.0,77881.0,81086.0,79204.0,82707.0,81935.0,55931.0,78405.0,76745.0,77889.0,81154.0,76498.0,76966.0,81654.0,81133.0,78284.0,75155.0,77215.0,82302.0,80476.0,82162.0,81239.0,79079.0,78032.0,80105.0,78602.0,81707.0
2020-05-22,North America,US,California,77944.0,79035.0,81986.0,76587.0,77656.0,82947.0,81082.0,60182.0,76436.0,81444.0,81046.0,76735.0,83589.0,75944.0,79910.0,80957.0,80837.0,80521.0,77451.0,82992.0,75037.0,72062.0,76013.0,84024.0,80990.0,74623.0,80172.0,81726.0,81920.0,81747.0,78938.0,74253.0,78915.0,84156.0,82594.0,79592.0,79941.0,39033.0,81008.0,69987.0,76900.0,79163.0,81779.0,80518.0,77608.0,78308.0,80930.0,81782.0,77817.0,80723.0,79994.0,79990.0,61506.0,75774.0,83563.0,81162.0,80392.0,72952.0,56954.0,77602.0,82529.0,82327.0,70929.0,12318.0,79951.0,79360.0,80207.0,60334.0,81342.0,76526.0,80455.0,68925.0,77630.0,67608.0,78775.0,82279.0,80217.0,84080.0,83227.0,56017.0,79355.0,77522.0,78771.0,82350.0,77261.0,77788.0,82908.0,82341.0,79207.0,75795.0,78052.0,83623.0,81613.0,83472.0,82453.0,80076.0,78943.0,81188.0,79558.0,82974.0
2020-05-23,North America,US,California,78730.0,79908.0,83122.0,77253.0,78419.0,84168.0,82151.0,60366.0,77107.0,82521.0,82106.0,77422.0,84886.0,76565.0,80860.0,81996.0,81886.0,81522.0,78191.0,84226.0,75689.0,72641.0,76756.0,85361.0,82045.0,75173.0,81144.0,82844.0,83050.0,82849.0,79814.0,74795.0,79783.0,85509.0,83787.0,80513.0,80891.0,39045.0,82071.0,70477.0,77711.0,80056.0,82912.0,81503.0,78366.0,79109.0,81965.0,82898.0,78577.0,81751.0,80952.0,80946.0,61692.0,76477.0,84859.0,82242.0,81386.0,73524.0,57028.0,78362.0,83727.0,83492.0,71335.0,12331.0,80921.0,80263.0,81192.0,60535.0,82434.0,77308.0,81452.0,69240.0,78398.0,67974.0,79633.0,83436.0,81193.0,85422.0,84488.0,56094.0,80270.0,78255.0,79614.0,83512.0,77985.0,78572.0,84128.0,83517.0,80091.0,76396.0,78847.0,84910.0,82712.0,84752.0,83634.0,81034.0,79817.0,82234.0,80474.0,84210.0
