Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,North America,US,California,3143.0,3143.0,3101.0,3149.0,3108.0,3032.0,3143.0,2292.0,3147.0,3010.0,3081.0,3036.0,3140.0,3146.0,2309.0,3155.0,3125.0,3144.0,3148.0,3107.0,3016.0,3132.0,3133.0,3141.0,3146.0,3148.0,3147.0,3103.0,2590.0,3135.0,3066.0,3148.0,2301.0,3136.0,3147.0,3145.0,3149.0,3152.0,3117.0,3064.0,3148.0,3149.0,3150.0,3147.0,3151.0,2708.0,3146.0,3068.0,3150.0,3106.0,3130.0,2182.0,2835.0,3066.0,2286.0,3148.0,3132.0,3150.0,2109.0,2165.0,3054.0,3149.0,1607.0,2185.0,3147.0,3146.0,3148.0,3148.0,3148.0,3148.0,3147.0,3147.0,2819.0,3145.0,3140.0,2698.0,3153.0,3149.0,2923.0,3147.0,3148.0,2594.0,846.0,3147.0,3146.0,3145.0,3067.0,3129.0,3023.0,3118.0,3153.0,3129.0,3123.0,2173.0,3066.0,3146.0,3150.0,3149.0,3096.0,3146.0
2020-05-16,North America,US,California,3221.0,3220.0,3170.0,3228.0,3178.0,3086.0,3221.0,2308.0,3226.0,3060.0,3145.0,3090.0,3217.0,3225.0,2324.0,3236.0,3199.0,3223.0,3227.0,3176.0,3067.0,3207.0,3209.0,3219.0,3225.0,3227.0,3226.0,3172.0,2621.0,3211.0,3137.0,3228.0,2316.0,3212.0,3226.0,3223.0,3229.0,3232.0,3188.0,3135.0,3227.0,3228.0,3229.0,3226.0,3231.0,2742.0,3225.0,3130.0,3229.0,3176.0,3204.0,2191.0,2878.0,3128.0,2294.0,3227.0,3208.0,3230.0,2117.0,2174.0,3121.0,3228.0,1611.0,2195.0,3226.0,3225.0,3227.0,3227.0,3228.0,3227.0,3226.0,3226.0,2855.0,3223.0,3217.0,2732.0,3234.0,3228.0,2958.0,3225.0,3227.0,2620.0,846.0,3226.0,3225.0,3223.0,3138.0,3204.0,3076.0,3190.0,3234.0,3203.0,3197.0,2182.0,3138.0,3224.0,3229.0,3229.0,3163.0,3225.0
2020-05-17,North America,US,California,3298.0,3297.0,3238.0,3307.0,3246.0,3139.0,3298.0,2323.0,3305.0,3108.0,3207.0,3143.0,3293.0,3302.0,2340.0,3316.0,3272.0,3300.0,3305.0,3244.0,3116.0,3281.0,3283.0,3295.0,3304.0,3305.0,3304.0,3240.0,2650.0,3286.0,3208.0,3306.0,2330.0,3288.0,3304.0,3301.0,3308.0,3313.0,3258.0,3204.0,3306.0,3307.0,3308.0,3304.0,3310.0,2775.0,3303.0,3190.0,3308.0,3244.0,3278.0,2201.0,2919.0,3188.0,2302.0,3306.0,3282.0,3309.0,2124.0,2183.0,3186.0,3306.0,1615.0,2205.0,3304.0,3304.0,3305.0,3305.0,3307.0,3306.0,3304.0,3304.0,2889.0,3301.0,3293.0,2765.0,3314.0,3308.0,2990.0,3302.0,3306.0,2645.0,846.0,3305.0,3303.0,3301.0,3209.0,3278.0,3126.0,3261.0,3314.0,3277.0,3269.0,2192.0,3208.0,3302.0,3308.0,3308.0,3229.0,3304.0
2020-05-18,North America,US,California,3374.0,3373.0,3305.0,3385.0,3313.0,3190.0,3374.0,2337.0,3383.0,3154.0,3268.0,3194.0,3368.0,3380.0,2354.0,3396.0,3345.0,3377.0,3382.0,3310.0,3163.0,3355.0,3357.0,3371.0,3381.0,3383.0,3381.0,3306.0,2679.0,3359.0,3278.0,3384.0,2344.0,3362.0,3382.0,3377.0,3387.0,3393.0,3327.0,3273.0,3384.0,3384.0,3385.0,3382.0,3388.0,2806.0,3380.0,3249.0,3387.0,3310.0,3351.0,2210.0,2958.0,3247.0,2310.0,3384.0,3355.0,3387.0,2131.0,2192.0,3251.0,3384.0,1618.0,2214.0,3381.0,3382.0,3383.0,3382.0,3385.0,3384.0,3381.0,3381.0,2922.0,3378.0,3369.0,2797.0,3394.0,3386.0,3019.0,3379.0,3384.0,2669.0,846.0,3382.0,3380.0,3378.0,3280.0,3350.0,3175.0,3330.0,3394.0,3349.0,3341.0,2200.0,3278.0,3379.0,3386.0,3386.0,3293.0,3381.0
2020-05-19,North America,US,California,3449.0,3448.0,3370.0,3462.0,3379.0,3238.0,3450.0,2351.0,3460.0,3197.0,3327.0,3242.0,3442.0,3456.0,2368.0,3476.0,3416.0,3452.0,3459.0,3375.0,3208.0,3427.0,3430.0,3446.0,3458.0,3460.0,3457.0,3371.0,2706.0,3432.0,3347.0,3461.0,2357.0,3436.0,3459.0,3453.0,3465.0,3472.0,3395.0,3342.0,3461.0,3461.0,3462.0,3459.0,3466.0,2836.0,3456.0,3305.0,3464.0,3376.0,3422.0,2218.0,2997.0,3304.0,2317.0,3461.0,3427.0,3464.0,2138.0,2200.0,3314.0,3461.0,1621.0,2222.0,3457.0,3459.0,3460.0,3459.0,3463.0,3462.0,3458.0,3457.0,2953.0,3454.0,3443.0,2827.0,3474.0,3464.0,3046.0,3455.0,3462.0,2692.0,847.0,3459.0,3457.0,3454.0,3349.0,3422.0,3221.0,3398.0,3473.0,3421.0,3411.0,2208.0,3347.0,3455.0,3463.0,3464.0,3355.0,3458.0
2020-05-20,North America,US,California,3523.0,3521.0,3434.0,3539.0,3443.0,3284.0,3524.0,2364.0,3536.0,3239.0,3385.0,3288.0,3514.0,3531.0,2381.0,3555.0,3487.0,3527.0,3534.0,3438.0,3251.0,3499.0,3501.0,3520.0,3534.0,3536.0,3532.0,3434.0,2733.0,3503.0,3415.0,3538.0,2370.0,3509.0,3535.0,3527.0,3542.0,3550.0,3461.0,3409.0,3538.0,3537.0,3538.0,3535.0,3543.0,2865.0,3531.0,3360.0,3541.0,3439.0,3492.0,2226.0,3033.0,3358.0,2324.0,3537.0,3498.0,3540.0,2144.0,2207.0,3377.0,3537.0,1624.0,2231.0,3532.0,3535.0,3536.0,3534.0,3540.0,3538.0,3533.0,3533.0,2982.0,3529.0,3516.0,2857.0,3553.0,3541.0,3071.0,3530.0,3538.0,2714.0,847.0,3535.0,3532.0,3529.0,3418.0,3492.0,3265.0,3465.0,3552.0,3492.0,3480.0,2216.0,3416.0,3530.0,3539.0,3541.0,3416.0,3534.0
2020-05-21,North America,US,California,3595.0,3594.0,3497.0,3615.0,3506.0,3329.0,3598.0,2377.0,3612.0,3279.0,3440.0,3332.0,3586.0,3606.0,2394.0,3634.0,3556.0,3601.0,3609.0,3500.0,3291.0,3569.0,3572.0,3593.0,3609.0,3611.0,3606.0,3495.0,2759.0,3574.0,3483.0,3613.0,2382.0,3580.0,3611.0,3601.0,3619.0,3628.0,3526.0,3476.0,3613.0,3612.0,3613.0,3610.0,3619.0,2893.0,3605.0,3413.0,3618.0,3501.0,3561.0,2234.0,3069.0,3412.0,2330.0,3612.0,3568.0,3616.0,2150.0,2214.0,3438.0,3612.0,1627.0,2238.0,3606.0,3611.0,3611.0,3609.0,3616.0,3614.0,3608.0,3607.0,3011.0,3604.0,3588.0,2885.0,3631.0,3618.0,3094.0,3605.0,3614.0,2735.0,847.0,3610.0,3607.0,3603.0,3486.0,3562.0,3306.0,3531.0,3630.0,3561.0,3548.0,2224.0,3484.0,3605.0,3615.0,3617.0,3475.0,3609.0
2020-05-22,North America,US,California,3667.0,3666.0,3558.0,3690.0,3567.0,3371.0,3671.0,2389.0,3687.0,3316.0,3494.0,3375.0,3657.0,3679.0,2406.0,3712.0,3624.0,3674.0,3683.0,3561.0,3330.0,3638.0,3641.0,3665.0,3683.0,3685.0,3680.0,3555.0,2784.0,3643.0,3550.0,3688.0,2394.0,3651.0,3685.0,3673.0,3694.0,3706.0,3589.0,3541.0,3688.0,3686.0,3687.0,3684.0,3694.0,2920.0,3678.0,3465.0,3693.0,3562.0,3629.0,2241.0,3103.0,3463.0,2337.0,3686.0,3637.0,3691.0,2156.0,2221.0,3498.0,3687.0,1630.0,2246.0,3680.0,3686.0,3685.0,3683.0,3691.0,3689.0,3682.0,3681.0,3038.0,3677.0,3658.0,2912.0,3709.0,3693.0,3115.0,3678.0,3689.0,2755.0,847.0,3684.0,3681.0,3676.0,3554.0,3630.0,3346.0,3594.0,3707.0,3629.0,3614.0,2231.0,3551.0,3678.0,3689.0,3692.0,3532.0,3683.0
2020-05-23,North America,US,California,3737.0,3736.0,3618.0,3765.0,3626.0,3411.0,3742.0,2401.0,3761.0,3351.0,3546.0,3415.0,3726.0,3752.0,2418.0,3789.0,3691.0,3746.0,3756.0,3619.0,3366.0,3705.0,3709.0,3736.0,3757.0,3759.0,3752.0,3614.0,2809.0,3711.0,3616.0,3762.0,2405.0,3721.0,3759.0,3745.0,3769.0,3782.0,3651.0,3606.0,3762.0,3759.0,3760.0,3758.0,3768.0,2946.0,3750.0,3514.0,3768.0,3620.0,3695.0,2248.0,3136.0,3513.0,2342.0,3759.0,3704.0,3765.0,2161.0,2228.0,3556.0,3760.0,1633.0,2253.0,3752.0,3760.0,3758.0,3756.0,3766.0,3764.0,3754.0,3753.0,3063.0,3749.0,3728.0,2939.0,3786.0,3768.0,3134.0,3750.0,3763.0,2774.0,847.0,3757.0,3753.0,3748.0,3620.0,3697.0,3384.0,3657.0,3783.0,3696.0,3679.0,2237.0,3617.0,3750.0,3763.0,3767.0,3588.0,3757.0
2020-05-24,North America,US,California,3807.0,3805.0,3676.0,3838.0,3684.0,3450.0,3813.0,2412.0,3834.0,3385.0,3596.0,3453.0,3794.0,3823.0,2429.0,3866.0,3757.0,3817.0,3828.0,3676.0,3400.0,3771.0,3775.0,3806.0,3829.0,3831.0,3823.0,3670.0,2832.0,3777.0,3681.0,3835.0,2416.0,3789.0,3832.0,3815.0,3843.0,3858.0,3711.0,3670.0,3835.0,3832.0,3832.0,3830.0,3841.0,2971.0,3821.0,3562.0,3841.0,3678.0,3760.0,2255.0,3168.0,3561.0,2348.0,3831.0,3770.0,3838.0,2166.0,2234.0,3614.0,3833.0,1635.0,2260.0,3824.0,3833.0,3831.0,3828.0,3839.0,3837.0,3826.0,3825.0,3088.0,3820.0,3796.0,2964.0,3862.0,3842.0,3151.0,3820.0,3835.0,2792.0,847.0,3829.0,3825.0,3819.0,3686.0,3762.0,3419.0,3718.0,3859.0,3761.0,3743.0,2244.0,3682.0,3822.0,3836.0,3840.0,3642.0,3829.0
