date,region,death_cnt,case_cnt,day_since100
2020-02-12,Canada,0,7,-28
2020-02-13,Canada,0,7,-27
2020-02-14,Canada,0,7,-26
2020-02-15,Canada,0,7,-25
2020-02-16,Canada,0,7,-24
2020-02-17,Canada,0,8,-23
2020-02-18,Canada,0,8,-22
2020-02-19,Canada,0,8,-21
2020-02-20,Canada,0,8,-20
2020-02-21,Canada,0,9,-19
2020-02-22,Canada,0,9,-18
2020-02-23,Canada,0,9,-17
2020-02-24,Canada,0,10,-16
2020-02-25,Canada,0,11,-15
2020-02-26,Canada,0,11,-14
2020-02-27,Canada,0,13,-13
2020-02-28,Canada,0,14,-12
2020-02-29,Canada,0,20,-11
2020-03-01,Canada,0,24,-10
2020-03-02,Canada,0,27,-9
2020-03-03,Canada,0,30,-8
2020-03-04,Canada,0,33,-7
2020-03-05,Canada,0,37,-6
2020-03-06,Canada,0,49,-5
2020-03-07,Canada,0,54,-4
2020-03-08,Canada,0,64,-3
2020-03-09,Canada,1,77,-2
2020-03-10,Canada,1,79,-1
2020-03-11,Canada,1,108,0
2020-03-12,Canada,1,117,1
2020-03-13,Canada,1,193,2
2020-03-14,Canada,1,198,3
2020-03-15,Canada,1,252,4
2020-03-16,Canada,4,415,5
2020-03-17,Canada,5,478,6
2020-03-18,Canada,8,657,7
2020-03-19,Canada,9,800,8
2020-03-20,Canada,12,943,9
2020-03-21,Canada,19,1277,10
2020-03-22,Canada,20,1469,11
2020-03-23,Canada,24,2088,12
2020-03-24,Canada,25,2790,13
2020-03-25,Canada,29,3251,14
2020-03-26,Canada,37,4042,15
2020-03-27,Canada,53,4682,16
2020-03-28,Canada,60,5576,17
2020-03-29,Canada,63,6280,18
2020-03-30,Canada,79,7398,19
2020-03-31,Canada,100,8527,20
2020-04-01,Canada,108,9560,21
2020-04-02,Canada,138,11284,22
2020-04-03,Canada,178,12437,23
2020-04-04,Canada,217,12978,24
2020-04-05,Canada,258,15756,25
2020-04-06,Canada,338,16563,26
2020-04-07,Canada,374,17872,27
2020-04-08,Canada,406,19141,28
2020-04-09,Canada,502,20654,29
2020-04-10,Canada,556,22059,30
2020-04-11,Canada,653,23316,31
2020-04-12,Canada,713,24299,32
2020-04-13,Canada,780,25680,33
2020-04-14,Canada,900,27035,34
2020-04-15,Canada,1007,28209,35
2020-04-16,Canada,1258,30809,36
2020-04-17,Canada,1355,32814,37
2020-04-18,Canada,1400,34356,38
2020-04-19,Canada,1564,35633,39
2020-04-20,Canada,1726,37658,40
2020-04-21,Canada,1909,39402,41
2020-04-22,Canada,2077,41663,42
2020-04-23,Canada,2240,43299,43
2020-04-24,Canada,2401,44919,44
2020-04-25,Canada,2570,46371,45
2020-04-26,Canada,2686,48033,46
2020-04-27,Canada,2840,49616,47
2020-04-28,Canada,2982,51150,48
2020-04-29,Canada,3154,52865,49
2020-04-30,Canada,3309,54457,50
2020-05-01,Canada,3536,56342,51
2020-05-02,Canada,3683,57925,52
2020-05-03,Canada,3794,60503,53
2020-05-04,Canada,4002,61956,54
2020-05-05,Canada,4189,63214,55
2020-05-06,Canada,4365,64693,56
2020-05-07,Canada,4540,66200,57
2020-05-08,Canada,4696,67673,58
2020-05-09,Canada,4822,68917,59
2020-05-10,Canada,4990,70090,60
2020-05-11,Canada,5114,71263,61
2020-05-12,Canada,5299,72418,62
2020-05-13,Canada,5424,73567,63
2020-05-14,Canada,5591,74780,64
