Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-14,North America,Canada,None,74843.0,74578.0,74917.0,74892.0,74928.0,65720.0,73702.0,74972.0,74925.0,74976.0,74930.0,74662.0,74760.0,74386.0,74912.0,63851.0,74674.0,66627.0,74452.0,74806.0,74803.0,74117.0,72329.0,74949.0,74777.0,55031.0,74836.0,74910.0,75005.0,74636.0,74921.0,74815.0,65153.0,74695.0,74951.0,74959.0,74875.0,75031.0,71738.0,74570.0,73465.0,75038.0,74866.0,73623.0,74884.0,74979.0,74939.0,74965.0,74902.0,61145.0,74304.0,75056.0,74837.0,74766.0,74841.0,74341.0,74884.0,74921.0,74937.0,74944.0,74873.0,74838.0,73709.0,75033.0,74726.0,73188.0,74159.0,70527.0,74908.0,74492.0,74721.0,75887.0,75031.0,75103.0,74800.0,74990.0,74498.0,72895.0,74862.0,74850.0,75011.0,74930.0,74811.0,71544.0,73167.0,74882.0,74958.0,62382.0,70054.0,74858.0,73690.0,73933.0,73028.0,72728.0,74979.0,74983.0,74913.0,74190.0,74680.0,62725.0
2020-05-15,North America,Canada,None,75943.0,75642.0,76038.0,76003.0,76048.0,66166.0,74633.0,76112.0,76054.0,76110.0,76056.0,75734.0,75848.0,75415.0,76035.0,64175.0,75757.0,67157.0,75495.0,75899.0,75886.0,75105.0,73049.0,76073.0,75862.0,55296.0,75934.0,76031.0,76143.0,75703.0,76038.0,75901.0,65528.0,75767.0,76081.0,76095.0,75983.0,76179.0,72445.0,75636.0,74355.0,76187.0,75975.0,74536.0,75993.0,76120.0,76063.0,76100.0,76019.0,61361.0,75306.0,76214.0,75932.0,75845.0,75945.0,75372.0,75999.0,76047.0,76064.0,76070.0,75985.0,75935.0,74635.0,76183.0,75799.0,74040.0,75162.0,71024.0,76021.0,75538.0,75814.0,77124.0,76179.0,76264.0,75896.0,76133.0,75551.0,73748.0,75971.0,75955.0,76154.0,76061.0,75902.0,72166.0,74008.0,75989.0,76091.0,62572.0,70836.0,75954.0,74608.0,74895.0,73854.0,73636.0,76123.0,76127.0,76042.0,75198.0,75755.0,63035.0
2020-05-16,North America,Canada,None,77001.0,76662.0,77116.0,77075.0,77126.0,66587.0,75525.0,77214.0,77146.0,77208.0,77144.0,76759.0,76895.0,76397.0,77119.0,64473.0,76796.0,67657.0,76492.0,76952.0,76927.0,76052.0,73723.0,77158.0,76905.0,55543.0,76988.0,77110.0,77244.0,76728.0,77112.0,76945.0,65874.0,76798.0,77174.0,77189.0,77053.0,77286.0,73106.0,76664.0,75197.0,77299.0,77046.0,75405.0,77063.0,77223.0,77144.0,77198.0,77097.0,61561.0,76265.0,77337.0,76987.0,76883.0,77007.0,76357.0,77075.0,77136.0,77150.0,77155.0,77056.0,76988.0,75515.0,77297.0,76831.0,74843.0,76118.0,71478.0,77094.0,76546.0,76864.0,78324.0,77288.0,77392.0,76949.0,77232.0,76568.0,74553.0,77038.0,77016.0,77261.0,77156.0,76948.0,72740.0,74799.0,77057.0,77183.0,62743.0,71583.0,77009.0,75480.0,75817.0,74634.0,74509.0,77227.0,77232.0,77128.0,76161.0,76789.0,63322.0
2020-05-17,North America,Canada,None,78020.0,77637.0,78155.0,78108.0,78164.0,66982.0,76375.0,78279.0,78201.0,78270.0,78191.0,77741.0,77901.0,77336.0,78164.0,64749.0,77793.0,68134.0,77442.0,77966.0,77927.0,76961.0,74353.0,78206.0,77908.0,55774.0,77996.0,78152.0,78308.0,77712.0,78147.0,77949.0,66196.0,77789.0,78230.0,78242.0,78083.0,78350.0,73723.0,77651.0,75991.0,78375.0,78077.0,76227.0,78093.0,78289.0,78185.0,78258.0,78137.0,61743.0,77181.0,78423.0,78004.0,77878.0,78022.0,77299.0,78114.0,78189.0,78199.0,78202.0,78086.0,78001.0,76350.0,78376.0,77819.0,75603.0,77029.0,71889.0,78129.0,77521.0,77871.0,79486.0,78361.0,78484.0,77961.0,78289.0,77545.0,75311.0,78063.0,78034.0,78333.0,78212.0,77952.0,73272.0,75543.0,78086.0,78234.0,62895.0,72296.0,78024.0,76308.0,76696.0,75370.0,75348.0,78293.0,78295.0,78173.0,77078.0,77783.0,63588.0
2020-05-18,North America,Canada,None,79000.0,78571.0,79156.0,79102.0,79165.0,67350.0,77180.0,79305.0,79216.0,79294.0,79195.0,78684.0,78868.0,78235.0,79173.0,65006.0,78751.0,68586.0,78349.0,78941.0,78887.0,77828.0,74942.0,79216.0,78870.0,55989.0,78961.0,79161.0,79334.0,78655.0,79145.0,78912.0,66496.0,78739.0,79247.0,79258.0,79075.0,79374.0,74300.0,78594.0,76744.0,79417.0,79071.0,77003.0,79085.0,79315.0,79190.0,79280.0,79139.0,61910.0,78055.0,79472.0,78982.0,78829.0,78995.0,78203.0,79113.0,79208.0,79211.0,79212.0,79077.0,78974.0,77143.0,79420.0,78762.0,76323.0,77896.0,72259.0,79126.0,78456.0,78835.0,80611.0,79399.0,79541.0,78933.0,79309.0,78479.0,76030.0,79048.0,79013.0,79371.0,79229.0,78916.0,73765.0,76245.0,79077.0,79247.0,63031.0,72979.0,78999.0,77087.0,77532.0,76064.0,76147.0,79317.0,79321.0,79177.0,77952.0,78735.0,63836.0
2020-05-19,North America,Canada,None,79941.0,79465.0,80119.0,80057.0,80128.0,67693.0,77944.0,80291.0,80191.0,80280.0,80161.0,79590.0,79797.0,79096.0,80145.0,65243.0,79674.0,69011.0,79218.0,79873.0,79806.0,78652.0,75486.0,80187.0,79793.0,56187.0,79886.0,80131.0,80321.0,79556.0,80107.0,79833.0,66773.0,79649.0,80224.0,80238.0,80028.0,80361.0,74840.0,79494.0,77457.0,80425.0,80025.0,77736.0,80038.0,80302.0,80160.0,80261.0,80102.0,62061.0,78885.0,80481.0,79918.0,79735.0,79930.0,79070.0,80072.0,80192.0,80188.0,80186.0,80028.0,79909.0,77894.0,80428.0,79660.0,77002.0,78724.0,72594.0,80086.0,79349.0,79760.0,81700.0,80404.0,80560.0,79865.0,80296.0,79372.0,76716.0,79995.0,79954.0,80374.0,80206.0,79841.0,74217.0,76904.0,80028.0,80224.0,63153.0,73637.0,79934.0,77823.0,78325.0,76715.0,76908.0,80304.0,80312.0,80142.0,78784.0,79644.0,64066.0
2020-05-20,North America,Canada,None,80844.0,80322.0,81046.0,80972.0,81056.0,68016.0,78667.0,81240.0,81127.0,81226.0,81090.0,80457.0,80686.0,79916.0,81080.0,65460.0,80559.0,69410.0,80049.0,80763.0,80683.0,79435.0,75989.0,81118.0,80675.0,56371.0,80773.0,81063.0,81268.0,80415.0,81033.0,80710.0,67028.0,80516.0,81161.0,81185.0,80940.0,81315.0,75343.0,80354.0,78132.0,81398.0,80939.0,78430.0,80952.0,81251.0,81095.0,81203.0,81024.0,62199.0,79669.0,81453.0,80811.0,80599.0,80826.0,79898.0,80990.0,81139.0,81129.0,81124.0,80939.0,80804.0,78606.0,81399.0,80518.0,77640.0,79516.0,72898.0,81009.0,80200.0,80649.0,82751.0,81375.0,81539.0,80760.0,81249.0,80223.0,77362.0,80904.0,80857.0,81342.0,81145.0,80726.0,74630.0,77523.0,80939.0,81167.0,63262.0,74269.0,80828.0,78519.0,79077.0,77325.0,77632.0,81256.0,81269.0,81074.0,79581.0,80511.0,64279.0
2020-05-21,North America,Canada,None,81705.0,81146.0,81934.0,81846.0,81947.0,68317.0,79354.0,82152.0,82027.0,82136.0,81983.0,81283.0,81534.0,80696.0,81977.0,65659.0,81405.0,69786.0,80842.0,81612.0,81518.0,80177.0,76455.0,82009.0,81516.0,56542.0,81623.0,81955.0,82177.0,81236.0,81923.0,81546.0,67263.0,81341.0,82061.0,82097.0,81812.0,82233.0,75810.0,81177.0,78768.0,82335.0,81813.0,79088.0,81825.0,82165.0,81995.0,82109.0,81907.0,62326.0,80413.0,82389.0,81661.0,81424.0,81686.0,80687.0,81870.0,82046.0,82032.0,82025.0,81811.0,81659.0,79278.0,82331.0,81337.0,78238.0,80269.0,73172.0,81891.0,81010.0,81503.0,83766.0,82310.0,82479.0,81616.0,82169.0,81037.0,77969.0,81775.0,81721.0,82271.0,82049.0,81572.0,75010.0,78100.0,81808.0,82074.0,63358.0,74871.0,81680.0,79177.0,79791.0,77895.0,78322.0,82176.0,82193.0,81971.0,80340.0,81340.0,64475.0
2020-05-22,North America,Canada,None,82526.0,81932.0,82783.0,82682.0,82800.0,68598.0,80005.0,83031.0,82892.0,83010.0,82841.0,82069.0,82343.0,81435.0,82835.0,65842.0,82213.0,70144.0,81595.0,82424.0,82314.0,80882.0,76888.0,82864.0,82318.0,56702.0,82436.0,82811.0,83050.0,82019.0,82773.0,82342.0,67480.0,82129.0,82926.0,82974.0,82646.0,83114.0,76244.0,81966.0,79363.0,83234.0,82649.0,79709.0,82660.0,83045.0,82856.0,82979.0,82753.0,62441.0,81118.0,83291.0,82474.0,82213.0,82509.0,81437.0,82713.0,82915.0,82894.0,82886.0,82647.0,82472.0,79912.0,83224.0,82119.0,78799.0,80984.0,73417.0,82732.0,81784.0,82319.0,84744.0,83209.0,83385.0,82433.0,83053.0,81816.0,78539.0,82608.0,82547.0,83159.0,82918.0,82376.0,75359.0,78640.0,82638.0,82944.0,63444.0,75442.0,82493.0,79797.0,80470.0,78429.0,78981.0,83065.0,83084.0,82832.0,81061.0,82132.0,64657.0
2020-05-23,North America,Canada,None,83312.0,82680.0,83595.0,83482.0,83614.0,68859.0,80621.0,83876.0,83724.0,83851.0,83662.0,82819.0,83115.0,82138.0,83659.0,66012.0,82983.0,70479.0,82309.0,83202.0,83073.0,81554.0,77289.0,83684.0,83082.0,56850.0,83211.0,83633.0,83890.0,82766.0,83582.0,83103.0,67680.0,82881.0,83757.0,83813.0,83446.0,83958.0,76647.0,82719.0,79920.0,84095.0,83451.0,80293.0,83458.0,83892.0,83675.0,83816.0,83565.0,62545.0,81788.0,84161.0,83251.0,82965.0,83293.0,82149.0,83522.0,83750.0,83721.0,83709.0,83448.0,83247.0,80510.0,84081.0,82862.0,79327.0,81661.0,73635.0,83535.0,82526.0,83098.0,85688.0,84069.0,84257.0,83211.0,83899.0,82562.0,79076.0,83402.0,83332.0,84012.0,83754.0,83140.0,75678.0,79146.0,83433.0,83775.0,63520.0,75984.0,83269.0,80379.0,81113.0,78930.0,79609.0,83920.0,83940.0,83656.0,81745.0,82890.0,64827.0
