Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-14,North America,Canada,None,5575.0,5575.0,5576.0,5575.0,5577.0,5024.0,5571.0,5577.0,5577.0,5577.0,5576.0,5575.0,5576.0,5574.0,5577.0,4939.0,5575.0,5046.0,5574.0,5575.0,5575.0,5572.0,5564.0,5578.0,5575.0,4772.0,5575.0,5576.0,5577.0,5575.0,5577.0,5575.0,5035.0,5575.0,5577.0,5577.0,5578.0,5576.0,5512.0,5574.0,5569.0,5579.0,5576.0,5570.0,5576.0,5577.0,5577.0,5577.0,5576.0,4757.0,5573.0,5579.0,5575.0,5574.0,5576.0,5573.0,5577.0,5576.0,5577.0,5577.0,5576.0,5575.0,5570.0,5579.0,5575.0,5567.0,5572.0,5553.0,5577.0,5575.0,5576.0,4935.0,5578.0,5578.0,5576.0,5577.0,5575.0,5536.0,5576.0,5576.0,5578.0,5577.0,5576.0,5559.0,5568.0,5576.0,5576.0,4939.0,5236.0,5575.0,5570.0,5571.0,5567.0,5463.0,5577.0,5577.0,5577.0,5573.0,5575.0,4823.0
2020-05-15,North America,Canada,None,5733.0,5731.0,5734.0,5733.0,5736.0,5120.0,5723.0,5736.0,5736.0,5735.0,5735.0,5732.0,5733.0,5730.0,5736.0,5025.0,5732.0,5147.0,5729.0,5733.0,5733.0,5726.0,5708.0,5736.0,5733.0,4848.0,5733.0,5734.0,5736.0,5732.0,5736.0,5732.0,5128.0,5732.0,5735.0,5736.0,5736.0,5735.0,5651.0,5731.0,5719.0,5738.0,5734.0,5721.0,5735.0,5736.0,5736.0,5736.0,5735.0,4829.0,5728.0,5738.0,5733.0,5731.0,5734.0,5729.0,5735.0,5735.0,5736.0,5736.0,5734.0,5733.0,5722.0,5738.0,5732.0,5716.0,5727.0,5688.0,5735.0,5731.0,5733.0,5023.0,5738.0,5738.0,5733.0,5736.0,5731.0,5682.0,5734.0,5734.0,5737.0,5736.0,5734.0,5699.0,5716.0,5734.0,5735.0,5019.0,5358.0,5733.0,5722.0,5724.0,5715.0,5606.0,5735.0,5736.0,5735.0,5727.0,5732.0,4902.0
2020-05-16,North America,Canada,None,5890.0,5886.0,5891.0,5890.0,5893.0,5214.0,5873.0,5894.0,5893.0,5893.0,5892.0,5887.0,5889.0,5883.0,5893.0,5109.0,5888.0,5245.0,5883.0,5889.0,5889.0,5878.0,5850.0,5894.0,5889.0,4922.0,5890.0,5891.0,5894.0,5887.0,5893.0,5888.0,5220.0,5888.0,5892.0,5894.0,5893.0,5893.0,5788.0,5886.0,5867.0,5896.0,5890.0,5870.0,5891.0,5893.0,5893.0,5893.0,5892.0,4898.0,5881.0,5896.0,5890.0,5887.0,5890.0,5882.0,5892.0,5892.0,5893.0,5893.0,5891.0,5889.0,5871.0,5896.0,5888.0,5863.0,5879.0,5819.0,5892.0,5885.0,5889.0,5109.0,5896.0,5896.0,5890.0,5893.0,5885.0,5826.0,5891.0,5891.0,5895.0,5893.0,5890.0,5836.0,5863.0,5891.0,5892.0,5096.0,5478.0,5889.0,5871.0,5874.0,5860.0,5747.0,5893.0,5893.0,5892.0,5879.0,5888.0,4979.0
2020-05-17,North America,Canada,None,6044.0,6039.0,6047.0,6045.0,6049.0,5305.0,6020.0,6050.0,6049.0,6049.0,6047.0,6040.0,6043.0,6035.0,6048.0,5190.0,6041.0,5341.0,6036.0,6044.0,6043.0,6028.0,5988.0,6049.0,6043.0,4994.0,6044.0,6047.0,6050.0,6040.0,6048.0,6043.0,5308.0,6041.0,6048.0,6049.0,6048.0,6049.0,5921.0,6039.0,6013.0,6053.0,6045.0,6016.0,6047.0,6049.0,6049.0,6049.0,6047.0,4964.0,6031.0,6053.0,6044.0,6041.0,6045.0,6034.0,6047.0,6048.0,6049.0,6049.0,6046.0,6044.0,6018.0,6053.0,6042.0,6007.0,6029.0,5947.0,6048.0,6038.0,6043.0,5192.0,6052.0,6053.0,6044.0,6049.0,6038.0,5968.0,6046.0,6045.0,6051.0,6049.0,6044.0,5970.0,6006.0,6046.0,6048.0,5170.0,5596.0,6044.0,6018.0,6023.0,6003.0,5885.0,6049.0,6049.0,6047.0,6030.0,6041.0,5053.0
2020-05-18,North America,Canada,None,6197.0,6190.0,6200.0,6199.0,6202.0,5394.0,6165.0,6204.0,6203.0,6203.0,6201.0,6192.0,6195.0,6185.0,6202.0,5268.0,6193.0,5435.0,6185.0,6196.0,6195.0,6175.0,6123.0,6203.0,6195.0,5063.0,6197.0,6200.0,6204.0,6192.0,6202.0,6195.0,5394.0,6193.0,6202.0,6204.0,6201.0,6204.0,6051.0,6190.0,6156.0,6208.0,6199.0,6160.0,6200.0,6204.0,6203.0,6203.0,6201.0,5029.0,6180.0,6208.0,6197.0,6193.0,6198.0,6183.0,6200.0,6202.0,6203.0,6203.0,6199.0,6197.0,6163.0,6208.0,6193.0,6148.0,6177.0,6070.0,6201.0,6188.0,6195.0,5273.0,6207.0,6208.0,6197.0,6204.0,6188.0,6106.0,6199.0,6198.0,6205.0,6203.0,6197.0,6100.0,6147.0,6199.0,6202.0,5241.0,5712.0,6196.0,6162.0,6169.0,6143.0,6022.0,6203.0,6204.0,6201.0,6178.0,6193.0,5125.0
2020-05-19,North America,Canada,None,6348.0,6339.0,6352.0,6350.0,6354.0,5480.0,6307.0,6357.0,6355.0,6355.0,6353.0,6341.0,6346.0,6332.0,6354.0,5344.0,6343.0,5527.0,6333.0,6347.0,6346.0,6321.0,6254.0,6355.0,6345.0,5130.0,6347.0,6352.0,6357.0,6341.0,6354.0,6345.0,5477.0,6343.0,6354.0,6356.0,6352.0,6356.0,6179.0,6339.0,6296.0,6361.0,6350.0,6302.0,6351.0,6356.0,6355.0,6355.0,6352.0,5091.0,6326.0,6362.0,6347.0,6342.0,6349.0,6330.0,6352.0,6354.0,6355.0,6355.0,6351.0,6347.0,6305.0,6361.0,6343.0,6286.0,6323.0,6189.0,6353.0,6336.0,6345.0,5351.0,6360.0,6362.0,6347.0,6356.0,6337.0,6242.0,6350.0,6349.0,6358.0,6355.0,6347.0,6226.0,6284.0,6350.0,6354.0,5310.0,5826.0,6347.0,6304.0,6313.0,6280.0,6156.0,6356.0,6357.0,6353.0,6324.0,6342.0,5195.0
2020-05-20,North America,Canada,None,6497.0,6486.0,6502.0,6499.0,6504.0,5564.0,6447.0,6507.0,6505.0,6506.0,6503.0,6488.0,6494.0,6477.0,6504.0,5417.0,6491.0,5616.0,6479.0,6495.0,6494.0,6463.0,6382.0,6505.0,6493.0,5195.0,6496.0,6502.0,6508.0,6488.0,6503.0,6493.0,5557.0,6490.0,6505.0,6506.0,6502.0,6507.0,6302.0,6485.0,6433.0,6512.0,6499.0,6440.0,6500.0,6507.0,6504.0,6506.0,6502.0,5150.0,6470.0,6513.0,6496.0,6490.0,6498.0,6475.0,6501.0,6504.0,6505.0,6505.0,6500.0,6496.0,6444.0,6512.0,6490.0,6421.0,6466.0,6305.0,6502.0,6482.0,6493.0,5427.0,6512.0,6514.0,6496.0,6507.0,6483.0,6375.0,6499.0,6498.0,6509.0,6505.0,6495.0,6348.0,6419.0,6499.0,6504.0,5375.0,5938.0,6496.0,6442.0,6454.0,6414.0,6287.0,6507.0,6507.0,6503.0,6467.0,6490.0,5263.0
2020-05-21,North America,Canada,None,6643.0,6630.0,6649.0,6646.0,6652.0,5645.0,6583.0,6656.0,6653.0,6654.0,6650.0,6633.0,6640.0,6619.0,6652.0,5488.0,6636.0,5703.0,6621.0,6641.0,6639.0,6604.0,6507.0,6653.0,6639.0,5258.0,6642.0,6649.0,6656.0,6632.0,6651.0,6639.0,5635.0,6635.0,6653.0,6655.0,6649.0,6656.0,6423.0,6630.0,6567.0,6662.0,6646.0,6576.0,6648.0,6656.0,6652.0,6654.0,6649.0,5208.0,6611.0,6663.0,6642.0,6635.0,6644.0,6617.0,6649.0,6652.0,6653.0,6653.0,6647.0,6642.0,6580.0,6661.0,6635.0,6553.0,6606.0,6416.0,6650.0,6626.0,6639.0,5500.0,6661.0,6664.0,6642.0,6656.0,6627.0,6505.0,6646.0,6645.0,6658.0,6653.0,6641.0,6467.0,6550.0,6646.0,6652.0,5438.0,6047.0,6642.0,6578.0,6593.0,6544.0,6417.0,6655.0,6656.0,6651.0,6608.0,6635.0,5328.0
2020-05-22,North America,Canada,None,6787.0,6772.0,6795.0,6791.0,6797.0,5724.0,6717.0,6802.0,6799.0,6801.0,6796.0,6775.0,6783.0,6759.0,6798.0,5556.0,6779.0,5788.0,6762.0,6785.0,6783.0,6741.0,6628.0,6799.0,6782.0,5318.0,6786.0,6795.0,6803.0,6774.0,6796.0,6782.0,5710.0,6777.0,6799.0,6801.0,6794.0,6803.0,6540.0,6772.0,6698.0,6809.0,6791.0,6708.0,6792.0,6802.0,6798.0,6800.0,6795.0,5263.0,6749.0,6811.0,6786.0,6778.0,6788.0,6757.0,6794.0,6798.0,6799.0,6798.0,6792.0,6786.0,6714.0,6809.0,6778.0,6682.0,6744.0,6523.0,6795.0,6767.0,6782.0,5571.0,6808.0,6812.0,6785.0,6802.0,6768.0,6632.0,6791.0,6789.0,6805.0,6799.0,6785.0,6582.0,6679.0,6791.0,6798.0,5498.0,6155.0,6786.0,6711.0,6729.0,6672.0,6543.0,6802.0,6803.0,6796.0,6746.0,6777.0,5391.0
2020-05-23,North America,Canada,None,6929.0,6911.0,6938.0,6934.0,6940.0,5800.0,6848.0,6947.0,6943.0,6945.0,6939.0,6915.0,6924.0,6896.0,6941.0,5622.0,6919.0,5870.0,6899.0,6927.0,6923.0,6876.0,6746.0,6943.0,6923.0,5377.0,6927.0,6938.0,6947.0,6914.0,6939.0,6923.0,5783.0,6917.0,6942.0,6945.0,6936.0,6947.0,6654.0,6911.0,6826.0,6954.0,6933.0,6838.0,6935.0,6947.0,6941.0,6944.0,6937.0,5316.0,6885.0,6956.0,6928.0,6918.0,6930.0,6894.0,6936.0,6941.0,6943.0,6942.0,6934.0,6927.0,6844.0,6954.0,6917.0,6807.0,6879.0,6627.0,6938.0,6906.0,6923.0,5640.0,6953.0,6958.0,6927.0,6946.0,6907.0,6756.0,6933.0,6931.0,6950.0,6943.0,6926.0,6694.0,6804.0,6933.0,6942.0,5556.0,6260.0,6927.0,6841.0,6861.0,6796.0,6667.0,6946.0,6947.0,6939.0,6882.0,6917.0,5452.0
