date,region,death_cnt,case_cnt,day_since100
2020-03-11,FL,0.0,28,-4
2020-03-12,FL,0.0,32,-3
2020-03-13,FL,0.0,50,-2
2020-03-14,FL,0.0,77,-1
2020-03-15,FL,0.0,116,0
2020-03-16,FL,0.0,141,1
2020-03-17,FL,0.0,186,2
2020-03-18,FL,7.0,314,3
2020-03-19,FL,8.0,390,4
2020-03-20,FL,10.0,520,5
2020-03-21,FL,12.0,658,6
2020-03-22,FL,13.0,830,7
2020-03-23,FL,14.0,1171,8
2020-03-24,FL,18.0,1412,9
2020-03-25,FL,22.0,1682,10
2020-03-26,FL,28.0,2355,11
2020-03-27,FL,34.0,2765,12
2020-03-28,FL,54.0,3763,13
2020-03-29,FL,56.0,4246,14
2020-03-30,FL,63.0,5473,15
2020-03-31,FL,77.0,6338,16
2020-04-01,FL,87.0,6955,17
2020-04-02,FL,128.0,8010,18
2020-04-03,FL,163.0,9585,19
2020-04-04,FL,191.0,11111,20
2020-04-05,FL,218.0,12151,21
2020-04-06,FL,236.0,13324,22
2020-04-07,FL,296.0,14747,23
2020-04-08,FL,309.0,15455,24
2020-04-09,FL,354.0,16364,25
2020-04-10,FL,390.0,17531,26
2020-04-11,FL,438.0,18494,27
2020-04-12,FL,465.0,19355,28
2020-04-13,FL,483.0,20601,29
2020-04-14,FL,537.0,21367,30
2020-04-15,FL,609.0,22511,31
2020-04-16,FL,646.0,22897,32
2020-04-17,FL,699.0,24119,33
2020-04-18,FL,754.0,25269,34
2020-04-19,FL,781.0,25996,35
2020-04-20,FL,806.0,26660,36
2020-04-21,FL,856.0,27495,37
2020-04-22,FL,910.0,28309,38
2020-04-23,FL,979.0,28832,39
2020-04-24,FL,1031.0,30174,40
2020-04-25,FL,1075.0,30839,41
2020-04-26,FL,1094.0,31528,42
2020-04-27,FL,1101.0,32138,43
2020-04-28,FL,1154.0,32846,44
2020-04-29,FL,1240.0,33193,45
2020-04-30,FL,1290.0,33690,46
2020-05-01,FL,1314.0,34728,47
2020-05-02,FL,1388.0,35463,48
2020-05-03,FL,1403.0,36078,49
2020-05-04,FL,1423.0,36897,50
2020-05-05,FL,1536.0,37439,51
2020-05-06,FL,1605.0,38002,52
2020-05-07,FL,1667.0,38828,53
2020-05-08,FL,1738.0,39199,54
2020-05-09,FL,1785.0,40001,55
2020-05-10,FL,1791.0,40596,56
2020-05-11,FL,1805.0,40982,57
2020-05-12,FL,1849.0,41923,58
2020-05-13,FL,1898.0,42402,59
2020-05-14,FL,1948.0,43210,60
2020-05-15,FL,1991.0,43210,61
