Day,Continent,Country,Province,daily_deaths sim0,daily_deaths sim1,daily_deaths sim2,daily_deaths sim3,daily_deaths sim4,daily_deaths sim5,daily_deaths sim6,daily_deaths sim7,daily_deaths sim8,daily_deaths sim9,daily_deaths sim10,daily_deaths sim11,daily_deaths sim12,daily_deaths sim13,daily_deaths sim14,daily_deaths sim15,daily_deaths sim16,daily_deaths sim17,daily_deaths sim18,daily_deaths sim19,daily_deaths sim20,daily_deaths sim21,daily_deaths sim22,daily_deaths sim23,daily_deaths sim24,daily_deaths sim25,daily_deaths sim26,daily_deaths sim27,daily_deaths sim28,daily_deaths sim29,daily_deaths sim30,daily_deaths sim31,daily_deaths sim32,daily_deaths sim33,daily_deaths sim34,daily_deaths sim35,daily_deaths sim36,daily_deaths sim37,daily_deaths sim38,daily_deaths sim39,daily_deaths sim40,daily_deaths sim41,daily_deaths sim42,daily_deaths sim43,daily_deaths sim44,daily_deaths sim45,daily_deaths sim46,daily_deaths sim47,daily_deaths sim48,daily_deaths sim49,daily_deaths sim50,daily_deaths sim51,daily_deaths sim52,daily_deaths sim53,daily_deaths sim54,daily_deaths sim55,daily_deaths sim56,daily_deaths sim57,daily_deaths sim58,daily_deaths sim59,daily_deaths sim60,daily_deaths sim61,daily_deaths sim62,daily_deaths sim63,daily_deaths sim64,daily_deaths sim65,daily_deaths sim66,daily_deaths sim67,daily_deaths sim68,daily_deaths sim69,daily_deaths sim70,daily_deaths sim71,daily_deaths sim72,daily_deaths sim73,daily_deaths sim74,daily_deaths sim75,daily_deaths sim76,daily_deaths sim77,daily_deaths sim78,daily_deaths sim79,daily_deaths sim80,daily_deaths sim81,daily_deaths sim82,daily_deaths sim83,daily_deaths sim84,daily_deaths sim85,daily_deaths sim86,daily_deaths sim87,daily_deaths sim88,daily_deaths sim89,daily_deaths sim90,daily_deaths sim91,daily_deaths sim92,daily_deaths sim93,daily_deaths sim94,daily_deaths sim95,daily_deaths sim96,daily_deaths sim97,daily_deaths sim98,daily_deaths sim99
2020-05-15,North America,US,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,North America,US,Florida,54.0,40.0,41.0,40.0,41.0,50.0,6.0,40.0,41.0,10.0,11.0,42.0,39.0,39.0,30.0,40.0,57.0,43.0,38.0,39.0,32.0,50.0,40.0,39.0,5.0,40.0,41.0,6.0,41.0,35.0,43.0,42.0,39.0,46.0,42.0,40.0,41.0,45.0,39.0,34.0,35.0,1.0,42.0,43.0,41.0,40.0,43.0,13.0,40.0,40.0,40.0,44.0,39.0,9.0,39.0,44.0,52.0,41.0,41.0,14.0,12.0,40.0,39.0,44.0,40.0,42.0,43.0,40.0,39.0,41.0,38.0,39.0,40.0,42.0,26.0,41.0,40.0,42.0,45.0,45.0,41.0,39.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,40.0,25.0,41.0,40.0,39.0,44.0,43.0
2020-05-17,North America,US,Florida,55.0,38.0,41.0,39.0,40.0,50.0,6.0,40.0,41.0,9.0,10.0,40.0,39.0,39.0,29.0,39.0,56.0,41.0,38.0,38.0,32.0,51.0,38.0,38.0,5.0,40.0,41.0,6.0,40.0,34.0,42.0,41.0,39.0,47.0,42.0,38.0,40.0,45.0,38.0,33.0,34.0,0.0,41.0,41.0,40.0,40.0,43.0,12.0,38.0,39.0,39.0,45.0,39.0,9.0,39.0,43.0,52.0,40.0,40.0,14.0,12.0,38.0,38.0,43.0,39.0,40.0,42.0,38.0,37.0,39.0,36.0,39.0,39.0,41.0,24.0,40.0,39.0,42.0,44.0,45.0,41.0,38.0,40.0,39.0,39.0,41.0,39.0,39.0,39.0,40.0,38.0,40.0,41.0,38.0,23.0,40.0,39.0,39.0,44.0,43.0
2020-05-18,North America,US,Florida,55.0,38.0,40.0,38.0,39.0,49.0,6.0,39.0,39.0,9.0,10.0,40.0,37.0,38.0,28.0,38.0,56.0,41.0,37.0,38.0,30.0,50.0,38.0,37.0,5.0,38.0,40.0,5.0,40.0,33.0,42.0,40.0,37.0,45.0,42.0,38.0,39.0,43.0,38.0,32.0,33.0,0.0,40.0,41.0,40.0,40.0,41.0,12.0,38.0,37.0,39.0,43.0,38.0,8.0,38.0,43.0,51.0,40.0,39.0,13.0,10.0,38.0,37.0,42.0,38.0,40.0,42.0,38.0,37.0,39.0,36.0,38.0,38.0,41.0,24.0,40.0,39.0,41.0,44.0,45.0,39.0,38.0,39.0,39.0,38.0,39.0,38.0,39.0,38.0,40.0,37.0,39.0,41.0,38.0,23.0,40.0,39.0,38.0,42.0,43.0
2020-05-19,North America,US,Florida,54.0,37.0,39.0,37.0,38.0,49.0,5.0,38.0,39.0,8.0,9.0,39.0,36.0,37.0,27.0,37.0,56.0,39.0,35.0,37.0,29.0,49.0,37.0,36.0,4.0,37.0,39.0,6.0,38.0,32.0,40.0,39.0,36.0,45.0,40.0,36.0,39.0,44.0,36.0,31.0,32.0,0.0,40.0,40.0,38.0,38.0,41.0,12.0,37.0,37.0,37.0,43.0,37.0,8.0,37.0,42.0,51.0,38.0,39.0,12.0,11.0,37.0,37.0,42.0,38.0,39.0,40.0,37.0,35.0,38.0,35.0,37.0,37.0,40.0,23.0,38.0,37.0,41.0,44.0,44.0,39.0,37.0,38.0,38.0,38.0,39.0,38.0,37.0,37.0,38.0,37.0,38.0,39.0,36.0,22.0,38.0,37.0,36.0,42.0,41.0
2020-05-20,North America,US,Florida,54.0,36.0,38.0,37.0,38.0,49.0,5.0,37.0,37.0,8.0,9.0,38.0,36.0,36.0,26.0,37.0,56.0,39.0,35.0,35.0,28.0,49.0,36.0,35.0,4.0,36.0,38.0,5.0,37.0,32.0,40.0,39.0,36.0,45.0,40.0,36.0,37.0,42.0,35.0,31.0,31.0,1.0,39.0,40.0,37.0,37.0,39.0,10.0,36.0,36.0,36.0,43.0,36.0,7.0,36.0,41.0,50.0,38.0,37.0,12.0,10.0,35.0,35.0,40.0,36.0,38.0,40.0,35.0,35.0,36.0,33.0,35.0,36.0,39.0,22.0,38.0,36.0,39.0,43.0,43.0,38.0,35.0,38.0,36.0,36.0,38.0,36.0,36.0,37.0,38.0,35.0,37.0,39.0,36.0,21.0,38.0,37.0,36.0,42.0,41.0
2020-05-21,North America,US,Florida,53.0,35.0,37.0,35.0,36.0,48.0,5.0,37.0,37.0,8.0,9.0,38.0,34.0,35.0,25.0,35.0,55.0,38.0,33.0,35.0,26.0,49.0,35.0,34.0,4.0,36.0,37.0,5.0,37.0,31.0,40.0,37.0,34.0,44.0,39.0,35.0,37.0,42.0,35.0,30.0,30.0,0.0,38.0,38.0,37.0,36.0,40.0,11.0,36.0,35.0,36.0,41.0,35.0,7.0,35.0,40.0,50.0,37.0,37.0,12.0,9.0,35.0,34.0,40.0,36.0,37.0,40.0,35.0,33.0,36.0,33.0,35.0,35.0,38.0,20.0,36.0,36.0,39.0,42.0,42.0,37.0,35.0,36.0,37.0,35.0,37.0,36.0,35.0,35.0,36.0,36.0,36.0,38.0,35.0,20.0,37.0,36.0,35.0,40.0,41.0
2020-05-22,North America,US,Florida,53.0,35.0,37.0,35.0,36.0,47.0,4.0,35.0,36.0,7.0,8.0,36.0,34.0,34.0,24.0,35.0,55.0,38.0,33.0,34.0,26.0,48.0,34.0,33.0,4.0,34.0,36.0,4.0,36.0,30.0,38.0,37.0,34.0,43.0,39.0,34.0,36.0,42.0,33.0,29.0,28.0,0.0,37.0,38.0,36.0,36.0,38.0,10.0,34.0,34.0,34.0,41.0,34.0,6.0,34.0,40.0,50.0,36.0,35.0,11.0,9.0,34.0,34.0,40.0,34.0,36.0,38.0,34.0,32.0,35.0,32.0,34.0,34.0,37.0,20.0,36.0,34.0,38.0,42.0,42.0,36.0,33.0,36.0,35.0,35.0,36.0,34.0,35.0,35.0,36.0,34.0,35.0,38.0,34.0,19.0,36.0,34.0,34.0,40.0,39.0
2020-05-23,North America,US,Florida,53.0,33.0,35.0,33.0,35.0,47.0,5.0,35.0,35.0,7.0,7.0,35.0,32.0,33.0,23.0,34.0,55.0,36.0,31.0,33.0,24.0,47.0,34.0,32.0,4.0,34.0,36.0,4.0,34.0,29.0,38.0,36.0,32.0,43.0,38.0,33.0,36.0,40.0,32.0,28.0,27.0,0.0,36.0,36.0,34.0,35.0,37.0,9.0,33.0,33.0,34.0,40.0,34.0,7.0,34.0,39.0,49.0,35.0,35.0,10.0,9.0,33.0,32.0,38.0,34.0,35.0,38.0,33.0,31.0,34.0,30.0,33.0,34.0,36.0,19.0,35.0,34.0,37.0,41.0,41.0,35.0,33.0,35.0,34.0,33.0,35.0,34.0,33.0,33.0,35.0,34.0,35.0,36.0,32.0,19.0,35.0,34.0,32.0,38.0,39.0
2020-05-24,North America,US,Florida,52.0,32.0,35.0,33.0,34.0,46.0,4.0,33.0,34.0,7.0,8.0,35.0,32.0,32.0,22.0,32.0,54.0,36.0,31.0,32.0,24.0,47.0,32.0,31.0,3.0,33.0,34.0,5.0,34.0,29.0,36.0,35.0,32.0,42.0,37.0,31.0,34.0,40.0,32.0,27.0,27.0,0.0,35.0,36.0,34.0,33.0,37.0,10.0,32.0,32.0,32.0,40.0,32.0,6.0,32.0,38.0,48.0,35.0,34.0,10.0,8.0,32.0,31.0,38.0,33.0,34.0,36.0,32.0,31.0,32.0,30.0,31.0,32.0,36.0,19.0,34.0,32.0,37.0,40.0,40.0,34.0,32.0,33.0,33.0,33.0,35.0,33.0,33.0,33.0,34.0,32.0,33.0,36.0,32.0,18.0,34.0,33.0,32.0,38.0,38.0
