Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,North America,US,Florida,50656.0,42319.0,45434.0,42385.0,42609.0,49881.0,29841.0,42548.0,44974.0,10601.0,9631.0,45547.0,42185.0,42314.0,39615.0,42392.0,50921.0,46336.0,42790.0,42209.0,40690.0,49938.0,42311.0,42123.0,5694.0,42383.0,45337.0,29847.0,43076.0,47004.0,47052.0,45973.0,42215.0,49293.0,48567.0,42265.0,42704.0,48187.0,42212.0,46846.0,40827.0,2913.0,46211.0,46182.0,43129.0,44112.0,46887.0,8213.0,42316.0,42296.0,42371.0,48252.0,42340.0,11687.0,42309.0,47699.0,50179.0,43025.0,44706.0,8762.0,8817.0,42282.0,42210.0,47295.0,42388.0,45237.0,43560.0,42290.0,41952.0,45031.0,41885.0,42313.0,42339.0,46134.0,38215.0,44227.0,42378.0,46605.0,49032.0,48515.0,45098.0,42248.0,42649.0,42485.0,42360.0,42775.0,42402.0,42358.0,42380.0,44437.0,47860.0,42558.0,46341.0,42270.0,35735.0,42912.0,42451.0,42308.0,47123.0,47525.0
2020-05-16,North America,US,Florida,51915.0,42647.0,46052.0,42726.0,42987.0,51029.0,29841.0,42916.0,45542.0,10605.0,9636.0,46173.0,42492.0,42638.0,39773.0,42733.0,52219.0,47044.0,43149.0,42535.0,40844.0,51098.0,42639.0,42422.0,5694.0,42722.0,45945.0,29847.0,43481.0,47787.0,47841.0,46642.0,42524.0,50360.0,49537.0,42583.0,43094.0,49118.0,42517.0,47608.0,41002.0,2913.0,46905.0,46875.0,43536.0,44602.0,47658.0,8225.0,42645.0,42620.0,42709.0,49189.0,42667.0,11689.0,42636.0,48562.0,51369.0,43432.0,45247.0,8771.0,8826.0,42603.0,42525.0,48119.0,42732.0,45829.0,44019.0,42607.0,42226.0,45582.0,42165.0,42628.0,42671.0,46824.0,38284.0,44732.0,42717.0,47348.0,50063.0,49479.0,45677.0,42560.0,43021.0,42845.0,42697.0,43160.0,42744.0,42695.0,42721.0,44957.0,48741.0,42919.0,47049.0,42587.0,35838.0,43305.0,42800.0,42623.0,47927.0,48369.0
2020-05-17,North America,US,Florida,53168.0,42956.0,46651.0,43050.0,43348.0,52165.0,29841.0,43268.0,46091.0,10608.0,9642.0,46780.0,42781.0,42945.0,39918.0,43058.0,53511.0,47733.0,43490.0,42844.0,40984.0,52249.0,42949.0,42704.0,5694.0,43044.0,46534.0,29847.0,43867.0,48551.0,48611.0,47291.0,42811.0,51413.0,50491.0,42883.0,43468.0,50035.0,42802.0,48351.0,41161.0,2913.0,47580.0,47549.0,43924.0,45072.0,48412.0,8235.0,42955.0,42927.0,43030.0,50111.0,42977.0,11691.0,42946.0,49410.0,52550.0,43821.0,45768.0,8779.0,8834.0,42905.0,42823.0,48925.0,43059.0,46401.0,44461.0,42906.0,42480.0,46111.0,42427.0,42923.0,42983.0,47497.0,38345.0,45218.0,43037.0,48073.0,51081.0,50427.0,46236.0,42855.0,43375.0,43187.0,43016.0,43527.0,43069.0,43015.0,43045.0,45458.0,49605.0,43262.0,47738.0,42884.0,35933.0,43681.0,43132.0,42918.0,48713.0,49196.0
2020-05-18,North America,US,Florida,54413.0,43248.0,47230.0,43356.0,43694.0,53291.0,29841.0,43605.0,46621.0,10610.0,9646.0,47369.0,43052.0,43234.0,40052.0,43366.0,54797.0,48404.0,43813.0,43136.0,41109.0,53389.0,43241.0,42968.0,5694.0,43348.0,47105.0,29847.0,44235.0,49296.0,49364.0,47921.0,43080.0,52454.0,51430.0,43167.0,43826.0,50936.0,43068.0,49076.0,41306.0,2913.0,48235.0,48204.0,44294.0,45523.0,49147.0,8245.0,43249.0,43217.0,43334.0,51017.0,43270.0,11692.0,43238.0,50239.0,53721.0,44191.0,46268.0,8787.0,8841.0,43189.0,43105.0,49715.0,43370.0,46952.0,44885.0,43187.0,42714.0,46618.0,42671.0,43199.0,43277.0,48152.0,38399.0,45686.0,43339.0,48781.0,52085.0,51360.0,46776.0,43132.0,43710.0,43511.0,43319.0,43879.0,43378.0,43319.0,43351.0,45938.0,50452.0,43588.0,48409.0,43162.0,36020.0,44040.0,43447.0,43194.0,49480.0,50005.0
2020-05-19,North America,US,Florida,55649.0,43523.0,47789.0,43646.0,44025.0,54405.0,29841.0,43927.0,47133.0,10613.0,9651.0,47939.0,43306.0,43506.0,40174.0,43658.0,56076.0,49056.0,44118.0,43412.0,41221.0,54518.0,43519.0,43214.0,5694.0,43636.0,47658.0,29847.0,44585.0,50023.0,50097.0,48531.0,43332.0,53480.0,52353.0,43435.0,44169.0,51821.0,43316.0,49783.0,41439.0,2913.0,48870.0,48841.0,44647.0,45955.0,49865.0,8255.0,43527.0,43490.0,43621.0,51908.0,43546.0,11693.0,43515.0,51052.0,54882.0,44545.0,46750.0,8794.0,8848.0,43457.0,43370.0,50488.0,43664.0,47484.0,45293.0,43451.0,42931.0,47105.0,42900.0,43458.0,43555.0,48789.0,38445.0,46136.0,43625.0,49470.0,53074.0,52277.0,47297.0,43391.0,44027.0,43820.0,43606.0,44215.0,43672.0,43605.0,43641.0,46401.0,51281.0,43898.0,49059.0,43423.0,36100.0,44383.0,43745.0,43452.0,50230.0,50797.0
2020-05-20,North America,US,Florida,56877.0,43783.0,48329.0,43921.0,44341.0,55507.0,29841.0,44234.0,47625.0,10615.0,9655.0,48489.0,43544.0,43763.0,40285.0,43934.0,57346.0,49688.0,44406.0,43673.0,41321.0,55635.0,43780.0,43444.0,5694.0,43910.0,48193.0,29847.0,44918.0,50732.0,50811.0,49121.0,43568.0,54492.0,53260.0,43686.0,44498.0,52690.0,43547.0,50470.0,41559.0,2913.0,49485.0,49459.0,44985.0,46368.0,50565.0,8263.0,43790.0,43744.0,43891.0,52783.0,43807.0,11695.0,43777.0,51846.0,56032.0,44882.0,47212.0,8800.0,8854.0,43710.0,43618.0,51243.0,43942.0,47998.0,45684.0,43699.0,43133.0,47573.0,43114.0,43701.0,43817.0,49408.0,38487.0,46566.0,43896.0,50141.0,54048.0,53178.0,47800.0,43632.0,44328.0,44113.0,43876.0,44535.0,43950.0,43876.0,43914.0,46845.0,52093.0,44192.0,49690.0,43668.0,36173.0,44711.0,44027.0,43694.0,50961.0,51570.0
2020-05-21,North America,US,Florida,58095.0,44029.0,48851.0,44181.0,44645.0,56596.0,29841.0,44528.0,48099.0,10617.0,9658.0,49021.0,43766.0,44005.0,40388.0,44194.0,58608.0,50301.0,44677.0,43919.0,41411.0,56741.0,44027.0,43660.0,5694.0,44168.0,48710.0,29847.0,45235.0,51423.0,51506.0,49691.0,43790.0,55489.0,54150.0,43922.0,44813.0,53543.0,43763.0,51139.0,41668.0,2913.0,50080.0,50057.0,45307.0,46763.0,51246.0,8271.0,44038.0,43983.0,44145.0,53642.0,44053.0,11695.0,44024.0,52621.0,57169.0,45205.0,47657.0,8806.0,8860.0,43948.0,43851.0,51981.0,44206.0,48494.0,46060.0,43931.0,43321.0,48022.0,43313.0,43929.0,44064.0,50009.0,38523.0,46979.0,44152.0,50794.0,55007.0,54062.0,48284.0,43858.0,44614.0,44392.0,44132.0,44842.0,44212.0,44132.0,44171.0,47272.0,52887.0,44471.0,50302.0,43898.0,36239.0,45024.0,44294.0,43920.0,51675.0,52324.0
2020-05-22,North America,US,Florida,59302.0,44260.0,49355.0,44426.0,44935.0,57671.0,29841.0,44808.0,48553.0,10619.0,9662.0,49534.0,43974.0,44233.0,40482.0,44438.0,59860.0,50894.0,44932.0,44152.0,41492.0,57834.0,44259.0,43861.0,5694.0,44413.0,49209.0,29847.0,45537.0,52095.0,52183.0,50243.0,43996.0,56470.0,55023.0,44143.0,45112.0,54379.0,43965.0,51789.0,41767.0,2913.0,50658.0,50637.0,45614.0,47141.0,51908.0,8279.0,44271.0,44209.0,44385.0,54484.0,44283.0,11696.0,44256.0,53379.0,58295.0,45513.0,48085.0,8812.0,8865.0,44171.0,44071.0,52702.0,44456.0,48972.0,46419.0,44148.0,43494.0,48453.0,43499.0,44141.0,44297.0,50592.0,38554.0,47375.0,44394.0,51428.0,55950.0,54930.0,48750.0,44070.0,44886.0,44658.0,44372.0,45135.0,44460.0,44373.0,44413.0,47683.0,53663.0,44736.0,50894.0,44114.0,36300.0,45323.0,44547.0,44131.0,52371.0,53061.0
2020-05-23,North America,US,Florida,60499.0,44477.0,49841.0,44657.0,45212.0,58733.0,29841.0,45074.0,48990.0,10620.0,9664.0,50028.0,44169.0,44446.0,40568.0,44669.0,61103.0,51469.0,45172.0,44371.0,41564.0,58914.0,44477.0,44049.0,5694.0,44644.0,49689.0,29847.0,45825.0,52750.0,52841.0,50776.0,44188.0,57436.0,55879.0,44351.0,45398.0,55199.0,44152.0,52421.0,41857.0,2913.0,51217.0,51198.0,45907.0,47504.0,52551.0,8286.0,44491.0,44421.0,44611.0,55311.0,44498.0,11697.0,44473.0,54119.0,59408.0,45808.0,48496.0,8817.0,8870.0,44378.0,44277.0,53404.0,44692.0,49432.0,46764.0,44350.0,43653.0,48866.0,43672.0,44337.0,44515.0,51156.0,38582.0,47754.0,44622.0,52044.0,56877.0,55781.0,49197.0,44268.0,45144.0,44911.0,44599.0,45414.0,44692.0,44600.0,44643.0,48077.0,54421.0,44986.0,51467.0,44315.0,36355.0,45608.0,44786.0,44328.0,53050.0,53779.0
2020-05-24,North America,US,Florida,61684.0,44681.0,50311.0,44876.0,45476.0,59781.0,29841.0,45327.0,49409.0,10622.0,9667.0,50504.0,44350.0,44644.0,40646.0,44887.0,62334.0,52025.0,45399.0,44578.0,41628.0,59981.0,44680.0,44224.0,5694.0,44862.0,50151.0,29847.0,46099.0,53386.0,53482.0,51292.0,44366.0,58387.0,56718.0,44547.0,45669.0,56003.0,44326.0,53034.0,41938.0,2913.0,51759.0,51741.0,46185.0,47850.0,53176.0,8292.0,44696.0,44620.0,44824.0,56121.0,44699.0,11698.0,44676.0,54841.0,60507.0,46089.0,48890.0,8822.0,8875.0,44573.0,44469.0,54089.0,44915.0,49875.0,47094.0,44540.0,43799.0,49262.0,43833.0,44519.0,44721.0,51702.0,38606.0,48118.0,44838.0,52642.0,57788.0,56615.0,49626.0,44454.0,45389.0,45151.0,44813.0,45680.0,44912.0,44815.0,44860.0,48456.0,55161.0,45223.0,52023.0,44503.0,36405.0,45879.0,45012.0,44510.0,53711.0,54480.0
