Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-12,North America,US,Florida,1853.0,1852.0,1850.0,1853.0,1853.0,1852.0,1849.0,1852.0,1854.0,1853.0,1853.0,1851.0,1852.0,1848.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1850.0,1851.0,1850.0,1853.0,1853.0,1852.0,1848.0,1851.0,1852.0,1853.0,1848.0,1375.0,1853.0,1852.0,1852.0,1853.0,1853.0,1827.0,1852.0,1853.0,1852.0,1852.0,1854.0,1852.0,1852.0,1853.0,1853.0,1849.0,1852.0,1852.0,1851.0,1851.0,1853.0,1852.0,1853.0,1853.0,692.0,1852.0,1851.0,1849.0,1853.0,1853.0,1854.0,1852.0,1853.0,1852.0,1851.0,1850.0,1852.0,1852.0,1852.0,1853.0,1851.0,1852.0,1852.0,1852.0,1853.0,1852.0,1853.0,1852.0,1852.0,1852.0,1853.0,1851.0,1852.0,1854.0,1852.0,1851.0,1853.0,1853.0,1852.0,1853.0,1852.0,1852.0,1853.0,1852.0,1853.0,1852.0,1852.0,1853.0
2020-05-13,North America,US,Florida,1893.0,1893.0,1891.0,1893.0,1893.0,1892.0,1888.0,1893.0,1895.0,1894.0,1894.0,1892.0,1892.0,1889.0,1893.0,1892.0,1893.0,1892.0,1892.0,1893.0,1892.0,1892.0,1890.0,1894.0,1894.0,1892.0,1889.0,1892.0,1892.0,1894.0,1887.0,1382.0,1894.0,1893.0,1892.0,1894.0,1893.0,1866.0,1893.0,1893.0,1893.0,1893.0,1895.0,1893.0,1892.0,1893.0,1894.0,1890.0,1892.0,1893.0,1892.0,1892.0,1894.0,1892.0,1894.0,1893.0,692.0,1892.0,1892.0,1891.0,1894.0,1893.0,1895.0,1892.0,1894.0,1892.0,1893.0,1889.0,1892.0,1892.0,1892.0,1894.0,1891.0,1893.0,1893.0,1892.0,1894.0,1892.0,1893.0,1892.0,1893.0,1893.0,1894.0,1891.0,1893.0,1895.0,1893.0,1891.0,1894.0,1894.0,1893.0,1894.0,1892.0,1892.0,1894.0,1893.0,1894.0,1892.0,1893.0,1894.0
2020-05-14,North America,US,Florida,1933.0,1933.0,1931.0,1933.0,1933.0,1931.0,1926.0,1933.0,1935.0,1934.0,1934.0,1931.0,1932.0,1929.0,1933.0,1932.0,1932.0,1931.0,1932.0,1932.0,1932.0,1931.0,1930.0,1934.0,1934.0,1932.0,1929.0,1931.0,1932.0,1933.0,1925.0,1389.0,1934.0,1932.0,1932.0,1934.0,1933.0,1903.0,1932.0,1933.0,1932.0,1932.0,1935.0,1932.0,1931.0,1933.0,1934.0,1930.0,1932.0,1932.0,1931.0,1932.0,1934.0,1932.0,1935.0,1933.0,692.0,1932.0,1931.0,1932.0,1934.0,1933.0,1935.0,1932.0,1933.0,1932.0,1934.0,1927.0,1932.0,1931.0,1932.0,1933.0,1930.0,1932.0,1933.0,1931.0,1934.0,1932.0,1933.0,1932.0,1933.0,1932.0,1934.0,1931.0,1932.0,1936.0,1932.0,1931.0,1934.0,1933.0,1933.0,1934.0,1932.0,1932.0,1933.0,1932.0,1933.0,1931.0,1933.0,1933.0
2020-05-15,North America,US,Florida,1972.0,1971.0,1970.0,1972.0,1972.0,1970.0,1962.0,1973.0,1974.0,1973.0,1973.0,1969.0,1970.0,1969.0,1971.0,1970.0,1971.0,1969.0,1970.0,1971.0,1972.0,1969.0,1968.0,1973.0,1973.0,1970.0,1968.0,1969.0,1970.0,1972.0,1961.0,1396.0,1972.0,1971.0,1971.0,1973.0,1971.0,1940.0,1971.0,1972.0,1971.0,1971.0,1975.0,1971.0,1970.0,1972.0,1973.0,1969.0,1970.0,1971.0,1969.0,1970.0,1972.0,1970.0,1974.0,1972.0,693.0,1970.0,1970.0,1971.0,1973.0,1972.0,1975.0,1970.0,1972.0,1970.0,1974.0,1965.0,1970.0,1970.0,1970.0,1972.0,1968.0,1971.0,1971.0,1969.0,1973.0,1970.0,1971.0,1970.0,1972.0,1971.0,1973.0,1969.0,1971.0,1975.0,1971.0,1969.0,1972.0,1972.0,1971.0,1973.0,1970.0,1970.0,1972.0,1971.0,1972.0,1969.0,1971.0,1972.0
2020-05-16,North America,US,Florida,2010.0,2009.0,2008.0,2009.0,2009.0,2007.0,1998.0,2012.0,2013.0,2011.0,2011.0,2007.0,2008.0,2008.0,2009.0,2008.0,2008.0,2007.0,2008.0,2009.0,2012.0,2007.0,2006.0,2011.0,2011.0,2008.0,2007.0,2007.0,2008.0,2010.0,1997.0,1402.0,2010.0,2009.0,2009.0,2011.0,2009.0,1976.0,2009.0,2010.0,2009.0,2009.0,2013.0,2009.0,2007.0,2010.0,2011.0,2007.0,2008.0,2008.0,2007.0,2008.0,2010.0,2008.0,2013.0,2009.0,693.0,2008.0,2007.0,2010.0,2011.0,2009.0,2013.0,2008.0,2010.0,2008.0,2014.0,2001.0,2008.0,2007.0,2007.0,2010.0,2005.0,2008.0,2009.0,2007.0,2011.0,2007.0,2009.0,2008.0,2009.0,2009.0,2011.0,2006.0,2008.0,2014.0,2009.0,2006.0,2010.0,2010.0,2009.0,2011.0,2008.0,2008.0,2010.0,2008.0,2010.0,2006.0,2009.0,2010.0
2020-05-17,North America,US,Florida,2047.0,2046.0,2045.0,2046.0,2046.0,2043.0,2033.0,2049.0,2050.0,2048.0,2048.0,2043.0,2044.0,2045.0,2045.0,2044.0,2045.0,2043.0,2044.0,2046.0,2050.0,2043.0,2042.0,2047.0,2048.0,2044.0,2044.0,2043.0,2044.0,2047.0,2031.0,1409.0,2047.0,2045.0,2046.0,2048.0,2045.0,2011.0,2045.0,2047.0,2045.0,2046.0,2051.0,2045.0,2044.0,2047.0,2048.0,2044.0,2044.0,2045.0,2043.0,2045.0,2047.0,2044.0,2051.0,2046.0,693.0,2044.0,2044.0,2049.0,2048.0,2046.0,2051.0,2044.0,2047.0,2044.0,2053.0,2036.0,2044.0,2043.0,2044.0,2047.0,2042.0,2045.0,2046.0,2043.0,2049.0,2044.0,2046.0,2044.0,2046.0,2045.0,2048.0,2043.0,2045.0,2052.0,2045.0,2042.0,2047.0,2047.0,2045.0,2048.0,2044.0,2045.0,2047.0,2045.0,2047.0,2042.0,2046.0,2047.0
2020-05-18,North America,US,Florida,2083.0,2082.0,2081.0,2082.0,2082.0,2079.0,2066.0,2086.0,2087.0,2084.0,2084.0,2078.0,2080.0,2082.0,2081.0,2080.0,2080.0,2078.0,2080.0,2081.0,2087.0,2078.0,2078.0,2083.0,2084.0,2080.0,2080.0,2078.0,2080.0,2083.0,2064.0,1414.0,2083.0,2081.0,2082.0,2084.0,2081.0,2045.0,2081.0,2082.0,2081.0,2082.0,2087.0,2081.0,2079.0,2083.0,2084.0,2081.0,2079.0,2080.0,2078.0,2081.0,2083.0,2080.0,2088.0,2082.0,693.0,2079.0,2079.0,2086.0,2084.0,2082.0,2088.0,2080.0,2082.0,2080.0,2091.0,2070.0,2080.0,2079.0,2079.0,2083.0,2077.0,2081.0,2081.0,2078.0,2085.0,2079.0,2082.0,2079.0,2082.0,2081.0,2084.0,2078.0,2080.0,2088.0,2081.0,2077.0,2084.0,2083.0,2081.0,2084.0,2080.0,2080.0,2083.0,2081.0,2083.0,2078.0,2081.0,2083.0
2020-05-19,North America,US,Florida,2118.0,2116.0,2116.0,2117.0,2117.0,2113.0,2098.0,2122.0,2122.0,2120.0,2120.0,2113.0,2114.0,2118.0,2116.0,2114.0,2115.0,2112.0,2114.0,2116.0,2124.0,2112.0,2113.0,2118.0,2119.0,2114.0,2116.0,2112.0,2114.0,2118.0,2096.0,1420.0,2119.0,2116.0,2117.0,2119.0,2116.0,2078.0,2116.0,2117.0,2116.0,2117.0,2123.0,2116.0,2113.0,2118.0,2119.0,2116.0,2114.0,2115.0,2112.0,2116.0,2118.0,2114.0,2124.0,2117.0,694.0,2114.0,2114.0,2122.0,2119.0,2117.0,2124.0,2115.0,2117.0,2114.0,2128.0,2103.0,2114.0,2113.0,2113.0,2118.0,2111.0,2115.0,2116.0,2112.0,2120.0,2114.0,2117.0,2114.0,2117.0,2116.0,2120.0,2112.0,2115.0,2124.0,2115.0,2111.0,2119.0,2118.0,2116.0,2120.0,2114.0,2115.0,2118.0,2115.0,2118.0,2112.0,2116.0,2118.0
2020-05-20,North America,US,Florida,2152.0,2150.0,2151.0,2151.0,2150.0,2146.0,2130.0,2157.0,2157.0,2154.0,2154.0,2146.0,2147.0,2153.0,2149.0,2147.0,2149.0,2145.0,2148.0,2150.0,2160.0,2146.0,2146.0,2153.0,2153.0,2147.0,2150.0,2145.0,2148.0,2152.0,2127.0,1425.0,2153.0,2150.0,2151.0,2153.0,2149.0,2110.0,2149.0,2151.0,2149.0,2151.0,2157.0,2149.0,2146.0,2152.0,2153.0,2151.0,2147.0,2148.0,2146.0,2150.0,2152.0,2148.0,2159.0,2150.0,694.0,2147.0,2148.0,2158.0,2154.0,2151.0,2159.0,2148.0,2151.0,2148.0,2164.0,2135.0,2148.0,2147.0,2146.0,2151.0,2144.0,2149.0,2150.0,2145.0,2154.0,2147.0,2150.0,2147.0,2151.0,2150.0,2154.0,2146.0,2148.0,2159.0,2149.0,2145.0,2153.0,2152.0,2150.0,2154.0,2147.0,2149.0,2152.0,2149.0,2152.0,2145.0,2150.0,2152.0
2020-05-21,North America,US,Florida,2185.0,2183.0,2184.0,2184.0,2183.0,2179.0,2160.0,2191.0,2190.0,2187.0,2187.0,2178.0,2180.0,2187.0,2182.0,2180.0,2181.0,2177.0,2180.0,2183.0,2194.0,2178.0,2179.0,2186.0,2187.0,2180.0,2183.0,2178.0,2180.0,2185.0,2157.0,1430.0,2186.0,2182.0,2184.0,2187.0,2182.0,2141.0,2182.0,2184.0,2182.0,2185.0,2191.0,2182.0,2179.0,2185.0,2186.0,2184.0,2180.0,2181.0,2178.0,2183.0,2185.0,2180.0,2193.0,2183.0,694.0,2180.0,2180.0,2192.0,2187.0,2184.0,2193.0,2181.0,2184.0,2180.0,2199.0,2166.0,2180.0,2179.0,2179.0,2184.0,2176.0,2181.0,2183.0,2177.0,2188.0,2179.0,2183.0,2180.0,2184.0,2183.0,2187.0,2178.0,2181.0,2193.0,2182.0,2177.0,2186.0,2185.0,2182.0,2187.0,2180.0,2181.0,2185.0,2181.0,2185.0,2177.0,2183.0,2186.0
