date,region,death_cnt,case_cnt,day_since100
2020-01-24,France,0,2,-36
2020-01-25,France,0,3,-35
2020-01-26,France,0,3,-34
2020-01-27,France,0,3,-33
2020-01-28,France,0,4,-32
2020-01-29,France,0,5,-31
2020-01-30,France,0,5,-30
2020-01-31,France,0,5,-29
2020-02-01,France,0,6,-28
2020-02-02,France,0,6,-27
2020-02-03,France,0,6,-26
2020-02-04,France,0,6,-25
2020-02-05,France,0,6,-24
2020-02-06,France,0,6,-23
2020-02-07,France,0,6,-22
2020-02-08,France,0,11,-21
2020-02-09,France,0,11,-20
2020-02-10,France,0,11,-19
2020-02-11,France,0,11,-18
2020-02-12,France,0,11,-17
2020-02-13,France,0,11,-16
2020-02-14,France,0,11,-15
2020-02-15,France,1,12,-14
2020-02-16,France,1,12,-13
2020-02-17,France,1,12,-12
2020-02-18,France,1,12,-11
2020-02-19,France,1,12,-10
2020-02-20,France,1,12,-9
2020-02-21,France,1,12,-8
2020-02-22,France,1,12,-7
2020-02-23,France,1,12,-6
2020-02-24,France,1,12,-5
2020-02-25,France,1,14,-4
2020-02-26,France,2,18,-3
2020-02-27,France,2,38,-2
2020-02-28,France,2,57,-1
2020-02-29,France,2,100,0
2020-03-01,France,2,130,1
2020-03-02,France,3,191,2
2020-03-03,France,4,204,3
2020-03-04,France,4,285,4
2020-03-05,France,6,377,5
2020-03-06,France,9,653,6
2020-03-07,France,11,949,7
2020-03-08,France,19,1126,8
2020-03-09,France,19,1209,9
2020-03-10,France,33,1784,10
2020-03-11,France,48,2281,11
2020-03-12,France,48,2281,12
2020-03-13,France,79,3661,13
2020-03-14,France,91,4469,14
2020-03-15,France,91,4499,15
2020-03-16,France,148,6633,16
2020-03-17,France,148,7652,17
2020-03-18,France,148,9043,18
2020-03-19,France,243,10871,19
2020-03-20,France,450,12612,20
2020-03-21,France,562,14282,21
2020-03-22,France,674,16018,22
2020-03-23,France,860,19856,23
2020-03-24,France,1100,22304,24
2020-03-25,France,1331,25233,25
2020-03-26,France,1696,29155,26
2020-03-27,France,1995,32964,27
2020-03-28,France,2314,37575,28
2020-03-29,France,2606,40174,29
2020-03-30,France,3024,44550,30
2020-03-31,France,3523,52128,31
2020-04-01,France,4403,56989,32
2020-04-02,France,5387,59105,33
2020-04-03,France,6507,64338,34
2020-04-04,France,7560,68605,35
2020-04-05,France,8078,70478,36
2020-04-06,France,8911,74390,37
2020-04-07,France,10328,78167,38
2020-04-08,France,10869,82048,39
2020-04-09,France,12210,86334,40
2020-04-10,France,13197,90676,41
2020-04-11,France,13832,93790,42
2020-04-12,France,14393,120633,43
2020-04-13,France,14967,124298,44
2020-04-14,France,15712,129257,45
2020-04-15,France,17148,132473,46
2020-04-16,France,17901,144944,47
2020-04-17,France,18661,146923,48
2020-04-18,France,19303,146906,49
2020-04-19,France,19694,151808,50
2020-04-20,France,20240,154188,51
2020-04-21,France,20765,156921,52
2020-04-22,France,21309,154715,53
2020-04-23,France,21825,157026,54
2020-04-24,France,22214,158636,55
2020-04-25,France,22583,160292,56
2020-04-26,France,22825,160847,57
2020-04-27,France,23262,164589,58
2020-04-28,France,23629,167605,59
2020-04-29,France,24056,165093,60
2020-04-30,France,24345,165764,61
2020-05-01,France,24563,165764,62
2020-05-02,France,24729,166976,63
2020-05-03,France,24864,167272,64
2020-05-04,France,25168,167886,65
2020-05-05,France,25498,168935,66
2020-05-06,France,25772,172465,67
2020-05-07,France,25949,173040,68
2020-05-08,France,26192,174318,69
2020-05-09,France,26271,174758,70
2020-05-10,France,26341,175027,71
2020-05-11,France,26604,175479,72
2020-05-12,France,26951,176207,73
2020-05-13,France,27032,175981,74
