Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,Europe,France,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,Europe,France,None,883.0,928.0,1085.0,481.0,785.0,331.0,925.0,0.0,1101.0,17.0,1428.0,0.0,1865.0,2489.0,635.0,1831.0,2689.0,31.0,104.0,759.0,1439.0,1147.0,898.0,1.0,627.0,1305.0,1461.0,1670.0,3333.0,742.0,643.0,2419.0,2841.0,0.0,3184.0,851.0,923.0,563.0,2317.0,1032.0,1372.0,1103.0,1992.0,3969.0,990.0,1.0,59.0,1842.0,16.0,2014.0,782.0,510.0,907.0,1251.0,851.0,726.0,1990.0,707.0,781.0,5.0,3224.0,771.0,1524.0,862.0,1905.0,0.0,515.0,491.0,821.0,830.0,1441.0,0.0,1001.0,1026.0,924.0,3.0,0.0,847.0,396.0,0.0,4102.0,1241.0,611.0,1026.0,872.0,606.0,1581.0,732.0,1065.0,1013.0,1440.0,3175.0,1972.0,872.0,950.0,0.0,833.0,1097.0,1084.0,807.0
2020-05-17,Europe,France,None,832.0,874.0,1029.0,437.0,735.0,296.0,874.0,1.0,1050.0,15.0,1366.0,0.0,1798.0,2418.0,589.0,1764.0,2618.0,28.0,93.0,708.0,1376.0,1090.0,845.0,0.0,580.0,1243.0,1397.0,1603.0,3268.0,694.0,595.0,2349.0,2772.0,0.0,3119.0,799.0,869.0,519.0,2247.0,982.0,1311.0,1048.0,1923.0,3915.0,935.0,1.0,54.0,1773.0,15.0,1945.0,737.0,463.0,853.0,1191.0,797.0,680.0,1922.0,659.0,732.0,4.0,3158.0,719.0,1460.0,811.0,1836.0,0.0,475.0,448.0,771.0,777.0,1379.0,0.0,949.0,987.0,870.0,4.0,0.0,797.0,357.0,0.0,4049.0,1181.0,578.0,974.0,819.0,561.0,1516.0,683.0,1009.0,958.0,1377.0,3109.0,1905.0,822.0,895.0,0.0,779.0,1040.0,1027.0,757.0
2020-05-18,Europe,France,None,783.0,823.0,977.0,399.0,688.0,263.0,824.0,0.0,999.0,14.0,1307.0,0.0,1735.0,2348.0,546.0,1697.0,2550.0,24.0,84.0,659.0,1315.0,1037.0,795.0,1.0,537.0,1185.0,1336.0,1539.0,3202.0,647.0,546.0,2278.0,2705.0,0.0,3051.0,750.0,818.0,480.0,2177.0,932.0,1251.0,995.0,1854.0,3859.0,882.0,1.0,49.0,1707.0,14.0,1876.0,692.0,423.0,804.0,1132.0,746.0,634.0,1854.0,614.0,685.0,4.0,3093.0,670.0,1397.0,760.0,1769.0,0.0,435.0,406.0,724.0,727.0,1318.0,0.0,898.0,949.0,818.0,3.0,0.0,748.0,323.0,0.0,3996.0,1122.0,546.0,927.0,767.0,519.0,1452.0,635.0,957.0,904.0,1317.0,3043.0,1839.0,773.0,844.0,0.0,730.0,987.0,974.0,710.0
2020-05-19,Europe,France,None,735.0,774.0,929.0,364.0,644.0,235.0,775.0,0.0,952.0,12.0,1249.0,0.0,1672.0,2279.0,505.0,1633.0,2479.0,23.0,76.0,614.0,1256.0,984.0,748.0,0.0,497.0,1128.0,1277.0,1475.0,3137.0,602.0,504.0,2209.0,2637.0,0.0,2985.0,706.0,771.0,440.0,2110.0,882.0,1195.0,941.0,1787.0,3802.0,831.0,1.0,44.0,1642.0,12.0,1809.0,648.0,387.0,758.0,1078.0,702.0,589.0,1789.0,572.0,642.0,3.0,3027.0,626.0,1337.0,711.0,1703.0,0.0,400.0,372.0,681.0,679.0,1260.0,0.0,850.0,914.0,771.0,3.0,0.0,701.0,291.0,0.0,3940.0,1066.0,515.0,880.0,721.0,481.0,1391.0,590.0,906.0,853.0,1258.0,2975.0,1775.0,727.0,795.0,0.0,685.0,933.0,923.0,666.0
2020-05-20,Europe,France,None,689.0,726.0,882.0,332.0,603.0,209.0,728.0,0.0,907.0,11.0,1195.0,0.0,1612.0,2211.0,468.0,1568.0,2412.0,20.0,67.0,572.0,1200.0,937.0,704.0,0.0,460.0,1075.0,1217.0,1415.0,3071.0,560.0,467.0,2141.0,2569.0,0.0,2918.0,662.0,727.0,406.0,2042.0,833.0,1139.0,891.0,1723.0,3744.0,783.0,0.0,41.0,1577.0,10.0,1744.0,607.0,355.0,716.0,1026.0,659.0,546.0,1724.0,534.0,602.0,3.0,2962.0,583.0,1279.0,666.0,1639.0,0.0,367.0,339.0,639.0,637.0,1206.0,0.0,803.0,879.0,724.0,3.0,0.0,655.0,264.0,0.0,3885.0,1013.0,486.0,836.0,675.0,442.0,1331.0,550.0,857.0,803.0,1200.0,2909.0,1711.0,680.0,749.0,0.0,643.0,882.0,874.0,623.0
2020-05-21,Europe,France,None,646.0,680.0,839.0,303.0,564.0,187.0,686.0,1.0,862.0,10.0,1140.0,0.0,1553.0,2143.0,432.0,1507.0,2344.0,19.0,60.0,533.0,1145.0,891.0,663.0,1.0,425.0,1023.0,1162.0,1355.0,3006.0,521.0,431.0,2074.0,2503.0,0.0,2852.0,621.0,686.0,373.0,1977.0,789.0,1087.0,844.0,1658.0,3685.0,740.0,0.0,37.0,1516.0,10.0,1680.0,567.0,323.0,675.0,976.0,619.0,508.0,1662.0,496.0,562.0,3.0,2897.0,545.0,1222.0,625.0,1576.0,0.0,336.0,309.0,599.0,597.0,1151.0,0.0,759.0,845.0,681.0,3.0,0.0,612.0,238.0,0.0,3828.0,962.0,458.0,794.0,635.0,405.0,1273.0,511.0,811.0,756.0,1144.0,2842.0,1651.0,637.0,705.0,0.0,603.0,835.0,827.0,581.0
2020-05-22,Europe,France,None,606.0,637.0,797.0,275.0,528.0,167.0,645.0,0.0,820.0,8.0,1087.0,0.0,1494.0,2078.0,399.0,1446.0,2276.0,16.0,53.0,498.0,1092.0,847.0,623.0,0.0,390.0,974.0,1108.0,1298.0,2939.0,484.0,397.0,2008.0,2436.0,0.0,2784.0,583.0,645.0,343.0,1913.0,748.0,1035.0,800.0,1596.0,3626.0,698.0,1.0,33.0,1456.0,8.0,1617.0,533.0,292.0,636.0,928.0,579.0,475.0,1601.0,461.0,525.0,2.0,2831.0,509.0,1168.0,586.0,1514.0,0.0,308.0,283.0,560.0,560.0,1098.0,0.0,717.0,810.0,639.0,2.0,1.0,573.0,213.0,0.0,3770.0,915.0,432.0,753.0,595.0,372.0,1217.0,476.0,767.0,712.0,1089.0,2776.0,1590.0,597.0,663.0,0.0,565.0,790.0,781.0,542.0
2020-05-23,Europe,France,None,569.0,599.0,756.0,249.0,491.0,147.0,607.0,0.0,777.0,8.0,1035.0,0.0,1437.0,2012.0,366.0,1388.0,2211.0,15.0,48.0,463.0,1041.0,806.0,585.0,0.0,358.0,924.0,1055.0,1242.0,2874.0,450.0,364.0,1943.0,2371.0,0.0,2719.0,546.0,607.0,315.0,1849.0,709.0,984.0,757.0,1535.0,3564.0,658.0,0.0,30.0,1397.0,8.0,1556.0,499.0,266.0,599.0,883.0,539.0,442.0,1542.0,426.0,487.0,2.0,2766.0,474.0,1115.0,550.0,1455.0,0.0,282.0,256.0,521.0,525.0,1048.0,0.0,677.0,777.0,599.0,2.0,0.0,536.0,191.0,0.0,3710.0,868.0,408.0,712.0,559.0,342.0,1163.0,442.0,725.0,671.0,1039.0,2709.0,1531.0,559.0,623.0,0.0,530.0,747.0,738.0,504.0
2020-05-24,Europe,France,None,534.0,562.0,718.0,226.0,457.0,130.0,572.0,0.0,735.0,7.0,988.0,0.0,1382.0,1947.0,336.0,1331.0,2145.0,13.0,43.0,431.0,991.0,765.0,549.0,1.0,329.0,878.0,1007.0,1189.0,2808.0,418.0,333.0,1880.0,2306.0,0.0,2653.0,510.0,571.0,289.0,1786.0,673.0,936.0,717.0,1476.0,3504.0,621.0,0.0,28.0,1340.0,6.0,1497.0,468.0,241.0,561.0,838.0,503.0,411.0,1482.0,394.0,453.0,1.0,2700.0,441.0,1064.0,515.0,1397.0,0.0,258.0,232.0,487.0,490.0,997.0,0.0,638.0,746.0,563.0,2.0,0.0,503.0,172.0,0.0,3652.0,823.0,384.0,672.0,524.0,316.0,1110.0,411.0,684.0,631.0,989.0,2644.0,1475.0,525.0,586.0,0.0,494.0,707.0,695.0,471.0
2020-05-25,Europe,France,None,501.0,526.0,679.0,204.0,425.0,115.0,539.0,0.0,697.0,6.0,941.0,0.0,1329.0,1885.0,310.0,1276.0,2080.0,12.0,37.0,399.0,945.0,728.0,512.0,0.0,304.0,831.0,958.0,1136.0,2742.0,389.0,308.0,1816.0,2241.0,0.0,2586.0,475.0,534.0,265.0,1726.0,638.0,891.0,679.0,1418.0,3443.0,584.0,0.0,25.0,1285.0,6.0,1438.0,438.0,220.0,526.0,796.0,471.0,380.0,1426.0,365.0,422.0,2.0,2635.0,409.0,1015.0,482.0,1340.0,0.0,236.0,210.0,456.0,458.0,950.0,0.0,603.0,715.0,527.0,2.0,0.0,469.0,154.0,0.0,3590.0,781.0,359.0,634.0,490.0,290.0,1060.0,380.0,646.0,595.0,941.0,2577.0,1418.0,492.0,550.0,0.0,461.0,668.0,655.0,439.0
2020-05-26,Europe,France,None,470.0,494.0,643.0,186.0,395.0,103.0,506.0,0.0,661.0,5.0,897.0,0.0,1278.0,1823.0,285.0,1223.0,2017.0,11.0,34.0,371.0,899.0,690.0,479.0,0.0,279.0,789.0,913.0,1086.0,2677.0,361.0,283.0,1755.0,2179.0,0.0,2521.0,444.0,499.0,243.0,1666.0,603.0,846.0,643.0,1363.0,3380.0,550.0,0.0,22.0,1232.0,5.0,1382.0,411.0,200.0,493.0,755.0,441.0,350.0,1371.0,339.0,394.0,1.0,2571.0,380.0,967.0,451.0,1286.0,0.0,216.0,190.0,426.0,425.0,905.0,0.0,568.0,686.0,495.0,2.0,0.0,440.0,138.0,0.0,3530.0,739.0,338.0,601.0,458.0,267.0,1011.0,352.0,609.0,559.0,896.0,2513.0,1365.0,461.0,517.0,0.0,429.0,632.0,618.0,410.0
2020-05-27,Europe,France,None,440.0,462.0,607.0,168.0,368.0,91.0,475.0,0.0,628.0,5.0,854.0,1.0,1226.0,1762.0,263.0,1170.0,1955.0,9.0,30.0,342.0,856.0,653.0,449.0,0.0,257.0,747.0,868.0,1037.0,2612.0,334.0,260.0,1695.0,2115.0,0.0,2457.0,414.0,468.0,223.0,1608.0,570.0,805.0,607.0,1308.0,3318.0,516.0,0.0,21.0,1179.0,5.0,1327.0,384.0,180.0,463.0,715.0,413.0,325.0,1317.0,313.0,368.0,1.0,2507.0,351.0,922.0,421.0,1233.0,0.0,197.0,173.0,398.0,396.0,862.0,0.0,535.0,657.0,462.0,1.0,0.0,410.0,125.0,0.0,3469.0,699.0,318.0,569.0,426.0,244.0,965.0,326.0,575.0,526.0,852.0,2448.0,1312.0,431.0,485.0,0.0,401.0,596.0,582.0,382.0
2020-05-28,Europe,France,None,411.0,432.0,574.0,152.0,344.0,80.0,444.0,0.0,596.0,4.0,813.0,0.0,1178.0,1703.0,241.0,1121.0,1894.0,9.0,27.0,318.0,814.0,618.0,419.0,0.0,236.0,709.0,825.0,991.0,2548.0,309.0,238.0,1637.0,2055.0,0.0,2392.0,387.0,438.0,203.0,1551.0,535.0,765.0,573.0,1255.0,3256.0,484.0,0.0,18.0,1129.0,4.0,1275.0,359.0,163.0,436.0,677.0,385.0,302.0,1265.0,291.0,342.0,1.0,2445.0,327.0,878.0,391.0,1181.0,0.0,179.0,157.0,373.0,369.0,821.0,0.0,504.0,628.0,433.0,2.0,0.0,382.0,110.0,0.0,3407.0,660.0,300.0,538.0,398.0,222.0,919.0,301.0,542.0,493.0,810.0,2385.0,1261.0,404.0,454.0,0.0,374.0,561.0,549.0,357.0
2020-05-29,Europe,France,None,384.0,404.0,543.0,138.0,319.0,70.0,416.0,1.0,565.0,4.0,772.0,0.0,1129.0,1645.0,222.0,1072.0,1834.0,8.0,23.0,294.0,774.0,585.0,394.0,0.0,216.0,672.0,783.0,945.0,2485.0,286.0,217.0,1579.0,1993.0,0.0,2329.0,362.0,411.0,187.0,1496.0,506.0,726.0,540.0,1203.0,3194.0,454.0,0.0,17.0,1080.0,4.0,1222.0,334.0,147.0,408.0,641.0,357.0,281.0,1215.0,270.0,319.0,1.0,2381.0,303.0,836.0,365.0,1132.0,0.0,164.0,142.0,347.0,345.0,781.0,0.0,475.0,602.0,406.0,1.0,0.0,356.0,99.0,0.0,3344.0,625.0,281.0,509.0,372.0,204.0,875.0,280.0,511.0,462.0,769.0,2321.0,1211.0,376.0,426.0,0.0,349.0,529.0,518.0,331.0
2020-05-30,Europe,France,None,358.0,375.0,514.0,124.0,298.0,62.0,390.0,0.0,536.0,4.0,734.0,0.0,1084.0,1588.0,204.0,1025.0,1774.0,7.0,21.0,273.0,735.0,554.0,367.0,1.0,198.0,636.0,744.0,902.0,2421.0,265.0,198.0,1523.0,1934.0,0.0,2266.0,338.0,385.0,170.0,1442.0,478.0,690.0,509.0,1154.0,3130.0,426.0,0.0,15.0,1034.0,3.0,1172.0,311.0,134.0,384.0,607.0,332.0,260.0,1165.0,249.0,296.0,1.0,2319.0,281.0,796.0,341.0,1083.0,0.0,149.0,128.0,324.0,323.0,742.0,0.0,447.0,575.0,379.0,2.0,0.0,330.0,88.0,0.0,3283.0,591.0,263.0,482.0,346.0,186.0,834.0,258.0,481.0,433.0,730.0,2259.0,1164.0,350.0,400.0,1.0,326.0,497.0,487.0,308.0
