Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,Europe,France,None,186101.0,187343.0,188140.0,181395.0,185010.0,179380.0,186521.0,8323.0,188315.0,33714.0,194037.0,9182.0,199923.0,208049.0,183388.0,200102.0,210226.0,39550.0,108914.0,184785.0,193053.0,189097.0,186323.0,7837.0,183284.0,192507.0,194950.0,197963.0,216715.0,184665.0,183469.0,207291.0,211176.0,30126.0,215368.0,185578.0,185868.0,182334.0,205615.0,187272.0,193418.0,188966.0,202191.0,222363.0,187521.0,155892.0,50412.0,200219.0,36230.0,202468.0,183129.0,181870.0,186092.0,191374.0,185619.0,183566.0,201954.0,184047.0,184876.0,24545.0,215754.0,184918.0,195677.0,185881.0,201076.0,3209.0,181573.0,181484.0,185247.0,185256.0,194288.0,10309.0,187372.0,112474.0,187273.0,6793.0,9306.0,185745.0,180202.0,9875.0,223556.0,191502.0,113553.0,187165.0,186009.0,182977.0,196615.0,184550.0,188828.0,188322.0,194641.0,215155.0,201300.0,186005.0,187524.0,2287.0,185558.0,189148.0,189138.0,185075.0
2020-05-16,Europe,France,None,186984.0,188271.0,189225.0,181876.0,185795.0,179711.0,187446.0,8323.0,189416.0,33731.0,195465.0,9182.0,201788.0,210538.0,184023.0,201933.0,212915.0,39581.0,109018.0,185544.0,194492.0,190244.0,187221.0,7838.0,183911.0,193812.0,196411.0,199633.0,220048.0,185407.0,184112.0,209710.0,214017.0,30126.0,218552.0,186429.0,186791.0,182897.0,207932.0,188304.0,194790.0,190069.0,204183.0,226332.0,188511.0,155893.0,50471.0,202061.0,36246.0,204482.0,183911.0,182380.0,186999.0,192625.0,186470.0,184292.0,203944.0,184754.0,185657.0,24550.0,218978.0,185689.0,197201.0,186743.0,202981.0,3209.0,182088.0,181975.0,186068.0,186086.0,195729.0,10309.0,188373.0,113500.0,188197.0,6796.0,9306.0,186592.0,180598.0,9875.0,227658.0,192743.0,114164.0,188191.0,186881.0,183583.0,198196.0,185282.0,189893.0,189335.0,196081.0,218330.0,203272.0,186877.0,188474.0,2287.0,186391.0,190245.0,190222.0,185882.0
2020-05-17,Europe,France,None,187816.0,189145.0,190254.0,182313.0,186530.0,180007.0,188320.0,8324.0,190466.0,33746.0,196831.0,9182.0,203586.0,212956.0,184612.0,203697.0,215533.0,39609.0,109111.0,186252.0,195868.0,191334.0,188066.0,7838.0,184491.0,195055.0,197808.0,201236.0,223316.0,186101.0,184707.0,212059.0,216789.0,30126.0,221671.0,187228.0,187660.0,183416.0,210179.0,189286.0,196101.0,191117.0,206106.0,230247.0,189446.0,155894.0,50525.0,203834.0,36261.0,206427.0,184648.0,182843.0,187852.0,193816.0,187267.0,184972.0,205866.0,185413.0,186389.0,24554.0,222136.0,186408.0,198661.0,187554.0,204817.0,3209.0,182563.0,182423.0,186839.0,186863.0,197108.0,10309.0,189322.0,114487.0,189067.0,6800.0,9306.0,187389.0,180955.0,9875.0,231707.0,193924.0,114742.0,189165.0,187700.0,184144.0,199712.0,185965.0,190902.0,190293.0,197458.0,221439.0,205177.0,187699.0,189369.0,2287.0,187170.0,191285.0,191249.0,186639.0
2020-05-18,Europe,France,None,188599.0,189968.0,191231.0,182712.0,187218.0,180270.0,189144.0,8324.0,191465.0,33760.0,198138.0,9182.0,205321.0,215304.0,185158.0,205394.0,218083.0,39633.0,109195.0,186911.0,197183.0,192371.0,188861.0,7839.0,185028.0,196240.0,199144.0,202775.0,226518.0,186748.0,185253.0,214337.0,219494.0,30126.0,224722.0,187978.0,188478.0,183896.0,212356.0,190218.0,197352.0,192112.0,207960.0,234106.0,190328.0,155895.0,50574.0,205541.0,36275.0,208303.0,185340.0,183266.0,188656.0,194948.0,188013.0,185606.0,207720.0,186027.0,187074.0,24558.0,225229.0,187078.0,200058.0,188314.0,206586.0,3209.0,182998.0,182829.0,187563.0,187590.0,198426.0,10309.0,190220.0,115436.0,189885.0,6803.0,9306.0,188137.0,181278.0,9875.0,235703.0,195046.0,115288.0,190092.0,188467.0,184663.0,201164.0,186600.0,191859.0,191197.0,198775.0,224482.0,207016.0,188472.0,190213.0,2287.0,187900.0,192272.0,192223.0,187349.0
2020-05-19,Europe,France,None,189334.0,190742.0,192160.0,183076.0,187862.0,180505.0,189919.0,8324.0,192417.0,33772.0,199387.0,9182.0,206993.0,217583.0,185663.0,207027.0,220562.0,39656.0,109271.0,187525.0,198439.0,193355.0,189609.0,7839.0,185525.0,197368.0,200421.0,204250.0,229655.0,187350.0,185757.0,216546.0,222131.0,30126.0,227707.0,188684.0,189249.0,184336.0,214466.0,191100.0,198547.0,193053.0,209747.0,237908.0,191159.0,155896.0,50618.0,207183.0,36287.0,210112.0,185988.0,183653.0,189414.0,196026.0,188715.0,186195.0,209509.0,186599.0,187716.0,24561.0,228256.0,187704.0,201395.0,189025.0,208289.0,3209.0,183398.0,183201.0,188244.0,188269.0,199686.0,10309.0,191070.0,116350.0,190656.0,6806.0,9306.0,188838.0,181569.0,9875.0,239643.0,196112.0,115803.0,190972.0,189188.0,185144.0,202555.0,187190.0,192765.0,192050.0,200033.0,227457.0,208791.0,189199.0,191008.0,2287.0,188585.0,193205.0,193146.0,188015.0
2020-05-20,Europe,France,None,190023.0,191468.0,193042.0,183408.0,188465.0,180714.0,190647.0,8324.0,193324.0,33783.0,200582.0,9182.0,208605.0,219794.0,186131.0,208595.0,222974.0,39676.0,109338.0,188097.0,199639.0,194292.0,190313.0,7839.0,185985.0,198443.0,201638.0,205665.0,232726.0,187910.0,186224.0,218687.0,224700.0,30126.0,230625.0,189346.0,189976.0,184742.0,216508.0,191933.0,199686.0,193944.0,211470.0,241652.0,191942.0,155896.0,50659.0,208760.0,36297.0,211856.0,186595.0,184008.0,190130.0,197052.0,189374.0,186741.0,211233.0,187133.0,188318.0,24564.0,231218.0,188287.0,202674.0,189691.0,209928.0,3209.0,183765.0,183540.0,188883.0,188906.0,200892.0,10309.0,191873.0,117229.0,191380.0,6809.0,9306.0,189493.0,181833.0,9875.0,243528.0,197125.0,116289.0,191808.0,189863.0,185586.0,203886.0,187740.0,193622.0,192853.0,201233.0,230366.0,210502.0,189879.0,191757.0,2287.0,189228.0,194087.0,194020.0,188638.0
2020-05-21,Europe,France,None,190669.0,192148.0,193881.0,183711.0,189029.0,180901.0,191333.0,8325.0,194186.0,33793.0,201722.0,9182.0,210158.0,221937.0,186563.0,210102.0,225318.0,39695.0,109398.0,188630.0,200784.0,195183.0,190976.0,7840.0,186410.0,199466.0,202800.0,207020.0,235732.0,188431.0,186655.0,220761.0,227203.0,30126.0,233477.0,189967.0,190662.0,185115.0,218485.0,192722.0,200773.0,194788.0,213128.0,245337.0,192682.0,155896.0,50696.0,210276.0,36307.0,213536.0,187162.0,184331.0,190805.0,198028.0,189993.0,187249.0,212895.0,187629.0,188880.0,24567.0,234115.0,188832.0,203896.0,190316.0,211504.0,3209.0,184101.0,183849.0,189482.0,189503.0,202043.0,10309.0,192632.0,118074.0,192061.0,6812.0,9306.0,190105.0,182071.0,9875.0,247356.0,198087.0,116747.0,192602.0,190498.0,185991.0,205159.0,188251.0,194433.0,193609.0,202377.0,233208.0,212153.0,190516.0,192462.0,2287.0,189831.0,194922.0,194847.0,189219.0
2020-05-22,Europe,France,None,191275.0,192785.0,194678.0,183986.0,189557.0,181068.0,191978.0,8325.0,195006.0,33801.0,202809.0,9182.0,211652.0,224015.0,186962.0,211548.0,227594.0,39711.0,109451.0,189128.0,201876.0,196030.0,191599.0,7840.0,186800.0,200440.0,203908.0,208318.0,238671.0,188915.0,187052.0,222769.0,229639.0,30126.0,236261.0,190550.0,191307.0,185458.0,220398.0,193470.0,201808.0,195588.0,214724.0,248963.0,193380.0,155897.0,50729.0,211732.0,36315.0,215153.0,187695.0,184623.0,191441.0,198956.0,190572.0,187724.0,214496.0,188090.0,189405.0,24569.0,236946.0,189341.0,205064.0,190902.0,213018.0,3209.0,184409.0,184132.0,190042.0,190063.0,203141.0,10309.0,193349.0,118884.0,192700.0,6814.0,9307.0,190678.0,182284.0,9875.0,251126.0,199002.0,117179.0,193355.0,191093.0,186363.0,206376.0,188727.0,195200.0,194321.0,203466.0,235984.0,213743.0,191113.0,193125.0,2287.0,190396.0,195712.0,195628.0,189761.0
2020-05-23,Europe,France,None,191844.0,193384.0,195434.0,184235.0,190048.0,181215.0,192585.0,8325.0,195783.0,33809.0,203844.0,9182.0,213089.0,226027.0,187328.0,212936.0,229805.0,39726.0,109499.0,189591.0,202917.0,196836.0,192184.0,7840.0,187158.0,201364.0,204963.0,209560.0,241545.0,189365.0,187416.0,224712.0,232010.0,30126.0,238980.0,191096.0,191914.0,185773.0,222247.0,194179.0,202792.0,196345.0,216259.0,252527.0,194038.0,155897.0,50759.0,213129.0,36323.0,216709.0,188194.0,184889.0,192040.0,199839.0,191111.0,188166.0,216038.0,188516.0,189892.0,24571.0,239712.0,189815.0,206179.0,191452.0,214473.0,3209.0,184691.0,184388.0,190563.0,190588.0,204189.0,10309.0,194026.0,119661.0,193299.0,6816.0,9307.0,191214.0,182475.0,9875.0,254836.0,199870.0,117587.0,194067.0,191652.0,186705.0,207539.0,189169.0,195925.0,194992.0,204505.0,238693.0,215274.0,191672.0,193748.0,2287.0,190926.0,196459.0,196366.0,190265.0
2020-05-24,Europe,France,None,192378.0,193946.0,196152.0,184461.0,190505.0,181345.0,193157.0,8325.0,196518.0,33816.0,204832.0,9182.0,214471.0,227974.0,187664.0,214267.0,231950.0,39739.0,109542.0,190022.0,203908.0,197601.0,192733.0,7841.0,187487.0,202242.0,205970.0,210749.0,244353.0,189783.0,187749.0,226592.0,234316.0,30126.0,241633.0,191606.0,192485.0,186062.0,224033.0,194852.0,203728.0,197062.0,217735.0,256031.0,194659.0,155897.0,50787.0,214469.0,36329.0,218206.0,188662.0,185130.0,192601.0,200677.0,191614.0,188577.0,217520.0,188910.0,190345.0,24572.0,242412.0,190256.0,207243.0,191967.0,215870.0,3209.0,184949.0,184620.0,191050.0,191078.0,205186.0,10309.0,194664.0,120407.0,193862.0,6818.0,9307.0,191717.0,182647.0,9875.0,258488.0,200693.0,117971.0,194739.0,192176.0,187021.0,208649.0,189580.0,196609.0,195623.0,205494.0,241337.0,216749.0,192197.0,194334.0,2287.0,191420.0,197166.0,197061.0,190736.0
