Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-12,Europe,France,None,27814.0,28098.0,28125.0,28236.0,27856.0,28095.0,28013.0,27808.0,27650.0,28072.0,28157.0,27499.0,28194.0,27749.0,28255.0,27961.0,27181.0,28224.0,27924.0,13732.0,27067.0,28187.0,28237.0,28034.0,28095.0,27849.0,27960.0,27854.0,26555.0,27760.0,27908.0,28160.0,28303.0,27693.0,28001.0,27738.0,27926.0,28084.0,28162.0,27922.0,27607.0,27727.0,27964.0,27907.0,27459.0,27422.0,27775.0,27145.0,27472.0,31248.0,28118.0,28177.0,28183.0,28121.0,28056.0,28408.0,28026.0,28063.0,28540.0,28090.0,27752.0,28068.0,28059.0,28007.0,11847.0,27871.0,28185.0,26951.0,26634.0,27904.0,27836.0,27435.0,27436.0,27385.0,27794.0,27684.0,27738.0,28285.0,28070.0,27955.0,27679.0,28642.0,27489.0,28337.0,27826.0,27937.0,27904.0,28222.0,31283.0,27959.0,9200.0,31222.0,27583.0,27843.0,27960.0,28152.0,27906.0,27980.0,27754.0,27817.0
2020-05-13,Europe,France,None,28018.0,28335.0,28363.0,28489.0,28065.0,28331.0,28242.0,28012.0,27837.0,28304.0,28399.0,27667.0,28443.0,27947.0,28510.0,28182.0,27320.0,28472.0,28143.0,13756.0,27195.0,28436.0,28493.0,28265.0,28328.0,28059.0,28181.0,28063.0,26690.0,27959.0,28124.0,28402.0,28565.0,27885.0,28228.0,27933.0,28144.0,28320.0,28406.0,28139.0,27789.0,27923.0,28187.0,28122.0,27624.0,27586.0,27977.0,27278.0,27640.0,31734.0,28358.0,28425.0,28427.0,28358.0,28290.0,28683.0,28256.0,28298.0,28823.0,28323.0,27950.0,28301.0,28291.0,28233.0,11851.0,28082.0,28429.0,27131.0,26778.0,28117.0,28044.0,27599.0,27600.0,27543.0,27997.0,27875.0,27935.0,28540.0,28304.0,28176.0,27867.0,28936.0,27659.0,28598.0,28034.0,28156.0,28116.0,28472.0,31767.0,28181.0,9223.0,31713.0,27762.0,28052.0,28182.0,28395.0,28114.0,28201.0,27954.0,28022.0
2020-05-14,Europe,France,None,28208.0,28561.0,28587.0,28729.0,28262.0,28553.0,28458.0,28204.0,28012.0,28523.0,28628.0,27822.0,28679.0,28133.0,28752.0,28390.0,27448.0,28707.0,28349.0,13778.0,27313.0,28672.0,28736.0,28483.0,28548.0,28256.0,28391.0,28259.0,26814.0,28146.0,28327.0,28631.0,28814.0,28066.0,28442.0,28116.0,28350.0,28544.0,28637.0,28344.0,27959.0,28105.0,28397.0,28325.0,27776.0,27738.0,28165.0,27399.0,27796.0,32205.0,28584.0,28661.0,28659.0,28583.0,28511.0,28946.0,28474.0,28521.0,29094.0,28543.0,28136.0,28522.0,28510.0,28447.0,11854.0,28280.0,28660.0,27301.0,26910.0,28316.0,28240.0,27750.0,27753.0,27689.0,28187.0,28054.0,28120.0,28783.0,28526.0,28385.0,28042.0,29218.0,27816.0,28846.0,28229.0,28362.0,28316.0,28710.0,32235.0,28392.0,9245.0,32188.0,27928.0,28249.0,28392.0,28625.0,28308.0,28410.0,28141.0,28214.0
2020-05-15,Europe,France,None,28387.0,28774.0,28800.0,28957.0,28447.0,28764.0,28662.0,28385.0,28176.0,28730.0,28845.0,27966.0,28904.0,28308.0,28983.0,28587.0,27565.0,28930.0,28543.0,13798.0,27420.0,28897.0,28967.0,28690.0,28756.0,28441.0,28588.0,28443.0,26929.0,28321.0,28519.0,28848.0,29051.0,28235.0,28645.0,28288.0,28543.0,28756.0,28856.0,28537.0,28118.0,28276.0,28595.0,28516.0,27917.0,27878.0,28342.0,27510.0,27940.0,32662.0,28798.0,28884.0,28878.0,28794.0,28720.0,29198.0,28680.0,28731.0,29352.0,28750.0,28310.0,28730.0,28718.0,28649.0,11857.0,28467.0,28879.0,27460.0,27034.0,28504.0,28424.0,27890.0,27895.0,27823.0,28365.0,28220.0,28293.0,29013.0,28736.0,28583.0,28206.0,29489.0,27962.0,29081.0,28412.0,28555.0,28502.0,28936.0,32687.0,28590.0,9265.0,32650.0,28083.0,28434.0,28590.0,28842.0,28490.0,28606.0,28317.0,28394.0
2020-05-16,Europe,France,None,28554.0,28976.0,29000.0,29173.0,28620.0,28962.0,28856.0,28554.0,28328.0,28925.0,29051.0,28099.0,29118.0,28471.0,29202.0,28772.0,27672.0,29140.0,28726.0,13816.0,27518.0,29110.0,29187.0,28885.0,28951.0,28615.0,28774.0,28617.0,27035.0,28485.0,28700.0,29053.0,29277.0,28393.0,28837.0,28448.0,28725.0,28957.0,29063.0,28718.0,28265.0,28436.0,28783.0,28695.0,28047.0,28008.0,28508.0,27611.0,28074.0,33103.0,29001.0,29096.0,29085.0,28995.0,28918.0,29438.0,28876.0,28930.0,29597.0,28946.0,28473.0,28926.0,28913.0,28839.0,11860.0,28642.0,29087.0,27610.0,27149.0,28680.0,28597.0,28019.0,28025.0,27947.0,28532.0,28376.0,28456.0,29231.0,28935.0,28769.0,28359.0,29748.0,28097.0,29304.0,28584.0,28737.0,28677.0,29150.0,33125.0,28776.0,9284.0,33096.0,28227.0,28609.0,28777.0,29048.0,28660.0,28790.0,28482.0,28562.0
2020-05-17,Europe,France,None,28710.0,29166.0,29190.0,29378.0,28782.0,29149.0,29039.0,28712.0,28470.0,29109.0,29246.0,28221.0,29320.0,28623.0,29409.0,28947.0,27770.0,29338.0,28897.0,13833.0,27607.0,29313.0,29396.0,29070.0,29135.0,28779.0,28949.0,28779.0,27134.0,28638.0,28871.0,29247.0,29491.0,28540.0,29018.0,28598.0,28896.0,29146.0,29260.0,28888.0,28402.0,28585.0,28959.0,28863.0,28167.0,28128.0,28663.0,27703.0,28198.0,33531.0,29193.0,29297.0,29280.0,29184.0,29105.0,29667.0,29060.0,29118.0,29830.0,29130.0,28625.0,29111.0,29097.0,29018.0,11862.0,28807.0,29284.0,27752.0,27256.0,28844.0,28759.0,28139.0,28146.0,28062.0,28689.0,28521.0,28608.0,29438.0,29122.0,28945.0,28501.0,29994.0,28222.0,29515.0,28745.0,28908.0,28841.0,29353.0,33548.0,28952.0,9301.0,33529.0,28360.0,28773.0,28952.0,29242.0,28819.0,28962.0,28636.0,28719.0
2020-05-18,Europe,France,None,28856.0,29346.0,29368.0,29572.0,28934.0,29326.0,29211.0,28860.0,28602.0,29282.0,29429.0,28334.0,29512.0,28766.0,29606.0,29110.0,27859.0,29525.0,29057.0,13848.0,27688.0,29505.0,29594.0,29244.0,29308.0,28933.0,29114.0,28932.0,27225.0,28782.0,29031.0,29429.0,29695.0,28677.0,29188.0,28738.0,29057.0,29325.0,29445.0,29048.0,28529.0,28725.0,29125.0,29022.0,28278.0,28238.0,28809.0,27787.0,28312.0,33944.0,29375.0,29488.0,29464.0,29362.0,29281.0,29884.0,29234.0,29295.0,30053.0,29304.0,28767.0,29285.0,29270.0,29187.0,11864.0,28961.0,29470.0,27885.0,27355.0,28998.0,28910.0,28249.0,28258.0,28167.0,28835.0,28656.0,28749.0,29633.0,29298.0,29109.0,28633.0,30229.0,28337.0,29714.0,28896.0,29069.0,28994.0,29545.0,33957.0,29117.0,9317.0,33948.0,28484.0,28927.0,29117.0,29425.0,28967.0,29125.0,28780.0,28866.0
2020-05-19,Europe,France,None,28992.0,29515.0,29536.0,29756.0,29076.0,29493.0,29373.0,28998.0,28724.0,29445.0,29602.0,28439.0,29693.0,28898.0,29792.0,29263.0,27941.0,29701.0,29208.0,13861.0,27761.0,29687.0,29781.0,29408.0,29471.0,29077.0,29268.0,29074.0,27308.0,28916.0,29181.0,29601.0,29889.0,28805.0,29349.0,28868.0,29208.0,29494.0,29620.0,29199.0,28648.0,28855.0,29280.0,29171.0,28380.0,28340.0,28945.0,27862.0,28418.0,34343.0,29546.0,29669.0,29638.0,29529.0,29448.0,30092.0,29398.0,29462.0,30264.0,29467.0,28900.0,29450.0,29433.0,29345.0,11865.0,29106.0,29646.0,28011.0,27446.0,29142.0,29052.0,28351.0,28360.0,28263.0,28972.0,28782.0,28881.0,29818.0,29465.0,29264.0,28756.0,30453.0,28444.0,29904.0,29037.0,29220.0,29138.0,29727.0,34351.0,29273.0,9332.0,34353.0,28599.0,29071.0,29272.0,29597.0,29105.0,29277.0,28914.0,29003.0
2020-05-20,Europe,France,None,29120.0,29675.0,29694.0,29929.0,29209.0,29649.0,29526.0,29128.0,28838.0,29598.0,29764.0,28534.0,29865.0,29022.0,29968.0,29408.0,28015.0,29867.0,29348.0,13874.0,27827.0,29859.0,29960.0,29563.0,29623.0,29212.0,29413.0,29208.0,27385.0,29041.0,29322.0,29763.0,30072.0,28924.0,29499.0,28989.0,29350.0,29654.0,29785.0,29340.0,28757.0,28976.0,29426.0,29310.0,28474.0,28435.0,29071.0,27931.0,28515.0,34728.0,29707.0,29840.0,29802.0,29686.0,29605.0,30289.0,29552.0,29620.0,30466.0,29620.0,29023.0,29604.0,29587.0,29494.0,11867.0,29241.0,29811.0,28128.0,27530.0,29276.0,29185.0,28445.0,28455.0,28352.0,29100.0,28899.0,29005.0,29993.0,29621.0,29409.0,28870.0,30667.0,28543.0,30083.0,29169.0,29361.0,29271.0,29898.0,34732.0,29419.0,9346.0,34744.0,28705.0,29205.0,29419.0,29759.0,29233.0,29420.0,29039.0,29131.0
2020-05-21,Europe,France,None,29238.0,29826.0,29842.0,30093.0,29333.0,29796.0,29669.0,29249.0,28944.0,29742.0,29918.0,28622.0,30026.0,29138.0,30135.0,29543.0,28083.0,30024.0,29480.0,13885.0,27888.0,30022.0,30129.0,29708.0,29766.0,29338.0,29550.0,29332.0,27456.0,29157.0,29453.0,29916.0,30246.0,29034.0,29641.0,29102.0,29483.0,29805.0,29941.0,29471.0,28859.0,29088.0,29564.0,29440.0,28560.0,28521.0,29190.0,27993.0,28605.0,35100.0,29858.0,30002.0,29955.0,29834.0,29753.0,30477.0,29697.0,29770.0,30656.0,29763.0,29138.0,29750.0,29732.0,29634.0,11868.0,29367.0,29968.0,28238.0,27609.0,29401.0,29309.0,28531.0,28543.0,28433.0,29219.0,29008.0,29119.0,30158.0,29769.0,29546.0,28975.0,30871.0,28634.0,30252.0,29293.0,29494.0,29396.0,30060.0,35098.0,29556.0,9358.0,35122.0,28804.0,29331.0,29556.0,29911.0,29352.0,29553.0,29157.0,29249.0
