Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-11,0.0,22.0,,,0.0,0.0,0.0,0.0
2020-03-12,0.0,31.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,42.0,0.0,11.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,66.0,0.0,24.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,99.0,0.0,33.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,121.0,0.0,22.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,146.0,0.0,25.0,0.0,0.0,0.0,0.0
2020-03-18,1.0,197.0,1.0,51.0,0.0,0.0,0.0,0.0
2020-03-19,10.0,287.0,9.0,90.0,0.0,0.0,0.0,0.0
2020-03-20,13.0,420.0,3.0,133.0,0.0,0.0,0.0,0.0
2020-03-21,14.0,507.0,1.0,87.0,0.0,0.0,0.0,0.0
2020-03-22,23.0,600.0,9.0,93.0,0.0,0.0,0.0,0.0
2020-03-23,25.0,772.0,2.0,172.0,0.0,0.0,0.0,0.0
2020-03-24,32.0,1026.0,7.0,254.0,0.0,0.0,0.0,0.0
2020-03-25,40.0,1247.0,8.0,221.0,0.0,0.0,0.0,0.0
2020-03-26,48.0,1525.0,8.0,278.0,0.0,0.0,0.0,0.0
2020-03-27,64.0,2001.0,16.0,476.0,0.0,0.0,0.0,0.0
2020-03-28,69.0,2366.0,5.0,365.0,0.0,0.0,0.0,0.0
2020-03-29,80.0,2651.0,11.0,285.0,0.0,0.0,0.0,0.0
2020-03-30,87.0,2809.0,7.0,158.0,0.0,0.0,0.0,0.0
2020-03-31,111.0,3929.0,24.0,1120.0,0.0,0.0,0.0,0.0
2020-04-01,139.0,4638.0,28.0,709.0,0.0,0.0,0.0,0.0
2020-04-02,163.0,5348.0,24.0,710.0,0.0,0.0,0.0,0.0
2020-04-03,184.0,5831.0,21.0,483.0,0.0,0.0,0.0,0.0
2020-04-04,201.0,6160.0,17.0,329.0,0.0,0.0,0.0,0.0
2020-04-05,211.0,6647.0,10.0,487.0,0.0,0.0,0.0,0.0
2020-04-06,229.0,7314.0,18.0,667.0,0.0,0.0,0.0,0.0
2020-04-07,329.0,8818.0,100.0,1504.0,0.0,0.0,0.0,0.0
2020-04-08,362.0,9901.0,33.0,1083.0,0.0,0.0,0.0,0.0
2020-04-09,379.0,10566.0,17.0,665.0,0.0,0.0,0.0,0.0
2020-04-10,416.0,11483.0,37.0,917.0,0.0,0.0,0.0,0.0
2020-04-11,428.0,12159.0,12.0,676.0,0.0,0.0,0.0,0.0
2020-04-12,433.0,12452.0,5.0,293.0,0.0,0.0,0.0,0.0
2020-04-13,464.0,13315.0,31.0,863.0,0.0,0.0,0.0,0.0
2020-04-14,501.0,14223.0,37.0,908.0,0.0,0.0,0.0,0.0
2020-04-15,552.0,14987.0,51.0,764.0,0.0,0.0,0.0,0.0
2020-04-16,587.0,15669.0,35.0,682.0,0.0,0.0,0.0,0.0
2020-04-17,650.0,17194.0,63.0,1525.0,0.0,0.0,0.0,0.0
2020-04-18,673.0,17669.0,23.0,475.0,0.0,0.0,0.0,0.0
2020-04-19,687.0,18301.0,14.0,632.0,0.0,0.0,0.0,0.0
2020-04-20,733.0,18947.0,46.0,646.0,0.0,0.0,0.0,0.0
2020-04-21,799.0,19881.0,66.0,934.0,0.0,0.0,0.0,0.0
2020-04-22,836.0,20740.0,37.0,859.0,0.0,0.0,0.0,0.0
2020-04-23,872.0,21512.0,36.0,772.0,0.0,0.0,0.0,0.0
2020-04-24,892.0,22147.0,20.0,635.0,0.0,0.0,0.0,0.0
2020-04-25,904.0,22695.0,12.0,548.0,0.0,0.0,0.0,0.0
2020-04-26,912.0,23401.0,8.0,706.0,0.0,0.0,0.0,0.0
2020-04-27,971.0,23913.0,59.0,512.0,0.0,0.0,0.0,0.0
2020-04-28,1026.0,24615.0,55.0,702.0,0.0,0.0,0.0,0.0
2020-04-29,1093.0,25572.0,67.0,957.0,0.0,0.0,0.0,0.0
2020-04-30,1120.0,26155.0,27.0,583.0,0.0,0.0,0.0,0.0
2020-05-01,1154.0,27270.0,34.0,1115.0,0.0,0.0,0.0,0.0
2020-05-02,1174.0,28306.0,20.0,1036.0,0.0,0.0,0.0,0.0
2020-05-03,1177.0,28602.0,3.0,296.0,0.0,0.0,0.0,0.0
2020-05-04,1222.0,29368.0,45.0,766.0,0.0,0.0,0.0,0.0
2020-05-05,1288.0,29711.0,66.0,343.0,0.0,0.0,0.0,0.0
2020-05-06,1311.0,30696.0,23.0,985.0,0.0,0.0,0.0,0.0
2020-05-07,1336.0,31439.0,25.0,743.0,0.0,0.0,0.0,0.0
2020-05-08,1377.0,32106.0,41.0,667.0,0.0,0.0,0.0,0.0
2020-05-09,1400.0,32532.0,23.0,426.0,0.0,0.0,0.0,0.0
2020-05-10,1405.0,33441.0,5.0,909.0,0.0,0.0,0.0,0.0
2020-05-11,1441.0,33927.0,36.0,486.0,0.0,0.0,0.0,0.0
2020-05-12,1461.0,34635.0,20.0,708.0,0.0,0.0,0.0,0.0
2020-05-13,1505.0,35332.0,44.0,697.0,0.0,0.0,0.0,0.0
2020-05-14,1527.0,35858.0,22.0,526.0,0.0,0.0,0.0,0.0
2020-05-15,1557.0,36681.0,30.0,823.0,0.0,0.0,0.0,0.0
2020-05-16,1537.4444444444443,32100.353535353537,,,31.210822218070245,31.054389065047687,43.91753818700118,43.91753818700118
2020-05-17,1559.4444444444443,32509.0202020202,22.0,408.66666666666424,31.46787044565029,31.310150113728092,44.279238930771776,44.279238930771776
2020-05-18,1580.6767676767677,32904.80808080808,21.232323232323324,395.78787878787625,31.719355007972133,31.560375437214677,44.6331109768957,44.6331109768957
2020-05-19,1601.3030303030303,33287.868686868685,20.626262626262587,383.0606060606078,31.965898620798345,31.805684626979826,44.980030560036326,44.980030560036326
2020-05-20,1621.3434343434344,33658.57575757576,20.040404040404155,370.7070707070743,32.207779607394855,32.04635460728039,45.32038931023345,45.32038931023345
2020-05-21,1640.6868686868686,34016.969696969696,19.343434343434183,358.3939393939363,32.445613462781616,32.28299779148009,45.65505331077183,45.65505331077183
2020-05-22,1659.3838383838383,34363.444444444445,18.696969696969745,346.47474747474917,32.67946032694572,32.5156740108321,45.98410717582113,45.98410717582113
2020-05-23,1677.5050505050506,34698.121212121216,18.12121212121224,334.6767676767704,32.90944534350733,32.74450778182075,46.30772699828226,46.30772699828226
2020-05-24,1694.989898989899,35021.21212121212,17.4848484848485,323.09090909090446,33.136022692251174,32.969951007219684,46.62655186518656,46.62655186518656
2020-05-25,1711.858585858586,35332.90909090909,16.868686868686837,311.69696969696815,33.359248283786535,33.1920593138437,46.94066044472997,46.94066044472997
2020-05-26,1728.1818181818182,35633.606060606064,16.323232323232332,300.69696969697543,33.57934871468992,33.41105816112007,47.25037158469228,47.25037158469228
2020-05-27,1743.888888888889,35923.46464646464,15.70707070707067,289.8585858585793,33.796415785790195,33.6270388859878,47.55581445501141,47.55581445501141
2020-05-28,1759.050505050505,36202.89898989899,15.161616161616166,279.4343434343464,34.01068835203092,33.84023914441209,47.85732515197648,47.85732515197648
2020-05-29,1773.6969696969697,36472.16161616162,14.646464646464665,269.26262626262906,34.222312821349774,34.05080460963376,48.15510968866037,48.15510968866037
2020-05-30,1787.8080808080808,36731.40404040404,14.111111111111086,259.242424242424,34.43121065565009,34.25865712946108,48.44905754117359,48.44905754117359
2020-05-31,1801.3939393939395,36980.93939393939,13.58585858585866,249.5353535353497,34.63779517807231,34.464207961311274,48.739750315333204,48.739750315333204
2020-06-01,1814.4242424242425,37221.131313131315,13.030303030303003,240.19191919192235,34.84187822045018,34.66726987505081,49.026923227745094,49.026923227745094
2020-06-02,1827.060606060606,37452.181818181816,12.636363636363512,231.05050505050167,35.043546639641555,34.867929287398766,49.31069849010539,49.31069849010539
2020-06-03,1839.1515151515152,37674.37373737374,12.090909090909236,222.19191919192235,35.243019991749364,35.06640465236295,49.591385043034684,49.591385043034684
2020-06-04,1850.7777777777778,37887.979797979795,11.626262626262587,213.60606060605642,35.44001004859465,35.26240918559723,49.868577312221205,49.868577312221205
2020-06-05,1862.0,38093.36363636364,11.222222222222172,205.3838383838447,35.634952323431364,35.45637621486161,50.14288811566012,50.14288811566012
2020-06-06,1872.7373737373737,38290.77777777778,10.737373737373673,197.41414141414134,35.82762945209851,35.648089464549706,50.41401159345564,50.41401159345564
2020-06-07,1883.121212121212,38480.25252525252,10.383838383838338,189.4747474747419,36.018100966115476,35.83760816361048,50.6820315079907,50.6820315079907
2020-06-08,1893.050505050505,38662.41414141414,9.92929292929307,182.16161616161844,36.206518993411855,36.02508367315338,50.94716191619907,50.94716191619907
2020-06-09,1902.5858585858587,38837.242424242424,9.535353535353579,174.82828282828268,36.39255076716274,36.21018489963431,51.20893458110029,51.20893458110029
2020-06-10,1911.7373737373737,39005.16161616162,9.151515151515014,167.91919191919442,36.57652817687033,36.39324206132602,51.46781650185424,51.46781650185424
2020-06-11,1920.4848484848485,39166.232323232325,8.747474747474826,161.0707070707067,36.75822726243757,36.57403232085456,51.72349253882445,51.72349253882445
2020-06-12,1929.0,39320.919191919194,8.515151515151501,154.68686868686927,36.9377433703717,36.75265054339894,51.97609685163369,51.97609685163369
2020-06-13,1937.030303030303,39469.35353535353,8.030303030303003,148.4343434343391,37.115138616966426,36.929158532943354,52.225716844314604,52.225716844314604
2020-06-14,1944.878787878788,39611.74747474748,7.848484848484986,142.39393939394358,37.29011444124459,37.10325922409094,52.47193240295405,52.47193240295405
2020-06-15,1952.2323232323233,39748.31313131313,7.353535353535335,136.56565656565363,37.46299179475648,37.27527195284585,52.715195136860046,52.715195136860046
2020-06-16,1959.3939393939395,39879.36363636364,7.161616161616166,131.05050505050895,37.63350115338071,37.44492855353919,52.95512580250669,52.95512580250669
2020-06-17,1966.2525252525252,40004.919191919194,6.858585858585684,125.55555555555475,37.80181436597431,37.61240000860354,53.191966205569045,53.191966205569045
2020-06-18,1972.8686868686868,40125.46464646464,6.616161616161662,120.54545454544859,37.96776261210952,37.777518335405674,53.42547878272898,53.42547878272898
2020-06-19,1979.1616161616162,40240.979797979795,6.29292929292933,115.51515151515196,38.13134614616686,37.940283796874,53.655663905823396,53.655663905823396
2020-06-20,1985.1515151515152,40351.78787878788,5.989898989899075,110.80808080808492,38.29281181066805,38.10094198534848,53.8828688948703,53.8828688948703
2020-06-21,1990.8989898989898,40457.868686868685,5.747474747474598,106.08080808080558,38.45171154368737,38.25904709568143,54.106463286183654,54.106463286183654
2020-06-22,1996.4242424242425,40559.69696969697,5.525252525252654,101.82828282828268,38.60813674664769,38.4146900570006,54.326575672969135,54.326575672969135
2020-06-23,2001.7474747474748,40657.17171717172,5.323232323232332,97.47474747474917,38.76241049412037,38.568192334558965,54.54366067574733,54.54366067574733
2020-06-24,2006.79797979798,40750.707070707074,5.05050505050508,93.53535353535699,38.91403582019529,38.71905944586423,54.7570189906713,54.7570189906713
2020-06-25,2011.6969696969697,40840.343434343435,4.898989898989839,89.63636363636033,39.06325879928858,38.867536235995836,54.966996880973035,54.966996880973035
2020-06-26,2016.3535353535353,40926.19191919192,4.65656565656559,85.84848484848771,39.21018130495234,39.01372406152922,55.173737686496175,55.173737686496175
2020-06-27,2020.7676767676767,41008.545454545456,4.414141414141341,82.35353535353352,39.35453680726757,39.15735773144798,55.37686637050871,55.37686637050871
2020-06-28,2025.090909090909,41087.38383838384,4.323232323232332,78.83838383838156,39.49649212249899,39.29860322564134,55.57661766402104,55.57661766402104
2020-06-29,2029.2121212121212,41162.93939393939,4.121212121212238,75.55555555555475,39.636031350443844,39.43744471619792,55.772969182986266,55.772969182986266
2020-06-30,2033.1515151515152,41235.343434343435,3.9393939393939945,72.40404040404246,39.773101742318225,39.57382972268511,55.96584670886479,55.96584670886479
