Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,North America,US,Georgia,35854.0,35990.0,40922.0,35968.0,39150.0,35569.0,35854.0,35837.0,35978.0,35899.0,35964.0,36088.0,10240.0,36328.0,9533.0,35944.0,35935.0,35952.0,36032.0,37946.0,35953.0,35549.0,35759.0,37747.0,35944.0,35667.0,35785.0,4170.0,37259.0,9282.0,36077.0,35775.0,35861.0,9234.0,10668.0,36012.0,37828.0,35916.0,36769.0,35897.0,35967.0,10352.0,39804.0,35832.0,13054.0,31417.0,35917.0,35868.0,35953.0,36086.0,35604.0,21746.0,35808.0,28211.0,7352.0,35056.0,35935.0,36267.0,9295.0,34621.0,37377.0,35917.0,36531.0,35942.0,35815.0,35985.0,36055.0,35971.0,36042.0,40050.0,35852.0,35944.0,35920.0,32186.0,35749.0,37618.0,37041.0,37218.0,36020.0,21280.0,40255.0,35843.0,15448.0,37793.0,36034.0,35874.0,35910.0,36028.0,36031.0,35906.0,35681.0,8270.0,35878.0,9776.0,35939.0,12497.0,35894.0,9726.0,16615.0,40268.0
2020-05-16,North America,US,Georgia,36313.0,36476.0,42037.0,36448.0,40015.0,35978.0,36318.0,36295.0,36465.0,36371.0,36451.0,36595.0,10246.0,36877.0,9539.0,36426.0,36415.0,36435.0,36528.0,38660.0,36431.0,35956.0,36207.0,38440.0,36426.0,36095.0,36230.0,4170.0,37930.0,9292.0,36580.0,36227.0,36323.0,9235.0,10672.0,36511.0,38532.0,36390.0,37350.0,36366.0,36455.0,10357.0,40760.0,36287.0,13055.0,31594.0,36393.0,36333.0,36441.0,36593.0,36020.0,21801.0,36256.0,28250.0,7355.0,35393.0,36415.0,36798.0,9305.0,34935.0,38028.0,36389.0,37089.0,36415.0,36266.0,36477.0,36555.0,36451.0,36533.0,41038.0,36311.0,36417.0,36396.0,32336.0,36192.0,38296.0,37653.0,37849.0,36520.0,21349.0,41272.0,36303.0,15449.0,38491.0,36532.0,36336.0,36382.0,36524.0,36527.0,36381.0,36110.0,8270.0,36342.0,9783.0,36420.0,12499.0,36358.0,9734.0,16615.0,41287.0
2020-05-17,North America,US,Georgia,36754.0,36945.0,43151.0,36910.0,40870.0,36368.0,36763.0,36734.0,36937.0,36826.0,36923.0,37087.0,10251.0,37412.0,9544.0,36891.0,36879.0,36903.0,37007.0,39361.0,36891.0,36342.0,36638.0,39121.0,36891.0,36504.0,36655.0,4170.0,38590.0,9300.0,37068.0,36661.0,36768.0,9235.0,10677.0,36994.0,39224.0,36847.0,37917.0,36817.0,36926.0,10362.0,41710.0,36723.0,13056.0,31761.0,36851.0,36780.0,36912.0,37084.0,36416.0,21851.0,36687.0,28285.0,7358.0,35710.0,36877.0,37315.0,9313.0,35231.0,38666.0,36842.0,37631.0,36871.0,36700.0,36954.0,37040.0,36914.0,37006.0,42020.0,36752.0,36874.0,36855.0,32473.0,36618.0,38962.0,38251.0,38465.0,37004.0,21414.0,42283.0,36746.0,15449.0,39177.0,37013.0,36779.0,36837.0,37006.0,37007.0,36839.0,36521.0,8270.0,36788.0,9790.0,36884.0,12500.0,36803.0,9740.0,16615.0,42302.0
2020-05-18,North America,US,Georgia,37177.0,37397.0,44263.0,37356.0,41716.0,36738.0,37190.0,37154.0,37392.0,37264.0,37378.0,37564.0,10256.0,37933.0,9548.0,37340.0,37325.0,37354.0,37471.0,40049.0,37335.0,36710.0,37051.0,39788.0,37340.0,36894.0,37061.0,4170.0,39238.0,9308.0,37540.0,37078.0,37195.0,9235.0,10681.0,37462.0,39903.0,37286.0,38468.0,37251.0,37382.0,10367.0,42653.0,37142.0,13057.0,31917.0,37292.0,37210.0,37368.0,37560.0,36792.0,21896.0,37100.0,28317.0,7361.0,36007.0,37323.0,37817.0,9321.0,35510.0,39291.0,37277.0,38159.0,37309.0,37115.0,37414.0,37510.0,37361.0,37461.0,42995.0,37175.0,37313.0,37297.0,32598.0,37024.0,39614.0,38835.0,39066.0,37474.0,21473.0,43290.0,37171.0,15449.0,39850.0,37480.0,37205.0,37275.0,37471.0,37471.0,37280.0,36913.0,8270.0,37216.0,9796.0,37332.0,12502.0,37231.0,9747.0,16615.0,43312.0
2020-05-19,North America,US,Georgia,37583.0,37834.0,45373.0,37786.0,42552.0,37090.0,37600.0,37558.0,37832.0,37685.0,37817.0,38025.0,10260.0,38440.0,9552.0,37773.0,37755.0,37789.0,37919.0,40724.0,37763.0,37057.0,37448.0,40442.0,37772.0,37265.0,37449.0,4170.0,39873.0,9316.0,37997.0,37477.0,37604.0,9235.0,10684.0,37916.0,40569.0,37710.0,39005.0,37667.0,37822.0,10371.0,43588.0,37543.0,13058.0,32062.0,37716.0,37622.0,37807.0,38020.0,37149.0,21938.0,37495.0,28345.0,7364.0,36285.0,37753.0,38304.0,9328.0,35773.0,39901.0,37695.0,38672.0,37731.0,37513.0,37859.0,37964.0,37791.0,37900.0,43964.0,37579.0,37735.0,37722.0,32712.0,37413.0,40252.0,39405.0,39654.0,37928.0,21529.0,44290.0,37578.0,15449.0,40509.0,37930.0,37614.0,37696.0,37921.0,37919.0,37704.0,37285.0,8270.0,37628.0,9802.0,37763.0,12503.0,37642.0,9753.0,16615.0,44316.0
2020-05-20,North America,US,Georgia,37972.0,38254.0,46479.0,38199.0,43376.0,37422.0,37995.0,37944.0,38257.0,38091.0,38240.0,38472.0,10264.0,38934.0,9556.0,38189.0,38169.0,38208.0,38352.0,41386.0,38174.0,37387.0,37828.0,41083.0,38189.0,37618.0,37818.0,4171.0,40497.0,9322.0,38439.0,37859.0,37997.0,9235.0,10687.0,38355.0,41222.0,38117.0,39528.0,38066.0,38247.0,10375.0,44515.0,37927.0,13059.0,32200.0,38124.0,38017.0,38232.0,38466.0,37488.0,21977.0,37872.0,28370.0,7366.0,36544.0,38166.0,38777.0,9335.0,36021.0,40498.0,38097.0,39171.0,38136.0,37892.0,38288.0,38404.0,38205.0,38324.0,44925.0,37966.0,38141.0,38130.0,32815.0,37783.0,40877.0,39961.0,40227.0,38368.0,21580.0,45285.0,37969.0,15450.0,41155.0,38365.0,38006.0,38102.0,38355.0,38353.0,38113.0,37640.0,8270.0,38023.0,9807.0,38177.0,12504.0,38035.0,9758.0,16615.0,45313.0
2020-05-21,North America,US,Georgia,38345.0,38659.0,47582.0,38596.0,44190.0,37736.0,38374.0,38314.0,38666.0,38481.0,38648.0,38905.0,10268.0,39414.0,9559.0,38590.0,38567.0,38612.0,38770.0,42033.0,38568.0,37698.0,38191.0,41711.0,38591.0,37953.0,38171.0,4171.0,41108.0,9328.0,38865.0,38224.0,38372.0,9235.0,10690.0,38780.0,41862.0,38508.0,40035.0,38448.0,38657.0,10378.0,45433.0,38294.0,13059.0,32328.0,38516.0,38396.0,38642.0,38896.0,37810.0,22012.0,38231.0,28392.0,7368.0,36786.0,38564.0,39236.0,9341.0,36253.0,41081.0,38483.0,39655.0,38525.0,38254.0,38703.0,38828.0,38603.0,38733.0,45879.0,38335.0,38530.0,38523.0,32910.0,38138.0,41488.0,40502.0,40786.0,38794.0,21627.0,46272.0,38343.0,15450.0,41788.0,38785.0,38381.0,38491.0,38774.0,38771.0,38506.0,37977.0,8270.0,38402.0,9812.0,38577.0,12505.0,38411.0,9763.0,16615.0,46304.0
2020-05-22,North America,US,Georgia,38700.0,39049.0,48680.0,38978.0,44993.0,38034.0,38737.0,38668.0,39059.0,38855.0,39041.0,39323.0,10271.0,39881.0,9562.0,38976.0,38950.0,39000.0,39173.0,42667.0,38948.0,37993.0,38538.0,42325.0,38977.0,38272.0,38507.0,4171.0,41707.0,9334.0,39278.0,38574.0,38732.0,9235.0,10692.0,39190.0,42489.0,38884.0,40528.0,38815.0,39052.0,10381.0,46342.0,38645.0,13060.0,32448.0,38892.0,38760.0,39037.0,39312.0,38115.0,22044.0,38572.0,28412.0,7370.0,37013.0,38947.0,39680.0,9347.0,36472.0,41651.0,38854.0,40124.0,38897.0,38600.0,39103.0,39239.0,38985.0,39126.0,46824.0,38689.0,38903.0,38900.0,32996.0,38476.0,42084.0,41029.0,41330.0,39206.0,21670.0,47252.0,38701.0,15450.0,42407.0,39190.0,38740.0,38864.0,39178.0,39175.0,38883.0,38298.0,8270.0,38764.0,9816.0,38961.0,12505.0,38772.0,9767.0,16615.0,47287.0
2020-05-23,North America,US,Georgia,39040.0,39424.0,49774.0,39344.0,45784.0,38315.0,39084.0,39005.0,39438.0,39214.0,39419.0,39727.0,10274.0,40335.0,9565.0,39347.0,39318.0,39373.0,39562.0,43288.0,39311.0,38272.0,38870.0,42926.0,39348.0,38575.0,38827.0,4171.0,42294.0,9339.0,39675.0,38909.0,39076.0,9235.0,10695.0,39586.0,43103.0,39244.0,41006.0,39165.0,39432.0,10384.0,47242.0,38979.0,13060.0,32560.0,39254.0,39108.0,39419.0,39713.0,38404.0,22073.0,38898.0,28429.0,7372.0,37223.0,39315.0,40110.0,9352.0,36677.0,42206.0,39209.0,40580.0,39254.0,38930.0,39488.0,39635.0,39352.0,39502.0,47760.0,39028.0,39261.0,39262.0,33073.0,38798.0,42667.0,41542.0,41860.0,39603.0,21711.0,48224.0,39044.0,15450.0,43013.0,39580.0,39082.0,39221.0,39568.0,39564.0,39246.0,38602.0,8270.0,39110.0,9820.0,39330.0,12506.0,39116.0,9771.0,16615.0,48262.0
2020-05-24,North America,US,Georgia,39363.0,39784.0,50862.0,39695.0,46563.0,38580.0,39416.0,39327.0,39802.0,39558.0,39784.0,40117.0,10277.0,40775.0,9567.0,39703.0,39672.0,39732.0,39936.0,43894.0,39660.0,38534.0,39188.0,43513.0,39705.0,38862.0,39131.0,4171.0,42867.0,9344.0,40058.0,39229.0,39404.0,9235.0,10697.0,39969.0,43703.0,39589.0,41471.0,39500.0,39798.0,10386.0,48132.0,39297.0,13061.0,32665.0,39600.0,39441.0,39786.0,40100.0,38676.0,22100.0,39209.0,28445.0,7373.0,37418.0,39668.0,40526.0,9356.0,36870.0,42748.0,39548.0,41021.0,39596.0,39244.0,39860.0,40017.0,39705.0,39863.0,48687.0,39350.0,39604.0,39609.0,33143.0,39105.0,43236.0,42041.0,42376.0,39987.0,21748.0,49187.0,39371.0,15450.0,43605.0,39956.0,39408.0,39563.0,39943.0,39939.0,39594.0,38891.0,8270.0,39440.0,9823.0,39685.0,12507.0,39446.0,9775.0,16615.0,49229.0
