Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-12,North America,US,Georgia,1473.0,1467.0,1473.0,1472.0,1473.0,1473.0,1469.0,1453.0,1472.0,1630.0,1474.0,1472.0,1444.0,1472.0,1465.0,1472.0,1473.0,1452.0,1472.0,1460.0,1474.0,1483.0,1468.0,1470.0,1434.0,1473.0,1473.0,1473.0,1472.0,1473.0,1465.0,1472.0,1447.0,1462.0,1472.0,1461.0,1471.0,1448.0,1462.0,1471.0,1471.0,1472.0,1473.0,1473.0,1473.0,1471.0,1471.0,1449.0,1448.0,1473.0,1458.0,1473.0,1472.0,1465.0,1472.0,1468.0,1453.0,1472.0,1473.0,1473.0,1443.0,1445.0,1473.0,1447.0,1473.0,1473.0,1473.0,1468.0,1473.0,1473.0,1472.0,1472.0,1472.0,1439.0,1436.0,1475.0,1472.0,1473.0,1473.0,1471.0,1459.0,1471.0,1471.0,1473.0,1458.0,1473.0,1470.0,1473.0,1472.0,1473.0,1473.0,1474.0,1472.0,1460.0,1471.0,1472.0,1471.0,1456.0,1472.0,1462.0
2020-05-13,North America,US,Georgia,1498.0,1491.0,1498.0,1497.0,1498.0,1498.0,1493.0,1475.0,1497.0,1676.0,1499.0,1497.0,1464.0,1497.0,1489.0,1497.0,1498.0,1474.0,1498.0,1483.0,1499.0,1511.0,1493.0,1495.0,1454.0,1497.0,1498.0,1498.0,1497.0,1498.0,1488.0,1497.0,1470.0,1485.0,1497.0,1484.0,1496.0,1471.0,1485.0,1495.0,1495.0,1497.0,1499.0,1498.0,1498.0,1496.0,1496.0,1470.0,1471.0,1499.0,1480.0,1499.0,1497.0,1489.0,1498.0,1492.0,1474.0,1497.0,1498.0,1498.0,1463.0,1464.0,1498.0,1470.0,1498.0,1498.0,1498.0,1492.0,1498.0,1498.0,1497.0,1497.0,1497.0,1458.0,1455.0,1500.0,1497.0,1498.0,1498.0,1496.0,1481.0,1496.0,1496.0,1498.0,1480.0,1498.0,1494.0,1498.0,1497.0,1498.0,1498.0,1499.0,1498.0,1483.0,1495.0,1497.0,1496.0,1478.0,1497.0,1486.0
2020-05-14,North America,US,Georgia,1522.0,1514.0,1522.0,1521.0,1523.0,1523.0,1517.0,1495.0,1521.0,1721.0,1524.0,1521.0,1483.0,1521.0,1512.0,1521.0,1522.0,1494.0,1522.0,1504.0,1524.0,1537.0,1516.0,1518.0,1474.0,1521.0,1522.0,1523.0,1521.0,1522.0,1511.0,1521.0,1493.0,1507.0,1522.0,1506.0,1521.0,1493.0,1507.0,1519.0,1519.0,1521.0,1524.0,1523.0,1523.0,1520.0,1520.0,1490.0,1493.0,1523.0,1501.0,1523.0,1521.0,1512.0,1522.0,1515.0,1494.0,1521.0,1523.0,1523.0,1481.0,1482.0,1523.0,1492.0,1523.0,1522.0,1523.0,1515.0,1523.0,1522.0,1521.0,1522.0,1521.0,1475.0,1472.0,1525.0,1521.0,1523.0,1523.0,1519.0,1503.0,1520.0,1520.0,1523.0,1501.0,1523.0,1517.0,1522.0,1521.0,1523.0,1522.0,1524.0,1522.0,1505.0,1519.0,1521.0,1519.0,1499.0,1522.0,1508.0
2020-05-15,North America,US,Georgia,1545.0,1536.0,1545.0,1545.0,1547.0,1547.0,1539.0,1514.0,1545.0,1766.0,1549.0,1544.0,1500.0,1545.0,1533.0,1545.0,1545.0,1513.0,1546.0,1525.0,1547.0,1563.0,1538.0,1541.0,1492.0,1544.0,1546.0,1546.0,1545.0,1545.0,1532.0,1545.0,1514.0,1528.0,1545.0,1527.0,1544.0,1515.0,1528.0,1542.0,1542.0,1544.0,1548.0,1546.0,1546.0,1543.0,1543.0,1508.0,1515.0,1547.0,1521.0,1547.0,1544.0,1534.0,1545.0,1537.0,1514.0,1545.0,1546.0,1546.0,1499.0,1499.0,1546.0,1514.0,1546.0,1546.0,1546.0,1538.0,1546.0,1545.0,1545.0,1545.0,1544.0,1492.0,1488.0,1548.0,1544.0,1547.0,1546.0,1542.0,1523.0,1543.0,1544.0,1546.0,1521.0,1546.0,1540.0,1546.0,1545.0,1546.0,1545.0,1548.0,1545.0,1525.0,1542.0,1545.0,1542.0,1519.0,1545.0,1529.0
2020-05-16,North America,US,Georgia,1568.0,1557.0,1568.0,1567.0,1569.0,1570.0,1561.0,1532.0,1568.0,1811.0,1572.0,1566.0,1517.0,1567.0,1554.0,1567.0,1568.0,1531.0,1568.0,1545.0,1570.0,1587.0,1560.0,1563.0,1510.0,1566.0,1568.0,1569.0,1568.0,1568.0,1553.0,1567.0,1535.0,1548.0,1567.0,1547.0,1566.0,1536.0,1548.0,1564.0,1565.0,1566.0,1571.0,1569.0,1569.0,1565.0,1566.0,1526.0,1536.0,1570.0,1540.0,1571.0,1567.0,1555.0,1567.0,1558.0,1532.0,1567.0,1569.0,1569.0,1515.0,1515.0,1569.0,1534.0,1569.0,1569.0,1568.0,1559.0,1569.0,1568.0,1567.0,1568.0,1566.0,1507.0,1503.0,1571.0,1566.0,1570.0,1569.0,1564.0,1543.0,1565.0,1566.0,1569.0,1541.0,1569.0,1561.0,1568.0,1567.0,1569.0,1567.0,1571.0,1568.0,1545.0,1564.0,1567.0,1564.0,1538.0,1568.0,1549.0
2020-05-17,North America,US,Georgia,1589.0,1578.0,1589.0,1588.0,1591.0,1592.0,1582.0,1550.0,1589.0,1855.0,1595.0,1588.0,1533.0,1589.0,1573.0,1588.0,1590.0,1548.0,1590.0,1564.0,1592.0,1611.0,1580.0,1584.0,1527.0,1587.0,1590.0,1591.0,1589.0,1589.0,1573.0,1589.0,1554.0,1567.0,1589.0,1566.0,1588.0,1557.0,1567.0,1585.0,1586.0,1588.0,1593.0,1591.0,1591.0,1586.0,1587.0,1543.0,1556.0,1592.0,1559.0,1593.0,1588.0,1575.0,1589.0,1579.0,1550.0,1589.0,1591.0,1591.0,1531.0,1530.0,1591.0,1554.0,1590.0,1591.0,1590.0,1580.0,1591.0,1589.0,1588.0,1589.0,1587.0,1521.0,1517.0,1593.0,1588.0,1592.0,1591.0,1586.0,1561.0,1587.0,1587.0,1591.0,1559.0,1591.0,1582.0,1590.0,1589.0,1591.0,1589.0,1593.0,1589.0,1564.0,1585.0,1589.0,1585.0,1556.0,1590.0,1568.0
2020-05-18,North America,US,Georgia,1610.0,1597.0,1610.0,1609.0,1612.0,1614.0,1601.0,1566.0,1610.0,1898.0,1616.0,1609.0,1547.0,1610.0,1592.0,1609.0,1610.0,1564.0,1611.0,1582.0,1612.0,1635.0,1600.0,1605.0,1543.0,1607.0,1610.0,1612.0,1610.0,1610.0,1591.0,1609.0,1573.0,1586.0,1610.0,1584.0,1609.0,1576.0,1585.0,1605.0,1606.0,1608.0,1615.0,1612.0,1612.0,1607.0,1608.0,1559.0,1575.0,1614.0,1576.0,1614.0,1609.0,1594.0,1609.0,1598.0,1566.0,1609.0,1612.0,1612.0,1545.0,1544.0,1613.0,1573.0,1611.0,1612.0,1611.0,1599.0,1612.0,1610.0,1609.0,1610.0,1607.0,1535.0,1530.0,1614.0,1608.0,1613.0,1613.0,1606.0,1579.0,1607.0,1608.0,1612.0,1576.0,1612.0,1601.0,1611.0,1610.0,1612.0,1610.0,1615.0,1610.0,1582.0,1605.0,1610.0,1605.0,1573.0,1611.0,1586.0
2020-05-19,North America,US,Georgia,1630.0,1616.0,1630.0,1629.0,1632.0,1634.0,1620.0,1581.0,1630.0,1941.0,1637.0,1628.0,1561.0,1630.0,1610.0,1629.0,1630.0,1580.0,1631.0,1599.0,1633.0,1657.0,1619.0,1624.0,1558.0,1626.0,1630.0,1632.0,1630.0,1630.0,1609.0,1629.0,1592.0,1603.0,1630.0,1601.0,1629.0,1595.0,1603.0,1624.0,1626.0,1628.0,1636.0,1633.0,1632.0,1626.0,1628.0,1575.0,1594.0,1635.0,1592.0,1635.0,1628.0,1612.0,1629.0,1617.0,1582.0,1629.0,1632.0,1632.0,1559.0,1557.0,1633.0,1591.0,1631.0,1632.0,1631.0,1618.0,1633.0,1630.0,1629.0,1630.0,1627.0,1547.0,1542.0,1634.0,1627.0,1633.0,1633.0,1625.0,1596.0,1627.0,1628.0,1632.0,1592.0,1632.0,1620.0,1631.0,1630.0,1633.0,1629.0,1636.0,1630.0,1599.0,1624.0,1630.0,1625.0,1589.0,1631.0,1604.0
2020-05-20,North America,US,Georgia,1649.0,1633.0,1649.0,1647.0,1652.0,1654.0,1638.0,1596.0,1650.0,1983.0,1658.0,1647.0,1574.0,1649.0,1627.0,1647.0,1649.0,1594.0,1650.0,1615.0,1652.0,1678.0,1636.0,1643.0,1572.0,1645.0,1649.0,1652.0,1650.0,1649.0,1626.0,1648.0,1609.0,1620.0,1649.0,1617.0,1648.0,1613.0,1619.0,1643.0,1645.0,1646.0,1656.0,1653.0,1652.0,1645.0,1647.0,1589.0,1612.0,1654.0,1607.0,1655.0,1647.0,1629.0,1648.0,1634.0,1597.0,1649.0,1652.0,1652.0,1571.0,1569.0,1653.0,1609.0,1650.0,1651.0,1650.0,1636.0,1652.0,1649.0,1648.0,1649.0,1646.0,1558.0,1554.0,1654.0,1646.0,1653.0,1652.0,1644.0,1612.0,1646.0,1647.0,1652.0,1608.0,1651.0,1638.0,1650.0,1649.0,1652.0,1648.0,1656.0,1649.0,1615.0,1642.0,1650.0,1643.0,1604.0,1650.0,1620.0
2020-05-21,North America,US,Georgia,1667.0,1650.0,1667.0,1665.0,1670.0,1673.0,1656.0,1610.0,1668.0,2025.0,1677.0,1666.0,1586.0,1667.0,1643.0,1665.0,1668.0,1608.0,1669.0,1630.0,1670.0,1699.0,1653.0,1660.0,1586.0,1662.0,1668.0,1670.0,1668.0,1667.0,1642.0,1666.0,1626.0,1636.0,1667.0,1632.0,1666.0,1630.0,1635.0,1661.0,1663.0,1664.0,1675.0,1671.0,1670.0,1663.0,1665.0,1602.0,1629.0,1674.0,1622.0,1674.0,1665.0,1646.0,1666.0,1651.0,1611.0,1667.0,1671.0,1670.0,1583.0,1581.0,1672.0,1625.0,1668.0,1669.0,1668.0,1653.0,1671.0,1667.0,1666.0,1667.0,1663.0,1569.0,1564.0,1672.0,1664.0,1672.0,1671.0,1662.0,1627.0,1664.0,1665.0,1671.0,1623.0,1669.0,1655.0,1669.0,1667.0,1671.0,1666.0,1675.0,1667.0,1630.0,1660.0,1668.0,1661.0,1619.0,1668.0,1636.0
