Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-11,0.0,13.0,,,0.0,0.0,0.0,0.0
2020-03-12,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,45.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,68.0,0.0,23.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,90.0,0.0,22.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,105.0,0.0,15.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,124.0,0.0,19.0,0.0,0.0,0.0,0.0
2020-03-25,1.0,145.0,1.0,21.0,0.0,0.0,0.0,0.0
2020-03-26,1.0,179.0,0.0,34.0,0.0,0.0,0.0,0.0
2020-03-27,3.0,235.0,2.0,56.0,0.0,0.0,0.0,0.0
2020-03-28,3.0,298.0,0.0,63.0,0.0,0.0,0.0,0.0
2020-03-29,4.0,336.0,1.0,38.0,0.0,0.0,0.0,0.0
2020-03-30,6.0,424.0,2.0,88.0,0.0,0.0,0.0,0.0
2020-03-31,7.0,497.0,1.0,73.0,0.0,0.0,0.0,0.0
2020-04-01,9.0,549.0,2.0,52.0,0.0,0.0,0.0,0.0
2020-04-02,11.0,614.0,2.0,65.0,0.0,0.0,0.0,0.0
2020-04-03,11.0,699.0,0.0,85.0,0.0,0.0,0.0,0.0
2020-04-04,14.0,786.0,3.0,87.0,0.0,0.0,0.0,0.0
2020-04-05,22.0,868.0,8.0,82.0,0.0,0.0,0.0,0.0
2020-04-06,25.0,946.0,3.0,78.0,0.0,0.0,0.0,0.0
2020-04-07,26.0,1048.0,1.0,102.0,0.0,0.0,0.0,0.0
2020-04-08,27.0,1145.0,1.0,97.0,0.0,0.0,0.0,0.0
2020-04-09,29.0,1270.0,2.0,125.0,0.0,0.0,0.0,0.0
2020-04-10,31.0,1388.0,2.0,118.0,0.0,0.0,0.0,0.0
2020-04-11,34.0,1510.0,3.0,122.0,0.0,0.0,0.0,0.0
2020-04-12,41.0,1587.0,7.0,77.0,0.0,0.0,0.0,0.0
2020-04-13,43.0,1710.0,2.0,123.0,0.0,0.0,0.0,0.0
2020-04-14,49.0,1899.0,6.0,189.0,0.0,0.0,0.0,0.0
2020-04-15,53.0,1995.0,4.0,96.0,0.0,0.0,0.0,0.0
2020-04-16,60.0,2141.0,7.0,146.0,0.0,0.0,0.0,0.0
2020-04-17,64.0,2332.0,4.0,191.0,0.0,0.0,0.0,0.0
2020-04-18,74.0,2513.0,10.0,181.0,0.0,0.0,0.0,0.0
2020-04-19,75.0,2902.0,1.0,389.0,0.0,0.0,0.0,0.0
2020-04-20,79.0,3159.0,4.0,257.0,0.0,0.0,0.0,0.0
2020-04-21,83.0,3641.0,4.0,482.0,0.0,0.0,0.0,0.0
2020-04-22,90.0,3748.0,7.0,107.0,0.0,0.0,0.0,0.0
2020-04-23,96.0,3924.0,6.0,176.0,0.0,0.0,0.0,0.0
2020-04-24,107.0,4445.0,11.0,521.0,0.0,0.0,0.0,0.0
2020-04-25,112.0,5092.0,5.0,647.0,0.0,0.0,0.0,0.0
2020-04-26,118.0,5476.0,6.0,384.0,0.0,0.0,0.0,0.0
2020-04-27,127.0,5868.0,9.0,392.0,0.0,0.0,0.0,0.0
2020-04-28,136.0,6376.0,9.0,508.0,0.0,0.0,0.0,0.0
2020-04-29,148.0,6843.0,12.0,467.0,0.0,0.0,0.0,0.0
2020-04-30,162.0,7145.0,14.0,302.0,0.0,0.0,0.0,0.0
2020-05-01,170.0,7884.0,8.0,739.0,0.0,0.0,0.0,0.0
2020-05-02,175.0,8641.0,5.0,757.0,0.0,0.0,0.0,0.0
2020-05-03,184.0,9169.0,9.0,528.0,0.0,0.0,0.0,0.0
2020-05-04,188.0,9703.0,4.0,534.0,0.0,0.0,0.0,0.0
2020-05-05,207.0,10111.0,19.0,408.0,0.0,0.0,0.0,0.0
2020-05-06,219.0,10404.0,12.0,293.0,0.0,0.0,0.0,0.0
2020-05-07,231.0,11059.0,12.0,655.0,0.0,0.0,0.0,0.0
2020-05-08,243.0,11457.0,12.0,398.0,0.0,0.0,0.0,0.0
2020-05-09,252.0,11671.0,9.0,214.0,0.0,0.0,0.0,0.0
2020-05-10,265.0,11959.0,13.0,288.0,0.0,0.0,0.0,0.0
2020-05-11,271.0,12373.0,6.0,414.0,0.0,0.0,0.0,0.0
2020-05-12,289.0,12912.0,18.0,539.0,0.0,0.0,0.0,0.0
2020-05-13,306.0,13289.0,17.0,377.0,0.0,0.0,0.0,0.0
2020-05-14,318.0,13675.0,12.0,386.0,0.0,0.0,0.0,0.0
2020-05-15,336.0,14049.0,18.0,374.0,0.0,0.0,0.0,0.0
2020-05-16,319.1818181818182,13603.757575757576,,,20.29262491606727,20.190963989004157,28.554335110636448,28.554335110636448
2020-05-17,328.74747474747477,13964.252525252525,9.565656565656582,360.49494949494874,20.9372145677859,20.832323469927875,29.46135438691534,29.46135438691534
2020-05-18,338.06060606060606,14318.666666666666,9.313131313131294,354.41414141414134,21.551214404052743,21.4432463934987,30.325329870993823,30.325329870993823
2020-05-19,347.2929292929293,14666.525252525253,9.23232323232321,347.8585858585866,22.136361093372436,22.02546074490005,31.148705302953868,31.148705302953868
2020-05-20,356.35353535353534,15007.717171717171,9.060606060606062,341.1919191919187,22.69457565608042,22.5808779056614,31.934183784477323,31.934183784477323
2020-05-21,365.2323232323232,15341.979797979799,8.878787878787875,334.26262626262724,23.227200348781015,23.11083342541192,32.68365406796299,32.68365406796299
2020-05-22,373.93939393939394,15668.939393939394,8.707070707070727,326.9595959595954,23.736702656184537,23.61778242079581,33.40058821266631,33.40058821266631
2020-05-23,382.52525252525254,15988.575757575758,8.585858585858603,319.63636363636397,24.223597387408205,24.10223709928249,34.08571058933727,34.08571058933727
2020-05-24,390.92929292929296,16300.676767676769,8.404040404040416,312.1010101010106,24.68995872485711,24.566261276886905,34.74193987457445,34.74193987457445
2020-05-25,399.1111111111111,16605.050505050505,8.18181818181813,304.37373737373673,25.136890449065824,25.010953177331135,35.37082919126015,35.37082919126015
2020-05-26,407.1010101010101,16901.828282828283,7.989898989899018,296.7777777777774,25.565536371599794,25.437450910889847,35.973988070380265,35.973988070380265
2020-05-27,414.93939393939394,17190.737373737375,7.838383838383834,288.9090909090919,25.9773348252866,25.847185588057727,36.55344040780564,36.55344040780564
2020-05-28,422.5151515151515,17471.848484848484,7.575757575757564,281.1111111111095,26.37253285352316,26.24040300680253,37.109533814355885,37.109533814355885
2020-05-29,429.969696969697,17745.090909090908,7.454545454545496,273.242424242424,26.753665705259337,26.619625731977237,37.645835735458036,37.645835735458036
2020-05-30,437.1212121212121,18010.47474747475,7.151515151515127,265.38383838384107,27.1196961158261,26.98382168049121,38.160886585207834,38.160886585207834
2020-05-31,444.1818181818182,18268.0202020202,7.060606060606062,257.54545454545223,27.473282237946567,27.33563570321976,38.65842674758359,38.65842674758359
2020-06-01,450.989898989899,18517.929292929293,6.808080808080831,249.9090909090919,27.81360871898622,27.67425650548666,39.13730887865109,39.13730887865109
2020-06-02,457.57575757575756,18760.0202020202,6.585858585858546,242.0909090909081,28.142355159542298,28.00135530292005,39.59989643421732,39.59989643421732
