Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-12,North America,US,Iowa,13143.0,13249.0,13320.0,13296.0,13041.0,13239.0,13292.0,13310.0,12861.0,13097.0,13150.0,11153.0,13309.0,13118.0,13218.0,13254.0,13322.0,11802.0,13250.0,13250.0,13130.0,13200.0,13180.0,12950.0,13289.0,13256.0,13175.0,13268.0,10607.0,13218.0,13065.0,12210.0,12908.0,13095.0,13243.0,13208.0,13200.0,13293.0,13313.0,13255.0,12973.0,13165.0,13284.0,12889.0,13106.0,13264.0,13166.0,13281.0,13286.0,13331.0,13263.0,13253.0,13190.0,13195.0,13091.0,11026.0,13380.0,13206.0,13345.0,13286.0,13095.0,13278.0,13193.0,13234.0,13275.0,13339.0,13220.0,13117.0,13256.0,13130.0,13126.0,13169.0,13184.0,13208.0,13147.0,13183.0,13182.0,13256.0,13260.0,13127.0,13310.0,12979.0,13260.0,8186.0,13178.0,13194.0,13258.0,13327.0,13238.0,12336.0,13223.0,13270.0,13317.0,8253.0,12136.0,13214.0,13280.0,13249.0,13364.0,13184.0
2020-05-13,North America,US,Iowa,13599.0,13739.0,13832.0,13800.0,13463.0,13725.0,13795.0,13818.0,13265.0,13550.0,13608.0,11370.0,13816.0,13566.0,13697.0,13744.0,13834.0,12077.0,13738.0,13739.0,13582.0,13674.0,13646.0,13347.0,13793.0,13758.0,13641.0,13762.0,10751.0,13697.0,13498.0,12537.0,13335.0,13534.0,13730.0,13683.0,13673.0,13798.0,13821.0,13746.0,13378.0,13628.0,13786.0,13317.0,13551.0,13758.0,13629.0,13780.0,13786.0,13845.0,13756.0,13743.0,13660.0,13667.0,13532.0,11238.0,13910.0,13681.0,13865.0,13788.0,13537.0,13776.0,13664.0,13719.0,13771.0,13856.0,13700.0,13564.0,13747.0,13581.0,13576.0,13633.0,13656.0,13684.0,13604.0,13652.0,13649.0,13746.0,13752.0,13577.0,13821.0,13385.0,13750.0,8220.0,13644.0,13666.0,13750.0,13840.0,13723.0,12690.0,13704.0,13766.0,13828.0,8292.0,12445.0,13693.0,13779.0,13739.0,13889.0,13652.0
2020-05-14,North America,US,Iowa,14046.0,14223.0,14341.0,14300.0,13874.0,14206.0,14294.0,14323.0,13659.0,13995.0,14058.0,11580.0,14319.0,14004.0,14169.0,14229.0,14343.0,12342.0,14222.0,14223.0,14025.0,14141.0,14105.0,13730.0,14293.0,14257.0,14099.0,14252.0,10885.0,14169.0,13920.0,12854.0,13753.0,13964.0,14212.0,14152.0,14140.0,14300.0,14327.0,14232.0,13769.0,14083.0,14285.0,13738.0,13987.0,14247.0,14084.0,14277.0,14283.0,14357.0,14244.0,14229.0,14122.0,14132.0,13962.0,11443.0,14440.0,14150.0,14384.0,14286.0,13968.0,14270.0,14128.0,14198.0,14264.0,14372.0,14174.0,14001.0,14233.0,14023.0,14016.0,14090.0,14121.0,14154.0,14052.0,14113.0,14109.0,14232.0,14241.0,14019.0,14331.0,13778.0,14236.0,8252.0,14104.0,14131.0,14237.0,14351.0,14202.0,13036.0,14180.0,14259.0,14336.0,8328.0,12744.0,14166.0,14275.0,14224.0,14413.0,14113.0
2020-05-15,North America,US,Iowa,14485.0,14702.0,14847.0,14796.0,14273.0,14680.0,14788.0,14824.0,14042.0,14431.0,14498.0,11783.0,14819.0,14433.0,14635.0,14709.0,14848.0,12595.0,14700.0,14702.0,14460.0,14600.0,14556.0,14100.0,14788.0,14753.0,14548.0,14736.0,11011.0,14634.0,14330.0,13161.0,14164.0,14382.0,14688.0,14614.0,14600.0,14797.0,14829.0,14712.0,14147.0,14529.0,14780.0,14151.0,14412.0,14730.0,14531.0,14768.0,14775.0,14867.0,14727.0,14708.0,14577.0,14589.0,14382.0,11640.0,14968.0,14612.0,14900.0,14780.0,14388.0,14760.0,14584.0,14672.0,14751.0,14885.0,14641.0,14429.0,14714.0,14455.0,14447.0,14538.0,14580.0,14616.0,14492.0,14566.0,14561.0,14712.0,14724.0,14451.0,14837.0,14158.0,14716.0,8281.0,14555.0,14588.0,14718.0,14858.0,14675.0,13373.0,14648.0,14747.0,14840.0,8361.0,13033.0,14632.0,14767.0,14704.0,14936.0,14567.0
2020-05-16,North America,US,Iowa,14914.0,15173.0,15348.0,15287.0,14659.0,15147.0,15277.0,15320.0,14414.0,14859.0,14928.0,11977.0,15315.0,14850.0,15094.0,15183.0,15350.0,12840.0,15171.0,15174.0,14883.0,15051.0,14997.0,14455.0,15279.0,15244.0,14988.0,15214.0,11128.0,15092.0,14729.0,13459.0,14566.0,14790.0,15156.0,15067.0,15051.0,15291.0,15327.0,15187.0,14511.0,14967.0,15270.0,14557.0,14827.0,15207.0,14967.0,15255.0,15262.0,15372.0,15203.0,15181.0,15023.0,15039.0,14790.0,11829.0,15493.0,15066.0,15414.0,15269.0,14797.0,15245.0,15032.0,15139.0,15233.0,15394.0,15100.0,14846.0,15187.0,14876.0,14868.0,14977.0,15030.0,15070.0,14922.0,15011.0,15004.0,15185.0,15202.0,14873.0,15340.0,14524.0,15190.0,8309.0,14998.0,15037.0,15193.0,15362.0,15141.0,13702.0,15109.0,15230.0,15341.0,8392.0,13309.0,15090.0,15253.0,15177.0,15456.0,15011.0
2020-05-17,North America,US,Iowa,15333.0,15638.0,15844.0,15771.0,15032.0,15607.0,15759.0,15811.0,14774.0,15276.0,15348.0,12162.0,15805.0,15256.0,15544.0,15648.0,15846.0,13076.0,15633.0,15637.0,15296.0,15494.0,15429.0,14795.0,15765.0,15731.0,15419.0,15686.0,11237.0,15540.0,15116.0,13746.0,14958.0,15186.0,15617.0,15512.0,15494.0,15778.0,15818.0,15654.0,14861.0,15395.0,15754.0,14953.0,15230.0,15677.0,15394.0,15735.0,15743.0,15873.0,15673.0,15647.0,15459.0,15478.0,15187.0,12011.0,16016.0,15511.0,15923.0,15753.0,15194.0,15724.0,15470.0,15597.0,15707.0,15900.0,15550.0,15251.0,15653.0,15287.0,15278.0,15407.0,15473.0,15516.0,15341.0,15446.0,15438.0,15651.0,15671.0,15284.0,15839.0,14876.0,15655.0,8334.0,15431.0,15476.0,15660.0,15861.0,15599.0,14021.0,15561.0,15707.0,15836.0,8421.0,13574.0,15540.0,15732.0,15642.0,15972.0,15447.0
2020-05-18,North America,US,Iowa,15740.0,16095.0,16334.0,16249.0,15392.0,16059.0,16235.0,16295.0,15122.0,15684.0,15757.0,12339.0,16288.0,15650.0,15986.0,16106.0,16336.0,13301.0,16088.0,16093.0,15698.0,15926.0,15850.0,15120.0,16244.0,16213.0,15839.0,16150.0,11338.0,15979.0,15490.0,14023.0,15340.0,15569.0,16069.0,15947.0,15927.0,16261.0,16304.0,16113.0,15196.0,15812.0,16232.0,15341.0,15622.0,16140.0,15811.0,16208.0,16218.0,16367.0,16135.0,16105.0,15886.0,15909.0,15572.0,12185.0,16536.0,15947.0,16427.0,16230.0,15580.0,16196.0,15899.0,16047.0,16174.0,16401.0,15992.0,15646.0,16111.0,15686.0,15677.0,15827.0,15906.0,15953.0,15749.0,15872.0,15861.0,16109.0,16133.0,15683.0,16333.0,15213.0,16112.0,8357.0,15855.0,15906.0,16119.0,16353.0,16048.0,14332.0,16005.0,16177.0,16326.0,8447.0,13829.0,15981.0,16205.0,16099.0,16484.0,15873.0
2020-05-19,North America,US,Iowa,16137.0,16543.0,16819.0,16719.0,15737.0,16501.0,16703.0,16772.0,15457.0,16081.0,16155.0,12509.0,16764.0,16031.0,16417.0,16554.0,16819.0,13515.0,16534.0,16541.0,16089.0,16349.0,16260.0,15430.0,16716.0,16688.0,16249.0,16605.0,11431.0,16409.0,15851.0,14289.0,15712.0,15939.0,16512.0,16373.0,16351.0,16736.0,16782.0,16563.0,15516.0,16218.0,16703.0,15719.0,16002.0,16594.0,16217.0,16674.0,16684.0,16856.0,16588.0,16555.0,16302.0,16329.0,15944.0,12352.0,17050.0,16373.0,16926.0,16700.0,15953.0,16660.0,16317.0,16488.0,16634.0,16896.0,16425.0,16027.0,16560.0,16074.0,16063.0,16236.0,16329.0,16381.0,16146.0,16287.0,16274.0,16558.0,16587.0,16071.0,16821.0,15536.0,16561.0,8378.0,16268.0,16326.0,16571.0,16839.0,16489.0,14634.0,16439.0,16639.0,16809.0,8472.0,14072.0,16412.0,16670.0,16548.0,16990.0,16288.0
2020-05-20,North America,US,Iowa,16522.0,16981.0,17296.0,17181.0,16069.0,16934.0,17163.0,17241.0,15780.0,16467.0,16541.0,12672.0,17232.0,16400.0,16839.0,16993.0,17295.0,13720.0,16971.0,16979.0,16468.0,16761.0,16660.0,15725.0,17181.0,17156.0,16647.0,17052.0,11518.0,16828.0,16198.0,14545.0,16074.0,16297.0,16946.0,16787.0,16764.0,17204.0,17252.0,17005.0,15822.0,16614.0,17166.0,16087.0,16369.0,17039.0,16611.0,17132.0,17143.0,17337.0,17032.0,16995.0,16707.0,16739.0,16304.0,12513.0,17559.0,16789.0,17420.0,17162.0,16312.0,17115.0,16725.0,16919.0,17084.0,17385.0,16847.0,16396.0,17001.0,16449.0,16438.0,16634.0,16742.0,16797.0,16531.0,16691.0,16676.0,16997.0,17032.0,16446.0,17302.0,15844.0,17000.0,8397.0,16670.0,16735.0,17013.0,17319.0,16919.0,14926.0,16864.0,17094.0,17285.0,8494.0,14305.0,16834.0,17128.0,16988.0,17491.0,16692.0
2020-05-21,North America,US,Iowa,16894.0,17410.0,17765.0,17635.0,16387.0,17358.0,17615.0,17703.0,16091.0,16841.0,16915.0,12827.0,17692.0,16755.0,17250.0,17422.0,17764.0,13914.0,17398.0,17407.0,16833.0,17162.0,17047.0,16004.0,17638.0,17615.0,17034.0,17489.0,11598.0,17237.0,16532.0,14790.0,16425.0,16641.0,17369.0,17191.0,17166.0,17665.0,17715.0,17438.0,16114.0,16997.0,17621.0,16444.0,16723.0,17475.0,16993.0,17582.0,17593.0,17811.0,17467.0,17426.0,17101.0,17138.0,16650.0,12667.0,18062.0,17194.0,17906.0,17615.0,16658.0,17561.0,17122.0,17341.0,17526.0,17866.0,17258.0,16753.0,17431.0,16811.0,16800.0,17021.0,17145.0,17203.0,16904.0,17084.0,17066.0,17427.0,17469.0,16809.0,17776.0,16137.0,17429.0,8415.0,17061.0,17133.0,17445.0,17791.0,17340.0,15208.0,17278.0,17540.0,17753.0,8515.0,14527.0,17245.0,17577.0,17418.0,17986.0,17085.0
