Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-12,North America,US,Iowa,290.0,292.0,293.0,292.0,288.0,291.0,292.0,293.0,284.0,289.0,290.0,280.0,293.0,290.0,291.0,292.0,293.0,277.0,292.0,292.0,290.0,291.0,291.0,287.0,292.0,318.0,290.0,292.0,277.0,291.0,289.0,277.0,285.0,289.0,292.0,291.0,291.0,292.0,293.0,292.0,287.0,290.0,292.0,284.0,289.0,292.0,290.0,292.0,292.0,293.0,292.0,292.0,291.0,291.0,289.0,279.0,294.0,291.0,293.0,292.0,289.0,292.0,291.0,291.0,292.0,293.0,291.0,290.0,292.0,290.0,290.0,290.0,290.0,291.0,290.0,291.0,291.0,292.0,292.0,290.0,293.0,287.0,292.0,225.0,290.0,291.0,292.0,293.0,291.0,278.0,291.0,292.0,293.0,226.0,275.0,291.0,292.0,292.0,294.0,291.0
2020-05-13,North America,US,Iowa,301.0,303.0,305.0,304.0,299.0,303.0,304.0,305.0,294.0,300.0,301.0,290.0,305.0,301.0,303.0,304.0,305.0,286.0,303.0,303.0,301.0,302.0,302.0,297.0,304.0,336.0,302.0,304.0,286.0,303.0,299.0,286.0,295.0,300.0,303.0,302.0,302.0,304.0,305.0,304.0,297.0,302.0,304.0,295.0,300.0,304.0,302.0,304.0,304.0,305.0,304.0,304.0,302.0,302.0,300.0,289.0,306.0,302.0,306.0,304.0,300.0,304.0,302.0,303.0,304.0,305.0,303.0,300.0,304.0,301.0,301.0,302.0,302.0,302.0,301.0,302.0,302.0,304.0,304.0,301.0,305.0,297.0,304.0,229.0,302.0,302.0,304.0,305.0,303.0,287.0,303.0,304.0,305.0,230.0,284.0,303.0,304.0,303.0,306.0,302.0
2020-05-14,North America,US,Iowa,312.0,315.0,317.0,316.0,309.0,315.0,316.0,317.0,304.0,311.0,312.0,300.0,317.0,311.0,314.0,315.0,317.0,295.0,315.0,315.0,312.0,314.0,313.0,306.0,316.0,354.0,313.0,316.0,295.0,314.0,310.0,294.0,305.0,311.0,315.0,314.0,314.0,316.0,317.0,315.0,307.0,313.0,316.0,305.0,311.0,316.0,313.0,316.0,316.0,317.0,315.0,315.0,313.0,314.0,310.0,299.0,319.0,314.0,318.0,316.0,311.0,316.0,313.0,315.0,316.0,318.0,314.0,311.0,315.0,312.0,311.0,313.0,313.0,314.0,312.0,313.0,313.0,315.0,315.0,312.0,317.0,307.0,315.0,233.0,313.0,313.0,315.0,317.0,315.0,296.0,314.0,316.0,317.0,234.0,293.0,314.0,316.0,315.0,318.0,313.0
2020-05-15,North America,US,Iowa,323.0,327.0,329.0,328.0,319.0,326.0,328.0,329.0,314.0,321.0,323.0,310.0,329.0,322.0,326.0,327.0,329.0,304.0,327.0,327.0,322.0,325.0,324.0,316.0,328.0,372.0,324.0,327.0,304.0,325.0,320.0,303.0,315.0,321.0,326.0,325.0,325.0,328.0,329.0,327.0,317.0,324.0,328.0,315.0,321.0,327.0,324.0,328.0,328.0,330.0,327.0,327.0,324.0,325.0,321.0,309.0,332.0,325.0,330.0,328.0,321.0,328.0,325.0,326.0,328.0,330.0,326.0,322.0,327.0,322.0,322.0,324.0,324.0,325.0,323.0,324.0,324.0,327.0,327.0,322.0,329.0,317.0,327.0,236.0,324.0,325.0,327.0,330.0,326.0,305.0,326.0,327.0,329.0,237.0,301.0,325.0,328.0,327.0,331.0,324.0
2020-05-16,North America,US,Iowa,333.0,338.0,341.0,340.0,329.0,338.0,340.0,341.0,323.0,332.0,334.0,320.0,341.0,332.0,337.0,338.0,341.0,312.0,338.0,338.0,333.0,336.0,335.0,325.0,340.0,391.0,335.0,339.0,312.0,337.0,330.0,311.0,325.0,331.0,338.0,336.0,336.0,340.0,341.0,338.0,326.0,334.0,340.0,325.0,332.0,339.0,334.0,340.0,340.0,342.0,339.0,338.0,335.0,336.0,331.0,319.0,344.0,336.0,343.0,340.0,331.0,339.0,336.0,337.0,339.0,342.0,337.0,332.0,338.0,333.0,333.0,335.0,335.0,336.0,334.0,335.0,335.0,338.0,339.0,333.0,341.0,326.0,339.0,240.0,335.0,336.0,339.0,342.0,338.0,314.0,337.0,339.0,341.0,241.0,309.0,337.0,340.0,338.0,343.0,335.0
2020-05-17,North America,US,Iowa,344.0,350.0,353.0,352.0,338.0,349.0,352.0,353.0,332.0,342.0,344.0,330.0,353.0,342.0,348.0,350.0,353.0,320.0,349.0,350.0,343.0,347.0,346.0,334.0,352.0,410.0,345.0,350.0,321.0,348.0,340.0,319.0,335.0,341.0,349.0,347.0,347.0,352.0,353.0,350.0,335.0,345.0,352.0,335.0,342.0,350.0,345.0,351.0,351.0,354.0,350.0,350.0,346.0,347.0,341.0,329.0,357.0,347.0,355.0,352.0,341.0,351.0,346.0,349.0,351.0,354.0,348.0,342.0,350.0,343.0,343.0,345.0,346.0,347.0,344.0,346.0,346.0,350.0,350.0,343.0,353.0,335.0,350.0,243.0,346.0,347.0,350.0,354.0,349.0,323.0,348.0,351.0,353.0,244.0,316.0,348.0,351.0,350.0,356.0,346.0
2020-05-18,North America,US,Iowa,354.0,361.0,365.0,364.0,347.0,360.0,363.0,365.0,341.0,352.0,354.0,339.0,364.0,352.0,359.0,361.0,365.0,328.0,361.0,361.0,353.0,357.0,356.0,342.0,363.0,429.0,356.0,362.0,329.0,359.0,349.0,327.0,345.0,351.0,360.0,358.0,357.0,364.0,365.0,361.0,343.0,355.0,363.0,344.0,352.0,362.0,355.0,363.0,363.0,366.0,361.0,361.0,357.0,357.0,351.0,339.0,369.0,358.0,367.0,363.0,351.0,363.0,357.0,360.0,362.0,367.0,359.0,352.0,361.0,353.0,353.0,356.0,357.0,358.0,354.0,356.0,356.0,361.0,361.0,353.0,365.0,344.0,361.0,246.0,356.0,357.0,361.0,366.0,360.0,331.0,359.0,362.0,365.0,248.0,324.0,359.0,363.0,361.0,368.0,356.0
2020-05-19,North America,US,Iowa,364.0,372.0,377.0,375.0,356.0,371.0,375.0,376.0,349.0,362.0,364.0,349.0,376.0,362.0,369.0,372.0,377.0,336.0,372.0,372.0,363.0,368.0,366.0,350.0,375.0,449.0,366.0,373.0,337.0,369.0,358.0,335.0,354.0,360.0,371.0,368.0,368.0,375.0,376.0,372.0,352.0,365.0,375.0,354.0,361.0,373.0,365.0,374.0,374.0,378.0,373.0,372.0,367.0,368.0,360.0,348.0,382.0,368.0,379.0,375.0,360.0,374.0,367.0,371.0,374.0,378.0,369.0,362.0,372.0,363.0,362.0,366.0,367.0,369.0,364.0,367.0,367.0,372.0,373.0,363.0,377.0,352.0,372.0,249.0,366.0,368.0,372.0,377.0,371.0,340.0,370.0,373.0,377.0,251.0,331.0,369.0,374.0,372.0,380.0,367.0
2020-05-20,North America,US,Iowa,373.0,383.0,389.0,387.0,365.0,382.0,386.0,388.0,357.0,372.0,374.0,358.0,388.0,371.0,380.0,383.0,389.0,344.0,382.0,382.0,372.0,378.0,376.0,358.0,386.0,468.0,376.0,384.0,345.0,380.0,367.0,342.0,363.0,369.0,382.0,379.0,378.0,387.0,388.0,383.0,360.0,375.0,386.0,363.0,370.0,384.0,375.0,385.0,386.0,390.0,384.0,383.0,377.0,378.0,369.0,358.0,394.0,379.0,391.0,386.0,369.0,385.0,378.0,381.0,385.0,390.0,380.0,371.0,383.0,372.0,372.0,376.0,378.0,379.0,374.0,377.0,377.0,383.0,384.0,372.0,389.0,360.0,383.0,252.0,376.0,378.0,383.0,389.0,381.0,348.0,380.0,385.0,388.0,254.0,338.0,380.0,385.0,383.0,393.0,377.0
2020-05-21,North America,US,Iowa,383.0,393.0,400.0,398.0,373.0,392.0,397.0,399.0,365.0,381.0,383.0,367.0,399.0,380.0,390.0,393.0,400.0,351.0,393.0,393.0,382.0,388.0,386.0,365.0,398.0,488.0,386.0,395.0,353.0,390.0,376.0,350.0,372.0,378.0,392.0,389.0,388.0,398.0,399.0,394.0,367.0,385.0,397.0,372.0,379.0,394.0,385.0,396.0,397.0,401.0,394.0,393.0,387.0,388.0,378.0,367.0,406.0,389.0,403.0,397.0,378.0,396.0,387.0,392.0,395.0,402.0,390.0,380.0,394.0,381.0,381.0,385.0,388.0,389.0,383.0,387.0,386.0,394.0,394.0,381.0,400.0,368.0,394.0,255.0,386.0,388.0,394.0,401.0,392.0,356.0,391.0,396.0,400.0,257.0,345.0,390.0,396.0,393.0,405.0,387.0
