date,region,death_cnt,case_cnt,day_since100
2020-01-30,India,0,1,-44
2020-01-31,India,0,1,-43
2020-02-01,India,0,1,-42
2020-02-02,India,0,2,-41
2020-02-03,India,0,3,-40
2020-02-04,India,0,3,-39
2020-02-05,India,0,3,-38
2020-02-06,India,0,3,-37
2020-02-07,India,0,3,-36
2020-02-08,India,0,3,-35
2020-02-09,India,0,3,-34
2020-02-10,India,0,3,-33
2020-02-11,India,0,3,-32
2020-02-12,India,0,3,-31
2020-02-13,India,0,3,-30
2020-02-14,India,0,3,-29
2020-02-15,India,0,3,-28
2020-02-16,India,0,3,-27
2020-02-17,India,0,3,-26
2020-02-18,India,0,3,-25
2020-02-19,India,0,3,-24
2020-02-20,India,0,3,-23
2020-02-21,India,0,3,-22
2020-02-22,India,0,3,-21
2020-02-23,India,0,3,-20
2020-02-24,India,0,3,-19
2020-02-25,India,0,3,-18
2020-02-26,India,0,3,-17
2020-02-27,India,0,3,-16
2020-02-28,India,0,3,-15
2020-02-29,India,0,3,-14
2020-03-01,India,0,3,-13
2020-03-02,India,0,5,-12
2020-03-03,India,0,5,-11
2020-03-04,India,0,28,-10
2020-03-05,India,0,30,-9
2020-03-06,India,0,31,-8
2020-03-07,India,0,34,-7
2020-03-08,India,0,39,-6
2020-03-09,India,0,43,-5
2020-03-10,India,0,56,-4
2020-03-11,India,1,62,-3
2020-03-12,India,1,73,-2
2020-03-13,India,2,82,-1
2020-03-14,India,2,102,0
2020-03-15,India,2,113,1
2020-03-16,India,2,119,2
2020-03-17,India,3,142,3
2020-03-18,India,3,156,4
2020-03-19,India,4,194,5
2020-03-20,India,5,244,6
2020-03-21,India,4,330,7
2020-03-22,India,7,396,8
2020-03-23,India,10,499,9
2020-03-24,India,10,536,10
2020-03-25,India,12,657,11
2020-03-26,India,20,727,12
2020-03-27,India,20,887,13
2020-03-28,India,24,987,14
2020-03-29,India,27,1024,15
2020-03-30,India,32,1251,16
2020-03-31,India,35,1397,17
2020-04-01,India,58,1998,18
2020-04-02,India,72,2543,19
2020-04-03,India,72,2567,20
2020-04-04,India,86,3082,21
2020-04-05,India,99,3588,22
2020-04-06,India,136,4778,23
2020-04-07,India,150,5311,24
2020-04-08,India,178,5916,25
2020-04-09,India,226,6725,26
2020-04-10,India,246,7598,27
2020-04-11,India,288,8446,28
2020-04-12,India,331,9205,29
2020-04-13,India,358,10453,30
2020-04-14,India,393,11487,31
2020-04-15,India,405,12322,32
2020-04-16,India,448,13430,33
2020-04-17,India,486,14352,34
2020-04-18,India,521,15722,35
2020-04-19,India,559,17615,36
2020-04-20,India,592,18539,37
2020-04-21,India,645,20080,38
2020-04-22,India,681,21370,39
2020-04-23,India,721,23077,40
2020-04-24,India,780,24530,41
2020-04-25,India,825,26283,42
2020-04-26,India,881,27890,43
2020-04-27,India,939,29451,44
2020-04-28,India,1008,31324,45
2020-04-29,India,1079,33062,46
2020-04-30,India,1154,34863,47
2020-05-01,India,1223,37257,48
2020-05-02,India,1323,39699,49
2020-05-03,India,1391,42505,50
2020-05-04,India,1566,46437,51
2020-05-05,India,1693,49400,52
2020-05-06,India,1785,52987,53
2020-05-07,India,1889,56351,54
2020-05-08,India,1985,59695,55
2020-05-09,India,2101,62808,56
2020-05-10,India,2212,67161,57
2020-05-11,India,2294,70768,58
2020-05-12,India,2415,74292,59
2020-05-13,India,2551,78055,60
2020-05-14,India,2649,81997,61
2020-05-15,India,2753,85784,62
