Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-14,Asia,India,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,Asia,India,None,3258.0,2569.0,1785.0,2430.0,2538.0,1860.0,722.0,766.0,2715.0,2238.0,1632.0,2254.0,445.0,863.0,3159.0,1173.0,1935.0,2075.0,2662.0,887.0,1728.0,597.0,3506.0,2003.0,2315.0,3361.0,3112.0,2124.0,3081.0,1854.0,2964.0,2458.0,1985.0,2102.0,2998.0,634.0,1904.0,2091.0,3143.0,3516.0,2885.0,3060.0,1722.0,148.0,2423.0,3338.0,3063.0,1815.0,2875.0,2422.0,1409.0,2056.0,2383.0,1558.0,3113.0,3177.0,2689.0,3166.0,3046.0,2251.0,403.0,2898.0,1833.0,2685.0,3152.0,1571.0,1821.0,2343.0,349.0,3057.0,501.0,1263.0,2983.0,2810.0,849.0,697.0,1358.0,1720.0,2986.0,815.0,1812.0,992.0,1017.0,3119.0,1025.0,3181.0,3261.0,2739.0,3304.0,1079.0,3023.0,3115.0,3210.0,3132.0,3409.0,1921.0,1425.0,1294.0,3275.0,2439.0
2020-05-16,Asia,India,None,3273.0,2547.0,1739.0,2410.0,2520.0,1827.0,686.0,733.0,2693.0,2185.0,1597.0,2203.0,418.0,822.0,3161.0,1128.0,1901.0,2032.0,2637.0,846.0,1693.0,567.0,3550.0,1957.0,2281.0,3386.0,3110.0,2064.0,3076.0,1798.0,2947.0,2427.0,1963.0,2068.0,2985.0,601.0,1866.0,2043.0,3144.0,3560.0,2858.0,3052.0,1676.0,136.0,2403.0,3361.0,3067.0,1781.0,2848.0,2405.0,1373.0,2000.0,2358.0,1518.0,3111.0,3183.0,2653.0,3171.0,3042.0,2205.0,377.0,2880.0,1796.0,2649.0,3157.0,1538.0,1783.0,2286.0,323.0,3050.0,473.0,1212.0,2969.0,2786.0,810.0,659.0,1319.0,1670.0,2970.0,778.0,1747.0,950.0,973.0,3117.0,977.0,3187.0,3275.0,2731.0,3325.0,1019.0,3037.0,3114.0,3220.0,3133.0,3440.0,1885.0,1387.0,1250.0,3289.0,2408.0
2020-05-17,Asia,India,None,3281.0,2519.0,1690.0,2387.0,2498.0,1791.0,651.0,703.0,2669.0,2132.0,1559.0,2150.0,391.0,785.0,3159.0,1079.0,1867.0,1988.0,2608.0,808.0,1658.0,536.0,3588.0,1908.0,2245.0,3406.0,3103.0,2000.0,3067.0,1739.0,2926.0,2397.0,1937.0,2033.0,2968.0,571.0,1822.0,1994.0,3139.0,3599.0,2827.0,3040.0,1629.0,126.0,2379.0,3381.0,3061.0,1746.0,2816.0,2383.0,1333.0,1942.0,2329.0,1475.0,3104.0,3184.0,2615.0,3172.0,3036.0,2155.0,351.0,2857.0,1754.0,2611.0,3159.0,1507.0,1743.0,2225.0,296.0,3037.0,446.0,1162.0,2950.0,2757.0,771.0,621.0,1276.0,1620.0,2949.0,747.0,1681.0,903.0,928.0,3109.0,931.0,3187.0,3287.0,2717.0,3342.0,964.0,3046.0,3107.0,3225.0,3127.0,3467.0,1846.0,1346.0,1206.0,3299.0,2375.0
2020-05-18,Asia,India,None,3284.0,2488.0,1643.0,2361.0,2474.0,1756.0,623.0,674.0,2639.0,2076.0,1518.0,2095.0,367.0,752.0,3152.0,1028.0,1831.0,1940.0,2576.0,769.0,1625.0,509.0,3622.0,1859.0,2206.0,3422.0,3093.0,1932.0,3053.0,1680.0,2897.0,2364.0,1907.0,1998.0,2945.0,538.0,1776.0,1947.0,3130.0,3634.0,2791.0,3023.0,1580.0,116.0,2352.0,3394.0,3050.0,1711.0,2779.0,2359.0,1290.0,1884.0,2296.0,1430.0,3091.0,3179.0,2573.0,3166.0,3023.0,2101.0,327.0,2829.0,1710.0,2569.0,3158.0,1470.0,1707.0,2158.0,273.0,3019.0,419.0,1116.0,2925.0,2720.0,730.0,586.0,1229.0,1570.0,2920.0,711.0,1608.0,854.0,885.0,3097.0,888.0,3182.0,3292.0,2700.0,3353.0,911.0,3053.0,3095.0,3225.0,3117.0,3489.0,1803.0,1302.0,1164.0,3304.0,2341.0
2020-05-19,Asia,India,None,3284.0,2455.0,1592.0,2333.0,2446.0,1721.0,593.0,642.0,2603.0,2018.0,1472.0,2037.0,346.0,723.0,3140.0,978.0,1796.0,1891.0,2540.0,728.0,1590.0,486.0,3651.0,1807.0,2167.0,3432.0,3075.0,1861.0,3036.0,1623.0,2864.0,2329.0,1876.0,1960.0,2918.0,505.0,1729.0,1898.0,3113.0,3664.0,2751.0,3001.0,1532.0,107.0,2323.0,3403.0,3033.0,1677.0,2739.0,2331.0,1247.0,1824.0,2258.0,1386.0,3075.0,3170.0,2528.0,3156.0,3006.0,2046.0,304.0,2796.0,1664.0,2523.0,3154.0,1429.0,1667.0,2093.0,251.0,2997.0,395.0,1069.0,2894.0,2681.0,688.0,554.0,1181.0,1518.0,2888.0,674.0,1534.0,807.0,846.0,3081.0,849.0,3172.0,3293.0,2680.0,3360.0,862.0,3055.0,3078.0,3219.0,3102.0,3507.0,1758.0,1259.0,1117.0,3303.0,2305.0
2020-05-20,Asia,India,None,3279.0,2421.0,1544.0,2302.0,2415.0,1689.0,561.0,611.0,2568.0,1957.0,1428.0,1975.0,326.0,690.0,3122.0,929.0,1762.0,1840.0,2501.0,688.0,1549.0,463.0,3677.0,1753.0,2124.0,3439.0,3054.0,1791.0,3013.0,1564.0,2828.0,2292.0,1842.0,1918.0,2885.0,475.0,1680.0,1846.0,3094.0,3689.0,2708.0,2973.0,1482.0,98.0,2291.0,3408.0,3012.0,1642.0,2695.0,2302.0,1206.0,1764.0,2220.0,1340.0,3053.0,3156.0,2477.0,3143.0,2985.0,1991.0,284.0,2758.0,1617.0,2474.0,3151.0,1386.0,1623.0,2025.0,229.0,2968.0,372.0,1020.0,2860.0,2640.0,648.0,526.0,1131.0,1464.0,2853.0,635.0,1467.0,761.0,811.0,3059.0,810.0,3157.0,3290.0,2655.0,3362.0,809.0,3053.0,3056.0,3209.0,3081.0,3519.0,1712.0,1217.0,1069.0,3297.0,2266.0
2020-05-21,Asia,India,None,3267.0,2383.0,1495.0,2270.0,2382.0,1650.0,530.0,582.0,2529.0,1891.0,1381.0,1910.0,304.0,656.0,3100.0,886.0,1726.0,1787.0,2455.0,649.0,1508.0,438.0,3698.0,1699.0,2078.0,3440.0,3027.0,1723.0,2986.0,1503.0,2789.0,2249.0,1810.0,1874.0,2848.0,446.0,1632.0,1792.0,3066.0,3710.0,2661.0,2941.0,1430.0,90.0,2258.0,3408.0,2987.0,1601.0,2648.0,2269.0,1169.0,1698.0,2182.0,1298.0,3027.0,3139.0,2424.0,3126.0,2958.0,1935.0,266.0,2720.0,1569.0,2419.0,3140.0,1342.0,1577.0,1955.0,211.0,2936.0,352.0,970.0,2823.0,2595.0,613.0,494.0,1084.0,1412.0,2814.0,601.0,1401.0,721.0,773.0,3032.0,770.0,3139.0,3283.0,2626.0,3360.0,758.0,3047.0,3029.0,3195.0,3055.0,3528.0,1665.0,1180.0,1021.0,3288.0,2225.0
2020-05-22,Asia,India,None,3253.0,2342.0,1442.0,2235.0,2346.0,1609.0,500.0,554.0,2487.0,1826.0,1337.0,1846.0,283.0,622.0,3073.0,847.0,1686.0,1733.0,2406.0,616.0,1464.0,412.0,3715.0,1645.0,2030.0,3436.0,2996.0,1654.0,2954.0,1441.0,2746.0,2204.0,1776.0,1831.0,2807.0,422.0,1582.0,1732.0,3038.0,3727.0,2608.0,2904.0,1379.0,84.0,2222.0,3404.0,2959.0,1559.0,2594.0,2236.0,1137.0,1631.0,2143.0,1257.0,2995.0,3117.0,2368.0,3103.0,2927.0,1876.0,245.0,2676.0,1521.0,2364.0,3121.0,1299.0,1530.0,1882.0,191.0,2898.0,330.0,920.0,2781.0,2546.0,581.0,464.0,1040.0,1361.0,2770.0,571.0,1337.0,683.0,733.0,3000.0,728.0,3115.0,3270.0,2597.0,3353.0,710.0,3041.0,2997.0,3178.0,3024.0,3531.0,1618.0,1148.0,974.0,3272.0,2179.0
2020-05-23,Asia,India,None,3232.0,2297.0,1391.0,2197.0,2305.0,1567.0,474.0,529.0,2441.0,1763.0,1296.0,1784.0,266.0,592.0,3042.0,810.0,1643.0,1679.0,2357.0,582.0,1419.0,389.0,3726.0,1590.0,1977.0,3429.0,2963.0,1583.0,2917.0,1374.0,2698.0,2153.0,1745.0,1786.0,2764.0,397.0,1532.0,1668.0,3005.0,3740.0,2551.0,2864.0,1326.0,77.0,2182.0,3394.0,2931.0,1515.0,2538.0,2201.0,1104.0,1565.0,2102.0,1217.0,2958.0,3090.0,2309.0,3077.0,2895.0,1814.0,227.0,2629.0,1474.0,2305.0,3099.0,1258.0,1482.0,1808.0,175.0,2858.0,309.0,873.0,2738.0,2493.0,546.0,435.0,1002.0,1310.0,2722.0,542.0,1268.0,642.0,696.0,2964.0,689.0,3087.0,3254.0,2565.0,3344.0,666.0,3030.0,2965.0,3156.0,2992.0,3531.0,1570.0,1111.0,931.0,3251.0,2130.0
