Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-14,Asia,India,None,78788.0,74924.0,69334.0,73507.0,74390.0,69137.0,57119.0,57339.0,75995.0,73640.0,67445.0,73744.0,52381.0,58896.0,78452.0,63701.0,69770.0,71783.0,75790.0,60227.0,68079.0,54622.0,79603.0,71348.0,73306.0,79129.0,78287.0,73312.0,78167.0,70717.0,77781.0,74222.0,69696.0,71435.0,77893.0,56253.0,70209.0,72134.0,78418.0,79646.0,77512.0,78119.0,68841.0,35829.0,73515.0,79041.0,77839.0,68801.0,77475.0,73370.0,64960.0,72356.0,73545.0,66818.0,78301.0,78502.0,76371.0,78453.0,77869.0,73467.0,52083.0,77333.0,69472.0,76346.0,78155.0,66629.0,69214.0,74800.0,52204.0,78113.0,53328.0,64882.0,77843.0,76931.0,59865.0,57251.0,65234.0,69031.0,77882.0,58929.0,70970.0,62031.0,61410.0,78325.0,61794.0,78532.0,78773.0,75684.0,78914.0,63787.0,76985.0,78306.0,78609.0,78371.0,79282.0,70195.0,65211.0,64810.0,78858.0,74121.0
2020-05-15,Asia,India,None,82046.0,77493.0,71119.0,75937.0,76928.0,70997.0,57841.0,58105.0,78710.0,75878.0,69077.0,75998.0,52826.0,59759.0,81611.0,64874.0,71705.0,73858.0,78452.0,61114.0,69807.0,55219.0,83109.0,73351.0,75621.0,82490.0,81399.0,75436.0,81248.0,72571.0,80745.0,76680.0,71681.0,73537.0,80891.0,56887.0,72113.0,74225.0,81561.0,83162.0,80397.0,81179.0,70563.0,35977.0,75938.0,82379.0,80902.0,70616.0,80350.0,75792.0,66369.0,74412.0,75928.0,68376.0,81414.0,81679.0,79060.0,81619.0,80915.0,75718.0,52486.0,80231.0,71305.0,79031.0,81307.0,68200.0,71035.0,77143.0,52553.0,81170.0,53829.0,66145.0,80826.0,79741.0,60714.0,57948.0,66592.0,70751.0,80868.0,59744.0,72782.0,63023.0,62427.0,81444.0,62819.0,81713.0,82034.0,78423.0,82218.0,64866.0,80008.0,81421.0,81819.0,81503.0,82691.0,72116.0,66636.0,66104.0,82133.0,76560.0
2020-05-16,Asia,India,None,85319.0,80040.0,72858.0,78347.0,79448.0,72824.0,58527.0,58838.0,81403.0,78063.0,70674.0,78201.0,53244.0,60581.0,84772.0,66002.0,73606.0,75890.0,81089.0,61960.0,71500.0,55786.0,86659.0,75308.0,77902.0,85876.0,84509.0,77500.0,84324.0,74369.0,83692.0,79107.0,73644.0,75605.0,83876.0,57488.0,73979.0,76268.0,84705.0,86722.0,83255.0,84231.0,72239.0,36113.0,78341.0,85740.0,83969.0,72397.0,83198.0,78197.0,67742.0,76412.0,78286.0,69894.0,84525.0,84862.0,81713.0,84790.0,83957.0,77923.0,52863.0,83111.0,73101.0,81680.0,84464.0,69738.0,72818.0,79429.0,52876.0,84220.0,54302.0,67357.0,83795.0,82527.0,61524.0,58607.0,67911.0,72421.0,83838.0,60522.0,74529.0,63973.0,63400.0,84561.0,63796.0,84900.0,85309.0,81154.0,85543.0,65885.0,83045.0,84535.0,85039.0,84636.0,86131.0,74001.0,68023.0,67354.0,85422.0,78968.0
2020-05-17,Asia,India,None,88600.0,82559.0,74548.0,80734.0,81946.0,74615.0,59178.0,59541.0,84072.0,80195.0,72233.0,80351.0,53635.0,61366.0,87931.0,67081.0,75473.0,77878.0,83697.0,62768.0,73158.0,56322.0,90247.0,77216.0,80147.0,89282.0,87612.0,79500.0,87391.0,76108.0,86618.0,81504.0,75581.0,77638.0,86844.0,58059.0,75801.0,78262.0,87844.0,90321.0,86082.0,87271.0,73868.0,36239.0,80720.0,89121.0,87030.0,74143.0,86014.0,80580.0,69075.0,78354.0,80615.0,71369.0,87629.0,88046.0,84328.0,87962.0,86993.0,80078.0,53214.0,85968.0,74855.0,84291.0,87623.0,71245.0,74561.0,81654.0,53172.0,87257.0,54748.0,68519.0,86745.0,85284.0,62295.0,59228.0,69187.0,74041.0,86787.0,61269.0,76210.0,64876.0,64328.0,87670.0,64727.0,88087.0,88596.0,83871.0,88885.0,66849.0,86091.0,87642.0,88264.0,87763.0,89598.0,75847.0,69369.0,68560.0,88721.0,81343.0
2020-05-18,Asia,India,None,91884.0,85047.0,76191.0,83095.0,84420.0,76371.0,59801.0,60215.0,86711.0,82271.0,73751.0,82446.0,54002.0,62118.0,91083.0,68109.0,77304.0,79818.0,86273.0,63537.0,74783.0,56831.0,93869.0,79075.0,82353.0,92704.0,90705.0,81432.0,90444.0,77788.0,89515.0,83868.0,77488.0,79636.0,89789.0,58597.0,77577.0,80209.0,90974.0,93955.0,88873.0,90294.0,75448.0,36355.0,83072.0,92515.0,90080.0,75854.0,88793.0,82939.0,70365.0,80238.0,82911.0,72799.0,90720.0,91225.0,86901.0,91128.0,90016.0,82179.0,53541.0,88797.0,76565.0,86860.0,90781.0,72715.0,76268.0,83812.0,53445.0,90276.0,55167.0,69635.0,89670.0,88004.0,63025.0,59814.0,70416.0,75611.0,89707.0,61980.0,77818.0,65730.0,65213.0,90767.0,65615.0,91269.0,91888.0,86571.0,92238.0,67760.0,89144.0,90737.0,91489.0,90880.0,93087.0,77650.0,70671.0,69724.0,92025.0,83684.0
2020-05-19,Asia,India,None,95168.0,87502.0,77783.0,85428.0,86866.0,78092.0,60394.0,60857.0,89314.0,84289.0,75223.0,84483.0,54348.0,62841.0,94223.0,69087.0,79100.0,81709.0,88813.0,64265.0,76373.0,57317.0,97520.0,80882.0,84520.0,96136.0,93780.0,83293.0,93480.0,79411.0,92379.0,86197.0,79364.0,81596.0,92707.0,59102.0,79306.0,82107.0,94087.0,97619.0,91624.0,93295.0,76980.0,36462.0,85395.0,95918.0,93113.0,77531.0,91532.0,85270.0,71612.0,82062.0,85169.0,74185.0,93795.0,94395.0,89429.0,94284.0,93022.0,84225.0,53845.0,91593.0,78229.0,89383.0,93935.0,74144.0,77935.0,85905.0,53696.0,93273.0,55562.0,70704.0,92564.0,90685.0,63713.0,60368.0,71597.0,77129.0,92595.0,62654.0,79352.0,66537.0,66059.0,93848.0,66464.0,94441.0,95181.0,89251.0,95598.0,68622.0,92199.0,93815.0,94708.0,93982.0,96594.0,79408.0,71930.0,70841.0,95328.0,85989.0
2020-05-20,Asia,India,None,98447.0,89923.0,79327.0,87730.0,89281.0,79781.0,60955.0,61468.0,91882.0,86246.0,76651.0,86458.0,54674.0,63531.0,97345.0,70016.0,80862.0,83549.0,91314.0,64953.0,77922.0,57780.0,101197.0,82635.0,86644.0,99575.0,96834.0,85084.0,96493.0,80975.0,95207.0,88489.0,81206.0,83514.0,95592.0,59577.0,80986.0,83953.0,97181.0,101308.0,94332.0,96268.0,78462.0,36560.0,87686.0,99326.0,96125.0,79173.0,94227.0,87572.0,72818.0,83826.0,87389.0,75525.0,96848.0,97551.0,91906.0,97427.0,96007.0,86216.0,54129.0,94351.0,79846.0,91857.0,97086.0,75530.0,79558.0,87930.0,53925.0,96241.0,55934.0,71724.0,95424.0,93325.0,64361.0,60894.0,72728.0,78593.0,95448.0,63289.0,80819.0,67298.0,66870.0,96907.0,67274.0,97598.0,98471.0,91906.0,98960.0,69431.0,95252.0,96871.0,97917.0,97063.0,100113.0,81120.0,73147.0,71910.0,98625.0,88255.0
2020-05-21,Asia,India,None,101714.0,92306.0,80822.0,90000.0,91663.0,81431.0,61485.0,62050.0,94411.0,88137.0,78032.0,88368.0,54978.0,64187.0,100445.0,70902.0,82588.0,85336.0,93769.0,65602.0,79430.0,58218.0,104895.0,84334.0,88722.0,103015.0,99861.0,86807.0,99479.0,82478.0,97996.0,90738.0,83016.0,85388.0,98440.0,60023.0,82618.0,85745.0,100247.0,105018.0,96993.0,99209.0,79892.0,36650.0,89944.0,102734.0,99112.0,80774.0,96875.0,89841.0,73987.0,85524.0,89571.0,76823.0,99875.0,100690.0,94330.0,100553.0,98965.0,88151.0,54395.0,97071.0,81415.0,94276.0,100226.0,76872.0,81135.0,89885.0,54136.0,99177.0,56286.0,72694.0,98247.0,95920.0,64974.0,61388.0,73812.0,80005.0,98262.0,63890.0,82220.0,68019.0,67643.0,99939.0,68044.0,100737.0,101754.0,94532.0,102320.0,70189.0,98299.0,99900.0,101112.0,100118.0,103641.0,82785.0,74327.0,72931.0,101913.0,90480.0
2020-05-22,Asia,India,None,104967.0,94648.0,82264.0,92235.0,94009.0,83040.0,61985.0,62604.0,96898.0,89963.0,79369.0,90214.0,55261.0,64809.0,103518.0,71749.0,84274.0,87069.0,96175.0,66218.0,80894.0,58630.0,108610.0,85979.0,90752.0,106451.0,102857.0,88461.0,102433.0,83919.0,100742.0,92942.0,84792.0,87219.0,101247.0,60445.0,84200.0,87477.0,103285.0,108745.0,99601.0,102113.0,81271.0,36734.0,92166.0,106138.0,102071.0,82333.0,99469.0,92077.0,75124.0,87155.0,91714.0,78080.0,102870.0,103807.0,96698.0,103656.0,101892.0,90027.0,54640.0,99747.0,82936.0,96640.0,103347.0,78171.0,82665.0,91767.0,54327.0,102075.0,56616.0,73614.0,101028.0,98466.0,65555.0,61852.0,74852.0,81366.0,101032.0,64461.0,83557.0,68702.0,68376.0,102939.0,68772.0,103852.0,105024.0,97129.0,105673.0,70899.0,101340.0,102897.0,104290.0,103142.0,107172.0,84403.0,75475.0,73905.0,105185.0,92659.0
2020-05-23,Asia,India,None,108199.0,96945.0,83655.0,94432.0,96314.0,84607.0,62459.0,63133.0,99339.0,91726.0,80665.0,91998.0,55527.0,65401.0,106560.0,72559.0,85917.0,88748.0,98532.0,66800.0,82313.0,59019.0,112336.0,87569.0,92729.0,109880.0,105820.0,90044.0,105350.0,85293.0,103440.0,95095.0,86537.0,89005.0,104011.0,60842.0,85732.0,89145.0,106290.0,112485.0,102152.0,104977.0,82597.0,36811.0,94348.0,109532.0,105002.0,83848.0,102007.0,94278.0,76228.0,88720.0,93816.0,79297.0,105828.0,106897.0,99007.0,106733.0,104787.0,91841.0,54867.0,102376.0,84410.0,98945.0,106446.0,79429.0,84147.0,93575.0,54502.0,104933.0,56925.0,74487.0,103766.0,100959.0,66101.0,62287.0,75854.0,82676.0,103754.0,65003.0,84825.0,69344.0,69072.0,105903.0,69461.0,106939.0,108278.0,99694.0,109017.0,71565.0,104370.0,105862.0,107446.0,106134.0,110703.0,85973.0,76586.0,74836.0,108436.0,94789.0
2020-05-24,Asia,India,None,111407.0,99191.0,84996.0,96589.0,98580.0,86129.0,62910.0,63634.0,101732.0,93425.0,81922.0,93717.0,55776.0,65965.0,109569.0,73326.0,87516.0,90375.0,100839.0,67349.0,83689.0,59388.0,116070.0,89105.0,94651.0,113297.0,108747.0,91552.0,108228.0,86607.0,106085.0,97194.0,88251.0,90745.0,106728.0,61213.0,87214.0,90750.0,109259.0,116232.0,104646.0,107798.0,83874.0,36881.0,96490.0,112915.0,107902.0,85319.0,104487.0,96442.0,77291.0,90224.0,95875.0,80471.0,108748.0,109956.0,101257.0,109779.0,107645.0,93591.0,55078.0,104954.0,85837.0,101190.0,109517.0,80653.0,85581.0,95310.0,54662.0,107748.0,57214.0,75315.0,106454.0,103396.0,66613.0,62695.0,76819.0,83934.0,106421.0,65514.0,86023.0,69946.0,69731.0,108829.0,70113.0,109993.0,111510.0,102224.0,112347.0,72189.0,107386.0,108789.0,110575.0,109090.0,114228.0,87494.0,77656.0,75728.0,111664.0,96863.0
2020-05-25,Asia,India,None,114587.0,101385.0,86288.0,98705.0,100805.0,87606.0,63334.0,64110.0,104073.0,95060.0,83140.0,95372.0,56009.0,66503.0,112542.0,74049.0,89070.0,91946.0,103095.0,67865.0,85023.0,59738.0,119808.0,90585.0,96520.0,116697.0,111633.0,92987.0,111064.0,87864.0,108676.0,99242.0,89932.0,92439.0,109396.0,61559.0,88644.0,92300.0,112188.0,119982.0,107081.0,110574.0,85102.0,36945.0,98591.0,116280.0,110763.0,86745.0,106907.0,98565.0,78313.0,91667.0,97887.0,81600.0,111627.0,112979.0,103444.0,112790.0,110464.0,95278.0,55274.0,107480.0,87215.0,103373.0,112557.0,81844.0,86969.0,96975.0,54808.0,110516.0,57485.0,76102.0,109089.0,105777.0,67093.0,63080.0,77741.0,85138.0,109033.0,65994.0,87158.0,70511.0,70358.0,111712.0,70732.0,113010.0,114717.0,104717.0,115658.0,72769.0,110386.0,111675.0,113672.0,112008.0,117745.0,88967.0,78684.0,76581.0,114864.0,98882.0
2020-05-26,Asia,India,None,117737.0,103529.0,87531.0,100780.0,102987.0,89040.0,63734.0,64561.0,106362.0,96627.0,84313.0,96959.0,56225.0,67012.0,115475.0,74731.0,90579.0,93463.0,105296.0,68349.0,86318.0,60067.0,123546.0,92006.0,98338.0,120078.0,114475.0,94356.0,113856.0,89065.0,111211.0,101240.0,91576.0,94086.0,112009.0,61881.0,90023.0,93795.0,115073.0,123732.0,109454.0,113299.0,86281.0,37004.0,100650.0,119624.0,113583.0,88129.0,109266.0,100646.0,79294.0,93050.0,99848.0,82684.0,114460.0,115964.0,105567.0,115764.0,113241.0,96904.0,55455.0,109950.0,88543.0,105491.0,115563.0,82995.0,88312.0,98568.0,54940.0,113234.0,57740.0,76851.0,111670.0,108099.0,67543.0,63441.0,78619.0,86287.0,111588.0,66446.0,88232.0,71041.0,70953.0,114550.0,71317.0,115988.0,117896.0,107169.0,118947.0,73308.0,113364.0,114516.0,116735.0,114882.0,121248.0,90390.0,79670.0,77392.0,118033.0,100850.0
2020-05-27,Asia,India,None,120853.0,105624.0,88725.0,102813.0,105124.0,90431.0,64109.0,64988.0,108598.0,98125.0,85441.0,98477.0,56426.0,67493.0,118364.0,75376.0,92043.0,94922.0,107440.0,68804.0,87577.0,60376.0,127278.0,93368.0,100105.0,123433.0,117267.0,95660.0,116600.0,90210.0,113688.0,103188.0,93180.0,95683.0,114567.0,62184.0,91352.0,95235.0,117907.0,127476.0,111763.0,115971.0,87412.0,37058.0,102667.0,122943.0,116358.0,89473.0,111559.0,102686.0,80237.0,94368.0,101752.0,83724.0,117245.0,118909.0,107623.0,118697.0,115971.0,98471.0,55622.0,112364.0,89823.0,107543.0,118532.0,84104.0,89614.0,100088.0,55060.0,115897.0,57978.0,77558.0,114195.0,110361.0,67965.0,63778.0,79453.0,87384.0,114083.0,66872.0,89246.0,71538.0,71516.0,117340.0,71869.0,118923.0,121046.0,109575.0,122209.0,73809.0,116318.0,117307.0,119760.0,117707.0,124734.0,91763.0,80617.0,78160.0,121168.0,102768.0
