Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,Asia,India,None,2837.0,2869.0,2800.0,2844.0,2851.0,2542.0,2855.0,2715.0,2848.0,2750.0,2801.0,2859.0,2860.0,2831.0,1636.0,2829.0,2838.0,2870.0,2787.0,2851.0,2699.0,2822.0,2791.0,2810.0,2789.0,2818.0,2825.0,2834.0,2777.0,2842.0,2854.0,2546.0,1580.0,2853.0,2845.0,2116.0,2513.0,1599.0,2825.0,2837.0,2821.0,1551.0,2845.0,2785.0,2812.0,2834.0,2843.0,2849.0,2868.0,2835.0,2745.0,592.0,2822.0,2830.0,2809.0,2806.0,2710.0,2831.0,2844.0,2822.0,2780.0,2859.0,2831.0,2841.0,2815.0,1544.0,2852.0,2837.0,1976.0,2855.0,2849.0,2826.0,2844.0,2844.0,2591.0,2785.0,2684.0,2836.0,1512.0,2629.0,2815.0,2824.0,2683.0,2861.0,2786.0,2780.0,2855.0,2822.0,1724.0,2860.0,2311.0,1464.0,2842.0,2805.0,2818.0,2771.0,2743.0,2830.0,2824.0,1607.0
2020-05-16,Asia,India,None,2975.0,3018.0,2925.0,2984.0,2994.0,2623.0,3000.0,2816.0,2989.0,2866.0,2926.0,3006.0,3007.0,2966.0,1646.0,2964.0,2976.0,3021.0,2907.0,2993.0,2806.0,2954.0,2912.0,2939.0,2911.0,2948.0,2960.0,2972.0,2894.0,2981.0,2999.0,2629.0,1588.0,2997.0,2986.0,2148.0,2591.0,1607.0,2958.0,2974.0,2953.0,1558.0,2986.0,2905.0,2941.0,2972.0,2983.0,2991.0,3018.0,2973.0,2860.0,592.0,2954.0,2966.0,2936.0,2933.0,2814.0,2968.0,2985.0,2956.0,2899.0,3006.0,2967.0,2980.0,2945.0,1551.0,2996.0,2975.0,2004.0,3001.0,2991.0,2959.0,2984.0,2984.0,2676.0,2906.0,2778.0,2974.0,1523.0,2725.0,2947.0,2957.0,2790.0,3009.0,2905.0,2903.0,3000.0,2956.0,1735.0,3007.0,2358.0,1474.0,2981.0,2931.0,2948.0,2886.0,2849.0,2965.0,2957.0,1616.0
2020-05-17,Asia,India,None,3116.0,3173.0,3052.0,3128.0,3141.0,2704.0,3148.0,2916.0,3135.0,2984.0,3054.0,3158.0,3158.0,3104.0,1656.0,3102.0,3117.0,3178.0,3027.0,3140.0,2914.0,3088.0,3033.0,3070.0,3034.0,3081.0,3098.0,3112.0,3012.0,3124.0,3147.0,2712.0,1596.0,3145.0,3130.0,2179.0,2669.0,1616.0,3094.0,3116.0,3087.0,1565.0,3130.0,3025.0,3073.0,3114.0,3126.0,3137.0,3173.0,3113.0,2975.0,592.0,3089.0,3105.0,3065.0,3062.0,2918.0,3107.0,3129.0,3092.0,3017.0,3157.0,3106.0,3123.0,3078.0,1558.0,3144.0,3117.0,2031.0,3149.0,3136.0,3095.0,3128.0,3129.0,2760.0,3028.0,2870.0,3114.0,1535.0,2821.0,3080.0,3092.0,2898.0,3161.0,3025.0,3027.0,3149.0,3093.0,1745.0,3157.0,2403.0,1484.0,3125.0,3058.0,3081.0,3002.0,2953.0,3103.0,3092.0,1625.0
2020-05-18,Asia,India,None,3260.0,3333.0,3180.0,3276.0,3292.0,2783.0,3301.0,3013.0,3284.0,3102.0,3183.0,3314.0,3313.0,3245.0,1665.0,3242.0,3262.0,3339.0,3148.0,3291.0,3022.0,3224.0,3154.0,3203.0,3158.0,3215.0,3238.0,3254.0,3130.0,3271.0,3300.0,2795.0,1604.0,3298.0,3278.0,2208.0,2746.0,1624.0,3232.0,3260.0,3223.0,1571.0,3278.0,3146.0,3207.0,3259.0,3273.0,3287.0,3333.0,3257.0,3091.0,592.0,3225.0,3247.0,3194.0,3193.0,3021.0,3250.0,3277.0,3231.0,3136.0,3312.0,3247.0,3269.0,3212.0,1564.0,3295.0,3261.0,2057.0,3302.0,3286.0,3233.0,3276.0,3276.0,2843.0,3150.0,2960.0,3257.0,1545.0,2917.0,3216.0,3229.0,3006.0,3318.0,3144.0,3154.0,3303.0,3231.0,1755.0,3313.0,2446.0,1493.0,3271.0,3186.0,3215.0,3118.0,3056.0,3244.0,3229.0,1634.0
2020-05-19,Asia,India,None,3407.0,3498.0,3309.0,3427.0,3447.0,2861.0,3457.0,3110.0,3436.0,3220.0,3313.0,3473.0,3473.0,3388.0,1674.0,3385.0,3409.0,3504.0,3269.0,3446.0,3130.0,3362.0,3275.0,3338.0,3282.0,3351.0,3380.0,3400.0,3248.0,3421.0,3456.0,2876.0,1611.0,3454.0,3429.0,2236.0,2822.0,1632.0,3373.0,3406.0,3361.0,1577.0,3429.0,3267.0,3342.0,3407.0,3424.0,3441.0,3497.0,3403.0,3208.0,593.0,3364.0,3391.0,3325.0,3325.0,3124.0,3395.0,3428.0,3371.0,3255.0,3471.0,3391.0,3418.0,3348.0,1570.0,3451.0,3407.0,2082.0,3459.0,3439.0,3373.0,3427.0,3427.0,2925.0,3273.0,3048.0,3403.0,1556.0,3013.0,3353.0,3368.0,3115.0,3479.0,3264.0,3281.0,3461.0,3372.0,1764.0,3472.0,2487.0,1502.0,3421.0,3315.0,3351.0,3233.0,3158.0,3387.0,3369.0,1642.0
2020-05-20,Asia,India,None,3556.0,3668.0,3440.0,3581.0,3606.0,2939.0,3618.0,3204.0,3593.0,3340.0,3444.0,3637.0,3637.0,3534.0,1682.0,3531.0,3559.0,3675.0,3389.0,3604.0,3238.0,3502.0,3397.0,3474.0,3407.0,3489.0,3524.0,3547.0,3366.0,3573.0,3617.0,2957.0,1617.0,3614.0,3584.0,2263.0,2897.0,1639.0,3514.0,3556.0,3500.0,1583.0,3584.0,3388.0,3480.0,3557.0,3577.0,3598.0,3667.0,3551.0,3324.0,593.0,3504.0,3538.0,3457.0,3458.0,3225.0,3542.0,3582.0,3514.0,3373.0,3635.0,3536.0,3570.0,3486.0,1576.0,3610.0,3557.0,2106.0,3620.0,3596.0,3515.0,3581.0,3581.0,3005.0,3396.0,3134.0,3552.0,1566.0,3108.0,3493.0,3509.0,3224.0,3644.0,3383.0,3410.0,3622.0,3515.0,1773.0,3637.0,2527.0,1510.0,3573.0,3445.0,3488.0,3348.0,3258.0,3533.0,3510.0,1649.0
2020-05-21,Asia,India,None,3708.0,3843.0,3571.0,3738.0,3767.0,3015.0,3783.0,3296.0,3752.0,3459.0,3576.0,3806.0,3805.0,3681.0,1690.0,3679.0,3711.0,3851.0,3510.0,3766.0,3346.0,3643.0,3518.0,3612.0,3532.0,3628.0,3671.0,3698.0,3484.0,3728.0,3781.0,3037.0,1624.0,3778.0,3741.0,2289.0,2971.0,1646.0,3658.0,3707.0,3641.0,1589.0,3741.0,3509.0,3619.0,3711.0,3733.0,3759.0,3841.0,3702.0,3441.0,593.0,3646.0,3687.0,3589.0,3592.0,3326.0,3692.0,3738.0,3659.0,3491.0,3804.0,3684.0,3725.0,3624.0,1581.0,3773.0,3709.0,2130.0,3786.0,3756.0,3659.0,3738.0,3738.0,3084.0,3519.0,3218.0,3703.0,1575.0,3203.0,3634.0,3652.0,3334.0,3814.0,3502.0,3540.0,3787.0,3661.0,1782.0,3805.0,2565.0,1518.0,3728.0,3575.0,3627.0,3463.0,3356.0,3680.0,3653.0,1656.0
2020-05-22,Asia,India,None,3862.0,4023.0,3703.0,3898.0,3932.0,3090.0,3952.0,3387.0,3915.0,3579.0,3709.0,3979.0,3978.0,3831.0,1698.0,3829.0,3866.0,4033.0,3630.0,3931.0,3453.0,3785.0,3639.0,3751.0,3658.0,3768.0,3820.0,3851.0,3601.0,3886.0,3949.0,3116.0,1630.0,3945.0,3901.0,2313.0,3044.0,1652.0,3803.0,3862.0,3783.0,1594.0,3901.0,3629.0,3759.0,3867.0,3892.0,3922.0,4021.0,3856.0,3558.0,593.0,3789.0,3838.0,3722.0,3726.0,3425.0,3845.0,3898.0,3806.0,3608.0,3976.0,3835.0,3882.0,3764.0,1587.0,3940.0,3863.0,2152.0,3955.0,3919.0,3805.0,3898.0,3897.0,3161.0,3642.0,3298.0,3857.0,1584.0,3298.0,3777.0,3797.0,3443.0,3989.0,3621.0,3670.0,3956.0,3809.0,1790.0,3978.0,2601.0,1526.0,3886.0,3706.0,3766.0,3576.0,3453.0,3829.0,3798.0,1663.0
2020-05-23,Asia,India,None,4019.0,4207.0,3835.0,4061.0,4101.0,3164.0,4124.0,3475.0,4080.0,3698.0,3842.0,4156.0,4155.0,3982.0,1705.0,3980.0,4023.0,4219.0,3749.0,4099.0,3561.0,3929.0,3759.0,3890.0,3783.0,3909.0,3971.0,4006.0,3717.0,4046.0,4121.0,3193.0,1635.0,4115.0,4064.0,2337.0,3115.0,1659.0,3950.0,4019.0,3926.0,1599.0,4064.0,3749.0,3900.0,4026.0,4053.0,4089.0,4205.0,4012.0,3675.0,593.0,3933.0,3992.0,3856.0,3861.0,3523.0,3999.0,4061.0,3955.0,3725.0,4153.0,3987.0,4042.0,3906.0,1591.0,4110.0,4021.0,2174.0,4127.0,4085.0,3951.0,4061.0,4060.0,3237.0,3765.0,3377.0,4013.0,1593.0,3391.0,3922.0,3942.0,3553.0,4168.0,3738.0,3802.0,4129.0,3958.0,1797.0,4154.0,2636.0,1533.0,4047.0,3836.0,3906.0,3689.0,3548.0,3980.0,3943.0,1670.0
2020-05-24,Asia,India,None,4178.0,4396.0,3967.0,4226.0,4273.0,3236.0,4299.0,3560.0,4249.0,3818.0,3975.0,4337.0,4336.0,4134.0,1712.0,4134.0,4183.0,4411.0,3868.0,4271.0,3668.0,4074.0,3878.0,4031.0,3908.0,4051.0,4124.0,4163.0,3833.0,4210.0,4296.0,3270.0,1641.0,4289.0,4230.0,2359.0,3186.0,1665.0,4098.0,4178.0,4071.0,1604.0,4230.0,3868.0,4042.0,4188.0,4218.0,4258.0,4394.0,4170.0,3791.0,593.0,4079.0,4148.0,3989.0,3997.0,3620.0,4156.0,4227.0,4105.0,3840.0,4333.0,4140.0,4204.0,4048.0,1596.0,4283.0,4180.0,2195.0,4303.0,4255.0,4099.0,4227.0,4226.0,3311.0,3888.0,3452.0,4170.0,1601.0,3484.0,4067.0,4088.0,3663.0,4351.0,3855.0,3934.0,4306.0,4109.0,1805.0,4335.0,2669.0,1540.0,4210.0,3967.0,4047.0,3801.0,3640.0,4133.0,4089.0,1676.0
