date,region,death_cnt,case_cnt,day_since100
2020-01-31,Italy,0,2,-23
2020-02-01,Italy,0,2,-22
2020-02-02,Italy,0,2,-21
2020-02-03,Italy,0,2,-20
2020-02-04,Italy,0,2,-19
2020-02-05,Italy,0,2,-18
2020-02-06,Italy,0,2,-17
2020-02-07,Italy,0,3,-16
2020-02-08,Italy,0,3,-15
2020-02-09,Italy,0,3,-14
2020-02-10,Italy,0,3,-13
2020-02-11,Italy,0,3,-12
2020-02-12,Italy,0,3,-11
2020-02-13,Italy,0,3,-10
2020-02-14,Italy,0,3,-9
2020-02-15,Italy,0,3,-8
2020-02-16,Italy,0,3,-7
2020-02-17,Italy,0,3,-6
2020-02-18,Italy,0,3,-5
2020-02-19,Italy,0,3,-4
2020-02-20,Italy,0,3,-3
2020-02-21,Italy,1,20,-2
2020-02-22,Italy,2,62,-1
2020-02-23,Italy,3,155,0
2020-02-24,Italy,7,229,1
2020-02-25,Italy,10,322,2
2020-02-26,Italy,12,453,3
2020-02-27,Italy,17,655,4
2020-02-28,Italy,21,888,5
2020-02-29,Italy,29,1128,6
2020-03-01,Italy,34,1694,7
2020-03-02,Italy,52,2036,8
2020-03-03,Italy,79,2502,9
2020-03-04,Italy,107,3089,10
2020-03-05,Italy,148,3858,11
2020-03-06,Italy,197,4636,12
2020-03-07,Italy,233,5883,13
2020-03-08,Italy,366,7375,14
2020-03-09,Italy,463,9172,15
2020-03-10,Italy,631,10149,16
2020-03-11,Italy,827,12462,17
2020-03-12,Italy,827,12462,18
2020-03-13,Italy,1266,17660,19
2020-03-14,Italy,1441,21157,20
2020-03-15,Italy,1809,24747,21
2020-03-16,Italy,2158,27980,22
2020-03-17,Italy,2503,31506,23
2020-03-18,Italy,2978,35713,24
2020-03-19,Italy,3405,41035,25
2020-03-20,Italy,4032,47021,26
2020-03-21,Italy,4825,53578,27
2020-03-22,Italy,5476,59138,28
2020-03-23,Italy,6077,63927,29
2020-03-24,Italy,6820,69176,30
2020-03-25,Italy,7503,74386,31
2020-03-26,Italy,8215,80589,32
2020-03-27,Italy,9134,86498,33
2020-03-28,Italy,10023,92472,34
2020-03-29,Italy,10779,97689,35
2020-03-30,Italy,11591,101739,36
2020-03-31,Italy,12428,105792,37
2020-04-01,Italy,13155,110574,38
2020-04-02,Italy,13915,115242,39
2020-04-03,Italy,14681,119827,40
2020-04-04,Italy,15362,124632,41
2020-04-05,Italy,15887,128948,42
2020-04-06,Italy,16523,132547,43
2020-04-07,Italy,17127,135586,44
2020-04-08,Italy,17669,139422,45
2020-04-09,Italy,18279,143626,46
2020-04-10,Italy,18849,147577,47
2020-04-11,Italy,19468,152271,48
2020-04-12,Italy,19899,156363,49
2020-04-13,Italy,20465,159516,50
2020-04-14,Italy,21067,162488,51
2020-04-15,Italy,21645,165155,52
2020-04-16,Italy,22170,168941,53
2020-04-17,Italy,22745,172434,54
2020-04-18,Italy,23227,175925,55
2020-04-19,Italy,23660,178972,56
2020-04-20,Italy,24114,181228,57
2020-04-21,Italy,24648,183957,58
2020-04-22,Italy,25085,187327,59
2020-04-23,Italy,25549,189973,60
2020-04-24,Italy,25969,192994,61
2020-04-25,Italy,26384,195351,62
2020-04-26,Italy,26644,197675,63
2020-04-27,Italy,26977,199414,64
2020-04-28,Italy,27359,201505,65
2020-04-29,Italy,27682,203591,66
2020-04-30,Italy,27967,205463,67
2020-05-01,Italy,28236,207428,68
2020-05-02,Italy,28710,209328,69
2020-05-03,Italy,28884,210717,70
2020-05-04,Italy,29079,211938,71
2020-05-05,Italy,29315,213013,72
2020-05-06,Italy,29684,214457,73
2020-05-07,Italy,29958,215858,74
2020-05-08,Italy,30201,217185,75
2020-05-09,Italy,30395,218268,76
2020-05-10,Italy,30560,219070,77
2020-05-11,Italy,30739,219814,78
2020-05-12,Italy,30911,221216,79
2020-05-13,Italy,31106,222104,80
2020-05-14,Italy,31368,223096,81
2020-05-15,Italy,31610,223885,82
