Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-01-31,0.0,2.0,,,0.0,0.0,0.0,0.0
2020-02-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,20.0,1.0,17.0,0.0,0.0,0.0,0.0
2020-02-22,2.0,62.0,1.0,42.0,0.0,0.0,0.0,0.0
2020-02-23,3.0,155.0,1.0,93.0,0.0,0.0,0.0,0.0
2020-02-24,7.0,229.0,4.0,74.0,0.0,0.0,0.0,0.0
2020-02-25,10.0,322.0,3.0,93.0,0.0,0.0,0.0,0.0
2020-02-26,12.0,453.0,2.0,131.0,0.0,0.0,0.0,0.0
2020-02-27,17.0,655.0,5.0,202.0,0.0,0.0,0.0,0.0
2020-02-28,21.0,888.0,4.0,233.0,0.0,0.0,0.0,0.0
2020-02-29,29.0,1128.0,8.0,240.0,0.0,0.0,0.0,0.0
2020-03-01,34.0,1694.0,5.0,566.0,0.0,0.0,0.0,0.0
2020-03-02,52.0,2036.0,18.0,342.0,0.0,0.0,0.0,0.0
2020-03-03,79.0,2502.0,27.0,466.0,0.0,0.0,0.0,0.0
2020-03-04,107.0,3089.0,28.0,587.0,0.0,0.0,0.0,0.0
2020-03-05,148.0,3858.0,41.0,769.0,0.0,0.0,0.0,0.0
2020-03-06,197.0,4636.0,49.0,778.0,0.0,0.0,0.0,0.0
2020-03-07,233.0,5883.0,36.0,1247.0,0.0,0.0,0.0,0.0
2020-03-08,366.0,7375.0,133.0,1492.0,0.0,0.0,0.0,0.0
2020-03-09,463.0,9172.0,97.0,1797.0,0.0,0.0,0.0,0.0
2020-03-10,631.0,10149.0,168.0,977.0,0.0,0.0,0.0,0.0
2020-03-11,827.0,12462.0,196.0,2313.0,0.0,0.0,0.0,0.0
2020-03-12,827.0,12462.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,1266.0,17660.0,439.0,5198.0,0.0,0.0,0.0,0.0
2020-03-14,1441.0,21157.0,175.0,3497.0,0.0,0.0,0.0,0.0
2020-03-15,1809.0,24747.0,368.0,3590.0,0.0,0.0,0.0,0.0
2020-03-16,2158.0,27980.0,349.0,3233.0,0.0,0.0,0.0,0.0
2020-03-17,2503.0,31506.0,345.0,3526.0,0.0,0.0,0.0,0.0
2020-03-18,2978.0,35713.0,475.0,4207.0,0.0,0.0,0.0,0.0
2020-03-19,3405.0,41035.0,427.0,5322.0,0.0,0.0,0.0,0.0
2020-03-20,4032.0,47021.0,627.0,5986.0,0.0,0.0,0.0,0.0
2020-03-21,4825.0,53578.0,793.0,6557.0,0.0,0.0,0.0,0.0
2020-03-22,5476.0,59138.0,651.0,5560.0,0.0,0.0,0.0,0.0
2020-03-23,6077.0,63927.0,601.0,4789.0,0.0,0.0,0.0,0.0
2020-03-24,6820.0,69176.0,743.0,5249.0,0.0,0.0,0.0,0.0
2020-03-25,7503.0,74386.0,683.0,5210.0,0.0,0.0,0.0,0.0
