Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-12,Europe,Italy,None,218275.0,219109.0,218955.0,218839.0,221849.0,218187.0,217762.0,218580.0,218552.0,218521.0,220424.0,218507.0,217836.0,218407.0,218324.0,218452.0,101676.0,219437.0,218680.0,219393.0,216161.0,218874.0,218268.0,218999.0,218852.0,218644.0,129066.0,218643.0,217888.0,218655.0,217905.0,218790.0,216351.0,219060.0,218513.0,219809.0,219358.0,220355.0,218769.0,218923.0,218162.0,219678.0,219211.0,218848.0,218258.0,219080.0,217969.0,221009.0,219155.0,219447.0,219259.0,218435.0,218797.0,218050.0,218460.0,221720.0,218275.0,218461.0,217919.0,222251.0,220452.0,218374.0,218310.0,218051.0,219404.0,219058.0,219127.0,219440.0,218052.0,219367.0,221583.0,218844.0,218253.0,218623.0,220411.0,218735.0,220656.0,218644.0,136153.0,218606.0,219571.0,218965.0,219041.0,219428.0,218479.0,218375.0,218942.0,219299.0,220485.0,220281.0,219328.0,218274.0,219269.0,219248.0,218852.0,218616.0,218713.0,219289.0,219146.0,218792.0
2020-05-13,Europe,Italy,None,218918.0,219819.0,219673.0,219550.0,222802.0,218820.0,218347.0,219261.0,219254.0,219268.0,221232.0,219180.0,218431.0,219069.0,218957.0,219121.0,101912.0,220211.0,219435.0,220158.0,216659.0,219586.0,218913.0,219729.0,219560.0,219331.0,129203.0,219327.0,218580.0,219351.0,218532.0,219489.0,216942.0,219790.0,219187.0,220550.0,220087.0,221154.0,219471.0,219638.0,218798.0,220481.0,219958.0,219563.0,218900.0,219817.0,218584.0,221889.0,219863.0,220185.0,220011.0,219099.0,219501.0,218670.0,219123.0,222665.0,218922.0,219126.0,218534.0,223261.0,221279.0,219034.0,218957.0,218676.0,220176.0,219788.0,219865.0,220213.0,218671.0,220126.0,222481.0,219558.0,219005.0,219315.0,221217.0,219432.0,221513.0,219333.0,136424.0,219290.0,220342.0,219763.0,219772.0,220200.0,219147.0,219036.0,219660.0,220050.0,221295.0,221092.0,220092.0,218922.0,220023.0,219962.0,219564.0,219298.0,219370.0,220043.0,219887.0,219497.0
2020-05-14,Europe,Italy,None,219513.0,220482.0,220343.0,220211.0,223705.0,219403.0,218882.0,219893.0,219910.0,219963.0,221988.0,219803.0,218977.0,219681.0,219542.0,219741.0,102132.0,220936.0,220142.0,220875.0,217115.0,220249.0,219511.0,220410.0,220218.0,219971.0,129326.0,219964.0,219222.0,219997.0,219110.0,220141.0,217488.0,220472.0,219812.0,221237.0,220765.0,221902.0,220124.0,220304.0,219385.0,221235.0,220658.0,220228.0,219496.0,220503.0,219150.0,222716.0,220520.0,220874.0,220714.0,219715.0,220157.0,219244.0,219739.0,223555.0,219521.0,219744.0,219099.0,224216.0,222056.0,219647.0,219554.0,219252.0,220897.0,220471.0,220553.0,220938.0,219243.0,220836.0,223326.0,220221.0,219706.0,219958.0,221971.0,220082.0,222318.0,219970.0,136674.0,219925.0,221062.0,220515.0,220454.0,220923.0,219764.0,219647.0,220330.0,220753.0,222053.0,221849.0,220808.0,219522.0,220730.0,220628.0,220229.0,219931.0,219978.0,220749.0,220581.0,220154.0
2020-05-15,Europe,Italy,None,220063.0,221099.0,220966.0,220825.0,224558.0,219943.0,219371.0,220478.0,220521.0,220613.0,222692.0,220379.0,219479.0,220246.0,220083.0,220314.0,102336.0,221616.0,220804.0,221546.0,217532.0,220867.0,220064.0,221046.0,220828.0,220567.0,129438.0,220554.0,219818.0,220596.0,219645.0,220745.0,217989.0,221109.0,220389.0,221877.0,221394.0,222598.0,220730.0,220923.0,219925.0,221943.0,221312.0,220846.0,220047.0,221143.0,219669.0,223494.0,221131.0,221517.0,221372.0,220283.0,220766.0,219774.0,220310.0,224394.0,220072.0,220314.0,219619.0,225121.0,222785.0,220215.0,220107.0,219781.0,221571.0,221109.0,221196.0,221617.0,219771.0,221501.0,224122.0,220839.0,220361.0,220553.0,222674.0,220687.0,223075.0,220562.0,136904.0,220515.0,221733.0,221221.0,221090.0,221602.0,220335.0,220213.0,220954.0,221409.0,222763.0,222554.0,221479.0,220075.0,221391.0,221247.0,220850.0,220519.0,220541.0,221409.0,221229.0,220766.0
2020-05-16,Europe,Italy,None,220572.0,221673.0,221544.0,221395.0,225363.0,220442.0,219819.0,221019.0,221092.0,221224.0,223348.0,220913.0,219942.0,220769.0,220581.0,220843.0,102526.0,222253.0,221425.0,222175.0,217911.0,221440.0,220575.0,221641.0,221394.0,221120.0,129539.0,221099.0,220373.0,221153.0,220141.0,221305.0,218450.0,221704.0,220923.0,222472.0,221976.0,223246.0,221292.0,221498.0,220423.0,222604.0,221924.0,221421.0,220557.0,221740.0,220147.0,224228.0,221699.0,222115.0,221987.0,220808.0,221331.0,220262.0,220838.0,225186.0,220580.0,220840.0,220097.0,225980.0,223470.0,220739.0,220619.0,220268.0,222203.0,221704.0,221793.0,222254.0,220259.0,222122.0,224870.0,221415.0,220975.0,221105.0,223328.0,221250.0,223787.0,221112.0,137114.0,221064.0,222360.0,221882.0,221684.0,222237.0,220863.0,220739.0,221534.0,222023.0,223425.0,223214.0,222106.0,220584.0,222009.0,221822.0,221429.0,221065.0,221061.0,222027.0,221835.0,221337.0
2020-05-17,Europe,Italy,None,221043.0,222206.0,222081.0,221925.0,226122.0,220902.0,220230.0,221519.0,221623.0,221797.0,223962.0,221409.0,220366.0,221253.0,221040.0,221333.0,102703.0,222848.0,222005.0,222761.0,218255.0,221971.0,221045.0,222197.0,221920.0,221632.0,129631.0,221604.0,220889.0,221671.0,220599.0,221824.0,218876.0,222259.0,221418.0,223026.0,222518.0,223850.0,221814.0,222031.0,220883.0,223224.0,222495.0,221957.0,221026.0,222297.0,220586.0,224919.0,222227.0,222672.0,222560.0,221293.0,221854.0,220709.0,221325.0,225935.0,221049.0,221326.0,220538.0,226793.0,224110.0,221222.0,221092.0,220718.0,222794.0,222258.0,222348.0,222850.0,220707.0,222702.0,225574.0,221952.0,221550.0,221618.0,223938.0,221772.0,224458.0,221623.0,137308.0,221574.0,222945.0,222498.0,222239.0,222831.0,221352.0,221227.0,222072.0,222596.0,224041.0,223833.0,222689.0,221054.0,222584.0,222355.0,221968.0,221572.0,221541.0,222603.0,222399.0,221868.0
2020-05-18,Europe,Italy,None,221476.0,222699.0,222579.0,222419.0,226836.0,221326.0,220607.0,221983.0,222116.0,222330.0,224535.0,221868.0,220754.0,221701.0,221464.0,221787.0,102866.0,223404.0,222545.0,223307.0,218567.0,222465.0,221477.0,222714.0,222408.0,222105.0,129715.0,222072.0,221368.0,222153.0,221020.0,222305.0,219269.0,222774.0,221877.0,223540.0,223021.0,224414.0,222300.0,222526.0,221307.0,223805.0,223027.0,222456.0,221457.0,222817.0,220990.0,225568.0,222715.0,223190.0,223094.0,221741.0,222340.0,221119.0,221773.0,226643.0,221482.0,221776.0,220944.0,227565.0,224707.0,221669.0,221528.0,221132.0,223348.0,222773.0,222865.0,223407.0,221118.0,223244.0,226234.0,222452.0,222090.0,222094.0,224508.0,222255.0,225088.0,222097.0,137488.0,222047.0,223491.0,223075.0,222756.0,223385.0,221804.0,221678.0,222572.0,223130.0,224614.0,224412.0,223234.0,221488.0,223120.0,222850.0,222468.0,222042.0,221983.0,223140.0,222923.0,222362.0
2020-05-19,Europe,Italy,None,221874.0,223154.0,223043.0,222878.0,227508.0,221713.0,220950.0,222413.0,222573.0,222822.0,225070.0,222292.0,221108.0,222115.0,221853.0,222208.0,103018.0,223922.0,223045.0,223816.0,218851.0,222923.0,221876.0,223194.0,222862.0,222543.0,129790.0,222505.0,221812.0,222601.0,221406.0,222752.0,219632.0,223252.0,222302.0,224014.0,223489.0,224940.0,222751.0,222986.0,221699.0,224350.0,223521.0,222920.0,221854.0,223301.0,221362.0,226177.0,223168.0,223671.0,223590.0,222156.0,222792.0,221497.0,222188.0,227311.0,221882.0,222192.0,221317.0,228297.0,225266.0,222083.0,221929.0,221514.0,223865.0,223251.0,223346.0,223927.0,221494.0,223748.0,226853.0,222916.0,222594.0,222536.0,225040.0,222703.0,225679.0,222536.0,137654.0,222483.0,224002.0,223617.0,223236.0,223901.0,222223.0,222093.0,223036.0,223628.0,225149.0,224953.0,223744.0,221889.0,223619.0,223309.0,222931.0,222476.0,222391.0,223639.0,223411.0,222819.0
2020-05-20,Europe,Italy,None,222240.0,223577.0,223474.0,223303.0,228142.0,222069.0,221262.0,222811.0,222998.0,223280.0,225567.0,222684.0,221431.0,222497.0,222212.0,222596.0,103159.0,224405.0,223510.0,224291.0,219109.0,223349.0,222244.0,223640.0,223282.0,222950.0,129858.0,222906.0,222222.0,223014.0,221763.0,223166.0,219963.0,223697.0,222694.0,224453.0,223922.0,225429.0,223169.0,223413.0,222057.0,224861.0,223981.0,223351.0,222220.0,223751.0,221703.0,226746.0,223588.0,224119.0,224053.0,222539.0,223211.0,221845.0,222571.0,227939.0,222250.0,222576.0,221658.0,228990.0,225788.0,222466.0,222297.0,221863.0,224347.0,223695.0,223794.0,224411.0,221840.0,224217.0,227435.0,223346.0,223063.0,222946.0,225536.0,223118.0,226230.0,222941.0,137806.0,222885.0,224478.0,224126.0,223682.0,224383.0,222609.0,222474.0,223467.0,224091.0,225649.0,225455.0,224220.0,222259.0,224084.0,223735.0,223362.0,222876.0,222766.0,224103.0,223865.0,223242.0
2020-05-21,Europe,Italy,None,222576.0,223968.0,223873.0,223697.0,228739.0,222397.0,221545.0,223178.0,223393.0,223708.0,226028.0,223044.0,221727.0,222847.0,222541.0,222954.0,103290.0,224857.0,223945.0,224734.0,219343.0,223744.0,222583.0,224055.0,223672.0,223327.0,129919.0,223277.0,222601.0,223396.0,222091.0,223549.0,220266.0,224110.0,223055.0,224860.0,224323.0,225883.0,223556.0,223809.0,222386.0,225339.0,224410.0,223749.0,222558.0,224168.0,222013.0,227279.0,223976.0,224535.0,224484.0,222892.0,223599.0,222164.0,222924.0,228528.0,222588.0,222930.0,221969.0,229646.0,226278.0,222819.0,222636.0,222182.0,224796.0,224109.0,224211.0,224863.0,222158.0,224653.0,227980.0,223744.0,223499.0,223324.0,225996.0,223503.0,226747.0,223315.0,137945.0,223258.0,224921.0,224603.0,224096.0,224833.0,222963.0,222827.0,223868.0,224521.0,226115.0,225922.0,224664.0,222599.0,224519.0,224129.0,223762.0,223246.0,223111.0,224537.0,224288.0,223634.0
