Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,Europe,Italy,None,31191.0,31449.0,31117.0,24477.0,8622.0,2627.0,3203.0,33065.0,34400.0,31099.0,2968.0,31257.0,2607.0,32742.0,31392.0,31327.0,18426.0,31889.0,30946.0,31184.0,32230.0,31386.0,31251.0,37104.0,31229.0,3257.0,31213.0,31138.0,31574.0,31251.0,35587.0,31140.0,31203.0,33023.0,31204.0,2697.0,31353.0,30431.0,31186.0,31320.0,28787.0,35100.0,33531.0,33767.0,32616.0,1098.0,31225.0,37505.0,35273.0,31474.0,31058.0,31671.0,31619.0,31176.0,30723.0,31112.0,35091.0,31365.0,31366.0,6009.0,31404.0,31289.0,9287.0,15078.0,36574.0,3329.0,1054.0,31102.0,30538.0,35847.0,4665.0,34097.0,31972.0,35346.0,31084.0,31223.0,34045.0,34094.0,29703.0,31115.0,33726.0,2432.0,31155.0,31297.0,3363.0,35176.0,31824.0,31195.0,31127.0,31964.0,31611.0,31699.0,31217.0,32756.0,31758.0,33346.0,31266.0,2645.0,34768.0,31172.0
2020-05-16,Europe,Italy,None,31312.0,31590.0,31228.0,24638.0,8622.0,2628.0,3203.0,33311.0,34735.0,31208.0,2968.0,31386.0,2608.0,32967.0,31530.0,31461.0,18445.0,32071.0,31080.0,31304.0,32425.0,31519.0,31379.0,37335.0,31355.0,3257.0,31336.0,31252.0,31729.0,31379.0,36014.0,31254.0,31324.0,33265.0,31325.0,2698.0,31490.0,30491.0,31306.0,31450.0,28946.0,35446.0,33804.0,34056.0,32842.0,1098.0,31350.0,38107.0,35674.0,31635.0,31163.0,31833.0,31789.0,31295.0,30801.0,31223.0,35434.0,31503.0,31505.0,6009.0,31546.0,31421.0,9287.0,15123.0,37087.0,3329.0,1054.0,31211.0,30632.0,36296.0,4665.0,34409.0,32162.0,35753.0,31190.0,31348.0,34356.0,34405.0,29728.0,31226.0,34016.0,2434.0,31271.0,31430.0,3363.0,35570.0,32004.0,31316.0,31240.0,32150.0,31767.0,31862.0,31341.0,32982.0,31928.0,33608.0,31395.0,2645.0,35129.0,31290.0
2020-05-17,Europe,Italy,None,31425.0,31724.0,31331.0,24793.0,8622.0,2629.0,3203.0,33547.0,35059.0,31310.0,2969.0,31507.0,2609.0,33182.0,31661.0,31586.0,18463.0,32246.0,31206.0,31418.0,32611.0,31643.0,31499.0,37556.0,31473.0,3257.0,31452.0,31358.0,31876.0,31500.0,36431.0,31360.0,31438.0,33498.0,31439.0,2699.0,31620.0,30545.0,31418.0,31573.0,29098.0,35779.0,34068.0,34335.0,33060.0,1098.0,31467.0,38702.0,36066.0,31788.0,31261.0,31986.0,31952.0,31406.0,30871.0,31325.0,35766.0,31634.0,31636.0,6009.0,31681.0,31545.0,9287.0,15164.0,37592.0,3329.0,1054.0,31313.0,30721.0,36736.0,4665.0,34711.0,32344.0,36150.0,31289.0,31465.0,34657.0,34706.0,29750.0,31329.0,34296.0,2436.0,31379.0,31555.0,3363.0,35953.0,32176.0,31429.0,31345.0,32327.0,31914.0,32017.0,31457.0,33198.0,32090.0,33861.0,31516.0,2645.0,35479.0,31401.0
2020-05-18,Europe,Italy,None,31532.0,31849.0,31427.0,24941.0,8622.0,2630.0,3203.0,33774.0,35374.0,31404.0,2969.0,31621.0,2610.0,33388.0,31784.0,31705.0,18479.0,32413.0,31326.0,31524.0,32790.0,31760.0,31612.0,37768.0,31584.0,3257.0,31560.0,31458.0,32016.0,31614.0,36837.0,31459.0,31544.0,33720.0,31546.0,2700.0,31743.0,30593.0,31524.0,31687.0,29243.0,36099.0,34323.0,34605.0,33270.0,1098.0,31578.0,39289.0,36447.0,31934.0,31352.0,32132.0,32107.0,31510.0,30936.0,31421.0,36085.0,31758.0,31760.0,6009.0,31808.0,31662.0,9287.0,15203.0,38088.0,3329.0,1054.0,31407.0,30803.0,37165.0,4665.0,35002.0,32519.0,36537.0,31381.0,31575.0,34948.0,34998.0,29769.0,31426.0,34566.0,2437.0,31481.0,31673.0,3363.0,36326.0,32340.0,31536.0,31443.0,32496.0,32053.0,32164.0,31566.0,33405.0,32245.0,34105.0,31630.0,2646.0,35821.0,31504.0
2020-05-19,Europe,Italy,None,31631.0,31967.0,31516.0,25083.0,8622.0,2631.0,3203.0,33992.0,35679.0,31492.0,2969.0,31727.0,2611.0,33585.0,31900.0,31817.0,18493.0,32572.0,31439.0,31623.0,32961.0,31870.0,31718.0,37969.0,31687.0,3257.0,31661.0,31550.0,32149.0,31721.0,37234.0,31551.0,31644.0,33934.0,31646.0,2701.0,31858.0,30637.0,31623.0,31794.0,29382.0,36408.0,34568.0,34866.0,33472.0,1098.0,31681.0,39868.0,36817.0,32072.0,31436.0,32269.0,32254.0,31608.0,30995.0,31510.0,36391.0,31874.0,31876.0,6009.0,31928.0,31773.0,9287.0,15240.0,38573.0,3329.0,1054.0,31494.0,30879.0,37584.0,4665.0,35285.0,32687.0,36913.0,31466.0,31679.0,35229.0,35280.0,29785.0,31515.0,34826.0,2439.0,31575.0,31784.0,3363.0,36689.0,32496.0,31635.0,31534.0,32658.0,32185.0,32303.0,31668.0,33603.0,32392.0,34339.0,31737.0,2646.0,36152.0,31601.0
2020-05-20,Europe,Italy,None,31724.0,32079.0,31598.0,25220.0,8622.0,2632.0,3203.0,34202.0,35974.0,31574.0,2969.0,31828.0,2612.0,33774.0,32009.0,31922.0,18507.0,32724.0,31547.0,31716.0,33124.0,31972.0,31818.0,38162.0,31785.0,3257.0,31756.0,31636.0,32275.0,31821.0,37619.0,31637.0,31738.0,34139.0,31740.0,2702.0,31967.0,30676.0,31715.0,31895.0,29513.0,36705.0,34804.0,35117.0,33665.0,1098.0,31777.0,40438.0,37177.0,32203.0,31514.0,32400.0,32395.0,31699.0,31048.0,31592.0,36686.0,31984.0,31986.0,6009.0,32042.0,31876.0,9287.0,15274.0,39048.0,3329.0,1054.0,31575.0,30949.0,37992.0,4665.0,35559.0,32847.0,37279.0,31544.0,31775.0,35501.0,35553.0,29799.0,31599.0,35077.0,2440.0,31664.0,31888.0,3363.0,37041.0,32646.0,31729.0,31619.0,32812.0,32309.0,32435.0,31764.0,33793.0,32532.0,34563.0,31838.0,2646.0,36475.0,31691.0
2020-05-21,Europe,Italy,None,31811.0,32184.0,31675.0,25352.0,8622.0,2633.0,3203.0,34403.0,36259.0,31649.0,2970.0,31922.0,2613.0,33955.0,32112.0,32020.0,18519.0,32869.0,31649.0,31803.0,33279.0,32069.0,31912.0,38346.0,31876.0,3257.0,31845.0,31716.0,32394.0,31915.0,37995.0,31716.0,31825.0,34335.0,31828.0,2702.0,32070.0,30711.0,31801.0,31989.0,29638.0,36990.0,35030.0,35360.0,33850.0,1098.0,31868.0,40997.0,37527.0,32328.0,31586.0,32524.0,32529.0,31784.0,31096.0,31669.0,36970.0,32087.0,32090.0,6009.0,32149.0,31974.0,9287.0,15307.0,39512.0,3329.0,1054.0,31651.0,31015.0,38391.0,4665.0,35823.0,32999.0,37634.0,31617.0,31866.0,35762.0,35817.0,29811.0,31676.0,35319.0,2442.0,31746.0,31987.0,3363.0,37383.0,32788.0,31816.0,31698.0,32959.0,32427.0,32561.0,31853.0,33975.0,32666.0,34779.0,31933.0,2647.0,36787.0,31775.0
2020-05-22,Europe,Italy,None,31892.0,32283.0,31746.0,25478.0,8623.0,2633.0,3203.0,34597.0,36534.0,31719.0,2970.0,32011.0,2614.0,34128.0,32209.0,32113.0,18530.0,33007.0,31745.0,31884.0,33427.0,32159.0,32000.0,38522.0,31961.0,3257.0,31928.0,31790.0,32507.0,32003.0,38361.0,31790.0,31906.0,34525.0,31910.0,2703.0,32167.0,30742.0,31881.0,32077.0,29758.0,37265.0,35248.0,35592.0,34028.0,1098.0,31952.0,41547.0,37867.0,32448.0,31652.0,32641.0,32657.0,31863.0,31140.0,31740.0,37242.0,32184.0,32188.0,6009.0,32251.0,32065.0,9287.0,15338.0,39967.0,3329.0,1054.0,31720.0,31075.0,38780.0,4665.0,36077.0,33145.0,37980.0,31684.0,31950.0,36015.0,36071.0,29821.0,31747.0,35554.0,2443.0,31823.0,32080.0,3363.0,37716.0,32924.0,31897.0,31771.0,33099.0,32539.0,32680.0,31937.0,34149.0,32793.0,34986.0,32021.0,2647.0,37089.0,31854.0
2020-05-23,Europe,Italy,None,31968.0,32375.0,31812.0,25599.0,8623.0,2634.0,3203.0,34782.0,36800.0,31784.0,2970.0,32094.0,2615.0,34294.0,32300.0,32200.0,18540.0,33139.0,31835.0,31959.0,33568.0,32243.0,32082.0,38689.0,32041.0,3257.0,32005.0,31859.0,32613.0,32086.0,38718.0,31859.0,31981.0,34706.0,31986.0,2703.0,32259.0,30770.0,31956.0,32160.0,29872.0,37528.0,35458.0,35816.0,34199.0,1098.0,32031.0,42088.0,38198.0,32561.0,31714.0,32752.0,32779.0,31936.0,31180.0,31806.0,37504.0,32276.0,32280.0,6009.0,32346.0,32150.0,9287.0,15366.0,40412.0,3329.0,1054.0,31785.0,31132.0,39159.0,4665.0,36323.0,33285.0,38317.0,31746.0,32029.0,36260.0,36315.0,29830.0,31813.0,35780.0,2444.0,31894.0,32167.0,3363.0,38039.0,33055.0,31973.0,31839.0,33233.0,32644.0,32792.0,32015.0,34316.0,32913.0,35185.0,32104.0,2647.0,37381.0,31927.0
2020-05-24,Europe,Italy,None,32038.0,32462.0,31873.0,25714.0,8623.0,2635.0,3203.0,34960.0,37058.0,31843.0,2970.0,32172.0,2615.0,34452.0,32386.0,32281.0,18550.0,33265.0,31921.0,32029.0,33702.0,32322.0,32159.0,38849.0,32116.0,3257.0,32078.0,31923.0,32714.0,32163.0,39065.0,31923.0,32052.0,34879.0,32057.0,2704.0,32345.0,30795.0,32025.0,32237.0,29980.0,37781.0,35660.0,36031.0,34364.0,1098.0,32105.0,42621.0,38520.0,32668.0,31770.0,32858.0,32895.0,32005.0,31215.0,31866.0,37755.0,32362.0,32367.0,6009.0,32437.0,32231.0,9287.0,15393.0,40849.0,3329.0,1054.0,31844.0,31184.0,39529.0,4665.0,36559.0,33419.0,38644.0,31803.0,32103.0,36496.0,36551.0,29838.0,31875.0,35997.0,2445.0,31960.0,32249.0,3363.0,38353.0,33179.0,32043.0,31902.0,33361.0,32744.0,32899.0,32088.0,34475.0,33027.0,35377.0,32182.0,2647.0,37664.0,31994.0
