date,region,death_cnt,case_cnt,day_since100
2020-03-09,MN,0.0,2,-11
2020-03-10,MN,0.0,3,-10
2020-03-11,MN,0.0,5,-9
2020-03-12,MN,0.0,9,-8
2020-03-13,MN,0.0,14,-7
2020-03-14,MN,0.0,21,-6
2020-03-15,MN,0.0,35,-5
2020-03-16,MN,0.0,54,-4
2020-03-17,MN,0.0,60,-3
2020-03-18,MN,0.0,77,-2
2020-03-19,MN,0.0,89,-1
2020-03-20,MN,0.0,115,0
2020-03-21,MN,1.0,138,1
2020-03-22,MN,1.0,169,2
2020-03-23,MN,1.0,235,3
2020-03-24,MN,1.0,262,4
2020-03-25,MN,1.0,287,5
2020-03-26,MN,2.0,346,6
2020-03-27,MN,4.0,398,7
2020-03-28,MN,5.0,441,8
2020-03-29,MN,9.0,503,9
2020-03-30,MN,10.0,576,10
2020-03-31,MN,12.0,629,11
2020-04-01,MN,17.0,689,12
2020-04-02,MN,18.0,742,13
2020-04-03,MN,22.0,789,14
2020-04-04,MN,24.0,865,15
2020-04-05,MN,29.0,935,16
2020-04-06,MN,30.0,986,17
2020-04-07,MN,34.0,1069,18
2020-04-08,MN,39.0,1154,19
2020-04-09,MN,50.0,1242,20
2020-04-10,MN,57.0,1336,21
2020-04-11,MN,64.0,1427,22
2020-04-12,MN,70.0,1621,23
2020-04-13,MN,70.0,1650,24
2020-04-14,MN,79.0,1695,25
2020-04-15,MN,87.0,1809,26
2020-04-16,MN,94.0,1912,27
2020-04-17,MN,111.0,2071,28
2020-04-18,MN,121.0,2213,29
2020-04-19,MN,134.0,2356,30
2020-04-20,MN,143.0,2470,31
2020-04-21,MN,160.0,2567,32
2020-04-22,MN,179.0,2721,33
2020-04-23,MN,200.0,2942,34
2020-04-24,MN,221.0,3185,35
2020-04-25,MN,244.0,3446,36
2020-04-26,MN,272.0,3602,37
2020-04-27,MN,286.0,3816,38
2020-04-28,MN,301.0,4181,39
2020-04-29,MN,319.0,4644,40
2020-04-30,MN,343.0,5136,41
2020-05-01,MN,371.0,5730,42
2020-05-02,MN,395.0,6228,43
2020-05-03,MN,419.0,6663,44
2020-05-04,MN,428.0,7234,45
2020-05-05,MN,455.0,7851,46
2020-05-06,MN,485.0,8579,47
2020-05-07,MN,508.0,9365,48
2020-05-08,MN,534.0,10088,49
2020-05-09,MN,558.0,10790,50
2020-05-10,MN,578.0,11271,51
2020-05-11,MN,591.0,11799,52
2020-05-12,MN,614.0,12494,53
2020-05-13,MN,638.0,12917,54
