Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,North America,US,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,North America,US,Minnesota,763.0,753.0,23.0,697.0,135.0,9.0,672.0,710.0,778.0,798.0,471.0,763.0,492.0,447.0,616.0,36.0,769.0,23.0,695.0,762.0,754.0,670.0,15.0,826.0,573.0,5.0,573.0,11.0,543.0,26.0,26.0,776.0,830.0,732.0,501.0,801.0,667.0,705.0,706.0,786.0,154.0,809.0,14.0,817.0,711.0,783.0,703.0,26.0,637.0,651.0,792.0,477.0,681.0,779.0,793.0,4.0,486.0,666.0,738.0,662.0,828.0,3.0,1.0,763.0,628.0,542.0,842.0,807.0,139.0,749.0,693.0,805.0,833.0,820.0,569.0,381.0,794.0,3.0,693.0,240.0,825.0,693.0,442.0,93.0,674.0,670.0,786.0,687.0,800.0,687.0,15.0,597.0,774.0,823.0,754.0,295.0,686.0,790.0,687.0,16.0
2020-05-17,North America,US,Minnesota,783.0,773.0,23.0,709.0,129.0,8.0,679.0,723.0,802.0,824.0,466.0,784.0,488.0,446.0,619.0,34.0,790.0,23.0,704.0,783.0,773.0,676.0,13.0,856.0,571.0,5.0,572.0,10.0,542.0,24.0,25.0,800.0,860.0,747.0,499.0,829.0,673.0,719.0,717.0,809.0,147.0,836.0,12.0,847.0,723.0,807.0,714.0,25.0,648.0,657.0,816.0,474.0,690.0,801.0,819.0,4.0,485.0,673.0,755.0,669.0,858.0,3.0,1.0,783.0,634.0,541.0,874.0,834.0,130.0,768.0,705.0,832.0,864.0,851.0,568.0,372.0,820.0,3.0,702.0,231.0,856.0,702.0,440.0,84.0,684.0,676.0,809.0,695.0,827.0,696.0,14.0,598.0,797.0,852.0,773.0,284.0,694.0,815.0,697.0,15.0
2020-05-18,North America,US,Minnesota,803.0,791.0,21.0,719.0,122.0,7.0,685.0,736.0,824.0,850.0,461.0,805.0,482.0,444.0,620.0,30.0,811.0,21.0,714.0,804.0,791.0,680.0,13.0,888.0,569.0,4.0,570.0,8.0,541.0,23.0,23.0,821.0,892.0,762.0,493.0,854.0,678.0,731.0,730.0,834.0,141.0,863.0,12.0,876.0,737.0,830.0,725.0,23.0,658.0,660.0,841.0,467.0,698.0,825.0,843.0,4.0,482.0,677.0,770.0,673.0,889.0,3.0,0.0,802.0,637.0,538.0,908.0,862.0,120.0,785.0,716.0,860.0,896.0,880.0,565.0,363.0,845.0,3.0,710.0,221.0,886.0,711.0,436.0,77.0,693.0,683.0,833.0,701.0,853.0,705.0,12.0,597.0,819.0,883.0,793.0,273.0,702.0,838.0,706.0,15.0
2020-05-19,North America,US,Minnesota,824.0,809.0,20.0,729.0,116.0,7.0,691.0,745.0,846.0,875.0,453.0,826.0,476.0,441.0,622.0,27.0,831.0,20.0,721.0,823.0,808.0,685.0,11.0,919.0,567.0,3.0,566.0,8.0,540.0,21.0,22.0,843.0,924.0,776.0,489.0,881.0,683.0,744.0,740.0,857.0,135.0,891.0,10.0,906.0,747.0,853.0,736.0,21.0,666.0,663.0,866.0,462.0,705.0,846.0,869.0,3.0,481.0,681.0,785.0,679.0,920.0,3.0,1.0,822.0,641.0,535.0,941.0,889.0,110.0,801.0,726.0,886.0,928.0,910.0,562.0,355.0,869.0,3.0,718.0,213.0,917.0,718.0,433.0,68.0,703.0,687.0,857.0,707.0,879.0,713.0,12.0,596.0,841.0,913.0,811.0,262.0,707.0,863.0,714.0,13.0
2020-05-20,North America,US,Minnesota,843.0,826.0,18.0,737.0,110.0,6.0,695.0,755.0,868.0,900.0,446.0,845.0,469.0,437.0,621.0,24.0,851.0,18.0,728.0,842.0,826.0,688.0,11.0,950.0,562.0,3.0,563.0,8.0,536.0,20.0,20.0,865.0,955.0,790.0,482.0,907.0,685.0,755.0,750.0,880.0,129.0,919.0,9.0,935.0,759.0,875.0,744.0,21.0,675.0,664.0,891.0,454.0,712.0,868.0,893.0,3.0,477.0,683.0,799.0,681.0,952.0,3.0,1.0,841.0,642.0,530.0,975.0,916.0,101.0,818.0,735.0,913.0,961.0,939.0,557.0,345.0,894.0,2.0,724.0,204.0,948.0,724.0,428.0,62.0,710.0,692.0,880.0,711.0,905.0,720.0,10.0,592.0,864.0,944.0,830.0,250.0,712.0,887.0,722.0,12.0
2020-05-21,North America,US,Minnesota,862.0,843.0,17.0,744.0,104.0,5.0,699.0,764.0,889.0,926.0,437.0,864.0,462.0,434.0,619.0,23.0,870.0,18.0,734.0,861.0,842.0,690.0,10.0,982.0,557.0,3.0,557.0,6.0,534.0,19.0,20.0,886.0,987.0,801.0,475.0,933.0,688.0,766.0,758.0,902.0,122.0,946.0,9.0,964.0,768.0,897.0,753.0,19.0,683.0,665.0,915.0,446.0,716.0,889.0,917.0,2.0,473.0,685.0,812.0,683.0,983.0,2.0,0.0,859.0,643.0,525.0,1010.0,944.0,93.0,833.0,744.0,939.0,993.0,970.0,552.0,335.0,919.0,2.0,729.0,198.0,979.0,730.0,423.0,56.0,717.0,695.0,902.0,714.0,931.0,726.0,10.0,589.0,884.0,974.0,847.0,239.0,716.0,910.0,727.0,11.0
2020-05-22,North America,US,Minnesota,880.0,860.0,16.0,752.0,100.0,5.0,701.0,771.0,910.0,950.0,427.0,882.0,453.0,428.0,617.0,20.0,889.0,16.0,739.0,880.0,858.0,690.0,9.0,1013.0,551.0,2.0,551.0,6.0,530.0,17.0,18.0,905.0,1019.0,813.0,467.0,958.0,688.0,777.0,767.0,925.0,117.0,973.0,8.0,994.0,778.0,919.0,760.0,18.0,690.0,665.0,938.0,437.0,721.0,910.0,942.0,3.0,468.0,685.0,825.0,684.0,1014.0,2.0,1.0,876.0,643.0,518.0,1045.0,970.0,85.0,848.0,752.0,966.0,1026.0,1000.0,546.0,326.0,942.0,1.0,733.0,191.0,1010.0,733.0,417.0,50.0,722.0,696.0,924.0,716.0,956.0,731.0,9.0,583.0,906.0,1004.0,864.0,228.0,719.0,933.0,733.0,10.0
2020-05-23,North America,US,Minnesota,899.0,876.0,16.0,757.0,93.0,5.0,702.0,777.0,930.0,975.0,419.0,900.0,445.0,424.0,614.0,18.0,907.0,15.0,743.0,897.0,872.0,690.0,8.0,1046.0,545.0,3.0,544.0,6.0,525.0,17.0,17.0,925.0,1051.0,822.0,459.0,984.0,689.0,785.0,774.0,946.0,111.0,1000.0,8.0,1024.0,786.0,940.0,767.0,17.0,696.0,663.0,963.0,427.0,723.0,930.0,965.0,2.0,464.0,684.0,836.0,684.0,1046.0,2.0,0.0,892.0,642.0,512.0,1079.0,996.0,77.0,861.0,758.0,992.0,1059.0,1029.0,538.0,315.0,966.0,2.0,736.0,181.0,1041.0,737.0,412.0,44.0,726.0,697.0,946.0,717.0,981.0,735.0,8.0,577.0,926.0,1034.0,879.0,217.0,720.0,956.0,737.0,9.0
2020-05-24,North America,US,Minnesota,917.0,890.0,14.0,762.0,89.0,4.0,703.0,783.0,950.0,999.0,409.0,918.0,435.0,419.0,610.0,17.0,924.0,15.0,745.0,915.0,886.0,688.0,8.0,1078.0,537.0,1.0,536.0,5.0,519.0,16.0,16.0,945.0,1083.0,832.0,450.0,1008.0,687.0,795.0,781.0,968.0,106.0,1026.0,6.0,1053.0,794.0,960.0,771.0,16.0,702.0,660.0,986.0,419.0,726.0,949.0,988.0,1.0,458.0,682.0,847.0,682.0,1078.0,1.0,1.0,908.0,640.0,504.0,1115.0,1024.0,71.0,875.0,765.0,1018.0,1092.0,1060.0,531.0,305.0,990.0,1.0,737.0,173.0,1073.0,738.0,406.0,40.0,729.0,698.0,968.0,716.0,1006.0,738.0,8.0,572.0,946.0,1065.0,896.0,205.0,721.0,978.0,741.0,9.0
