Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-12,North America,US,Minnesota,9113.0,10480.0,10783.0,11046.0,12136.0,11750.0,11316.0,11467.0,11940.0,12185.0,10936.0,11925.0,11289.0,9617.0,12050.0,12199.0,10587.0,11226.0,11627.0,11945.0,12031.0,12136.0,9078.0,10781.0,11984.0,11634.0,12127.0,7854.0,10506.0,10987.0,10180.0,11512.0,10979.0,10347.0,8269.0,10368.0,11287.0,10878.0,9009.0,12225.0,10325.0,11520.0,11541.0,11224.0,11913.0,11957.0,11557.0,11585.0,11198.0,11044.0,8644.0,11957.0,12253.0,11034.0,8245.0,9512.0,12149.0,11622.0,11617.0,12173.0,10723.0,8861.0,10591.0,11450.0,8582.0,9727.0,8988.0,11866.0,9306.0,9814.0,11449.0,7769.0,12175.0,10719.0,11333.0,11193.0,11873.0,10808.0,10881.0,12153.0,10484.0,10513.0,12102.0,11861.0,10264.0,11239.0,12168.0,11810.0,11510.0,11415.0,12201.0,12169.0,11887.0,10990.0,12232.0,10184.0,11790.0,10943.0,11855.0,11166.0
2020-05-13,North America,US,Minnesota,9281.0,10786.0,11140.0,11450.0,12767.0,12295.0,11772.0,11962.0,12525.0,12827.0,11312.0,12506.0,11765.0,9844.0,12663.0,12855.0,10911.0,11661.0,12143.0,12525.0,12631.0,12769.0,9228.0,11146.0,12581.0,12147.0,12749.0,7935.0,10826.0,11391.0,10474.0,12007.0,11383.0,10663.0,8379.0,10684.0,11735.0,11269.0,9177.0,12890.0,10621.0,12014.0,12039.0,11675.0,12484.0,12550.0,12063.0,12110.0,11654.0,11480.0,8770.0,12545.0,12928.0,11453.0,8348.0,9731.0,12777.0,12136.0,12134.0,12814.0,11070.0,9017.0,10956.0,11924.0,8711.0,9977.0,9155.0,12427.0,9496.0,10060.0,11931.0,7847.0,12821.0,11062.0,11790.0,11625.0,12442.0,11162.0,11265.0,12782.0,10824.0,10858.0,12724.0,12423.0,10575.0,11707.0,12812.0,12365.0,12019.0,11888.0,12857.0,12805.0,12454.0,11376.0,12900.0,10479.0,12344.0,11360.0,12431.0,11590.0
2020-05-14,North America,US,Minnesota,9442.0,11083.0,11490.0,11848.0,13408.0,12843.0,12225.0,12458.0,13115.0,13479.0,11680.0,13093.0,12244.0,10065.0,13286.0,13524.0,11225.0,12091.0,12660.0,13109.0,13236.0,13411.0,9370.0,11505.0,13184.0,12659.0,13379.0,8011.0,11137.0,11790.0,10762.0,12500.0,11782.0,10973.0,8483.0,10993.0,12178.0,11654.0,9339.0,13570.0,10908.0,12506.0,12536.0,12122.0,13059.0,13149.0,12569.0,12638.0,12111.0,11917.0,8889.0,13138.0,13620.0,11868.0,8445.0,9942.0,13412.0,12651.0,12652.0,13466.0,11409.0,9167.0,11318.0,12396.0,8834.0,10220.0,9316.0,12992.0,9678.0,10300.0,12412.0,7921.0,13477.0,11397.0,12245.0,12052.0,13015.0,11507.0,11644.0,13420.0,11157.0,11197.0,13356.0,12988.0,10881.0,12176.0,13466.0,12923.0,12529.0,12359.0,13525.0,13449.0,13025.0,11754.0,13582.0,10768.0,12902.0,11776.0,13013.0,12010.0
2020-05-15,North America,US,Minnesota,9595.0,11370.0,11831.0,12241.0,14057.0,13392.0,12674.0,12953.0,13709.0,14140.0,12040.0,13683.0,12723.0,10278.0,13916.0,14204.0,11530.0,12517.0,13176.0,13695.0,13846.0,14063.0,9503.0,11855.0,13792.0,13169.0,14015.0,8082.0,11439.0,12184.0,11043.0,12993.0,12176.0,11276.0,8581.0,11295.0,12618.0,12034.0,9495.0,14264.0,11186.0,12997.0,13032.0,12567.0,13635.0,13753.0,13074.0,13168.0,12566.0,12353.0,9001.0,13736.0,14326.0,12278.0,8537.0,10145.0,14054.0,13165.0,13170.0,14127.0,11739.0,9310.0,11676.0,12863.0,8952.0,10457.0,9471.0,13558.0,9853.0,10532.0,12890.0,7991.0,14144.0,11723.0,12696.0,12475.0,13592.0,11843.0,12017.0,14065.0,11485.0,11532.0,13994.0,13555.0,11181.0,12646.0,14131.0,13484.0,13041.0,12826.0,14205.0,14102.0,13597.0,12125.0,14279.0,11049.0,13462.0,12189.0,13601.0,12424.0
2020-05-16,North America,US,Minnesota,9740.0,11647.0,12164.0,12626.0,14714.0,13942.0,13119.0,13446.0,14307.0,14809.0,12392.0,14276.0,13202.0,10483.0,14553.0,14896.0,11826.0,12937.0,13691.0,14284.0,14460.0,14721.0,9627.0,12198.0,14405.0,13677.0,14655.0,8149.0,11732.0,12571.0,11316.0,13483.0,12564.0,11572.0,8675.0,11589.0,13052.0,12408.0,9645.0,14971.0,11454.0,13486.0,13526.0,13008.0,14213.0,14361.0,13577.0,13699.0,13020.0,12787.0,9106.0,14337.0,15047.0,12684.0,8623.0,10340.0,14702.0,13677.0,13687.0,14796.0,12060.0,9446.0,12030.0,13326.0,9062.0,10688.0,9619.0,14125.0,10022.0,10757.0,13365.0,8057.0,14820.0,12040.0,13142.0,12892.0,14170.0,12170.0,12381.0,14716.0,11807.0,11860.0,14639.0,14123.0,11474.0,13115.0,14806.0,14045.0,13553.0,13290.0,14896.0,14762.0,14171.0,12487.0,14988.0,11323.0,14024.0,12600.0,14193.0,12833.0
2020-05-17,North America,US,Minnesota,9877.0,11914.0,12488.0,13004.0,15377.0,14491.0,13558.0,13938.0,14907.0,15485.0,12734.0,14870.0,13681.0,10679.0,15194.0,15599.0,12112.0,13350.0,14204.0,14873.0,15075.0,15386.0,9743.0,12531.0,15021.0,14181.0,15300.0,8211.0,12015.0,12951.0,11583.0,13969.0,12945.0,11861.0,8763.0,11876.0,13480.0,12775.0,9787.0,15689.0,11712.0,13971.0,14016.0,13445.0,14790.0,14973.0,14078.0,14231.0,13471.0,13220.0,9204.0,14940.0,15782.0,13084.0,8704.0,10528.0,15355.0,14187.0,14202.0,15473.0,12372.0,9576.0,12380.0,13784.0,9167.0,10914.0,9760.0,14691.0,10183.0,10974.0,13836.0,8119.0,15504.0,12347.0,13583.0,13303.0,14750.0,12486.0,12738.0,15372.0,12122.0,12182.0,15290.0,14690.0,11760.0,13583.0,15488.0,14607.0,14064.0,13750.0,15596.0,15428.0,14744.0,12839.0,15710.0,11590.0,14586.0,13006.0,14788.0,13234.0
2020-05-18,North America,US,Minnesota,10007.0,12171.0,12802.0,13373.0,16044.0,15039.0,13992.0,14426.0,15508.0,16167.0,13066.0,15466.0,14158.0,10867.0,15838.0,16311.0,12388.0,13755.0,14713.0,15461.0,15692.0,16056.0,9851.0,12856.0,15640.0,14682.0,15947.0,8270.0,12288.0,13324.0,11841.0,14452.0,13319.0,12141.0,8847.0,12155.0,13902.0,13135.0,9923.0,16419.0,11960.0,14451.0,14502.0,13876.0,15366.0,15588.0,14575.0,14763.0,13919.0,13649.0,9296.0,15544.0,16529.0,13478.0,8779.0,10710.0,16010.0,14694.0,14714.0,16155.0,12675.0,9700.0,12724.0,14235.0,9266.0,11134.0,9895.0,15255.0,10336.0,11183.0,14302.0,8176.0,16195.0,12644.0,14019.0,13706.0,15330.0,12792.0,13086.0,16031.0,12432.0,12497.0,15944.0,15256.0,12039.0,14049.0,16178.0,15168.0,14573.0,14204.0,16306.0,16098.0,15316.0,13182.0,16444.0,11850.0,15147.0,13409.0,15385.0,13628.0
2020-05-19,North America,US,Minnesota,10131.0,12418.0,13106.0,13733.0,16716.0,15585.0,14419.0,14910.0,16109.0,16853.0,13387.0,16061.0,14632.0,11049.0,16484.0,17031.0,12653.0,14152.0,15219.0,16048.0,16309.0,16730.0,9952.0,13171.0,16259.0,15177.0,16596.0,8324.0,12551.0,13688.0,12092.0,14928.0,13685.0,12415.0,8925.0,12426.0,14316.0,13487.0,10052.0,17159.0,12198.0,14926.0,14982.0,14302.0,15940.0,16205.0,15068.0,15294.0,14363.0,14075.0,9383.0,16149.0,17288.0,13866.0,8850.0,10886.0,16668.0,15196.0,15221.0,16841.0,12967.0,9818.0,13063.0,14679.0,9359.0,11347.0,10023.0,15817.0,10481.0,11384.0,14763.0,8230.0,16892.0,12931.0,14448.0,14101.0,15908.0,13088.0,13426.0,16693.0,12734.0,12804.0,16602.0,15820.0,12311.0,14512.0,16874.0,15727.0,15080.0,14652.0,17023.0,16772.0,15887.0,13515.0,17188.0,12102.0,15707.0,13807.0,15983.0,14013.0
2020-05-20,North America,US,Minnesota,10248.0,12654.0,13400.0,14084.0,17391.0,16128.0,14837.0,15389.0,16710.0,17543.0,13699.0,16655.0,15104.0,11224.0,17131.0,17759.0,12908.0,14542.0,15719.0,16633.0,16925.0,17408.0,10045.0,13477.0,16879.0,15666.0,17246.0,8375.0,12803.0,14045.0,12334.0,15399.0,14043.0,12680.0,8999.0,12688.0,14722.0,13831.0,10176.0,17909.0,12427.0,15395.0,15457.0,14721.0,16510.0,16820.0,15554.0,15823.0,14804.0,14497.0,9464.0,16753.0,18058.0,14246.0,8917.0,11053.0,17326.0,15694.0,15724.0,17532.0,13249.0,9930.0,13395.0,15116.0,9447.0,11551.0,10146.0,16374.0,10619.0,11576.0,15217.0,8281.0,17594.0,13208.0,14868.0,14488.0,16485.0,13372.0,13758.0,17357.0,13028.0,13105.0,17261.0,16381.0,12576.0,14972.0,17574.0,16282.0,15585.0,15092.0,17747.0,17449.0,16453.0,13838.0,17942.0,12345.0,16264.0,14201.0,16583.0,14390.0
2020-05-21,North America,US,Minnesota,10357.0,12879.0,13684.0,14426.0,18068.0,16666.0,15248.0,15863.0,17308.0,18236.0,14000.0,17247.0,15573.0,11392.0,17778.0,18494.0,13153.0,14922.0,16213.0,17213.0,17539.0,18086.0,10131.0,13772.0,17497.0,16148.0,17895.0,8422.0,13045.0,14392.0,12568.0,15864.0,14392.0,12937.0,9069.0,12940.0,15120.0,14166.0,10293.0,18667.0,12645.0,15856.0,15925.0,15133.0,17075.0,17434.0,16035.0,16349.0,15240.0,14915.0,9539.0,17355.0,18837.0,14619.0,8979.0,11213.0,17985.0,16184.0,16221.0,18225.0,13521.0,10036.0,13722.0,15543.0,9530.0,11749.0,10263.0,16927.0,10751.0,11760.0,15663.0,8328.0,18299.0,13474.0,15280.0,14865.0,17058.0,13646.0,14079.0,18020.0,13313.0,13398.0,17921.0,16937.0,12834.0,15429.0,18279.0,16834.0,16085.0,15524.0,18476.0,18127.0,17016.0,14150.0,18705.0,12580.0,16817.0,14589.0,17181.0,14757.0
