date,region,death_cnt,case_cnt,day_since100
2020-03-09,NC,0.0,2,-11
2020-03-10,NC,0.0,7,-10
2020-03-11,NC,0.0,7,-9
2020-03-12,NC,0.0,12,-8
2020-03-13,NC,0.0,15,-7
2020-03-14,NC,0.0,23,-6
2020-03-15,NC,0.0,32,-5
2020-03-16,NC,0.0,33,-4
2020-03-17,NC,0.0,40,-3
2020-03-18,NC,0.0,63,-2
2020-03-19,NC,0.0,97,-1
2020-03-20,NC,0.0,137,0
2020-03-21,NC,0.0,184,1
2020-03-22,NC,0.0,255,2
2020-03-23,NC,0.0,297,3
2020-03-24,NC,0.0,398,4
2020-03-25,NC,1.0,504,5
2020-03-26,NC,2.0,636,6
2020-03-27,NC,3.0,763,7
2020-03-28,NC,4.0,935,8
2020-03-29,NC,4.0,1040,9
2020-03-30,NC,6.0,1307,10
2020-03-31,NC,8.0,1498,11
2020-04-01,NC,10.0,1584,12
2020-04-02,NC,16.0,1857,13
2020-04-03,NC,19.0,2093,14
2020-04-04,NC,24.0,2402,15
2020-04-05,NC,31.0,2585,16
2020-04-06,NC,33.0,2870,17
2020-04-07,NC,46.0,3221,18
2020-04-08,NC,53.0,3426,19
2020-04-09,NC,65.0,3651,20
2020-04-10,NC,74.0,3908,21
2020-04-11,NC,80.0,4312,22
2020-04-12,NC,81.0,4520,23
2020-04-13,NC,86.0,4816,24
2020-04-14,NC,108.0,5024,25
2020-04-15,NC,117.0,5123,26
2020-04-16,NC,131.0,5465,27
2020-04-17,NC,152.0,5859,28
2020-04-18,NC,164.0,6140,29
2020-04-19,NC,172.0,6493,30
2020-04-20,NC,179.0,6764,31
2020-04-21,NC,213.0,6951,32
2020-04-22,NC,242.0,7220,33
2020-04-23,NC,253.0,7608,34
2020-04-24,NC,269.0,8052,35
2020-04-25,NC,289.0,8623,36
2020-04-26,NC,299.0,8830,37
2020-04-27,NC,306.0,9142,38
2020-04-28,NC,342.0,9568,39
2020-04-29,NC,354.0,9948,40
2020-04-30,NC,378.0,10509,41
2020-05-01,NC,399.0,10923,42
2020-05-02,NC,420.0,11509,43
2020-05-03,NC,422.0,11664,44
2020-05-04,NC,430.0,11848,45
2020-05-05,NC,452.0,12256,46
2020-05-06,NC,477.0,12758,47
2020-05-07,NC,507.0,13397,48
2020-05-08,NC,527.0,13868,49
2020-05-09,NC,544.0,14360,50
2020-05-10,NC,547.0,14764,51
2020-05-11,NC,550.0,15045,52
2020-05-12,NC,577.0,15346,53
2020-05-13,NC,597.0,15816,54
