Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-11,0.0,7.0,,,0.0,0.0,0.0,0.0
2020-03-12,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,23.0,0.0,8.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,40.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,63.0,0.0,23.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,97.0,0.0,34.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,137.0,0.0,40.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,184.0,0.0,47.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,255.0,0.0,71.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,297.0,0.0,42.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,398.0,0.0,101.0,0.0,0.0,0.0,0.0
2020-03-25,1.0,504.0,1.0,106.0,0.0,0.0,0.0,0.0
2020-03-26,2.0,636.0,1.0,132.0,0.0,0.0,0.0,0.0
2020-03-27,3.0,763.0,1.0,127.0,0.0,0.0,0.0,0.0
2020-03-28,4.0,935.0,1.0,172.0,0.0,0.0,0.0,0.0
2020-03-29,4.0,1040.0,0.0,105.0,0.0,0.0,0.0,0.0
2020-03-30,6.0,1307.0,2.0,267.0,0.0,0.0,0.0,0.0
2020-03-31,8.0,1498.0,2.0,191.0,0.0,0.0,0.0,0.0
2020-04-01,10.0,1584.0,2.0,86.0,0.0,0.0,0.0,0.0
2020-04-02,16.0,1857.0,6.0,273.0,0.0,0.0,0.0,0.0
2020-04-03,19.0,2093.0,3.0,236.0,0.0,0.0,0.0,0.0
2020-04-04,24.0,2402.0,5.0,309.0,0.0,0.0,0.0,0.0
2020-04-05,31.0,2585.0,7.0,183.0,0.0,0.0,0.0,0.0
2020-04-06,33.0,2870.0,2.0,285.0,0.0,0.0,0.0,0.0
2020-04-07,46.0,3221.0,13.0,351.0,0.0,0.0,0.0,0.0
2020-04-08,53.0,3426.0,7.0,205.0,0.0,0.0,0.0,0.0
2020-04-09,65.0,3651.0,12.0,225.0,0.0,0.0,0.0,0.0
2020-04-10,74.0,3908.0,9.0,257.0,0.0,0.0,0.0,0.0
2020-04-11,80.0,4312.0,6.0,404.0,0.0,0.0,0.0,0.0
2020-04-12,81.0,4520.0,1.0,208.0,0.0,0.0,0.0,0.0
2020-04-13,86.0,4816.0,5.0,296.0,0.0,0.0,0.0,0.0
2020-04-14,108.0,5024.0,22.0,208.0,0.0,0.0,0.0,0.0
2020-04-15,117.0,5123.0,9.0,99.0,0.0,0.0,0.0,0.0
2020-04-16,131.0,5465.0,14.0,342.0,0.0,0.0,0.0,0.0
2020-04-17,152.0,5859.0,21.0,394.0,0.0,0.0,0.0,0.0
2020-04-18,164.0,6140.0,12.0,281.0,0.0,0.0,0.0,0.0
2020-04-19,172.0,6493.0,8.0,353.0,0.0,0.0,0.0,0.0
2020-04-20,179.0,6764.0,7.0,271.0,0.0,0.0,0.0,0.0
2020-04-21,213.0,6951.0,34.0,187.0,0.0,0.0,0.0,0.0
2020-04-22,242.0,7220.0,29.0,269.0,0.0,0.0,0.0,0.0
2020-04-23,253.0,7608.0,11.0,388.0,0.0,0.0,0.0,0.0
2020-04-24,269.0,8052.0,16.0,444.0,0.0,0.0,0.0,0.0
2020-04-25,289.0,8623.0,20.0,571.0,0.0,0.0,0.0,0.0
2020-04-26,299.0,8830.0,10.0,207.0,0.0,0.0,0.0,0.0
2020-04-27,306.0,9142.0,7.0,312.0,0.0,0.0,0.0,0.0
2020-04-28,342.0,9568.0,36.0,426.0,0.0,0.0,0.0,0.0
2020-04-29,354.0,9948.0,12.0,380.0,0.0,0.0,0.0,0.0
2020-04-30,378.0,10509.0,24.0,561.0,0.0,0.0,0.0,0.0
2020-05-01,399.0,10923.0,21.0,414.0,0.0,0.0,0.0,0.0
2020-05-02,420.0,11509.0,21.0,586.0,0.0,0.0,0.0,0.0
2020-05-03,422.0,11664.0,2.0,155.0,0.0,0.0,0.0,0.0
2020-05-04,430.0,11848.0,8.0,184.0,0.0,0.0,0.0,0.0
2020-05-05,452.0,12256.0,22.0,408.0,0.0,0.0,0.0,0.0
2020-05-06,477.0,12758.0,25.0,502.0,0.0,0.0,0.0,0.0
2020-05-07,507.0,13397.0,30.0,639.0,0.0,0.0,0.0,0.0
2020-05-08,527.0,13868.0,20.0,471.0,0.0,0.0,0.0,0.0
2020-05-09,544.0,14360.0,17.0,492.0,0.0,0.0,0.0,0.0
2020-05-10,547.0,14764.0,3.0,404.0,0.0,0.0,0.0,0.0
2020-05-11,550.0,15045.0,3.0,281.0,0.0,0.0,0.0,0.0
2020-05-12,577.0,15346.0,27.0,301.0,0.0,0.0,0.0,0.0
