Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-11,North America,US,North Carolina,14405.0,14451.0,14307.0,14776.0,14421.0,14570.0,14679.0,14568.0,14519.0,14452.0,14254.0,14277.0,14830.0,14669.0,14598.0,13994.0,14778.0,14591.0,14201.0,14380.0,14571.0,14734.0,14583.0,14860.0,14332.0,14794.0,12606.0,14446.0,14501.0,14754.0,14329.0,14714.0,14615.0,14781.0,14599.0,14704.0,14397.0,12249.0,14585.0,14615.0,14652.0,14457.0,14288.0,14647.0,14512.0,14281.0,14523.0,14626.0,14742.0,14506.0,14718.0,14666.0,14842.0,14785.0,14576.0,14642.0,14742.0,14640.0,14781.0,14122.0,14494.0,14557.0,14769.0,14645.0,14589.0,14732.0,14666.0,14654.0,14476.0,14523.0,14741.0,14724.0,14726.0,14633.0,14798.0,14423.0,12678.0,14529.0,14178.0,14379.0,13547.0,14103.0,14796.0,14637.0,14849.0,14664.0,14783.0,14500.0,14593.0,14813.0,14455.0,13721.0,14677.0,14316.0,14354.0,14758.0,14764.0,14845.0,13413.0,14627.0
2020-05-12,North America,US,North Carolina,14671.0,14730.0,14552.0,15129.0,14691.0,14869.0,15009.0,14873.0,14810.0,14729.0,14486.0,14514.0,15197.0,14996.0,14904.0,14206.0,15131.0,14895.0,14423.0,14642.0,14876.0,15075.0,14890.0,15235.0,14582.0,15151.0,12709.0,14720.0,14789.0,15101.0,14576.0,15051.0,14926.0,15134.0,14910.0,15037.0,14662.0,12319.0,14893.0,14930.0,14979.0,14735.0,14529.0,14969.0,14804.0,14521.0,14816.0,14943.0,15084.0,14795.0,15055.0,14993.0,15213.0,15140.0,14882.0,14964.0,15085.0,14962.0,15134.0,14327.0,14781.0,14857.0,15123.0,14970.0,14898.0,15073.0,14990.0,14974.0,14758.0,14816.0,15084.0,15064.0,15064.0,14949.0,15157.0,14693.0,12766.0,14823.0,14396.0,14640.0,13720.0,14305.0,15154.0,14959.0,15221.0,14991.0,15140.0,14787.0,14899.0,15175.0,14732.0,13905.0,15004.0,14561.0,14610.0,15107.0,15116.0,15215.0,13559.0,14945.0
2020-05-13,North America,US,North Carolina,14926.0,14998.0,14784.0,15476.0,14950.0,15157.0,15332.0,15169.0,15092.0,14995.0,14706.0,14740.0,15558.0,15316.0,15201.0,14407.0,15478.0,15189.0,14633.0,14894.0,15172.0,15408.0,15189.0,15606.0,14821.0,15503.0,12805.0,14984.0,15068.0,15441.0,14812.0,15380.0,15229.0,15481.0,15212.0,15362.0,14915.0,12382.0,15192.0,15237.0,15297.0,15003.0,14758.0,15284.0,15086.0,14749.0,15100.0,15252.0,15421.0,15075.0,15385.0,15312.0,15579.0,15490.0,15178.0,15277.0,15422.0,15277.0,15481.0,14519.0,15058.0,15149.0,15472.0,15287.0,15198.0,15406.0,15306.0,15287.0,15031.0,15098.0,15420.0,15397.0,15396.0,15256.0,15510.0,14953.0,12845.0,15109.0,14602.0,14892.0,13885.0,14493.0,15506.0,15274.0,15590.0,15310.0,15492.0,15063.0,15194.0,15531.0,14999.0,14079.0,15323.0,14794.0,14856.0,15451.0,15463.0,15581.0,13695.0,15256.0
2020-05-14,North America,US,North Carolina,15172.0,15256.0,15004.0,15817.0,15198.0,15436.0,15647.0,15455.0,15364.0,15252.0,14915.0,14956.0,15915.0,15629.0,15487.0,14597.0,15818.0,15474.0,14831.0,15137.0,15459.0,15735.0,15480.0,15971.0,15049.0,15848.0,12895.0,15237.0,15336.0,15774.0,15036.0,15701.0,15523.0,15823.0,15504.0,15680.0,15158.0,12440.0,15483.0,15537.0,15607.0,15260.0,14976.0,15591.0,15359.0,14964.0,15374.0,15553.0,15751.0,15345.0,15708.0,15624.0,15941.0,15835.0,15465.0,15582.0,15751.0,15583.0,15823.0,14699.0,15324.0,15431.0,15815.0,15597.0,15488.0,15732.0,15614.0,15592.0,15295.0,15372.0,15749.0,15722.0,15721.0,15554.0,15857.0,15202.0,12918.0,15387.0,14795.0,15132.0,14040.0,14669.0,15853.0,15580.0,15953.0,15622.0,15839.0,15330.0,15481.0,15882.0,15254.0,14244.0,15634.0,15015.0,15091.0,15787.0,15803.0,15942.0,13821.0,15558.0
2020-05-15,North America,US,North Carolina,15408.0,15503.0,15213.0,16152.0,15435.0,15705.0,15955.0,15735.0,15627.0,15498.0,15113.0,15160.0,16266.0,15933.0,15764.0,14776.0,16153.0,15749.0,15017.0,15368.0,15737.0,16054.0,15763.0,16332.0,15266.0,16188.0,12978.0,15480.0,15595.0,16100.0,15247.0,16013.0,15807.0,16158.0,15788.0,15989.0,15392.0,12492.0,15767.0,15827.0,15908.0,15508.0,15182.0,15890.0,15622.0,15168.0,15639.0,15845.0,16073.0,15606.0,16024.0,15927.0,16299.0,16173.0,15744.0,15880.0,16073.0,15882.0,16158.0,14868.0,15578.0,15704.0,16152.0,15898.0,15770.0,16050.0,15913.0,15889.0,15550.0,15636.0,16071.0,16040.0,16039.0,15842.0,16197.0,15442.0,12985.0,15655.0,14976.0,15362.0,14186.0,14833.0,16193.0,15878.0,16311.0,15926.0,16179.0,15587.0,15758.0,16227.0,15499.0,14399.0,15937.0,15224.0,15313.0,16117.0,16137.0,16298.0,13939.0,15852.0
2020-05-16,North America,US,North Carolina,15633.0,15739.0,15410.0,16481.0,15661.0,15965.0,16254.0,16006.0,15879.0,15733.0,15300.0,15352.0,16612.0,16229.0,16031.0,14945.0,16480.0,16014.0,15191.0,15589.0,16006.0,16365.0,16038.0,16688.0,15471.0,16522.0,13055.0,15713.0,15843.0,16418.0,15448.0,16317.0,16081.0,16487.0,16063.0,16291.0,15616.0,12540.0,16042.0,16109.0,16202.0,15746.0,15376.0,16180.0,15876.0,15363.0,15894.0,16128.0,16389.0,15856.0,16332.0,16223.0,16652.0,16505.0,16013.0,16168.0,16388.0,16172.0,16486.0,15024.0,15822.0,15968.0,16481.0,16190.0,16044.0,16360.0,16204.0,16177.0,15794.0,15890.0,16385.0,16350.0,16350.0,16120.0,16532.0,15672.0,13044.0,15914.0,15146.0,15580.0,14323.0,14986.0,16527.0,16167.0,16663.0,16222.0,16513.0,15832.0,16027.0,16566.0,15732.0,14544.0,16231.0,15422.0,15525.0,16440.0,16465.0,16649.0,14048.0,16137.0
2020-05-17,North America,US,North Carolina,15848.0,15966.0,15598.0,16802.0,15877.0,16215.0,16546.0,16268.0,16120.0,15959.0,15476.0,15534.0,16951.0,16517.0,16289.0,15105.0,16800.0,16271.0,15355.0,15799.0,16267.0,16670.0,16304.0,17038.0,15665.0,16849.0,13127.0,15936.0,16082.0,16730.0,15638.0,16613.0,16344.0,16809.0,16329.0,16585.0,15828.0,12582.0,16308.0,16382.0,16489.0,15974.0,15559.0,16462.0,16120.0,15546.0,16139.0,16403.0,16697.0,16096.0,16633.0,16510.0,16999.0,16830.0,16273.0,16449.0,16696.0,16454.0,16807.0,15168.0,16057.0,16222.0,16804.0,16473.0,16308.0,16663.0,16484.0,16455.0,16028.0,16134.0,16693.0,16653.0,16653.0,16389.0,16860.0,15892.0,13098.0,16164.0,15305.0,15788.0,14451.0,15128.0,16854.0,16447.0,17008.0,16511.0,16841.0,16067.0,16287.0,16898.0,15956.0,14680.0,16516.0,15610.0,15727.0,16756.0,16785.0,16994.0,14148.0,16414.0
2020-05-18,North America,US,North Carolina,16052.0,16183.0,15774.0,17115.0,16084.0,16454.0,16829.0,16521.0,16352.0,16175.0,15641.0,15705.0,17284.0,16797.0,16538.0,15256.0,17113.0,16518.0,15509.0,15999.0,16518.0,16966.0,16560.0,17383.0,15849.0,17168.0,13193.0,16148.0,16312.0,17034.0,15817.0,16901.0,16598.0,17124.0,16586.0,16871.0,16031.0,12621.0,16566.0,16644.0,16769.0,16193.0,15732.0,16736.0,16354.0,15719.0,16375.0,16669.0,16998.0,16327.0,16925.0,16788.0,17341.0,17147.0,16524.0,16720.0,16997.0,16727.0,17121.0,15303.0,16282.0,16467.0,17120.0,16749.0,16563.0,16958.0,16756.0,16723.0,16253.0,16368.0,16992.0,16949.0,16947.0,16650.0,17180.0,16102.0,13148.0,16403.0,15454.0,15987.0,14573.0,15260.0,17175.0,16720.0,17348.0,16790.0,17161.0,16292.0,16537.0,17225.0,16171.0,14808.0,16792.0,15787.0,15919.0,17064.0,17098.0,17333.0,14241.0,16683.0
2020-05-19,North America,US,North Carolina,16248.0,16392.0,15940.0,17421.0,16280.0,16684.0,17105.0,16765.0,16574.0,16382.0,15797.0,15867.0,17611.0,17068.0,16778.0,15398.0,17419.0,16755.0,15652.0,16190.0,16760.0,17255.0,16808.0,17722.0,16024.0,17480.0,13254.0,16350.0,16532.0,17330.0,15986.0,17182.0,16844.0,17432.0,16834.0,17149.0,16224.0,12656.0,16813.0,16898.0,17042.0,16402.0,15896.0,17001.0,16579.0,15882.0,16601.0,16927.0,17289.0,16548.0,17208.0,17058.0,17676.0,17455.0,16766.0,16984.0,17289.0,16991.0,17428.0,15429.0,16497.0,16702.0,17429.0,17017.0,16809.0,17246.0,17019.0,16982.0,16467.0,16591.0,17284.0,17237.0,17232.0,16902.0,17494.0,16300.0,13192.0,16633.0,15592.0,16176.0,14687.0,15381.0,17489.0,16985.0,17682.0,17062.0,17475.0,16508.0,16778.0,17545.0,16375.0,14928.0,17059.0,15953.0,16101.0,17365.0,17404.0,17667.0,14326.0,16943.0
2020-05-20,North America,US,North Carolina,16434.0,16591.0,16096.0,17718.0,16466.0,16903.0,17373.0,16999.0,16787.0,16578.0,15943.0,16019.0,17931.0,17331.0,17007.0,15530.0,17719.0,16981.0,15786.0,16372.0,16992.0,17535.0,17046.0,18056.0,16189.0,17784.0,13311.0,16542.0,16742.0,17619.0,16144.0,17455.0,17080.0,17733.0,17072.0,17417.0,16408.0,12688.0,17052.0,17143.0,17306.0,16601.0,16050.0,17258.0,16794.0,16035.0,16819.0,17177.0,17572.0,16761.0,17483.0,17320.0,18006.0,17756.0,16998.0,17239.0,17573.0,17248.0,17728.0,15544.0,16703.0,16927.0,17732.0,17278.0,17046.0,17526.0,17274.0,17232.0,16674.0,16806.0,17568.0,17518.0,17509.0,17145.0,17801.0,16490.0,13231.0,16854.0,15721.0,16354.0,14793.0,15492.0,17796.0,17242.0,18009.0,17325.0,17781.0,16715.0,17009.0,17857.0,16569.0,15041.0,17317.0,16108.0,16273.0,17658.0,17702.0,17993.0,14405.0,17194.0
