date,region,death_cnt,case_cnt,day_since100
2020-03-13,NJ,0.0,50,-3
2020-03-14,NJ,0.0,50,-2
2020-03-15,NJ,0.0,98,-1
2020-03-16,NJ,0.0,178,0
2020-03-17,NJ,0.0,267,1
2020-03-18,NJ,0.0,427,2
2020-03-19,NJ,9.0,742,3
2020-03-20,NJ,11.0,890,4
2020-03-21,NJ,16.0,1327,5
2020-03-22,NJ,20.0,1914,6
2020-03-23,NJ,27.0,2844,7
2020-03-24,NJ,44.0,3675,8
2020-03-25,NJ,62.0,4402,9
2020-03-26,NJ,81.0,6876,10
2020-03-27,NJ,108.0,8825,11
2020-03-28,NJ,140.0,11124,12
2020-03-29,NJ,161.0,13386,13
2020-03-30,NJ,198.0,16636,14
2020-03-31,NJ,267.0,18696,15
2020-04-01,NJ,355.0,22255,16
2020-04-02,NJ,537.0,25590,17
2020-04-03,NJ,646.0,29895,18
2020-04-04,NJ,846.0,34124,19
2020-04-05,NJ,917.0,37505,20
2020-04-06,NJ,1003.0,41090,21
2020-04-07,NJ,1232.0,44416,22
2020-04-08,NJ,1504.0,47437,23
2020-04-09,NJ,1700.0,51027,24
2020-04-10,NJ,1932.0,54588,25
2020-04-11,NJ,2183.0,58151,26
2020-04-12,NJ,2350.0,61850,27
2020-04-13,NJ,2443.0,64584,28
2020-04-14,NJ,2805.0,68824,29
2020-04-15,NJ,3156.0,71030,30
2020-04-16,NJ,3518.0,75317,31
2020-04-17,NJ,3840.0,78467,32
2020-04-18,NJ,4070.0,81420,33
2020-04-19,NJ,4202.0,85301,34
2020-04-20,NJ,4377.0,88806,35
2020-04-21,NJ,4753.0,92387,36
2020-04-22,NJ,5063.0,95865,37
2020-04-23,NJ,5368.0,99989,38
2020-04-24,NJ,5617.0,102196,39
2020-04-25,NJ,5863.0,105523,40
2020-04-26,NJ,5938.0,109038,41
2020-04-27,NJ,6044.0,111188,42
2020-04-28,NJ,6442.0,113856,43
2020-04-29,NJ,6770.0,116264,44
2020-04-30,NJ,7228.0,118652,45
2020-05-01,NJ,7538.0,121190,46
2020-05-02,NJ,7742.0,123717,47
2020-05-03,NJ,7871.0,126744,48
2020-05-04,NJ,7910.0,128269,49
2020-05-05,NJ,8244.0,130593,50
2020-05-06,NJ,8549.0,131890,51
2020-05-07,NJ,8801.0,133635,52
2020-05-08,NJ,8952.0,135454,53
2020-05-09,NJ,9116.0,137085,54
2020-05-10,NJ,9255.0,138532,55
2020-05-11,NJ,9310.0,139945,56
2020-05-12,NJ,9508.0,140743,57
2020-05-13,NJ,9702.0,141560,58
2020-05-14,NJ,9946.0,142704,59
2020-05-15,NJ,10138.0,143905,60
2020-05-16,NJ,10138.0,143905,61
