Day,death_cnt,case_cnt
2020-03-09,0.0,11.0
2020-03-10,0.0,15.0
2020-03-11,0.0,24.0
2020-03-12,0.0,30.0
2020-03-13,0.0,50.0
2020-03-14,0.0,50.0
2020-03-15,0.0,98.0
2020-03-16,2.0,178.0
2020-03-17,3.0,267.0
2020-03-18,5.0,427.0
2020-03-19,9.0,742.0
2020-03-20,11.0,890.0
2020-03-21,16.0,1327.0
2020-03-22,20.0,1914.0
2020-03-23,27.0,2844.0
2020-03-24,44.0,3675.0
2020-03-25,62.0,4402.0
2020-03-26,81.0,6876.0
2020-03-27,108.0,8825.0
2020-03-28,140.0,11124.0
2020-03-29,161.0,13386.0
2020-03-30,198.0,16636.0
2020-03-31,267.0,18696.0
2020-04-01,355.0,22255.0
2020-04-02,537.0,25590.0
2020-04-03,646.0,29895.0
2020-04-04,846.0,34124.0
2020-04-05,917.0,37505.0
2020-04-06,1003.0,41090.0
2020-04-07,1232.0,44416.0
2020-04-08,1504.0,47437.0
2020-04-09,1700.0,51027.0
2020-04-10,1932.0,54588.0
2020-04-11,2183.0,58151.0
2020-04-12,2350.0,61850.0
2020-04-13,2443.0,64584.0
2020-04-14,2805.0,68824.0
2020-04-15,3156.0,71030.0
2020-04-16,3518.0,75317.0
2020-04-17,3840.0,78467.0
2020-04-18,4070.0,81420.0
2020-04-19,4202.0,85301.0
2020-04-20,4377.0,88806.0
2020-04-21,4753.0,92387.0
2020-04-22,5063.0,95865.0
2020-04-23,5368.0,99989.0
2020-04-24,5617.0,102196.0
2020-04-25,5863.0,105523.0
2020-04-26,5938.0,109038.0
2020-04-27,6044.0,111188.0
2020-04-28,6442.0,113856.0
2020-04-29,6770.0,116264.0
2020-04-30,7228.0,118652.0
2020-05-01,7538.0,121190.0
2020-05-02,7742.0,123717.0
2020-05-03,7871.0,126744.0
2020-05-04,7910.0,128269.0
2020-05-05,8244.0,130593.0
2020-05-06,8549.0,131890.0
2020-05-07,8801.0,133635.0
2020-05-08,8952.0,135454.0
2020-05-09,9116.0,137085.0
2020-05-10,9255.0,138532.0
2020-05-11,9310.0,139945.0
2020-05-12,9508.0,140743.0
2020-05-13,9702.0,141560.0
2020-05-12,9660.424242424242,137178.68686868687
2020-05-13,9837.939393939394,138343.7676767677
2020-05-14,10009.0101010101,139435.94949494948
2020-05-15,10173.757575757576,140458.2626262626
2020-05-16,10332.111111111111,141414.45454545456
2020-05-17,10484.191919191919,142308.34343434343
2020-05-18,10630.040404040405,143143.50505050505
2020-05-19,10769.828282828283,143922.8686868687
2020-05-20,10903.535353535353,144649.15151515152
2020-05-21,11031.474747474747,145325.33333333334
2020-05-22,11153.737373737375,145954.37373737374
2020-05-23,11270.29292929293,146539.05050505052
2020-05-24,11381.535353535353,147082.33333333334
2020-05-25,11487.525252525253,147586.7676767677
2020-05-26,11588.252525252525,148054.797979798
2020-05-27,11684.20202020202,148488.78787878787
2020-05-28,11775.353535353535,148890.67676767678
2020-05-29,11861.888888888889,149262.56565656565
2020-05-30,11944.050505050505,149606.32323232322
2020-05-31,12021.90909090909,149924.32323232322
2020-06-01,12095.636363636364,150218.27272727274
2020-06-02,12165.474747474747,150489.9090909091
2020-06-03,12231.575757575758,150740.51515151514
2020-06-04,12294.040404040405,150971.60606060605
2020-06-05,12353.10101010101,151184.67676767678
2020-06-06,12408.848484848484,151380.8686868687
2020-06-07,12461.444444444445,151561.65656565657
2020-06-08,12511.080808080807,151728.14141414143
2020-06-09,12557.858585858587,151881.34343434343
2020-06-10,12601.90909090909,152022.28282828283
2020-06-11,12643.444444444445,152151.85858585857
2020-06-12,12682.525252525253,152270.9696969697
2020-06-13,12719.272727272728,152380.37373737374
2020-06-14,12753.828282828283,152480.797979798
2020-06-15,12786.323232323231,152572.9696969697
2020-06-16,12816.787878787878,152657.57575757575
2020-06-17,12845.464646464647,152735.24242424243
2020-06-18,12872.373737373737,152806.47474747474
2020-06-19,12897.60606060606,152871.797979798
2020-06-20,12921.222222222223,152931.61616161617
2020-06-21,12943.484848484848,152986.53535353535
2020-06-22,12964.262626262625,153036.72727272726
2020-06-23,12983.727272727272,153082.72727272726
2020-06-24,13001.888888888889,153124.8686868687
2020-06-25,13018.9898989899,153163.42424242425
2020-06-26,13034.979797979799,153198.75757575757
2020-06-27,13049.939393939394,153231.0303030303
2020-06-28,13063.919191919193,153260.64646464647
