Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-12,North America,US,New Jersey,140519.0,140808.0,140559.0,140393.0,140778.0,141074.0,141092.0,140821.0,141094.0,140802.0,140539.0,142110.0,140910.0,140801.0,140365.0,141506.0,140935.0,140659.0,140636.0,141149.0,140627.0,140788.0,141296.0,38298.0,140493.0,140710.0,140264.0,140468.0,140772.0,36978.0,140410.0,140559.0,140302.0,140491.0,140433.0,140655.0,140399.0,141153.0,142972.0,140375.0,140642.0,140615.0,139383.0,140777.0,140419.0,141292.0,140323.0,141178.0,140360.0,140933.0,140523.0,140950.0,141048.0,140469.0,140413.0,140367.0,138873.0,140733.0,140523.0,140392.0,142349.0,141198.0,140535.0,140798.0,140606.0,140852.0,140588.0,141016.0,140449.0,140624.0,140597.0,142159.0,140688.0,140796.0,140618.0,144917.0,140337.0,140600.0,138991.0,140385.0,140673.0,141299.0,139868.0,140532.0,140359.0,139632.0,141042.0,97020.0,141152.0,141217.0,140764.0,143627.0,140663.0,140421.0,33676.0,140520.0,140901.0,141196.0,140819.0,141040.0
2020-05-13,North America,US,New Jersey,141675.0,142019.0,141718.0,141518.0,141977.0,142348.0,142362.0,142035.0,142369.0,142022.0,141700.0,143504.0,142145.0,142016.0,141470.0,142858.0,142178.0,141858.0,141819.0,142424.0,141807.0,141999.0,142606.0,38358.0,141635.0,141907.0,141361.0,141604.0,141983.0,37123.0,141559.0,141728.0,141406.0,141639.0,141548.0,141835.0,141536.0,142435.0,144441.0,141519.0,141818.0,141795.0,140400.0,141987.0,141535.0,142556.0,141432.0,142477.0,141488.0,142168.0,141667.0,142208.0,142309.0,141608.0,141532.0,141470.0,139807.0,141932.0,141682.0,141576.0,143695.0,142481.0,141689.0,142011.0,141773.0,142081.0,141762.0,142268.0,141582.0,141791.0,141779.0,143533.0,141894.0,142006.0,141793.0,146527.0,141449.0,141760.0,139940.0,141518.0,141861.0,142609.0,140928.0,141680.0,141461.0,140649.0,142296.0,98208.0,142435.0,142506.0,141962.0,145147.0,141850.0,141543.0,33745.0,141672.0,142139.0,142479.0,142040.0,142296.0
2020-05-14,North America,US,New Jersey,142755.0,143159.0,142797.0,142567.0,143105.0,143552.0,143555.0,143170.0,143576.0,143162.0,142788.0,144826.0,143301.0,143160.0,142499.0,144134.0,143351.0,142980.0,142924.0,143628.0,142913.0,143128.0,143849.0,38411.0,142700.0,143032.0,142381.0,142664.0,143121.0,37257.0,142633.0,142822.0,142436.0,142704.0,142591.0,142944.0,142592.0,143648.0,145834.0,142578.0,142924.0,142900.0,141344.0,143116.0,142576.0,143744.0,142454.0,143700.0,142533.0,143326.0,142737.0,143394.0,143499.0,142674.0,142568.0,142496.0,140665.0,143053.0,142765.0,142684.0,144965.0,143693.0,142771.0,143154.0,142868.0,143240.0,142861.0,143451.0,142642.0,142883.0,142886.0,144830.0,143030.0,143146.0,142896.0,148061.0,142476.0,142848.0,140814.0,142569.0,142977.0,143842.0,141909.0,142754.0,142483.0,141594.0,143477.0,99342.0,143644.0,143725.0,143089.0,146587.0,142965.0,142581.0,33807.0,142740.0,143298.0,143691.0,143191.0,143481.0
2020-05-15,North America,US,New Jersey,143757.0,144233.0,143805.0,143537.0,144165.0,144685.0,144673.0,144236.0,144718.0,144232.0,143809.0,146072.0,144387.0,144236.0,143448.0,145340.0,144453.0,144026.0,143950.0,144765.0,143942.0,144186.0,145028.0,38458.0,143696.0,144084.0,143325.0,143654.0,144184.0,37381.0,143624.0,143838.0,143395.0,143691.0,143565.0,143982.0,143570.0,144795.0,147154.0,143564.0,143963.0,143927.0,142219.0,144172.0,143549.0,144854.0,143399.0,144852.0,143503.0,144413.0,143739.0,144504.0,144625.0,143671.0,143524.0,143451.0,141453.0,144105.0,143766.0,143719.0,146163.0,144837.0,143782.0,144229.0,143894.0,144329.0,143884.0,144567.0,143633.0,143907.0,143914.0,146058.0,144092.0,144217.0,143927.0,149520.0,143425.0,143868.0,141617.0,143544.0,144021.0,145006.0,142816.0,143759.0,143435.0,142469.0,144590.0,100418.0,144781.0,144879.0,144149.0,147949.0,144008.0,143542.0,33864.0,143735.0,144382.0,144836.0,144271.0,144601.0
2020-05-16,North America,US,New Jersey,144685.0,145241.0,144748.0,144432.0,145161.0,145745.0,145723.0,145237.0,145799.0,145240.0,144768.0,147244.0,145409.0,145241.0,144320.0,146482.0,145482.0,145007.0,144908.0,145840.0,144897.0,145179.0,146144.0,38500.0,144625.0,145061.0,144193.0,144579.0,145173.0,37495.0,144548.0,144782.0,144284.0,144612.0,144469.0,144951.0,144480.0,145879.0,148396.0,144487.0,144933.0,144882.0,143026.0,145162.0,144455.0,145896.0,144276.0,145940.0,144406.0,145435.0,144674.0,145547.0,145688.0,144597.0,144413.0,144339.0,142178.0,145094.0,144698.0,144689.0,147291.0,145919.0,144723.0,145233.0,144853.0,145346.0,144834.0,145619.0,144555.0,144866.0,144874.0,147221.0,145083.0,145220.0,144884.0,150902.0,144306.0,144824.0,142355.0,144451.0,144992.0,146106.0,143657.0,144696.0,144320.0,143268.0,145640.0,101439.0,145848.0,145970.0,145144.0,149231.0,144978.0,144434.0,33915.0,144663.0,145400.0,145918.0,145279.0,145656.0
2020-05-17,North America,US,New Jersey,145549.0,146180.0,145628.0,145265.0,146094.0,146741.0,146712.0,146178.0,146819.0,146189.0,145662.0,148350.0,146371.0,146178.0,145126.0,147567.0,146445.0,145927.0,145803.0,146853.0,145789.0,146110.0,147198.0,38537.0,145492.0,145973.0,144995.0,145440.0,146098.0,37600.0,145413.0,145662.0,145101.0,145470.0,145300.0,145851.0,145327.0,146899.0,149564.0,145351.0,145834.0,145774.0,143770.0,146091.0,145289.0,146875.0,145091.0,146970.0,145247.0,146396.0,145540.0,146529.0,146690.0,145451.0,145240.0,145162.0,142844.0,146023.0,145568.0,145599.0,148351.0,146941.0,145593.0,146169.0,145743.0,146297.0,145719.0,146605.0,145407.0,145762.0,145774.0,148323.0,146012.0,146155.0,145773.0,152213.0,145124.0,145712.0,143030.0,145296.0,145895.0,147146.0,144435.0,145565.0,145140.0,144001.0,146629.0,102412.0,146851.0,147001.0,146074.0,150434.0,145880.0,145265.0,33960.0,145529.0,146357.0,146941.0,146222.0,146648.0
2020-05-18,North America,US,New Jersey,146355.0,147054.0,146449.0,146040.0,146964.0,147678.0,147642.0,147059.0,147776.0,147081.0,146489.0,149397.0,147275.0,147054.0,145874.0,148596.0,147347.0,146790.0,146642.0,147808.0,146623.0,146984.0,148189.0,38571.0,146297.0,146824.0,145738.0,146239.0,146965.0,37697.0,146222.0,146482.0,145855.0,146269.0,146067.0,146688.0,146115.0,147854.0,150666.0,146153.0,146673.0,146606.0,144455.0,146961.0,146056.0,147794.0,145845.0,147943.0,146028.0,147298.0,146340.0,147456.0,147631.0,146242.0,146007.0,145917.0,143453.0,146893.0,146381.0,146454.0,149348.0,147904.0,146400.0,147044.0,146569.0,147188.0,146545.0,147525.0,146194.0,146595.0,146617.0,149368.0,146884.0,147024.0,146602.0,153459.0,145882.0,146534.0,143649.0,146081.0,146739.0,148129.0,145152.0,146370.0,145894.0,144677.0,147559.0,103344.0,147796.0,147972.0,146937.0,151565.0,146721.0,146035.0,34002.0,146336.0,147257.0,147904.0,147105.0,147578.0
2020-05-19,North America,US,New Jersey,147105.0,147872.0,147210.0,146758.0,147771.0,148561.0,148516.0,147883.0,148673.0,147913.0,147260.0,150387.0,148122.0,147876.0,146564.0,149570.0,148195.0,147596.0,147424.0,148702.0,147402.0,147800.0,149120.0,38600.0,147039.0,147620.0,146425.0,146976.0,147775.0,37786.0,146973.0,147246.0,146551.0,147010.0,146779.0,147470.0,146847.0,148750.0,151707.0,146894.0,147456.0,147383.0,145087.0,147776.0,146765.0,148654.0,146539.0,148863.0,146751.0,148144.0,147083.0,148328.0,148510.0,146976.0,146712.0,146612.0,144007.0,147700.0,147138.0,147255.0,150284.0,148810.0,147151.0,147863.0,147337.0,148026.0,147316.0,148386.0,146923.0,147365.0,147405.0,150356.0,147703.0,147836.0,147376.0,154643.0,146581.0,147299.0,144215.0,146809.0,147528.0,149056.0,145813.0,147117.0,146585.0,145300.0,148429.0,104229.0,148685.0,148882.0,147741.0,152631.0,147506.0,146744.0,34039.0,147083.0,148101.0,148810.0,147934.0,148446.0
2020-05-20,North America,US,New Jersey,147802.0,148638.0,147912.0,147417.0,148524.0,149393.0,149338.0,148647.0,149515.0,148686.0,147980.0,151321.0,148911.0,148645.0,147198.0,150490.0,148990.0,148345.0,148151.0,149538.0,148128.0,148560.0,149996.0,38626.0,147725.0,148365.0,147057.0,147657.0,148534.0,37867.0,147665.0,147958.0,147196.0,147692.0,147439.0,148198.0,147523.0,149592.0,152689.0,147582.0,148188.0,148107.0,145669.0,148534.0,147423.0,149453.0,147175.0,149729.0,147417.0,148934.0,147774.0,149147.0,149334.0,147658.0,147357.0,147253.0,144512.0,148450.0,147836.0,148006.0,151163.0,149657.0,147850.0,148631.0,148052.0,148812.0,148034.0,149193.0,147601.0,148080.0,148135.0,151290.0,148469.0,148595.0,148098.0,155769.0,147221.0,148011.0,144731.0,147481.0,148265.0,149931.0,146422.0,147813.0,147223.0,145871.0,149241.0,105066.0,149523.0,149734.0,148493.0,153631.0,148239.0,147393.0,34072.0,147770.0,148891.0,149657.0,148712.0,149258.0
2020-05-21,North America,US,New Jersey,148445.0,149355.0,148562.0,148025.0,149227.0,150175.0,150108.0,149358.0,150308.0,149407.0,148651.0,152198.0,149645.0,149365.0,147777.0,151353.0,149736.0,149042.0,148822.0,150321.0,148800.0,149264.0,150822.0,38649.0,148361.0,149058.0,147636.0,148287.0,149242.0,37942.0,148307.0,148619.0,147791.0,148322.0,148049.0,148878.0,148145.0,150383.0,153612.0,148223.0,148870.0,148779.0,146203.0,149236.0,148032.0,150199.0,147759.0,150541.0,148029.0,149668.0,148417.0,149912.0,150108.0,148292.0,147952.0,147846.0,144973.0,149150.0,148481.0,148705.0,151988.0,150450.0,148500.0,149350.0,148718.0,149548.0,148701.0,149951.0,148229.0,148745.0,148810.0,152171.0,149180.0,149305.0,148770.0,156838.0,147810.0,148674.0,145203.0,148099.0,148952.0,150752.0,146982.0,148459.0,147812.0,146389.0,149999.0,105857.0,150310.0,150535.0,149195.0,154568.0,148922.0,147992.0,34101.0,148407.0,149626.0,150449.0,149439.0,150020.0
2020-05-22,North America,US,New Jersey,149036.0,150024.0,149165.0,148587.0,149883.0,150907.0,150828.0,150021.0,151056.0,150083.0,149276.0,153018.0,150331.0,150037.0,148309.0,152167.0,150434.0,149693.0,149443.0,151056.0,149420.0,149919.0,151601.0,38669.0,148950.0,149703.0,148165.0,148871.0,149900.0,38011.0,148904.0,149228.0,148339.0,148904.0,148605.0,149508.0,148717.0,151129.0,154474.0,148819.0,149503.0,149400.0,146692.0,149888.0,148593.0,150897.0,148298.0,151301.0,148594.0,150351.0,149011.0,150626.0,150835.0,148878.0,148502.0,148392.0,145395.0,149805.0,149078.0,149354.0,152760.0,151193.0,149101.0,150020.0,149338.0,150233.0,149316.0,150662.0,148810.0,149363.0,149439.0,152998.0,149842.0,149968.0,149391.0,157853.0,148352.0,149290.0,145633.0,148668.0,149587.0,151519.0,147496.0,149058.0,148355.0,146863.0,150708.0,106607.0,151050.0,151287.0,149851.0,155444.0,149557.0,148546.0,34128.0,148997.0,150309.0,151193.0,150115.0,150734.0
2020-05-23,North America,US,New Jersey,149583.0,150647.0,149724.0,149107.0,150496.0,151591.0,151498.0,150640.0,151759.0,150715.0,149852.0,153791.0,150972.0,150659.0,148798.0,152936.0,151083.0,150301.0,150021.0,151745.0,149994.0,150529.0,152336.0,38687.0,149496.0,150298.0,148651.0,149412.0,150507.0,38074.0,149459.0,149789.0,148839.0,149443.0,149118.0,150092.0,149246.0,151830.0,155282.0,149368.0,150087.0,149972.0,147139.0,150496.0,149105.0,151551.0,148794.0,152014.0,149116.0,150988.0,149557.0,151295.0,151519.0,149414.0,149009.0,148892.0,145779.0,150416.0,149634.0,149958.0,153482.0,151891.0,149654.0,150640.0,149911.0,150869.0,149884.0,151328.0,149344.0,149938.0,150026.0,153775.0,150460.0,150586.0,149963.0,158816.0,148851.0,149859.0,146023.0,149194.0,150173.0,152238.0,147967.0,149607.0,148853.0,147298.0,151373.0,107323.0,151742.0,151994.0,150461.0,156264.0,150143.0,149057.0,34152.0,149544.0,150947.0,151891.0,150742.0,151405.0
2020-05-24,North America,US,New Jersey,150089.0,151224.0,150243.0,149584.0,151066.0,152227.0,152122.0,151218.0,152421.0,151306.0,150386.0,154519.0,151572.0,151236.0,149246.0,153663.0,151685.0,150868.0,150559.0,152393.0,150528.0,151098.0,153029.0,38703.0,150001.0,150848.0,149097.0,149912.0,151072.0,38131.0,149972.0,150308.0,149296.0,149942.0,149590.0,150630.0,149734.0,152488.0,156042.0,149874.0,150629.0,150503.0,147548.0,151063.0,149575.0,152162.0,149248.0,152685.0,149598.0,151583.0,150059.0,151923.0,152160.0,149907.0,149473.0,149348.0,146126.0,150985.0,150148.0,150521.0,154157.0,152546.0,150163.0,151216.0,150439.0,151462.0,150409.0,151951.0,149833.0,150471.0,150572.0,154506.0,151038.0,151159.0,150493.0,159726.0,149310.0,150383.0,146377.0,149680.0,150718.0,152914.0,148400.0,150114.0,149306.0,147695.0,151996.0,107999.0,152387.0,152660.0,151026.0,157031.0,150684.0,149525.0,34173.0,150051.0,151542.0,152547.0,151326.0,152033.0
