Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,North America,US,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,North America,US,New York,1159.0,5134.0,2469.0,3796.0,7062.0,2069.0,1796.0,13999.0,1385.0,1606.0,6545.0,12596.0,1659.0,1407.0,7058.0,9.0,5484.0,3761.0,4501.0,7174.0,129.0,2693.0,5883.0,1392.0,1.0,8902.0,2197.0,3704.0,0.0,4037.0,4280.0,2.0,0.0,1744.0,2194.0,5277.0,5.0,1.0,3197.0,7387.0,5322.0,7498.0,7541.0,4303.0,4802.0,13.0,6467.0,1198.0,4189.0,430.0,1407.0,7115.0,16.0,4881.0,6670.0,18.0,1919.0,1793.0,768.0,7468.0,3038.0,6392.0,2444.0,2471.0,1144.0,2987.0,4457.0,9639.0,4891.0,9889.0,1232.0,5045.0,1309.0,5605.0,1341.0,1140.0,11.0,6456.0,6962.0,8864.0,3573.0,1.0,6753.0,10816.0,7542.0,6.0,2664.0,0.0,7802.0,2156.0,8134.0,275.0,3425.0,1756.0,4128.0,2688.0,68.0,2170.0,4.0,8735.0
2020-05-17,North America,US,New York,1054.0,4950.0,2321.0,3621.0,6893.0,1941.0,1676.0,14023.0,1282.0,1494.0,6366.0,12564.0,1547.0,1302.0,6889.0,8.0,5300.0,3588.0,4329.0,7002.0,120.0,2544.0,5700.0,1291.0,0.0,8759.0,2058.0,3537.0,0.0,3861.0,4083.0,2.0,1.0,1632.0,2056.0,5098.0,4.0,1.0,3035.0,7228.0,5139.0,7331.0,7373.0,4123.0,4625.0,12.0,6288.0,1097.0,4014.0,394.0,1304.0,6940.0,15.0,4698.0,6491.0,17.0,1790.0,1670.0,680.0,7299.0,2887.0,6213.0,2299.0,2327.0,1043.0,2836.0,4275.0,9516.0,4707.0,9769.0,1131.0,4863.0,1207.0,5433.0,1273.0,1040.0,10.0,6280.0,6791.0,8720.0,3409.0,1.0,6580.0,10724.0,7374.0,4.0,2513.0,0.0,7639.0,2022.0,7975.0,259.0,3241.0,1636.0,3956.0,2538.0,65.0,2035.0,2.0,8589.0
2020-05-18,North America,US,New York,961.0,4768.0,2183.0,3452.0,6722.0,1818.0,1562.0,14037.0,1186.0,1387.0,6187.0,12522.0,1445.0,1205.0,6716.0,7.0,5119.0,3420.0,4161.0,6828.0,113.0,2402.0,5519.0,1192.0,0.0,8612.0,1927.0,3377.0,0.0,3690.0,3889.0,2.0,0.0,1523.0,1925.0,4922.0,4.0,1.0,2881.0,7067.0,4959.0,7160.0,7204.0,3949.0,4453.0,11.0,6108.0,1005.0,3846.0,362.0,1206.0,6765.0,13.0,4518.0,6315.0,15.0,1668.0,1554.0,603.0,7128.0,2744.0,6035.0,2161.0,2188.0,945.0,2691.0,4099.0,9386.0,4528.0,9645.0,1036.0,4683.0,1106.0,5264.0,1208.0,950.0,9.0,6102.0,6619.0,8573.0,3251.0,0.0,6405.0,10624.0,7205.0,5.0,2368.0,0.0,7474.0,1894.0,7815.0,245.0,3067.0,1526.0,3787.0,2396.0,60.0,1904.0,3.0,8438.0
2020-05-19,North America,US,New York,875.0,4591.0,2050.0,3289.0,6552.0,1699.0,1454.0,14041.0,1093.0,1288.0,6009.0,12471.0,1352.0,1117.0,6545.0,7.0,4939.0,3257.0,4001.0,6653.0,105.0,2266.0,5340.0,1097.0,0.0,8460.0,1802.0,3223.0,0.0,3523.0,3706.0,2.0,0.0,1418.0,1802.0,4748.0,4.0,1.0,2731.0,6904.0,4782.0,6990.0,7033.0,3777.0,4283.0,11.0,5929.0,922.0,3682.0,331.0,1112.0,6590.0,13.0,4342.0,6138.0,14.0,1556.0,1448.0,539.0,6957.0,2606.0,5860.0,2029.0,2055.0,857.0,2551.0,3927.0,9252.0,4352.0,9515.0,949.0,4508.0,1015.0,5094.0,1145.0,868.0,8.0,5928.0,6448.0,8421.0,3097.0,1.0,6232.0,10519.0,7034.0,4.0,2229.0,0.0,7306.0,1772.0,7651.0,230.0,2898.0,1421.0,3625.0,2258.0,57.0,1780.0,2.0,8285.0
2020-05-20,North America,US,New York,798.0,4416.0,1925.0,3131.0,6382.0,1587.0,1350.0,14035.0,1006.0,1191.0,5833.0,12414.0,1266.0,1033.0,6374.0,6.0,4764.0,3099.0,3842.0,6479.0,98.0,2133.0,5163.0,1010.0,1.0,8305.0,1685.0,3073.0,0.0,3362.0,3529.0,2.0,0.0,1321.0,1683.0,4578.0,3.0,0.0,2589.0,6744.0,4606.0,6816.0,6860.0,3611.0,4116.0,9.0,5752.0,845.0,3523.0,299.0,1023.0,6416.0,11.0,4169.0,5962.0,13.0,1451.0,1346.0,479.0,6784.0,2472.0,5684.0,1903.0,1930.0,779.0,2418.0,3758.0,9112.0,4180.0,9380.0,869.0,4334.0,934.0,4928.0,1084.0,790.0,8.0,5754.0,6275.0,8266.0,2949.0,0.0,6060.0,10407.0,6862.0,3.0,2099.0,0.0,7138.0,1657.0,7485.0,217.0,2735.0,1324.0,3466.0,2128.0,53.0,1666.0,3.0,8127.0
2020-05-21,North America,US,New York,725.0,4244.0,1804.0,2978.0,6214.0,1483.0,1251.0,14021.0,923.0,1099.0,5658.0,12347.0,1183.0,956.0,6203.0,6.0,4591.0,2948.0,3689.0,6303.0,91.0,2008.0,4989.0,933.0,0.0,8149.0,1574.0,2929.0,0.0,3207.0,3357.0,1.0,0.0,1233.0,1572.0,4411.0,3.0,1.0,2452.0,6584.0,4435.0,6644.0,6689.0,3448.0,3955.0,8.0,5577.0,771.0,3367.0,273.0,937.0,6241.0,11.0,3999.0,5788.0,12.0,1353.0,1250.0,423.0,6610.0,2342.0,5512.0,1783.0,1811.0,709.0,2289.0,3594.0,8970.0,4012.0,9240.0,793.0,4164.0,861.0,4763.0,1023.0,714.0,7.0,5581.0,6105.0,8109.0,2807.0,1.0,5888.0,10289.0,6689.0,3.0,1972.0,0.0,6968.0,1551.0,7319.0,205.0,2576.0,1231.0,3313.0,2002.0,50.0,1557.0,2.0,7968.0
2020-05-22,North America,US,New York,657.0,4077.0,1690.0,2831.0,6045.0,1386.0,1161.0,13998.0,850.0,1016.0,5484.0,12273.0,1105.0,881.0,6034.0,5.0,4421.0,2801.0,3536.0,6130.0,85.0,1890.0,4816.0,861.0,0.0,7989.0,1469.0,2789.0,0.0,3056.0,3186.0,1.0,1.0,1152.0,1467.0,4248.0,3.0,0.0,2319.0,6422.0,4267.0,6472.0,6516.0,3293.0,3797.0,8.0,5404.0,701.0,3215.0,249.0,862.0,6067.0,10.0,3835.0,5613.0,12.0,1261.0,1158.0,373.0,6439.0,2219.0,5340.0,1669.0,1700.0,644.0,2168.0,3435.0,8824.0,3846.0,9097.0,725.0,4000.0,794.0,4601.0,966.0,645.0,6.0,5411.0,5936.0,7951.0,2669.0,0.0,5718.0,10167.0,6517.0,3.0,1853.0,0.0,6798.0,1451.0,7150.0,193.0,2427.0,1141.0,3164.0,1884.0,47.0,1456.0,1.0,7807.0
2020-05-23,North America,US,New York,594.0,3914.0,1582.0,2688.0,5876.0,1294.0,1076.0,13965.0,782.0,938.0,5313.0,12192.0,1028.0,810.0,5865.0,5.0,4254.0,2661.0,3388.0,5957.0,78.0,1778.0,4646.0,796.0,0.0,7828.0,1370.0,2654.0,0.0,2910.0,3022.0,1.0,0.0,1076.0,1369.0,4088.0,2.0,1.0,2193.0,6261.0,4104.0,6300.0,6346.0,3141.0,3644.0,7.0,5232.0,636.0,3069.0,227.0,792.0,5893.0,9.0,3676.0,5441.0,10.0,1171.0,1071.0,331.0,6267.0,2103.0,5171.0,1563.0,1593.0,583.0,2050.0,3281.0,8675.0,3687.0,8951.0,661.0,3839.0,729.0,4443.0,914.0,584.0,6.0,5242.0,5767.0,7792.0,2536.0,0.0,5548.0,10039.0,6345.0,3.0,1739.0,0.0,6629.0,1356.0,6983.0,181.0,2287.0,1055.0,3021.0,1771.0,43.0,1360.0,2.0,7644.0
2020-05-24,North America,US,New York,538.0,3755.0,1481.0,2552.0,5708.0,1209.0,999.0,13924.0,720.0,867.0,5143.0,12105.0,954.0,742.0,5695.0,5.0,4091.0,2525.0,3246.0,5786.0,73.0,1670.0,4480.0,735.0,0.0,7667.0,1277.0,2524.0,0.0,2770.0,2865.0,1.0,0.0,1003.0,1275.0,3930.0,2.0,0.0,2073.0,6097.0,3943.0,6129.0,6174.0,2995.0,3495.0,7.0,5062.0,579.0,2928.0,205.0,729.0,5722.0,9.0,3520.0,5271.0,10.0,1087.0,990.0,293.0,6096.0,1990.0,5003.0,1462.0,1492.0,525.0,1939.0,3133.0,8524.0,3531.0,8801.0,603.0,3683.0,668.0,4289.0,864.0,530.0,5.0,5075.0,5599.0,7630.0,2409.0,1.0,5381.0,9909.0,6174.0,2.0,1631.0,0.0,6460.0,1267.0,6814.0,171.0,2151.0,978.0,2880.0,1664.0,41.0,1268.0,2.0,7481.0
