Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-12,North America,US,New York,338485.0,374406.0,378478.0,337433.0,336114.0,337990.0,336147.0,76035.0,354434.0,338854.0,335591.0,242422.0,340190.0,366878.0,350936.0,210786.0,343394.0,336478.0,339484.0,256970.0,369068.0,339842.0,241183.0,338465.0,342810.0,355243.0,343014.0,361127.0,339063.0,336139.0,338235.0,335491.0,340855.0,336666.0,338312.0,344848.0,336831.0,336515.0,340071.0,365328.0,338651.0,362575.0,346684.0,366288.0,336037.0,335748.0,340101.0,336203.0,15117.0,18164.0,336598.0,336258.0,161512.0,134516.0,341426.0,359892.0,337527.0,34957.0,337558.0,120092.0,338375.0,336952.0,335818.0,343989.0,338867.0,335132.0,342986.0,90254.0,353227.0,336785.0,364639.0,335952.0,338680.0,366505.0,338544.0,342480.0,109803.0,336656.0,351214.0,210674.0,354806.0,338626.0,337275.0,212238.0,352192.0,246574.0,339157.0,342743.0,337454.0,337908.0,350230.0,337240.0,319807.0,86885.0,336372.0,339358.0,210955.0,336940.0,336693.0,336519.0
2020-05-13,North America,US,New York,340254.0,379638.0,384272.0,339080.0,337591.0,339582.0,337649.0,76573.0,357552.0,340561.0,336954.0,245538.0,342025.0,372420.0,353753.0,212084.0,345588.0,338019.0,341367.0,259160.0,373648.0,341769.0,243817.0,340194.0,344964.0,358310.0,345180.0,364808.0,340724.0,337615.0,339991.0,337044.0,342830.0,338225.0,340073.0,347059.0,338416.0,338050.0,341938.0,369621.0,340447.0,366453.0,348968.0,370497.0,337516.0,337176.0,342070.0,337683.0,15128.0,18182.0,338110.0,337758.0,163530.0,135405.0,343446.0,365326.0,339213.0,35021.0,339243.0,121157.0,340138.0,338545.0,337228.0,346196.0,340657.0,336456.0,345115.0,91084.0,356046.0,338354.0,368660.0,337403.0,340461.0,370910.0,340329.0,344610.0,110579.0,338369.0,354022.0,212834.0,358369.0,340413.0,338929.0,212955.0,355132.0,249205.0,340978.0,344823.0,339041.0,339633.0,352856.0,338858.0,325939.0,87499.0,337888.0,341245.0,214993.0,338543.0,338246.0,338065.0
2020-05-14,North America,US,New York,341902.0,384648.0,389840.0,340599.0,338938.0,341047.0,339025.0,77081.0,360505.0,342140.0,338187.0,248516.0,343718.0,377745.0,356387.0,213290.0,347651.0,339441.0,343126.0,261216.0,378013.0,343573.0,246316.0,341797.0,346990.0,361198.0,347217.0,368295.0,342253.0,338968.0,341624.0,338480.0,344677.0,339666.0,341706.0,349125.0,339881.0,339453.0,343670.0,373735.0,342120.0,370140.0,351096.0,374495.0,338870.0,338483.0,343915.0,339038.0,15138.0,18199.0,339489.0,339128.0,165466.0,136235.0,345339.0,370549.0,340780.0,35080.0,340801.0,122163.0,341766.0,340018.0,338514.0,348270.0,342322.0,337661.0,347105.0,91871.0,358682.0,339796.0,372475.0,338732.0,342118.0,375129.0,341991.0,346611.0,111311.0,339953.0,356664.0,214884.0,361730.0,342074.0,340461.0,213603.0,357914.0,251700.0,342672.0,346769.0,340498.0,341238.0,355319.0,340349.0,331911.0,88074.0,339284.0,342997.0,218938.0,340024.0,339676.0,339486.0
2020-05-15,North America,US,New York,343432.0,389444.0,395188.0,342000.0,340165.0,342392.0,340290.0,77561.0,363301.0,343600.0,339299.0,251362.0,345281.0,382859.0,358851.0,214410.0,349586.0,340754.0,344769.0,263140.0,382174.0,345260.0,248687.0,343283.0,348893.0,363915.0,349130.0,371597.0,343657.0,340212.0,343142.0,339800.0,346403.0,340996.0,343212.0,351056.0,341230.0,340739.0,345280.0,377671.0,343679.0,373640.0,353081.0,378285.0,340102.0,339674.0,345637.0,340271.0,15147.0,18214.0,340753.0,340378.0,167321.0,137009.0,347111.0,375564.0,342232.0,35133.0,342234.0,123113.0,343270.0,341377.0,339690.0,350217.0,343872.0,338756.0,348966.0,92621.0,361149.0,341124.0,376087.0,339951.0,343659.0,379163.0,343537.0,348491.0,111998.0,341423.0,359151.0,216827.0,364898.0,343620.0,341875.0,214191.0,360545.0,254067.0,344248.0,348590.0,341838.0,342729.0,357628.0,341714.0,337720.0,88614.0,340563.0,344626.0,222788.0,341385.0,340993.0,340784.0
2020-05-16,North America,US,New York,344847.0,394030.0,400323.0,343295.0,341286.0,343626.0,341453.0,78012.0,365945.0,344948.0,340308.0,254079.0,346727.0,387762.0,361165.0,215443.0,351394.0,341960.0,346297.0,264940.0,386138.0,346836.0,250937.0,344659.0,350679.0,366465.0,350923.0,374721.0,344944.0,341352.0,344545.0,341005.0,348017.0,342220.0,344605.0,352856.0,342466.0,341918.0,346778.0,381435.0,345131.0,376959.0,354929.0,381874.0,341228.0,340752.0,347238.0,341396.0,15156.0,18227.0,341913.0,341523.0,169094.0,137731.0,348768.0,380375.0,343572.0,35182.0,343557.0,124011.0,344666.0,342627.0,340765.0,352038.0,345312.0,339746.0,350706.0,93334.0,363455.0,342348.0,379501.0,341070.0,345091.0,383003.0,344970.0,350254.0,112640.0,342789.0,361494.0,218666.0,367877.0,345058.0,343173.0,214722.0,363026.0,256308.0,345715.0,350294.0,343071.0,344108.0,359786.0,342971.0,343363.0,89123.0,341728.0,346144.0,226541.0,342631.0,342207.0,341973.0
2020-05-17,North America,US,New York,346151.0,398410.0,405250.0,344490.0,342310.0,344756.0,342523.0,78436.0,368441.0,346190.0,341223.0,256673.0,348067.0,392455.0,363343.0,216394.0,353082.0,343062.0,347714.0,266626.0,389911.0,348306.0,253067.0,345931.0,352347.0,368856.0,352596.0,377673.0,346125.0,342395.0,345837.0,342111.0,349521.0,343340.0,345896.0,354532.0,343597.0,343001.0,348172.0,385032.0,346478.0,380107.0,356645.0,385272.0,342259.0,341734.0,348727.0,342427.0,15163.0,18239.0,342977.0,342571.0,170791.0,138407.0,350314.0,384980.0,344805.0,35226.0,344780.0,124864.0,345960.0,343771.0,341743.0,353737.0,346648.0,340637.0,352326.0,94012.0,365608.0,343475.0,382729.0,342091.0,346420.0,386643.0,346291.0,351902.0,113240.0,344060.0,363700.0,220402.0,370671.0,346396.0,344369.0,215200.0,365364.0,258426.0,347079.0,351887.0,344203.0,345378.0,361802.0,344129.0,348835.0,89604.0,342792.0,347559.0,230195.0,343776.0,343323.0,343064.0
2020-05-18,North America,US,New York,347355.0,402584.0,409969.0,345594.0,343246.0,345791.0,343502.0,78835.0,370794.0,347334.0,342052.0,259145.0,349308.0,396941.0,365393.0,217274.0,354661.0,344069.0,349026.0,268203.0,393496.0,349670.0,255079.0,347101.0,353903.0,371099.0,354157.0,380456.0,347206.0,343342.0,347033.0,343127.0,350919.0,344363.0,347094.0,356093.0,344636.0,343995.0,349464.0,388469.0,347723.0,383089.0,358230.0,388487.0,343204.0,342629.0,350116.0,343370.0,15170.0,18250.0,343949.0,343531.0,172414.0,139035.0,351751.0,389382.0,345942.0,35266.0,345912.0,125672.0,347162.0,344818.0,342624.0,355323.0,347883.0,341440.0,353825.0,94655.0,367612.0,344510.0,385779.0,343017.0,347648.0,390100.0,347513.0,353437.0,113803.0,345240.0,365775.0,222040.0,373292.0,347636.0,345472.0,215630.0,367568.0,260423.0,348346.0,353373.0,345239.0,346550.0,363687.0,345198.0,354138.0,90056.0,343766.0,348877.0,233748.0,344830.0,344346.0,344067.0
2020-05-19,North America,US,New York,348470.0,406561.0,414480.0,346609.0,344100.0,346738.0,344392.0,79211.0,373013.0,348387.0,342795.0,261495.0,350453.0,401229.0,367319.0,218088.0,356140.0,344993.0,350244.0,269674.0,396897.0,350934.0,256978.0,348174.0,355355.0,373202.0,355615.0,383081.0,348197.0,344203.0,348140.0,344062.0,352213.0,345301.0,348204.0,357546.0,345591.0,344905.0,350656.0,391749.0,348872.0,385913.0,359699.0,391525.0,344067.0,343444.0,351411.0,344231.0,15176.0,18260.0,344830.0,344409.0,173964.0,139619.0,353085.0,393591.0,346991.0,35302.0,346958.0,126431.0,348275.0,345778.0,343422.0,356805.0,349020.0,342164.0,355212.0,95263.0,369478.0,345457.0,388657.0,343857.0,348779.0,393391.0,348644.0,354868.0,114331.0,346333.0,367724.0,223587.0,375751.0,348782.0,346490.0,216016.0,369647.0,262309.0,349518.0,354756.0,346180.0,347633.0,365447.0,346181.0,359275.0,90477.0,344658.0,350105.0,237204.0,345800.0,345277.0,344987.0
2020-05-20,North America,US,New York,349502.0,410348.0,418791.0,347541.0,344876.0,347604.0,345202.0,79563.0,375104.0,349357.0,343461.0,263730.0,351504.0,405324.0,369119.0,218839.0,357525.0,345841.0,351377.0,271043.0,400123.0,352109.0,258772.0,349160.0,356712.0,375171.0,356980.0,385554.0,349100.0,344987.0,349165.0,344923.0,353412.0,346162.0,349232.0,358897.0,346470.0,345732.0,351753.0,394879.0,349934.0,388582.0,361062.0,394388.0,344850.0,344185.0,352620.0,345009.0,15181.0,18268.0,345630.0,345206.0,175442.0,140161.0,354326.0,397611.0,347961.0,35334.0,347924.0,127144.0,349302.0,346661.0,344148.0,358192.0,350069.0,342818.0,356499.0,95839.0,371214.0,346320.0,391367.0,344623.0,349822.0,396524.0,349693.0,356206.0,114824.0,347340.0,369549.0,225046.0,378053.0,349837.0,347430.0,216363.0,371606.0,264088.0,350598.0,356037.0,347038.0,348636.0,367089.0,347081.0,364248.0,90871.0,345475.0,351247.0,240562.0,346693.0,346127.0,345829.0
2020-05-21,North America,US,New York,350457.0,413951.0,422910.0,348392.0,345576.0,348394.0,345943.0,79894.0,377075.0,350248.0,344061.0,265856.0,352468.0,409231.0,370791.0,219527.0,358822.0,346620.0,352429.0,272318.0,403182.0,353201.0,260465.0,350067.0,357983.0,377010.0,358257.0,387884.0,349924.0,345702.0,350114.0,345711.0,354527.0,346952.0,350178.0,360154.0,347276.0,346483.0,352768.0,397862.0,350919.0,391102.0,362325.0,397087.0,345558.0,344854.0,353747.0,345714.0,15186.0,18276.0,346359.0,345927.0,176849.0,140662.0,355481.0,401447.0,348857.0,35364.0,348811.0,127814.0,350244.0,347471.0,344808.0,359490.0,351039.0,343406.0,357697.0,96385.0,372829.0,347108.0,393917.0,345321.0,350786.0,399506.0,350664.0,357457.0,115284.0,348265.0,371259.0,226420.0,380206.0,350812.0,348296.0,216674.0,373451.0,265763.0,351595.0,357228.0,347821.0,349563.0,368618.0,347900.0,369058.0,91241.0,346220.0,352303.0,243823.0,347511.0,346904.0,346595.0
