Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,North America,US,New York,22270.0,24639.0,22513.0,23698.0,25704.0,22495.0,22398.0,28871.0,22391.0,22410.0,25514.0,28343.0,22465.0,22397.0,25716.0,3280.0,24836.0,23631.0,24028.0,25851.0,9958.0,22656.0,25079.0,22349.0,1906.0,26728.0,22276.0,23530.0,2539.0,23871.0,24397.0,4405.0,946.0,22459.0,22254.0,24627.0,3644.0,5002.0,23167.0,25831.0,24765.0,26019.0,26038.0,24067.0,24364.0,3461.0,25472.0,22264.0,23874.0,22567.0,22431.0,25826.0,3316.0,24482.0,25538.0,3227.0,22513.0,22422.0,22012.0,26004.0,22839.0,25407.0,22609.0,22599.0,22265.0,22897.0,24179.0,27042.0,24448.0,27185.0,22291.0,24583.0,22310.0,25017.0,22998.0,22263.0,3584.0,25438.0,25723.0,26688.0,23435.0,2302.0,25607.0,27633.0,26049.0,4001.0,22735.0,1006.0,26204.0,22513.0,26344.0,13253.0,23661.0,22400.0,23884.0,22719.0,5751.0,22506.0,2161.0,26640.0
2020-05-16,North America,US,New York,22410.0,24995.0,22690.0,23965.0,26182.0,22666.0,22557.0,29800.0,22548.0,22569.0,25963.0,29183.0,22635.0,22555.0,26196.0,3283.0,25214.0,23895.0,24338.0,26340.0,9995.0,22848.0,25482.0,22502.0,1906.0,27330.0,22434.0,23789.0,2539.0,24153.0,24714.0,4406.0,946.0,22627.0,22412.0,24989.0,3646.0,5002.0,23393.0,26329.0,25134.0,26528.0,26551.0,24368.0,24696.0,3465.0,25915.0,22406.0,24164.0,22742.0,22591.0,26311.0,3321.0,24822.0,25993.0,3232.0,22684.0,22583.0,22120.0,26512.0,23052.0,25845.0,22791.0,22779.0,22403.0,23108.0,24490.0,27689.0,24788.0,27850.0,22435.0,24933.0,22458.0,25417.0,23222.0,22402.0,3587.0,25880.0,26199.0,27286.0,23686.0,2302.0,26069.0,28362.0,26562.0,4003.0,22925.0,1006.0,26735.0,22685.0,26896.0,13330.0,23912.0,22560.0,24171.0,22911.0,5770.0,22677.0,2162.0,27230.0
2020-05-17,North America,US,New York,22539.0,25338.0,22857.0,24220.0,26651.0,22826.0,22706.0,30732.0,22694.0,22718.0,26400.0,30022.0,22795.0,22704.0,26664.0,3285.0,25581.0,24146.0,24637.0,26818.0,10030.0,23029.0,25875.0,22646.0,1906.0,27924.0,22582.0,24037.0,2539.0,24423.0,25017.0,4406.0,946.0,22785.0,22561.0,25339.0,3647.0,5003.0,23609.0,26817.0,25491.0,27028.0,27055.0,24656.0,25017.0,3469.0,26347.0,22537.0,24444.0,22906.0,22741.0,26785.0,3325.0,25148.0,26435.0,3237.0,22844.0,22734.0,22219.0,27011.0,23255.0,26272.0,22961.0,22949.0,22531.0,23307.0,24788.0,28331.0,25115.0,28508.0,22569.0,25271.0,22595.0,25804.0,23435.0,22530.0,3590.0,26312.0,26664.0,27876.0,23926.0,2303.0,26520.0,29088.0,27064.0,4005.0,23106.0,1006.0,27257.0,22847.0,27438.0,13404.0,24151.0,22710.0,24447.0,23092.0,5789.0,22837.0,2163.0,27813.0
2020-05-18,North America,US,New York,22658.0,25669.0,23014.0,24464.0,27109.0,22977.0,22845.0,31667.0,22830.0,22856.0,26827.0,30861.0,22946.0,22842.0,27122.0,3288.0,25935.0,24387.0,24925.0,27286.0,10063.0,23199.0,26256.0,22780.0,1906.0,28510.0,22722.0,24275.0,2539.0,24683.0,25307.0,4407.0,946.0,22933.0,22700.0,25678.0,3648.0,5003.0,23813.0,27296.0,25835.0,27519.0,27548.0,24932.0,25326.0,3472.0,26769.0,22658.0,24712.0,23059.0,22880.0,27247.0,3329.0,25463.0,26867.0,3241.0,22995.0,22874.0,22308.0,27499.0,23448.0,26689.0,23122.0,23110.0,22649.0,23497.0,25074.0,28964.0,25429.0,29160.0,22692.0,25597.0,22723.0,26179.0,23637.0,22648.0,3593.0,26732.0,27117.0,28457.0,24155.0,2303.0,26961.0,29808.0,27557.0,4006.0,23276.0,1006.0,27770.0,22999.0,27971.0,13473.0,24376.0,22850.0,24713.0,23263.0,5806.0,22988.0,2164.0,28387.0
2020-05-19,North America,US,New York,22768.0,25988.0,23161.0,24696.0,27557.0,23118.0,22975.0,32605.0,22957.0,22986.0,27242.0,31699.0,23087.0,22971.0,27569.0,3290.0,26277.0,24617.0,25202.0,27742.0,10093.0,23361.0,26624.0,22905.0,1906.0,29086.0,22853.0,24501.0,2539.0,24931.0,25583.0,4408.0,946.0,23073.0,22830.0,26006.0,3650.0,5003.0,24007.0,27765.0,26167.0,27998.0,28030.0,25196.0,25624.0,3475.0,27179.0,22771.0,24969.0,23203.0,23010.0,27699.0,3333.0,25765.0,27288.0,3245.0,23136.0,23006.0,22389.0,27976.0,23631.0,27094.0,23272.0,23262.0,22758.0,23678.0,25349.0,29589.0,25732.0,29805.0,22807.0,25910.0,22843.0,26542.0,23828.0,22757.0,3595.0,27142.0,27560.0,29028.0,24373.0,2303.0,27390.0,30523.0,28040.0,4007.0,23436.0,1006.0,28272.0,23143.0,28494.0,13538.0,24589.0,22981.0,24967.0,23425.0,5822.0,23130.0,2164.0,28951.0
2020-05-20,North America,US,New York,22869.0,26296.0,23300.0,24917.0,27993.0,23252.0,23096.0,33545.0,23076.0,23107.0,27645.0,32534.0,23220.0,23091.0,28005.0,3291.0,26607.0,24836.0,25468.0,28187.0,10122.0,23513.0,26981.0,23021.0,1906.0,29651.0,22976.0,24717.0,2539.0,25169.0,25847.0,4408.0,946.0,23205.0,22952.0,26323.0,3651.0,5004.0,24191.0,28223.0,26488.0,28466.0,28498.0,25450.0,25911.0,3478.0,27577.0,22874.0,25215.0,23337.0,23132.0,28141.0,3336.0,26056.0,27698.0,3249.0,23268.0,23128.0,22462.0,28441.0,23805.0,27486.0,23414.0,23404.0,22859.0,23850.0,25612.0,30204.0,26022.0,30442.0,22913.0,26213.0,22954.0,26895.0,24010.0,22857.0,3598.0,27539.0,27993.0,29589.0,24581.0,2303.0,27808.0,31229.0,28512.0,4008.0,23586.0,1006.0,28763.0,23277.0,29005.0,13599.0,24791.0,23103.0,25211.0,23577.0,5837.0,23264.0,2165.0,29504.0
2020-05-21,North America,US,New York,22962.0,26592.0,23430.0,25127.0,28417.0,23377.0,23210.0,34485.0,23186.0,23220.0,28037.0,33364.0,23344.0,23203.0,28429.0,3293.0,26925.0,25044.0,25723.0,28620.0,10148.0,23658.0,27326.0,23130.0,1906.0,30205.0,23090.0,24923.0,2539.0,25395.0,26097.0,4409.0,947.0,23328.0,23067.0,26628.0,3651.0,5004.0,24365.0,28670.0,26797.0,28920.0,28956.0,25693.0,26188.0,3481.0,27963.0,22970.0,25450.0,23462.0,23245.0,28572.0,3339.0,26337.0,28097.0,3253.0,23392.0,23242.0,22528.0,28893.0,23971.0,27867.0,23548.0,23539.0,22951.0,24013.0,25865.0,30811.0,26303.0,31069.0,23011.0,26505.0,23056.0,27237.0,24182.0,22950.0,3600.0,27925.0,28414.0,30140.0,24778.0,2303.0,28214.0,31927.0,28970.0,4009.0,23728.0,1006.0,29241.0,23404.0,29504.0,13657.0,24982.0,23217.0,25443.0,23721.0,5852.0,23389.0,2166.0,30045.0
2020-05-22,North America,US,New York,23048.0,26878.0,23553.0,25328.0,28830.0,23494.0,23316.0,35423.0,23288.0,23325.0,28416.0,34190.0,23461.0,23308.0,28842.0,3295.0,27233.0,25242.0,25969.0,29042.0,10173.0,23793.0,27659.0,23231.0,1906.0,30749.0,23197.0,25120.0,2539.0,25611.0,26336.0,4409.0,947.0,23443.0,23174.0,26922.0,3652.0,5004.0,24530.0,29107.0,27096.0,29363.0,29403.0,25926.0,26453.0,3483.0,28337.0,23058.0,25676.0,23579.0,23350.0,28991.0,3342.0,26606.0,28484.0,3256.0,23508.0,23349.0,22588.0,29335.0,24128.0,28236.0,23674.0,23664.0,23036.0,24167.0,26107.0,31409.0,26572.0,31685.0,23102.0,26785.0,23151.0,27567.0,24346.0,23035.0,3602.0,28298.0,28823.0,30681.0,24967.0,2303.0,28608.0,32617.0,29416.0,4010.0,23862.0,1006.0,29707.0,23522.0,29993.0,13712.0,25163.0,23323.0,25665.0,23857.0,5865.0,23505.0,2166.0,30577.0
2020-05-23,North America,US,New York,23127.0,27152.0,23668.0,25519.0,29232.0,23603.0,23414.0,36359.0,23383.0,23423.0,28784.0,35011.0,23570.0,23405.0,29244.0,3296.0,27530.0,25431.0,26206.0,29452.0,10196.0,23921.0,27982.0,23324.0,1906.0,31283.0,23297.0,25308.0,2539.0,25816.0,26564.0,4409.0,947.0,23551.0,23274.0,27206.0,3653.0,5004.0,24688.0,29533.0,27384.0,29796.0,29840.0,26148.0,26708.0,3485.0,28700.0,23140.0,25891.0,23688.0,23447.0,29396.0,3345.0,26864.0,28859.0,3259.0,23616.0,23449.0,22642.0,29766.0,24277.0,28595.0,23791.0,23782.0,23113.0,24312.0,26339.0,31998.0,26831.0,32292.0,23186.0,27055.0,23239.0,27887.0,24501.0,23113.0,3604.0,28661.0,29221.0,31212.0,25147.0,2303.0,28992.0,33301.0,29852.0,4011.0,23988.0,1006.0,30163.0,23632.0,30471.0,13764.0,25332.0,23423.0,25878.0,23985.0,5878.0,23615.0,2167.0,31099.0
2020-05-24,North America,US,New York,23199.0,27415.0,23775.0,25701.0,29625.0,23705.0,23506.0,37293.0,23472.0,23514.0,29142.0,35828.0,23673.0,23495.0,29635.0,3298.0,27816.0,25610.0,26432.0,29852.0,10217.0,24041.0,28294.0,23411.0,1906.0,31808.0,23391.0,25487.0,2539.0,26013.0,26780.0,4410.0,947.0,23652.0,23367.0,27479.0,3654.0,5004.0,24836.0,29950.0,27660.0,30219.0,30266.0,26359.0,26952.0,3487.0,29052.0,23215.0,26097.0,23789.0,23538.0,29791.0,3347.0,27111.0,29222.0,3262.0,23717.0,23541.0,22690.0,30187.0,24417.0,28943.0,23902.0,23893.0,23185.0,24450.0,26559.0,32578.0,27079.0,32891.0,23263.0,27313.0,23321.0,28195.0,24646.0,23184.0,3605.0,29014.0,29609.0,31734.0,25318.0,2304.0,29366.0,33977.0,30277.0,4012.0,24107.0,1006.0,30609.0,23736.0,30939.0,13812.0,25492.0,23516.0,26081.0,24105.0,5889.0,23717.0,2167.0,31611.0
