date,region,death_cnt,case_cnt,day_since100
2020-01-23,Singapore,0,1,-37
2020-01-24,Singapore,0,3,-36
2020-01-25,Singapore,0,3,-35
2020-01-26,Singapore,0,4,-34
2020-01-27,Singapore,0,5,-33
2020-01-28,Singapore,0,7,-32
2020-01-29,Singapore,0,7,-31
2020-01-30,Singapore,0,10,-30
2020-01-31,Singapore,0,13,-29
2020-02-01,Singapore,0,16,-28
2020-02-02,Singapore,0,18,-27
2020-02-03,Singapore,0,18,-26
2020-02-04,Singapore,0,24,-25
2020-02-05,Singapore,0,28,-24
2020-02-06,Singapore,0,28,-23
2020-02-07,Singapore,0,30,-22
2020-02-08,Singapore,0,33,-21
2020-02-09,Singapore,0,40,-20
2020-02-10,Singapore,0,45,-19
2020-02-11,Singapore,0,47,-18
2020-02-12,Singapore,0,50,-17
2020-02-13,Singapore,0,58,-16
2020-02-14,Singapore,0,67,-15
2020-02-15,Singapore,0,72,-14
2020-02-16,Singapore,0,75,-13
2020-02-17,Singapore,0,77,-12
2020-02-18,Singapore,0,81,-11
2020-02-19,Singapore,0,84,-10
2020-02-20,Singapore,0,84,-9
2020-02-21,Singapore,0,85,-8
2020-02-22,Singapore,0,85,-7
2020-02-23,Singapore,0,89,-6
2020-02-24,Singapore,0,89,-5
2020-02-25,Singapore,0,91,-4
2020-02-26,Singapore,0,93,-3
2020-02-27,Singapore,0,93,-2
2020-02-28,Singapore,0,93,-1
2020-02-29,Singapore,0,102,0
2020-03-01,Singapore,0,106,1
2020-03-02,Singapore,0,108,2
2020-03-03,Singapore,0,110,3
2020-03-04,Singapore,0,110,4
2020-03-05,Singapore,0,117,5
2020-03-06,Singapore,0,130,6
2020-03-07,Singapore,0,138,7
2020-03-08,Singapore,0,150,8
2020-03-09,Singapore,0,150,9
2020-03-10,Singapore,0,160,10
2020-03-11,Singapore,0,178,11
2020-03-12,Singapore,0,178,12
2020-03-13,Singapore,0,200,13
2020-03-14,Singapore,0,212,14
2020-03-15,Singapore,0,226,15
2020-03-16,Singapore,0,243,16
2020-03-17,Singapore,0,266,17
2020-03-18,Singapore,0,313,18
2020-03-19,Singapore,0,345,19
2020-03-20,Singapore,0,385,20
2020-03-21,Singapore,2,432,21
2020-03-22,Singapore,2,455,22
2020-03-23,Singapore,2,509,23
2020-03-24,Singapore,2,558,24
2020-03-25,Singapore,2,631,25
2020-03-26,Singapore,2,683,26
2020-03-27,Singapore,2,732,27
2020-03-28,Singapore,2,802,28
2020-03-29,Singapore,3,844,29
2020-03-30,Singapore,3,879,30
2020-03-31,Singapore,3,926,31
2020-04-01,Singapore,3,1000,32
2020-04-02,Singapore,4,1049,33
2020-04-03,Singapore,5,1114,34
2020-04-04,Singapore,6,1189,35
2020-04-05,Singapore,6,1309,36
2020-04-06,Singapore,6,1375,37
2020-04-07,Singapore,6,1481,38
2020-04-08,Singapore,6,1623,39
2020-04-09,Singapore,6,1910,40
2020-04-10,Singapore,7,2108,41
2020-04-11,Singapore,8,2299,42
2020-04-12,Singapore,8,2532,43
2020-04-13,Singapore,9,2918,44
2020-04-14,Singapore,10,3252,45
2020-04-15,Singapore,10,3699,46
2020-04-16,Singapore,10,4427,47
2020-04-17,Singapore,11,5050,48
2020-04-18,Singapore,11,5992,49
2020-04-19,Singapore,11,6588,50
2020-04-20,Singapore,11,8014,51
2020-04-21,Singapore,11,9125,52
2020-04-22,Singapore,12,10141,53
2020-04-23,Singapore,12,11178,54
2020-04-24,Singapore,12,12075,55
2020-04-25,Singapore,12,12693,56
2020-04-26,Singapore,12,13624,57
2020-04-27,Singapore,14,14423,58
2020-04-28,Singapore,14,14951,59
2020-04-29,Singapore,14,15641,60
2020-04-30,Singapore,15,16169,61
2020-05-01,Singapore,16,17101,62
2020-05-02,Singapore,17,17548,63
2020-05-03,Singapore,18,18205,64
2020-05-04,Singapore,18,18778,65
2020-05-05,Singapore,18,19410,66
2020-05-06,Singapore,20,20198,67
2020-05-07,Singapore,20,20939,68
2020-05-08,Singapore,20,21707,69
2020-05-09,Singapore,20,22460,70
2020-05-10,Singapore,20,23336,71
2020-05-11,Singapore,21,23822,72
2020-05-12,Singapore,21,24671,73
2020-05-13,Singapore,21,25346,74
