Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,Asia,Singapore,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,Asia,Singapore,None,284.0,353.0,0.0,68.0,0.0,140.0,348.0,272.0,172.0,0.0,6.0,1.0,204.0,511.0,196.0,138.0,338.0,190.0,324.0,413.0,7.0,217.0,1.0,639.0,36.0,591.0,193.0,0.0,178.0,254.0,0.0,164.0,258.0,279.0,29.0,309.0,40.0,134.0,334.0,408.0,252.0,40.0,1.0,100.0,1.0,209.0,77.0,364.0,2.0,72.0,359.0,633.0,3.0,39.0,4.0,79.0,194.0,523.0,0.0,457.0,476.0,294.0,81.0,152.0,817.0,202.0,130.0,430.0,37.0,720.0,560.0,1.0,515.0,0.0,152.0,590.0,111.0,345.0,133.0,468.0,499.0,515.0,392.0,366.0,458.0,366.0,185.0,241.0,101.0,1.0,304.0,392.0,126.0,389.0,420.0,391.0,44.0,535.0,0.0,4.0
2020-05-17,Asia,Singapore,None,284.0,356.0,0.0,65.0,0.0,138.0,352.0,272.0,170.0,0.0,5.0,0.0,201.0,524.0,195.0,134.0,340.0,188.0,327.0,419.0,7.0,215.0,0.0,660.0,34.0,609.0,192.0,1.0,177.0,252.0,0.0,161.0,259.0,280.0,27.0,312.0,38.0,132.0,338.0,414.0,250.0,37.0,1.0,98.0,0.0,206.0,73.0,368.0,1.0,69.0,363.0,654.0,3.0,36.0,4.0,77.0,191.0,536.0,0.0,465.0,487.0,296.0,78.0,149.0,853.0,200.0,127.0,437.0,35.0,749.0,575.0,0.0,529.0,1.0,150.0,609.0,109.0,347.0,130.0,478.0,509.0,528.0,399.0,370.0,466.0,369.0,184.0,241.0,99.0,1.0,306.0,398.0,123.0,394.0,428.0,397.0,42.0,549.0,0.0,3.0
2020-05-18,Asia,Singapore,None,286.0,359.0,1.0,63.0,0.0,135.0,356.0,271.0,167.0,0.0,5.0,0.0,200.0,536.0,192.0,132.0,343.0,187.0,329.0,426.0,6.0,214.0,1.0,682.0,32.0,628.0,189.0,0.0,174.0,252.0,0.0,158.0,258.0,280.0,26.0,312.0,36.0,128.0,341.0,421.0,250.0,35.0,1.0,94.0,0.0,206.0,70.0,372.0,1.0,65.0,366.0,676.0,2.0,34.0,4.0,73.0,190.0,551.0,0.0,473.0,497.0,296.0,75.0,146.0,889.0,198.0,125.0,444.0,33.0,777.0,590.0,1.0,540.0,0.0,147.0,627.0,106.0,350.0,127.0,487.0,521.0,540.0,404.0,375.0,475.0,373.0,182.0,239.0,96.0,1.0,306.0,403.0,119.0,399.0,434.0,403.0,39.0,565.0,1.0,3.0
2020-05-19,Asia,Singapore,None,286.0,363.0,0.0,59.0,0.0,131.0,359.0,272.0,165.0,0.0,4.0,0.0,197.0,547.0,189.0,128.0,345.0,183.0,332.0,433.0,5.0,212.0,1.0,705.0,30.0,647.0,187.0,0.0,171.0,252.0,0.0,155.0,257.0,280.0,24.0,313.0,34.0,126.0,344.0,426.0,249.0,32.0,1.0,92.0,0.0,203.0,68.0,375.0,1.0,63.0,370.0,697.0,3.0,32.0,4.0,70.0,187.0,565.0,0.0,481.0,507.0,296.0,72.0,144.0,927.0,196.0,120.0,451.0,31.0,807.0,605.0,0.0,553.0,0.0,143.0,647.0,102.0,353.0,124.0,496.0,533.0,552.0,409.0,379.0,483.0,377.0,180.0,238.0,93.0,1.0,308.0,408.0,116.0,403.0,441.0,408.0,37.0,580.0,0.0,3.0
2020-05-20,Asia,Singapore,None,286.0,364.0,0.0,57.0,0.0,129.0,363.0,271.0,161.0,0.0,3.0,0.0,195.0,560.0,187.0,126.0,346.0,182.0,334.0,438.0,5.0,211.0,0.0,728.0,28.0,666.0,183.0,0.0,169.0,250.0,0.0,153.0,256.0,280.0,22.0,314.0,31.0,124.0,346.0,432.0,248.0,31.0,1.0,88.0,0.0,202.0,64.0,378.0,1.0,60.0,373.0,719.0,1.0,30.0,3.0,68.0,184.0,578.0,0.0,490.0,517.0,297.0,69.0,141.0,964.0,194.0,118.0,459.0,29.0,836.0,620.0,0.0,566.0,1.0,141.0,664.0,100.0,356.0,120.0,505.0,543.0,564.0,413.0,383.0,490.0,380.0,179.0,237.0,91.0,0.0,307.0,413.0,113.0,409.0,447.0,412.0,35.0,594.0,0.0,2.0
2020-05-21,Asia,Singapore,None,286.0,368.0,0.0,55.0,0.0,125.0,366.0,270.0,159.0,1.0,4.0,0.0,192.0,571.0,185.0,122.0,349.0,179.0,336.0,444.0,5.0,209.0,1.0,750.0,27.0,686.0,181.0,0.0,165.0,249.0,0.0,148.0,255.0,280.0,22.0,314.0,30.0,121.0,349.0,438.0,246.0,29.0,1.0,86.0,1.0,201.0,62.0,381.0,1.0,57.0,375.0,742.0,2.0,28.0,4.0,64.0,181.0,592.0,0.0,498.0,525.0,296.0,67.0,138.0,1005.0,191.0,114.0,465.0,27.0,867.0,637.0,0.0,579.0,0.0,137.0,683.0,96.0,357.0,116.0,514.0,555.0,577.0,417.0,387.0,499.0,383.0,176.0,235.0,87.0,1.0,308.0,416.0,110.0,413.0,452.0,417.0,33.0,609.0,0.0,2.0
2020-05-22,Asia,Singapore,None,286.0,369.0,0.0,52.0,0.0,122.0,369.0,268.0,155.0,0.0,2.0,0.0,190.0,584.0,181.0,119.0,350.0,176.0,338.0,448.0,5.0,207.0,0.0,773.0,25.0,705.0,179.0,0.0,163.0,247.0,0.0,146.0,253.0,279.0,20.0,315.0,28.0,118.0,349.0,442.0,245.0,28.0,0.0,83.0,0.0,199.0,59.0,383.0,0.0,54.0,378.0,765.0,2.0,27.0,3.0,62.0,178.0,605.0,0.0,505.0,534.0,297.0,65.0,136.0,1045.0,188.0,110.0,472.0,25.0,896.0,652.0,1.0,591.0,0.0,134.0,701.0,92.0,358.0,114.0,522.0,566.0,589.0,421.0,390.0,506.0,385.0,175.0,233.0,85.0,0.0,309.0,420.0,107.0,417.0,459.0,420.0,31.0,622.0,0.0,2.0
2020-05-23,Asia,Singapore,None,285.0,370.0,1.0,50.0,0.0,119.0,371.0,267.0,153.0,0.0,3.0,0.0,188.0,595.0,179.0,116.0,351.0,174.0,339.0,453.0,4.0,205.0,1.0,795.0,23.0,723.0,175.0,0.0,158.0,245.0,0.0,143.0,253.0,278.0,19.0,315.0,25.0,117.0,351.0,448.0,244.0,25.0,1.0,80.0,0.0,197.0,56.0,386.0,1.0,53.0,380.0,788.0,1.0,25.0,3.0,59.0,175.0,617.0,0.0,514.0,542.0,296.0,62.0,132.0,1088.0,186.0,107.0,478.0,23.0,926.0,667.0,0.0,604.0,1.0,130.0,719.0,90.0,360.0,110.0,530.0,575.0,602.0,425.0,394.0,514.0,387.0,172.0,231.0,82.0,1.0,308.0,424.0,104.0,419.0,463.0,424.0,29.0,636.0,0.0,2.0
2020-05-24,Asia,Singapore,None,283.0,372.0,0.0,47.0,0.0,117.0,374.0,266.0,149.0,0.0,2.0,0.0,185.0,607.0,176.0,112.0,352.0,170.0,339.0,457.0,4.0,203.0,0.0,817.0,22.0,742.0,173.0,0.0,156.0,243.0,0.0,139.0,250.0,277.0,17.0,315.0,24.0,114.0,352.0,451.0,242.0,23.0,1.0,77.0,0.0,195.0,54.0,388.0,0.0,49.0,383.0,811.0,1.0,23.0,2.0,56.0,172.0,630.0,0.0,521.0,551.0,295.0,60.0,130.0,1131.0,182.0,103.0,483.0,21.0,956.0,683.0,0.0,616.0,0.0,128.0,735.0,87.0,360.0,106.0,538.0,585.0,613.0,427.0,396.0,521.0,390.0,170.0,229.0,80.0,0.0,307.0,427.0,100.0,423.0,468.0,427.0,28.0,649.0,0.0,1.0
