Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,Asia,Singapore,None,9303.0,10128.0,2641.0,6162.0,2396.0,7543.0,9991.0,9275.0,7927.0,2649.0,4203.0,2609.0,8704.0,11594.0,8327.0,7516.0,9948.0,8162.0,9742.0,10733.0,3509.0,8495.0,2737.0,12669.0,5390.0,12200.0,8304.0,2698.0,8075.0,9038.0,2501.0,7866.0,9080.0,9245.0,4854.0,9673.0,5629.0,7168.0,9860.0,10686.0,8930.0,5858.0,2793.0,6786.0,2644.0,8409.0,6459.0,10223.0,3765.0,6258.0,10190.0,12539.0,3788.0,5453.0,2956.0,6419.0,8325.0,11628.0,2718.0,11131.0,11317.0,9534.0,6430.0,7666.0,13980.0,8391.0,7412.0,10881.0,5520.0,13290.0,12031.0,2672.0,11646.0,2691.0,7735.0,12272.0,7058.0,10059.0,7441.0,11192.0,11546.0,11633.0,10535.0,10181.0,11139.0,10228.0,8294.0,8877.0,6628.0,2796.0,9592.0,10534.0,7329.0,10503.0,10760.0,10502.0,5676.0,11730.0,2512.0,3725.0
2020-05-16,Asia,Singapore,None,9587.0,10481.0,2641.0,6230.0,2396.0,7683.0,10339.0,9547.0,8099.0,2649.0,4209.0,2610.0,8908.0,12105.0,8523.0,7654.0,10286.0,8352.0,10066.0,11146.0,3516.0,8712.0,2738.0,13308.0,5426.0,12791.0,8497.0,2698.0,8253.0,9292.0,2501.0,8030.0,9338.0,9524.0,4883.0,9982.0,5669.0,7302.0,10194.0,11094.0,9182.0,5898.0,2794.0,6886.0,2645.0,8618.0,6536.0,10587.0,3767.0,6330.0,10549.0,13172.0,3791.0,5492.0,2960.0,6498.0,8519.0,12151.0,2718.0,11588.0,11793.0,9828.0,6511.0,7818.0,14797.0,8593.0,7542.0,11311.0,5557.0,14010.0,12591.0,2673.0,12161.0,2691.0,7887.0,12862.0,7169.0,10404.0,7574.0,11660.0,12045.0,12148.0,10927.0,10547.0,11597.0,10594.0,8479.0,9118.0,6729.0,2797.0,9896.0,10926.0,7455.0,10892.0,11180.0,10893.0,5720.0,12265.0,2512.0,3729.0
2020-05-17,Asia,Singapore,None,9871.0,10837.0,2641.0,6295.0,2396.0,7821.0,10691.0,9819.0,8269.0,2649.0,4214.0,2610.0,9109.0,12629.0,8718.0,7788.0,10626.0,8540.0,10393.0,11565.0,3523.0,8927.0,2738.0,13968.0,5460.0,13400.0,8689.0,2699.0,8430.0,9544.0,2501.0,8191.0,9597.0,9804.0,4910.0,10294.0,5707.0,7434.0,10532.0,11508.0,9432.0,5935.0,2795.0,6984.0,2645.0,8824.0,6609.0,10955.0,3768.0,6399.0,10912.0,13826.0,3794.0,5528.0,2964.0,6575.0,8710.0,12687.0,2718.0,12053.0,12280.0,10124.0,6589.0,7967.0,15650.0,8793.0,7669.0,11748.0,5592.0,14759.0,13166.0,2673.0,12690.0,2692.0,8037.0,13471.0,7278.0,10751.0,7704.0,12138.0,12554.0,12676.0,11326.0,10917.0,12063.0,10963.0,8663.0,9359.0,6828.0,2798.0,10202.0,11324.0,7578.0,11286.0,11608.0,11290.0,5762.0,12814.0,2512.0,3732.0
2020-05-18,Asia,Singapore,None,10157.0,11196.0,2642.0,6358.0,2396.0,7956.0,11047.0,10090.0,8436.0,2649.0,4219.0,2610.0,9309.0,13165.0,8910.0,7920.0,10969.0,8727.0,10722.0,11991.0,3529.0,9141.0,2739.0,14650.0,5492.0,14028.0,8878.0,2699.0,8604.0,9796.0,2501.0,8349.0,9855.0,10084.0,4936.0,10606.0,5743.0,7562.0,10873.0,11929.0,9682.0,5970.0,2796.0,7078.0,2645.0,9030.0,6679.0,11327.0,3769.0,6464.0,11278.0,14502.0,3796.0,5562.0,2968.0,6648.0,8900.0,13238.0,2718.0,12526.0,12777.0,10420.0,6664.0,8113.0,16539.0,8991.0,7794.0,12192.0,5625.0,15536.0,13756.0,2674.0,13230.0,2692.0,8184.0,14098.0,7384.0,11101.0,7831.0,12625.0,13075.0,13216.0,11730.0,11292.0,12538.0,11336.0,8845.0,9598.0,6924.0,2799.0,10508.0,11727.0,7697.0,11685.0,12042.0,11693.0,5801.0,13379.0,2513.0,3735.0
2020-05-19,Asia,Singapore,None,10443.0,11559.0,2642.0,6417.0,2396.0,8087.0,11406.0,10362.0,8601.0,2649.0,4223.0,2610.0,9506.0,13712.0,9099.0,8048.0,11314.0,8910.0,11054.0,12424.0,3534.0,9353.0,2740.0,15355.0,5522.0,14675.0,9065.0,2699.0,8775.0,10048.0,2501.0,8504.0,10112.0,10364.0,4960.0,10919.0,5777.0,7688.0,11217.0,12355.0,9931.0,6002.0,2797.0,7170.0,2645.0,9233.0,6747.0,11702.0,3770.0,6527.0,11648.0,15199.0,3799.0,5594.0,2972.0,6718.0,9087.0,13803.0,2718.0,13007.0,13284.0,10716.0,6736.0,8257.0,17466.0,9187.0,7914.0,12643.0,5656.0,16343.0,14361.0,2674.0,13783.0,2692.0,8327.0,14745.0,7486.0,11454.0,7955.0,13121.0,13608.0,13768.0,12139.0,11671.0,13021.0,11713.0,9025.0,9836.0,7017.0,2800.0,10816.0,12135.0,7813.0,12088.0,12483.0,12101.0,5838.0,13959.0,2513.0,3738.0
2020-05-20,Asia,Singapore,None,10729.0,11923.0,2642.0,6474.0,2396.0,8216.0,11769.0,10633.0,8762.0,2649.0,4226.0,2610.0,9701.0,14272.0,9286.0,8174.0,11660.0,9092.0,11388.0,12862.0,3539.0,9564.0,2740.0,16083.0,5550.0,15341.0,9248.0,2699.0,8944.0,10298.0,2501.0,8657.0,10368.0,10644.0,4982.0,11233.0,5808.0,7812.0,11563.0,12787.0,10179.0,6033.0,2798.0,7258.0,2645.0,9435.0,6811.0,12080.0,3771.0,6587.0,12021.0,15918.0,3800.0,5624.0,2975.0,6786.0,9271.0,14381.0,2718.0,13497.0,13801.0,11013.0,6805.0,8398.0,18430.0,9381.0,8032.0,13102.0,5685.0,17179.0,14981.0,2674.0,14349.0,2693.0,8468.0,15409.0,7586.0,11810.0,8075.0,13626.0,14151.0,14332.0,12552.0,12054.0,13511.0,12093.0,9204.0,10073.0,7108.0,2800.0,11123.0,12548.0,7926.0,12497.0,12930.0,12513.0,5873.0,14553.0,2513.0,3740.0
2020-05-21,Asia,Singapore,None,11015.0,12291.0,2642.0,6529.0,2396.0,8341.0,12135.0,10903.0,8921.0,2650.0,4230.0,2610.0,9893.0,14843.0,9471.0,8296.0,12009.0,9271.0,11724.0,13306.0,3544.0,9773.0,2741.0,16833.0,5577.0,16027.0,9429.0,2699.0,9109.0,10547.0,2501.0,8805.0,10623.0,10924.0,5004.0,11547.0,5838.0,7933.0,11912.0,13225.0,10425.0,6062.0,2799.0,7344.0,2646.0,9636.0,6873.0,12461.0,3772.0,6644.0,12396.0,16660.0,3802.0,5652.0,2979.0,6850.0,9452.0,14973.0,2718.0,13995.0,14326.0,11309.0,6872.0,8536.0,19435.0,9572.0,8146.0,13567.0,5712.0,18046.0,15618.0,2674.0,14928.0,2693.0,8605.0,16092.0,7682.0,12167.0,8191.0,14140.0,14706.0,14909.0,12969.0,12441.0,14010.0,12476.0,9380.0,10308.0,7195.0,2801.0,11431.0,12964.0,8036.0,12910.0,13382.0,12930.0,5906.0,15162.0,2513.0,3742.0
2020-05-22,Asia,Singapore,None,11301.0,12660.0,2642.0,6581.0,2396.0,8463.0,12504.0,11171.0,9076.0,2650.0,4232.0,2610.0,10083.0,15427.0,9652.0,8415.0,12359.0,9447.0,12062.0,13754.0,3549.0,9980.0,2741.0,17606.0,5602.0,16732.0,9608.0,2699.0,9272.0,10794.0,2501.0,8951.0,10876.0,11203.0,5024.0,11862.0,5866.0,8051.0,12261.0,13667.0,10670.0,6090.0,2799.0,7427.0,2646.0,9835.0,6932.0,12844.0,3772.0,6698.0,12774.0,17425.0,3804.0,5679.0,2982.0,6912.0,9630.0,15578.0,2718.0,14500.0,14860.0,11606.0,6937.0,8672.0,20480.0,9760.0,8256.0,14039.0,5737.0,18942.0,16270.0,2675.0,15519.0,2693.0,8739.0,16793.0,7774.0,12525.0,8305.0,14662.0,15272.0,15498.0,13390.0,12831.0,14516.0,12861.0,9555.0,10541.0,7280.0,2801.0,11740.0,13384.0,8143.0,13327.0,13841.0,13350.0,5937.0,15784.0,2513.0,3744.0
2020-05-23,Asia,Singapore,None,11586.0,13030.0,2643.0,6631.0,2396.0,8582.0,12875.0,11438.0,9229.0,2650.0,4235.0,2610.0,10271.0,16022.0,9831.0,8531.0,12710.0,9621.0,12401.0,14207.0,3553.0,10185.0,2742.0,18401.0,5625.0,17455.0,9783.0,2699.0,9430.0,11039.0,2501.0,9094.0,11129.0,11481.0,5043.0,12177.0,5891.0,8168.0,12612.0,14115.0,10914.0,6115.0,2800.0,7507.0,2646.0,10032.0,6988.0,13230.0,3773.0,6751.0,13154.0,18213.0,3805.0,5704.0,2985.0,6971.0,9805.0,16195.0,2718.0,15014.0,15402.0,11902.0,6999.0,8804.0,21568.0,9946.0,8363.0,14517.0,5760.0,19868.0,16937.0,2675.0,16123.0,2694.0,8869.0,17512.0,7864.0,12885.0,8415.0,15192.0,15847.0,16100.0,13815.0,13225.0,15030.0,13248.0,9727.0,10772.0,7362.0,2802.0,12048.0,13808.0,8247.0,13746.0,14304.0,13774.0,5966.0,16420.0,2513.0,3746.0
2020-05-24,Asia,Singapore,None,11869.0,13402.0,2643.0,6678.0,2396.0,8699.0,13249.0,11704.0,9378.0,2650.0,4237.0,2610.0,10456.0,16629.0,10007.0,8643.0,13062.0,9791.0,12740.0,14664.0,3557.0,10388.0,2742.0,19218.0,5647.0,18197.0,9956.0,2699.0,9586.0,11282.0,2501.0,9233.0,11379.0,11758.0,5060.0,12492.0,5915.0,8282.0,12964.0,14566.0,11156.0,6138.0,2801.0,7584.0,2646.0,10227.0,7042.0,13618.0,3773.0,6800.0,13537.0,19024.0,3806.0,5727.0,2987.0,7027.0,9977.0,16825.0,2718.0,15535.0,15953.0,12197.0,7059.0,8934.0,22699.0,10128.0,8466.0,15000.0,5781.0,20824.0,17620.0,2675.0,16739.0,2694.0,8997.0,18247.0,7951.0,13245.0,8521.0,15730.0,16432.0,16713.0,14242.0,13621.0,15551.0,13638.0,9897.0,11001.0,7442.0,2802.0,12355.0,14235.0,8347.0,14169.0,14772.0,14201.0,5994.0,17069.0,2513.0,3747.0
