date,region,death_cnt,case_cnt,day_since100
2020-01-31,Sweden,0,1,-35
2020-02-01,Sweden,0,1,-34
2020-02-02,Sweden,0,1,-33
2020-02-03,Sweden,0,1,-32
2020-02-04,Sweden,0,1,-31
2020-02-05,Sweden,0,1,-30
2020-02-06,Sweden,0,1,-29
2020-02-07,Sweden,0,1,-28
2020-02-08,Sweden,0,1,-27
2020-02-09,Sweden,0,1,-26
2020-02-10,Sweden,0,1,-25
2020-02-11,Sweden,0,1,-24
2020-02-12,Sweden,0,1,-23
2020-02-13,Sweden,0,1,-22
2020-02-14,Sweden,0,1,-21
2020-02-15,Sweden,0,1,-20
2020-02-16,Sweden,0,1,-19
2020-02-17,Sweden,0,1,-18
2020-02-18,Sweden,0,1,-17
2020-02-19,Sweden,0,1,-16
2020-02-20,Sweden,0,1,-15
2020-02-21,Sweden,0,1,-14
2020-02-22,Sweden,0,1,-13
2020-02-23,Sweden,0,1,-12
2020-02-24,Sweden,0,1,-11
2020-02-25,Sweden,0,1,-10
2020-02-26,Sweden,0,2,-9
2020-02-27,Sweden,0,7,-8
2020-02-28,Sweden,0,7,-7
2020-02-29,Sweden,0,12,-6
2020-03-01,Sweden,0,14,-5
2020-03-02,Sweden,0,15,-4
2020-03-03,Sweden,0,21,-3
2020-03-04,Sweden,0,35,-2
2020-03-05,Sweden,0,94,-1
2020-03-06,Sweden,0,101,0
2020-03-07,Sweden,0,161,1
2020-03-08,Sweden,0,203,2
2020-03-09,Sweden,0,248,3
2020-03-10,Sweden,0,355,4
2020-03-11,Sweden,1,500,5
2020-03-12,Sweden,1,599,6
2020-03-13,Sweden,1,814,7
2020-03-14,Sweden,2,961,8
2020-03-15,Sweden,3,1022,9
2020-03-16,Sweden,6,1103,10
2020-03-17,Sweden,7,1190,11
2020-03-18,Sweden,10,1279,12
2020-03-19,Sweden,11,1439,13
2020-03-20,Sweden,16,1639,14
2020-03-21,Sweden,20,1763,15
2020-03-22,Sweden,21,1934,16
2020-03-23,Sweden,25,2046,17
2020-03-24,Sweden,36,2286,18
2020-03-25,Sweden,62,2526,19
2020-03-26,Sweden,77,2840,20
2020-03-27,Sweden,105,3069,21
2020-03-28,Sweden,105,3447,22
2020-03-29,Sweden,110,3700,23
2020-03-30,Sweden,146,4028,24
2020-03-31,Sweden,180,4435,25
2020-04-01,Sweden,239,4947,26
2020-04-02,Sweden,308,5568,27
2020-04-03,Sweden,358,6131,28
2020-04-04,Sweden,373,6443,29
2020-04-05,Sweden,401,6830,30
2020-04-06,Sweden,477,7206,31
2020-04-07,Sweden,591,7693,32
2020-04-08,Sweden,687,8419,33
2020-04-09,Sweden,793,9141,34
2020-04-10,Sweden,870,9685,35
2020-04-11,Sweden,887,10151,36
2020-04-12,Sweden,899,10483,37
2020-04-13,Sweden,919,10948,38
2020-04-14,Sweden,1033,11445,39
2020-04-15,Sweden,1203,11927,40
2020-04-16,Sweden,1333,12540,41
2020-04-17,Sweden,1400,13216,42
2020-04-18,Sweden,1511,13822,43
2020-04-19,Sweden,1540,14385,44
2020-04-20,Sweden,1580,14777,45
2020-04-21,Sweden,1765,15322,46
2020-04-22,Sweden,1937,16004,47
2020-04-23,Sweden,2021,16755,48
2020-04-24,Sweden,2152,17567,49
2020-04-25,Sweden,2192,18177,50
2020-04-26,Sweden,2194,18640,51
2020-04-27,Sweden,2274,18926,52
2020-04-28,Sweden,2355,19621,53
2020-04-29,Sweden,2462,20302,54
2020-04-30,Sweden,2586,21092,55
2020-05-01,Sweden,2653,21520,56
2020-05-02,Sweden,2669,22082,57
2020-05-03,Sweden,2679,22317,58
2020-05-04,Sweden,2769,22721,59
2020-05-05,Sweden,2854,23216,60
2020-05-06,Sweden,2941,23918,61
2020-05-07,Sweden,3040,24623,62
2020-05-08,Sweden,3175,25265,63
2020-05-09,Sweden,3220,25921,64
2020-05-10,Sweden,3225,26322,65
