Day,Continent,Country,Province,daily_deaths sim0,daily_deaths sim1,daily_deaths sim2,daily_deaths sim3,daily_deaths sim4,daily_deaths sim5,daily_deaths sim6,daily_deaths sim7,daily_deaths sim8,daily_deaths sim9,daily_deaths sim10,daily_deaths sim11,daily_deaths sim12,daily_deaths sim13,daily_deaths sim14,daily_deaths sim15,daily_deaths sim16,daily_deaths sim17,daily_deaths sim18,daily_deaths sim19,daily_deaths sim20,daily_deaths sim21,daily_deaths sim22,daily_deaths sim23,daily_deaths sim24,daily_deaths sim25,daily_deaths sim26,daily_deaths sim27,daily_deaths sim28,daily_deaths sim29,daily_deaths sim30,daily_deaths sim31,daily_deaths sim32,daily_deaths sim33,daily_deaths sim34,daily_deaths sim35,daily_deaths sim36,daily_deaths sim37,daily_deaths sim38,daily_deaths sim39,daily_deaths sim40,daily_deaths sim41,daily_deaths sim42,daily_deaths sim43,daily_deaths sim44,daily_deaths sim45,daily_deaths sim46,daily_deaths sim47,daily_deaths sim48,daily_deaths sim49,daily_deaths sim50,daily_deaths sim51,daily_deaths sim52,daily_deaths sim53,daily_deaths sim54,daily_deaths sim55,daily_deaths sim56,daily_deaths sim57,daily_deaths sim58,daily_deaths sim59,daily_deaths sim60,daily_deaths sim61,daily_deaths sim62,daily_deaths sim63,daily_deaths sim64,daily_deaths sim65,daily_deaths sim66,daily_deaths sim67,daily_deaths sim68,daily_deaths sim69,daily_deaths sim70,daily_deaths sim71,daily_deaths sim72,daily_deaths sim73,daily_deaths sim74,daily_deaths sim75,daily_deaths sim76,daily_deaths sim77,daily_deaths sim78,daily_deaths sim79,daily_deaths sim80,daily_deaths sim81,daily_deaths sim82,daily_deaths sim83,daily_deaths sim84,daily_deaths sim85,daily_deaths sim86,daily_deaths sim87,daily_deaths sim88,daily_deaths sim89,daily_deaths sim90,daily_deaths sim91,daily_deaths sim92,daily_deaths sim93,daily_deaths sim94,daily_deaths sim95,daily_deaths sim96,daily_deaths sim97,daily_deaths sim98,daily_deaths sim99
2020-05-15,Europe,Sweden,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,Europe,Sweden,None,75.0,87.0,50.0,7.0,74.0,72.0,45.0,75.0,84.0,72.0,21.0,79.0,0.0,6.0,73.0,74.0,81.0,76.0,75.0,0.0,56.0,77.0,72.0,76.0,5.0,73.0,74.0,74.0,75.0,73.0,79.0,89.0,72.0,53.0,63.0,5.0,68.0,0.0,76.0,74.0,63.0,85.0,71.0,73.0,23.0,75.0,101.0,77.0,100.0,71.0,75.0,100.0,73.0,81.0,56.0,73.0,82.0,46.0,71.0,72.0,74.0,73.0,75.0,74.0,8.0,74.0,100.0,72.0,52.0,5.0,75.0,73.0,7.0,5.0,6.0,57.0,75.0,72.0,1.0,74.0,73.0,57.0,74.0,100.0,70.0,76.0,55.0,75.0,74.0,37.0,76.0,72.0,74.0,81.0,75.0,77.0,0.0,71.0,100.0,73.0
2020-05-17,Europe,Sweden,None,74.0,87.0,48.0,7.0,73.0,70.0,43.0,73.0,83.0,71.0,21.0,78.0,0.0,6.0,72.0,74.0,79.0,74.0,75.0,0.0,54.0,75.0,71.0,75.0,5.0,72.0,74.0,73.0,74.0,73.0,79.0,90.0,72.0,51.0,61.0,4.0,66.0,0.0,75.0,74.0,62.0,84.0,69.0,72.0,23.0,73.0,100.0,77.0,99.0,70.0,73.0,100.0,70.0,80.0,55.0,72.0,82.0,44.0,69.0,71.0,72.0,71.0,74.0,72.0,8.0,73.0,99.0,71.0,50.0,4.0,74.0,73.0,7.0,5.0,6.0,54.0,73.0,71.0,0.0,74.0,72.0,55.0,74.0,100.0,69.0,75.0,52.0,73.0,73.0,35.0,74.0,70.0,73.0,80.0,74.0,76.0,0.0,70.0,99.0,71.0
2020-05-18,Europe,Sweden,None,72.0,87.0,47.0,6.0,71.0,68.0,41.0,72.0,83.0,70.0,19.0,77.0,0.0,5.0,71.0,72.0,79.0,74.0,73.0,0.0,52.0,75.0,70.0,74.0,5.0,71.0,72.0,71.0,72.0,70.0,77.0,89.0,69.0,49.0,59.0,5.0,64.0,0.0,75.0,73.0,60.0,83.0,67.0,70.0,21.0,72.0,99.0,75.0,99.0,68.0,72.0,100.0,69.0,79.0,53.0,70.0,81.0,42.0,68.0,69.0,71.0,70.0,72.0,71.0,8.0,71.0,99.0,70.0,48.0,4.0,73.0,71.0,6.0,4.0,5.0,53.0,73.0,70.0,1.0,72.0,71.0,53.0,72.0,100.0,67.0,73.0,50.0,71.0,72.0,34.0,74.0,69.0,71.0,79.0,73.0,75.0,0.0,69.0,99.0,70.0
2020-05-19,Europe,Sweden,None,71.0,86.0,45.0,6.0,70.0,67.0,39.0,71.0,83.0,68.0,19.0,76.0,1.0,5.0,70.0,71.0,78.0,72.0,72.0,0.0,50.0,74.0,68.0,73.0,4.0,69.0,71.0,71.0,72.0,70.0,77.0,89.0,68.0,47.0,57.0,4.0,63.0,1.0,73.0,71.0,59.0,83.0,64.0,69.0,21.0,71.0,99.0,75.0,98.0,67.0,71.0,99.0,68.0,79.0,50.0,69.0,80.0,41.0,66.0,68.0,69.0,68.0,71.0,70.0,8.0,71.0,97.0,67.0,46.0,4.0,71.0,70.0,7.0,4.0,6.0,50.0,71.0,68.0,1.0,71.0,69.0,51.0,71.0,99.0,66.0,73.0,47.0,71.0,71.0,33.0,72.0,67.0,70.0,78.0,71.0,73.0,0.0,67.0,98.0,69.0
2020-05-20,Europe,Sweden,None,70.0,85.0,44.0,6.0,69.0,66.0,36.0,69.0,81.0,67.0,18.0,75.0,0.0,5.0,68.0,70.0,77.0,71.0,71.0,0.0,48.0,72.0,66.0,72.0,4.0,68.0,70.0,69.0,70.0,68.0,76.0,89.0,67.0,45.0,56.0,3.0,61.0,0.0,71.0,71.0,56.0,82.0,62.0,67.0,19.0,69.0,98.0,73.0,97.0,65.0,69.0,98.0,66.0,78.0,49.0,67.0,80.0,39.0,64.0,66.0,68.0,67.0,70.0,68.0,7.0,69.0,97.0,67.0,43.0,3.0,71.0,68.0,6.0,3.0,5.0,49.0,69.0,67.0,0.0,69.0,68.0,49.0,69.0,98.0,64.0,71.0,46.0,69.0,69.0,32.0,71.0,66.0,69.0,77.0,70.0,73.0,0.0,65.0,97.0,67.0
2020-05-21,Europe,Sweden,None,69.0,86.0,42.0,5.0,67.0,63.0,34.0,68.0,82.0,65.0,17.0,74.0,0.0,4.0,66.0,68.0,76.0,70.0,69.0,0.0,45.0,72.0,66.0,71.0,4.0,66.0,68.0,68.0,69.0,66.0,75.0,88.0,65.0,43.0,53.0,4.0,59.0,0.0,71.0,69.0,54.0,81.0,59.0,66.0,19.0,68.0,97.0,73.0,96.0,64.0,68.0,98.0,65.0,77.0,46.0,66.0,79.0,37.0,63.0,64.0,66.0,65.0,68.0,67.0,6.0,67.0,95.0,64.0,42.0,4.0,69.0,67.0,5.0,3.0,4.0,46.0,69.0,65.0,1.0,69.0,67.0,47.0,68.0,98.0,63.0,70.0,43.0,68.0,68.0,30.0,69.0,65.0,68.0,77.0,69.0,72.0,0.0,64.0,97.0,65.0
2020-05-22,Europe,Sweden,None,68.0,84.0,40.0,6.0,66.0,62.0,33.0,67.0,80.0,64.0,17.0,73.0,0.0,4.0,66.0,67.0,75.0,69.0,68.0,0.0,44.0,70.0,63.0,69.0,3.0,65.0,67.0,66.0,67.0,65.0,74.0,88.0,63.0,41.0,52.0,3.0,58.0,0.0,70.0,67.0,53.0,81.0,58.0,64.0,18.0,67.0,96.0,71.0,95.0,61.0,66.0,97.0,63.0,76.0,45.0,64.0,78.0,36.0,60.0,64.0,65.0,64.0,67.0,66.0,7.0,66.0,95.0,63.0,40.0,3.0,68.0,65.0,6.0,4.0,5.0,45.0,67.0,64.0,0.0,67.0,65.0,45.0,67.0,96.0,62.0,69.0,42.0,66.0,67.0,29.0,69.0,63.0,66.0,75.0,68.0,70.0,0.0,62.0,95.0,64.0
2020-05-23,Europe,Sweden,None,66.0,84.0,39.0,5.0,65.0,61.0,30.0,66.0,79.0,62.0,15.0,72.0,0.0,4.0,63.0,66.0,73.0,67.0,68.0,0.0,41.0,70.0,62.0,68.0,3.0,63.0,66.0,65.0,67.0,64.0,73.0,87.0,62.0,38.0,49.0,3.0,56.0,0.0,68.0,67.0,50.0,80.0,55.0,63.0,17.0,65.0,96.0,70.0,94.0,61.0,66.0,95.0,61.0,75.0,42.0,63.0,77.0,35.0,60.0,61.0,64.0,63.0,66.0,64.0,6.0,65.0,94.0,62.0,38.0,3.0,67.0,64.0,5.0,3.0,4.0,43.0,66.0,62.0,1.0,65.0,64.0,43.0,66.0,96.0,60.0,67.0,39.0,66.0,65.0,28.0,67.0,61.0,65.0,75.0,66.0,70.0,0.0,60.0,95.0,63.0
2020-05-24,Europe,Sweden,None,65.0,84.0,37.0,5.0,63.0,59.0,28.0,64.0,79.0,60.0,15.0,70.0,0.0,4.0,63.0,64.0,73.0,66.0,66.0,0.0,40.0,68.0,60.0,67.0,3.0,62.0,64.0,64.0,65.0,62.0,72.0,87.0,60.0,37.0,48.0,3.0,54.0,1.0,67.0,65.0,49.0,79.0,53.0,61.0,16.0,65.0,94.0,69.0,93.0,58.0,63.0,95.0,60.0,73.0,41.0,61.0,77.0,33.0,57.0,60.0,61.0,60.0,65.0,62.0,6.0,64.0,92.0,60.0,36.0,2.0,65.0,63.0,5.0,2.0,4.0,41.0,64.0,61.0,0.0,65.0,62.0,41.0,64.0,94.0,58.0,67.0,38.0,63.0,64.0,27.0,66.0,60.0,63.0,73.0,65.0,68.0,0.0,59.0,93.0,61.0
