Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,Europe,Sweden,None,28628.0,29233.0,23794.0,16606.0,28583.0,28433.0,27121.0,28607.0,29081.0,28525.0,18577.0,28821.0,4238.0,8925.0,28560.0,28612.0,28872.0,28660.0,28648.0,2229.0,27783.0,28708.0,28517.0,28685.0,8462.0,28558.0,28613.0,28586.0,28631.0,28563.0,28851.0,29463.0,28530.0,27562.0,28098.0,8295.0,28292.0,3678.0,28687.0,28627.0,28098.0,29096.0,25634.0,28538.0,20379.0,28607.0,28564.0,28746.0,28501.0,28466.0,28608.0,28578.0,28504.0,28928.0,27730.0,28539.0,29003.0,23265.0,28435.0,28512.0,28565.0,28527.0,28618.0,28569.0,10770.0,28591.0,28482.0,28502.0,25282.0,7961.0,28636.0,28572.0,15578.0,8072.0,16728.0,27687.0,28614.0,28527.0,5475.0,28610.0,28559.0,27761.0,28604.0,28571.0,28371.0,28674.0,27611.0,28596.0,28599.0,22246.0,28655.0,28478.0,28590.0,28905.0,28627.0,28724.0,2185.0,28470.0,28515.0,28535.0
2020-05-16,Europe,Sweden,None,29075.0,29779.0,23878.0,16606.0,29021.0,28840.0,27349.0,29049.0,29603.0,28945.0,18595.0,29299.0,4238.0,8928.0,28991.0,29056.0,29361.0,29115.0,29100.0,2229.0,28087.0,29175.0,28937.0,29144.0,8466.0,28987.0,29057.0,29026.0,29078.0,28992.0,29337.0,30038.0,28948.0,27845.0,28452.0,8299.0,28677.0,3679.0,29146.0,29076.0,28455.0,29621.0,25757.0,28964.0,20397.0,29048.0,29004.0,29216.0,28930.0,28876.0,29046.0,29022.0,28921.0,29425.0,28036.0,28964.0,29512.0,23320.0,28839.0,28931.0,28992.0,28949.0,29062.0,29002.0,10770.0,29029.0,28905.0,28921.0,25416.0,7967.0,29085.0,29006.0,15578.0,8077.0,16728.0,27993.0,29058.0,28949.0,5475.0,29054.0,28989.0,28070.0,29047.0,29015.0,28784.0,29127.0,27897.0,29036.0,29039.0,22302.0,29108.0,28896.0,29029.0,29397.0,29074.0,29191.0,2185.0,28882.0,28946.0,28960.0
2020-05-17,Europe,Sweden,None,29512.0,30319.0,23955.0,16606.0,29448.0,29236.0,27562.0,29480.0,30117.0,29354.0,18612.0,29770.0,4238.0,8930.0,29412.0,29490.0,29843.0,29560.0,29542.0,2229.0,28376.0,29634.0,29345.0,29594.0,8470.0,29405.0,29491.0,29456.0,29515.0,29411.0,29816.0,30608.0,29356.0,28114.0,28792.0,8304.0,29049.0,3679.0,29597.0,29515.0,28797.0,30139.0,25869.0,29378.0,20413.0,29480.0,29434.0,29678.0,29349.0,29274.0,29473.0,29456.0,29326.0,29914.0,28328.0,29378.0,30015.0,23370.0,29229.0,29339.0,29407.0,29360.0,29497.0,29424.0,10771.0,29458.0,29318.0,29327.0,25540.0,7973.0,29525.0,29431.0,15578.0,8082.0,16728.0,28285.0,29492.0,29360.0,5475.0,29488.0,29410.0,28365.0,29480.0,29448.0,29186.0,29572.0,28170.0,29466.0,29470.0,22354.0,29552.0,29303.0,29457.0,29882.0,29512.0,29648.0,2185.0,29282.0,29368.0,29374.0
2020-05-18,Europe,Sweden,None,29939.0,30855.0,24024.0,16606.0,29865.0,29620.0,27760.0,29902.0,30625.0,29753.0,18627.0,30233.0,4238.0,8933.0,29822.0,29914.0,30316.0,29997.0,29976.0,2229.0,28651.0,30085.0,29742.0,30035.0,8474.0,29812.0,29916.0,29877.0,29944.0,29818.0,30286.0,31175.0,29753.0,28369.0,29118.0,8308.0,29410.0,3680.0,30039.0,29945.0,29124.0,30650.0,25971.0,29781.0,20428.0,29902.0,29855.0,30132.0,29758.0,29660.0,29891.0,29879.0,29720.0,30395.0,28605.0,29781.0,30510.0,23414.0,29608.0,29736.0,29811.0,29759.0,29923.0,29836.0,10771.0,29876.0,29720.0,29722.0,25655.0,7978.0,29955.0,29845.0,15578.0,8087.0,16728.0,28563.0,29917.0,29760.0,5476.0,29911.0,29819.0,28646.0,29902.0,29869.0,29577.0,30007.0,28428.0,29886.0,29890.0,22402.0,29988.0,29701.0,29876.0,30360.0,29941.0,30096.0,2185.0,29669.0,29780.0,29777.0
2020-05-19,Europe,Sweden,None,30358.0,31384.0,24088.0,16606.0,30273.0,29993.0,27944.0,30315.0,31125.0,30140.0,18641.0,30687.0,4238.0,8935.0,30221.0,30329.0,30781.0,30424.0,30400.0,2229.0,28911.0,30528.0,30126.0,30468.0,8477.0,30209.0,30330.0,30287.0,30362.0,30216.0,30748.0,31737.0,30138.0,28608.0,29431.0,8312.0,29758.0,3680.0,30472.0,30365.0,29437.0,31154.0,26063.0,30173.0,20440.0,30314.0,30265.0,30578.0,30155.0,30034.0,30297.0,30290.0,30101.0,30868.0,28868.0,30173.0,30998.0,23454.0,29973.0,30121.0,30205.0,30147.0,30339.0,30237.0,10771.0,30284.0,30111.0,30106.0,25760.0,7983.0,30376.0,30249.0,15578.0,8092.0,16728.0,28827.0,30332.0,30148.0,5476.0,30325.0,30217.0,28913.0,30313.0,30281.0,29958.0,30433.0,28673.0,30295.0,30300.0,22446.0,30414.0,30088.0,30284.0,30829.0,30360.0,30536.0,2185.0,30043.0,30181.0,30169.0
2020-05-20,Europe,Sweden,None,30766.0,31907.0,24147.0,16606.0,30670.0,30353.0,28117.0,30717.0,31618.0,30516.0,18653.0,31133.0,4238.0,8937.0,30607.0,30733.0,31237.0,30843.0,30815.0,2229.0,29156.0,30963.0,30497.0,30891.0,8480.0,30594.0,30735.0,30688.0,30771.0,30602.0,31202.0,32294.0,30511.0,28834.0,29730.0,8315.0,30094.0,3680.0,30897.0,30776.0,29736.0,31652.0,26147.0,30553.0,20452.0,30716.0,30664.0,31015.0,30541.0,30395.0,30693.0,30692.0,30469.0,31333.0,29118.0,30554.0,31478.0,23490.0,30327.0,30495.0,30586.0,30523.0,30745.0,30628.0,10771.0,30681.0,30491.0,30478.0,25857.0,7987.0,30788.0,30643.0,15578.0,8096.0,16728.0,29080.0,30737.0,30526.0,5476.0,30728.0,30604.0,29165.0,30713.0,30682.0,30328.0,30849.0,28903.0,30694.0,30700.0,22487.0,30831.0,30463.0,30682.0,31291.0,30769.0,30966.0,2185.0,30406.0,30572.0,30550.0
2020-05-21,Europe,Sweden,None,31165.0,32424.0,24201.0,16606.0,31057.0,30699.0,28278.0,31109.0,32104.0,30881.0,18665.0,31571.0,4238.0,8939.0,30982.0,31127.0,31685.0,31252.0,31220.0,2229.0,29388.0,31390.0,30857.0,31306.0,8483.0,30969.0,31129.0,31078.0,31170.0,30977.0,31647.0,32846.0,30872.0,29047.0,30017.0,8318.0,30418.0,3681.0,31313.0,31177.0,30024.0,32143.0,26222.0,30921.0,20462.0,31108.0,31052.0,31444.0,30915.0,30743.0,31078.0,31084.0,30824.0,31789.0,29356.0,30923.0,31951.0,23522.0,30669.0,30856.0,30956.0,30887.0,31141.0,31007.0,10771.0,31068.0,30860.0,30840.0,25947.0,7991.0,31189.0,31027.0,15578.0,8099.0,16728.0,29320.0,31132.0,30891.0,5476.0,31121.0,30979.0,29405.0,31104.0,31073.0,30687.0,31256.0,29120.0,31083.0,31089.0,22524.0,31239.0,30827.0,31068.0,31744.0,31168.0,31389.0,2185.0,30757.0,30951.0,30919.0
2020-05-22,Europe,Sweden,None,31554.0,32934.0,24250.0,16606.0,31433.0,31033.0,28428.0,31490.0,32582.0,31234.0,18675.0,32000.0,4238.0,8940.0,31346.0,31510.0,32125.0,31652.0,31616.0,2229.0,29607.0,31808.0,31205.0,31712.0,8485.0,31332.0,31513.0,31458.0,31559.0,31341.0,32084.0,33393.0,31221.0,29248.0,30292.0,8321.0,30729.0,3681.0,31719.0,31570.0,30300.0,32628.0,26290.0,31277.0,20472.0,31489.0,31428.0,31865.0,31277.0,31080.0,31451.0,31466.0,31167.0,32238.0,29582.0,31281.0,32417.0,23551.0,30998.0,31206.0,31314.0,31238.0,31527.0,31375.0,10771.0,31444.0,31216.0,31189.0,26029.0,7995.0,31580.0,31400.0,15578.0,8103.0,16728.0,29548.0,31517.0,31245.0,5476.0,31503.0,31343.0,29631.0,31484.0,31455.0,31036.0,31654.0,29324.0,31460.0,31468.0,22558.0,31637.0,31179.0,31444.0,32189.0,31556.0,31802.0,2185.0,31097.0,31319.0,31277.0
2020-05-23,Europe,Sweden,None,31932.0,33438.0,24294.0,16606.0,31799.0,31355.0,28565.0,31861.0,33054.0,31575.0,18685.0,32421.0,4238.0,8942.0,31700.0,31883.0,32557.0,32043.0,32001.0,2229.0,29813.0,32219.0,31541.0,32109.0,8487.0,31683.0,31886.0,31826.0,31938.0,31694.0,32513.0,33934.0,31558.0,29439.0,30553.0,8324.0,31028.0,3681.0,32117.0,31953.0,30565.0,33105.0,26352.0,31622.0,20480.0,31859.0,31793.0,32277.0,31628.0,31405.0,31813.0,31838.0,31499.0,32679.0,29796.0,31627.0,32875.0,23577.0,31315.0,31543.0,31659.0,31579.0,31902.0,31732.0,10772.0,31809.0,31561.0,31527.0,26104.0,7999.0,31961.0,31762.0,15578.0,8106.0,16728.0,29764.0,31891.0,31586.0,5476.0,31875.0,31696.0,29846.0,31855.0,31826.0,31375.0,32042.0,29517.0,31827.0,31835.0,22590.0,32025.0,31519.0,31809.0,32625.0,31934.0,32207.0,2185.0,31424.0,31675.0,31623.0
2020-05-24,Europe,Sweden,None,32300.0,33934.0,24335.0,16606.0,32153.0,31666.0,28692.0,32221.0,33518.0,31904.0,18694.0,32833.0,4238.0,8943.0,32044.0,32246.0,32980.0,32424.0,32376.0,2229.0,30008.0,32622.0,31867.0,32496.0,8489.0,32022.0,32249.0,32185.0,32306.0,32034.0,32934.0,34469.0,31884.0,29617.0,30803.0,8326.0,31314.0,3682.0,32505.0,32327.0,30816.0,33576.0,26407.0,31956.0,20488.0,32219.0,32147.0,32681.0,31968.0,31718.0,32164.0,32200.0,31820.0,33112.0,29997.0,31961.0,33326.0,23600.0,31619.0,31869.0,31993.0,31908.0,32267.0,32079.0,10772.0,32163.0,31895.0,31852.0,26173.0,8002.0,32333.0,32112.0,15578.0,8109.0,16728.0,29969.0,32255.0,31917.0,5477.0,32237.0,32038.0,30050.0,32215.0,32188.0,31705.0,32421.0,29698.0,32183.0,32192.0,22619.0,32404.0,31849.0,32164.0,33052.0,32303.0,32603.0,2185.0,31740.0,32021.0,31957.0
