Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,Europe,Sweden,None,3674.0,3739.0,3480.0,2491.0,3669.0,3660.0,3515.0,3672.0,3722.0,3665.0,2929.0,3694.0,1057.0,2144.0,3669.0,3673.0,3700.0,3676.0,3676.0,557.0,3580.0,3678.0,3666.0,3678.0,2051.0,3668.0,3673.0,3670.0,3675.0,3670.0,3696.0,3752.0,3665.0,3561.0,3615.0,2016.0,3640.0,918.0,3679.0,3673.0,3620.0,3721.0,3764.0,3667.0,3005.0,3672.0,3886.0,3684.0,3886.0,3660.0,3675.0,3887.0,3664.0,3705.0,3580.0,3667.0,3712.0,3445.0,3657.0,3663.0,3671.0,3666.0,3673.0,3669.0,2516.0,3671.0,3885.0,3663.0,3546.0,1943.0,3675.0,3668.0,2497.0,1967.0,2432.0,3576.0,3673.0,3665.0,1361.0,3673.0,3669.0,3583.0,3672.0,3887.0,3645.0,3679.0,3566.0,3671.0,3672.0,3245.0,3676.0,3659.0,3671.0,3703.0,3674.0,3681.0,546.0,3661.0,3886.0,3665.0
2020-05-16,Europe,Sweden,None,3749.0,3826.0,3530.0,2498.0,3743.0,3732.0,3560.0,3747.0,3806.0,3737.0,2950.0,3773.0,1057.0,2150.0,3742.0,3747.0,3781.0,3752.0,3751.0,557.0,3636.0,3755.0,3738.0,3754.0,2056.0,3741.0,3747.0,3744.0,3750.0,3743.0,3775.0,3841.0,3737.0,3614.0,3678.0,2021.0,3708.0,918.0,3755.0,3747.0,3683.0,3806.0,3835.0,3740.0,3028.0,3747.0,3987.0,3761.0,3986.0,3731.0,3750.0,3987.0,3737.0,3786.0,3636.0,3740.0,3794.0,3491.0,3728.0,3735.0,3745.0,3739.0,3748.0,3743.0,2524.0,3745.0,3985.0,3735.0,3598.0,1948.0,3750.0,3741.0,2504.0,1972.0,2438.0,3633.0,3748.0,3737.0,1362.0,3747.0,3742.0,3640.0,3746.0,3987.0,3715.0,3755.0,3621.0,3746.0,3746.0,3282.0,3752.0,3731.0,3745.0,3784.0,3749.0,3758.0,546.0,3732.0,3986.0,3738.0
2020-05-17,Europe,Sweden,None,3823.0,3913.0,3578.0,2505.0,3816.0,3802.0,3603.0,3820.0,3889.0,3808.0,2971.0,3851.0,1057.0,2156.0,3814.0,3821.0,3860.0,3826.0,3826.0,557.0,3690.0,3830.0,3809.0,3829.0,2061.0,3813.0,3821.0,3817.0,3824.0,3816.0,3854.0,3931.0,3809.0,3665.0,3739.0,2025.0,3774.0,918.0,3830.0,3821.0,3745.0,3890.0,3904.0,3812.0,3051.0,3820.0,4087.0,3838.0,4085.0,3801.0,3823.0,4087.0,3807.0,3866.0,3691.0,3812.0,3876.0,3535.0,3797.0,3806.0,3817.0,3810.0,3822.0,3815.0,2532.0,3818.0,4084.0,3806.0,3648.0,1952.0,3824.0,3814.0,2511.0,1977.0,2444.0,3687.0,3821.0,3808.0,1362.0,3821.0,3814.0,3695.0,3820.0,4087.0,3784.0,3830.0,3673.0,3819.0,3819.0,3317.0,3826.0,3801.0,3818.0,3864.0,3823.0,3834.0,546.0,3802.0,4085.0,3809.0
2020-05-18,Europe,Sweden,None,3895.0,4000.0,3625.0,2511.0,3887.0,3870.0,3644.0,3892.0,3972.0,3878.0,2990.0,3928.0,1057.0,2161.0,3885.0,3893.0,3939.0,3900.0,3899.0,557.0,3742.0,3905.0,3879.0,3903.0,2066.0,3884.0,3893.0,3888.0,3896.0,3886.0,3931.0,4020.0,3878.0,3714.0,3798.0,2030.0,3838.0,918.0,3905.0,3894.0,3805.0,3973.0,3971.0,3882.0,3072.0,3892.0,4186.0,3913.0,4184.0,3869.0,3895.0,4187.0,3876.0,3945.0,3744.0,3882.0,3957.0,3577.0,3865.0,3875.0,3888.0,3880.0,3894.0,3886.0,2540.0,3889.0,4183.0,3876.0,3696.0,1956.0,3897.0,3885.0,2517.0,1981.0,2449.0,3740.0,3894.0,3878.0,1363.0,3893.0,3885.0,3748.0,3892.0,4187.0,3851.0,3903.0,3723.0,3890.0,3891.0,3351.0,3900.0,3870.0,3889.0,3943.0,3896.0,3909.0,546.0,3871.0,4184.0,3879.0
2020-05-19,Europe,Sweden,None,3966.0,4086.0,3670.0,2517.0,3957.0,3937.0,3683.0,3963.0,4055.0,3946.0,3009.0,4004.0,1058.0,2166.0,3955.0,3964.0,4017.0,3972.0,3971.0,557.0,3792.0,3979.0,3947.0,3976.0,2070.0,3953.0,3964.0,3959.0,3968.0,3956.0,4008.0,4109.0,3946.0,3761.0,3855.0,2034.0,3901.0,919.0,3978.0,3965.0,3864.0,4056.0,4035.0,3951.0,3093.0,3963.0,4285.0,3988.0,4282.0,3936.0,3966.0,4286.0,3944.0,4024.0,3794.0,3951.0,4037.0,3618.0,3931.0,3943.0,3957.0,3948.0,3965.0,3956.0,2548.0,3960.0,4280.0,3943.0,3742.0,1960.0,3968.0,3955.0,2524.0,1985.0,2455.0,3790.0,3965.0,3946.0,1364.0,3964.0,3954.0,3799.0,3963.0,4286.0,3917.0,3976.0,3770.0,3961.0,3962.0,3384.0,3972.0,3937.0,3959.0,4021.0,3967.0,3982.0,546.0,3938.0,4282.0,3948.0
2020-05-20,Europe,Sweden,None,4036.0,4171.0,3714.0,2523.0,4026.0,4003.0,3719.0,4032.0,4136.0,4013.0,3027.0,4079.0,1058.0,2171.0,4023.0,4034.0,4094.0,4043.0,4042.0,557.0,3840.0,4051.0,4013.0,4048.0,2074.0,4021.0,4034.0,4028.0,4038.0,4024.0,4084.0,4198.0,4013.0,3806.0,3911.0,2037.0,3962.0,919.0,4049.0,4036.0,3920.0,4138.0,4097.0,4018.0,3112.0,4032.0,4383.0,4061.0,4379.0,4001.0,4035.0,4384.0,4010.0,4102.0,3843.0,4018.0,4117.0,3657.0,3995.0,4009.0,4025.0,4015.0,4035.0,4024.0,2555.0,4029.0,4377.0,4010.0,3785.0,1963.0,4039.0,4023.0,2530.0,1988.0,2460.0,3839.0,4034.0,4013.0,1364.0,4033.0,4022.0,3848.0,4032.0,4384.0,3981.0,4047.0,3816.0,4030.0,4031.0,3416.0,4043.0,4003.0,4028.0,4098.0,4037.0,4055.0,546.0,4003.0,4379.0,4015.0
2020-05-21,Europe,Sweden,None,4105.0,4257.0,3756.0,2528.0,4093.0,4066.0,3753.0,4100.0,4218.0,4078.0,3044.0,4153.0,1058.0,2175.0,4089.0,4102.0,4170.0,4113.0,4111.0,557.0,3885.0,4123.0,4079.0,4119.0,2078.0,4087.0,4102.0,4096.0,4107.0,4090.0,4159.0,4286.0,4078.0,3849.0,3964.0,2041.0,4021.0,919.0,4120.0,4105.0,3974.0,4219.0,4156.0,4084.0,3131.0,4100.0,4480.0,4134.0,4475.0,4065.0,4103.0,4482.0,4075.0,4179.0,3889.0,4084.0,4196.0,3694.0,4058.0,4073.0,4091.0,4080.0,4103.0,4091.0,2561.0,4096.0,4472.0,4074.0,3827.0,1967.0,4108.0,4090.0,2535.0,1991.0,2464.0,3885.0,4103.0,4078.0,1365.0,4102.0,4089.0,3895.0,4100.0,4482.0,4044.0,4117.0,3859.0,4098.0,4099.0,3446.0,4112.0,4068.0,4096.0,4175.0,4106.0,4127.0,546.0,4067.0,4476.0,4080.0
2020-05-22,Europe,Sweden,None,4173.0,4341.0,3796.0,2534.0,4159.0,4128.0,3786.0,4167.0,4298.0,4142.0,3061.0,4226.0,1058.0,2179.0,4155.0,4169.0,4245.0,4182.0,4179.0,557.0,3929.0,4193.0,4142.0,4188.0,2081.0,4152.0,4169.0,4162.0,4174.0,4155.0,4233.0,4374.0,4141.0,3890.0,4016.0,2044.0,4079.0,919.0,4190.0,4172.0,4027.0,4300.0,4214.0,4148.0,3149.0,4167.0,4576.0,4205.0,4570.0,4126.0,4169.0,4579.0,4138.0,4255.0,3934.0,4148.0,4274.0,3730.0,4118.0,4137.0,4156.0,4144.0,4170.0,4157.0,2568.0,4162.0,4567.0,4137.0,3867.0,1970.0,4176.0,4155.0,2541.0,1995.0,2469.0,3930.0,4170.0,4142.0,1365.0,4169.0,4154.0,3940.0,4167.0,4578.0,4106.0,4186.0,3901.0,4164.0,4166.0,3475.0,4181.0,4131.0,4162.0,4250.0,4174.0,4197.0,546.0,4129.0,4571.0,4144.0
2020-05-23,Europe,Sweden,None,4239.0,4425.0,3835.0,2539.0,4224.0,4189.0,3816.0,4233.0,4377.0,4204.0,3076.0,4298.0,1058.0,2183.0,4218.0,4235.0,4318.0,4249.0,4247.0,557.0,3970.0,4263.0,4204.0,4256.0,2084.0,4215.0,4235.0,4227.0,4241.0,4219.0,4306.0,4461.0,4203.0,3928.0,4065.0,2047.0,4135.0,919.0,4258.0,4239.0,4077.0,4380.0,4269.0,4211.0,3166.0,4232.0,4672.0,4275.0,4664.0,4187.0,4235.0,4674.0,4199.0,4330.0,3976.0,4211.0,4351.0,3765.0,4178.0,4198.0,4220.0,4207.0,4236.0,4221.0,2574.0,4227.0,4661.0,4199.0,3905.0,1973.0,4243.0,4219.0,2546.0,1998.0,2473.0,3973.0,4236.0,4204.0,1366.0,4234.0,4218.0,3983.0,4233.0,4674.0,4166.0,4253.0,3940.0,4230.0,4231.0,3503.0,4248.0,4192.0,4227.0,4325.0,4240.0,4267.0,546.0,4189.0,4666.0,4207.0
2020-05-24,Europe,Sweden,None,4304.0,4509.0,3872.0,2544.0,4287.0,4248.0,3844.0,4297.0,4456.0,4264.0,3091.0,4368.0,1058.0,2187.0,4281.0,4299.0,4391.0,4315.0,4313.0,557.0,4010.0,4331.0,4264.0,4323.0,2087.0,4277.0,4299.0,4291.0,4306.0,4281.0,4378.0,4548.0,4263.0,3965.0,4113.0,2050.0,4189.0,920.0,4325.0,4304.0,4126.0,4459.0,4322.0,4272.0,3182.0,4297.0,4766.0,4344.0,4757.0,4245.0,4298.0,4769.0,4259.0,4403.0,4017.0,4272.0,4428.0,3798.0,4235.0,4258.0,4281.0,4267.0,4301.0,4283.0,2580.0,4291.0,4753.0,4259.0,3941.0,1975.0,4308.0,4282.0,2551.0,2000.0,2477.0,4014.0,4300.0,4265.0,1366.0,4299.0,4280.0,4024.0,4297.0,4768.0,4224.0,4320.0,3978.0,4293.0,4295.0,3530.0,4314.0,4252.0,4290.0,4398.0,4305.0,4335.0,546.0,4248.0,4759.0,4268.0
