date,region,death_cnt,case_cnt,day_since100
2020-03-13,TX,0.0,39,-6
2020-03-14,TX,0.0,51,-5
2020-03-15,TX,0.0,56,-4
2020-03-16,TX,0.0,57,-3
2020-03-17,TX,0.0,64,-2
2020-03-18,TX,0.0,83,-1
2020-03-19,TX,0.0,143,0
2020-03-20,TX,5.0,194,1
2020-03-21,TX,5.0,304,2
2020-03-22,TX,5.0,334,3
2020-03-23,TX,8.0,352,4
2020-03-24,TX,9.0,410,5
2020-03-25,TX,12.0,974,6
2020-03-26,TX,18.0,1396,7
2020-03-27,TX,23.0,1731,8
2020-03-28,TX,27.0,2052,9
2020-03-29,TX,34.0,2552,10
2020-03-30,TX,34.0,2877,11
2020-03-31,TX,41.0,3266,12
2020-04-01,TX,58.0,3997,13
2020-04-02,TX,70.0,4669,14
2020-04-03,TX,90.0,5330,15
2020-04-04,TX,105.0,6110,16
2020-04-05,TX,127.0,6812,17
2020-04-06,TX,140.0,7276,18
2020-04-07,TX,154.0,8262,19
2020-04-08,TX,177.0,9353,20
2020-04-09,TX,199.0,10230,21
2020-04-10,TX,226.0,11671,22
2020-04-11,TX,254.0,12561,23
2020-04-12,TX,271.0,13484,24
2020-04-13,TX,287.0,13906,25
2020-04-14,TX,318.0,14624,26
2020-04-15,TX,364.0,15492,27
2020-04-16,TX,393.0,16455,28
2020-04-17,TX,428.0,17371,29
2020-04-18,TX,453.0,18260,30
2020-04-19,TX,477.0,18923,31
2020-04-20,TX,495.0,19458,32
2020-04-21,TX,517.0,20196,33
2020-04-22,TX,543.0,21069,34
2020-04-23,TX,561.0,21944,35
2020-04-24,TX,593.0,22806,36
2020-04-25,TX,623.0,23773,37
2020-04-26,TX,648.0,24631,38
2020-04-27,TX,663.0,25297,39
2020-04-28,TX,690.0,26171,40
2020-04-29,TX,732.0,27054,41
2020-04-30,TX,782.0,28087,42
2020-05-01,TX,816.0,29229,43
2020-05-02,TX,847.0,30522,44
2020-05-03,TX,867.0,31548,45
2020-05-04,TX,884.0,32332,46
2020-05-05,TX,906.0,33369,47
2020-05-06,TX,948.0,34422,48
2020-05-07,TX,973.0,35390,49
2020-05-08,TX,1004.0,36609,50
2020-05-09,TX,1049.0,37860,51
2020-05-10,TX,1088.0,38869,52
2020-05-11,TX,1100.0,39869,53
2020-05-12,TX,1133.0,41048,54
2020-05-13,TX,1158.0,42403,55
2020-05-14,TX,1216.0,43851,56
2020-05-15,TX,1272.0,45198,57
2020-05-16,TX,1272.0,45198,58
