Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-12,0.0,23.0,,,0.0,0.0,0.0,0.0
2020-03-13,0.0,39.0,0.0,16.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,51.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,56.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,64.0,0.0,7.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,83.0,0.0,19.0,0.0,0.0,0.0,0.0
2020-03-19,3.0,143.0,3.0,60.0,0.0,0.0,0.0,0.0
2020-03-20,5.0,194.0,2.0,51.0,0.0,0.0,0.0,0.0
2020-03-21,5.0,304.0,0.0,110.0,0.0,0.0,0.0,0.0
2020-03-22,5.0,334.0,0.0,30.0,0.0,0.0,0.0,0.0
2020-03-23,8.0,352.0,3.0,18.0,0.0,0.0,0.0,0.0
2020-03-24,9.0,410.0,1.0,58.0,0.0,0.0,0.0,0.0
2020-03-25,12.0,974.0,3.0,564.0,0.0,0.0,0.0,0.0
2020-03-26,18.0,1396.0,6.0,422.0,0.0,0.0,0.0,0.0
2020-03-27,23.0,1731.0,5.0,335.0,0.0,0.0,0.0,0.0
2020-03-28,27.0,2052.0,4.0,321.0,0.0,0.0,0.0,0.0
2020-03-29,34.0,2552.0,7.0,500.0,0.0,0.0,0.0,0.0
2020-03-30,34.0,2877.0,0.0,325.0,0.0,0.0,0.0,0.0
2020-03-31,41.0,3266.0,7.0,389.0,0.0,0.0,0.0,0.0
2020-04-01,58.0,3997.0,17.0,731.0,0.0,0.0,0.0,0.0
2020-04-02,70.0,4669.0,12.0,672.0,0.0,0.0,0.0,0.0
2020-04-03,90.0,5330.0,20.0,661.0,0.0,0.0,0.0,0.0
2020-04-04,105.0,6110.0,15.0,780.0,0.0,0.0,0.0,0.0
2020-04-05,127.0,6812.0,22.0,702.0,0.0,0.0,0.0,0.0
2020-04-06,140.0,7276.0,13.0,464.0,0.0,0.0,0.0,0.0
2020-04-07,154.0,8262.0,14.0,986.0,0.0,0.0,0.0,0.0
2020-04-08,177.0,9353.0,23.0,1091.0,0.0,0.0,0.0,0.0
2020-04-09,199.0,10230.0,22.0,877.0,0.0,0.0,0.0,0.0
2020-04-10,226.0,11671.0,27.0,1441.0,0.0,0.0,0.0,0.0
2020-04-11,254.0,12561.0,28.0,890.0,0.0,0.0,0.0,0.0
