Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,North America,US,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,North America,US,Texas,798.0,1347.0,770.0,813.0,1017.0,1006.0,729.0,672.0,551.0,756.0,823.0,735.0,1026.0,794.0,819.0,796.0,1.0,856.0,764.0,678.0,799.0,811.0,678.0,761.0,0.0,619.0,771.0,809.0,844.0,776.0,847.0,772.0,815.0,864.0,633.0,587.0,813.0,717.0,706.0,848.0,812.0,630.0,618.0,815.0,87.0,460.0,759.0,839.0,637.0,766.0,971.0,679.0,809.0,768.0,811.0,1219.0,593.0,126.0,790.0,995.0,850.0,751.0,641.0,840.0,794.0,741.0,740.0,41.0,791.0,807.0,484.0,796.0,798.0,805.0,770.0,940.0,885.0,856.0,682.0,747.0,863.0,815.0,534.0,828.0,794.0,807.0,12.0,665.0,911.0,778.0,798.0,741.0,785.0,825.0,873.0,809.0,828.0,682.0,175.0,682.0
2020-05-17,North America,US,Texas,780.0,1345.0,750.0,794.0,1004.0,992.0,708.0,647.0,522.0,736.0,806.0,713.0,1013.0,776.0,802.0,777.0,0.0,840.0,742.0,654.0,781.0,793.0,654.0,739.0,0.0,596.0,753.0,791.0,828.0,756.0,830.0,753.0,798.0,846.0,606.0,560.0,796.0,698.0,681.0,831.0,794.0,604.0,593.0,797.0,77.0,432.0,738.0,823.0,612.0,744.0,957.0,654.0,791.0,748.0,792.0,1212.0,566.0,114.0,772.0,981.0,835.0,730.0,617.0,824.0,777.0,721.0,721.0,35.0,774.0,788.0,453.0,777.0,781.0,787.0,750.0,925.0,869.0,839.0,658.0,728.0,847.0,797.0,507.0,813.0,775.0,789.0,10.0,639.0,895.0,760.0,780.0,720.0,764.0,808.0,857.0,791.0,810.0,658.0,162.0,661.0
2020-05-18,North America,US,Texas,762.0,1343.0,729.0,778.0,990.0,978.0,687.0,623.0,496.0,714.0,788.0,691.0,1000.0,759.0,785.0,759.0,0.0,823.0,723.0,630.0,762.0,777.0,630.0,718.0,0.0,574.0,734.0,773.0,810.0,737.0,813.0,734.0,780.0,830.0,579.0,533.0,778.0,677.0,659.0,816.0,776.0,576.0,566.0,781.0,68.0,405.0,718.0,806.0,584.0,724.0,942.0,630.0,773.0,725.0,774.0,1204.0,540.0,102.0,753.0,966.0,817.0,708.0,593.0,806.0,759.0,701.0,702.0,30.0,755.0,771.0,425.0,759.0,762.0,768.0,730.0,909.0,852.0,821.0,634.0,707.0,829.0,779.0,481.0,796.0,757.0,771.0,10.0,616.0,879.0,740.0,761.0,697.0,745.0,789.0,843.0,775.0,794.0,632.0,151.0,640.0
2020-05-19,North America,US,Texas,743.0,1339.0,708.0,759.0,977.0,963.0,666.0,599.0,471.0,693.0,771.0,671.0,987.0,740.0,769.0,741.0,1.0,806.0,702.0,606.0,744.0,759.0,607.0,698.0,1.0,552.0,714.0,754.0,793.0,717.0,797.0,715.0,761.0,813.0,554.0,504.0,761.0,658.0,637.0,798.0,759.0,550.0,541.0,763.0,60.0,378.0,696.0,789.0,557.0,704.0,927.0,607.0,755.0,706.0,755.0,1196.0,516.0,91.0,735.0,952.0,799.0,688.0,571.0,790.0,740.0,680.0,683.0,26.0,737.0,753.0,398.0,740.0,744.0,749.0,709.0,893.0,835.0,804.0,611.0,686.0,812.0,760.0,455.0,779.0,739.0,753.0,9.0,590.0,863.0,720.0,744.0,674.0,725.0,769.0,827.0,758.0,776.0,608.0,141.0,616.0
2020-05-20,North America,US,Texas,725.0,1336.0,688.0,741.0,961.0,948.0,646.0,573.0,444.0,670.0,752.0,651.0,973.0,721.0,752.0,723.0,0.0,787.0,682.0,583.0,725.0,741.0,583.0,677.0,0.0,531.0,696.0,736.0,775.0,696.0,779.0,694.0,742.0,798.0,527.0,477.0,744.0,637.0,615.0,780.0,742.0,524.0,513.0,746.0,53.0,352.0,675.0,771.0,532.0,682.0,912.0,585.0,737.0,685.0,736.0,1186.0,492.0,81.0,716.0,937.0,783.0,666.0,547.0,771.0,723.0,660.0,663.0,22.0,718.0,734.0,372.0,720.0,723.0,730.0,688.0,876.0,818.0,786.0,587.0,665.0,796.0,743.0,427.0,762.0,720.0,733.0,8.0,564.0,845.0,699.0,724.0,650.0,706.0,749.0,811.0,740.0,758.0,585.0,130.0,594.0
2020-05-21,North America,US,Texas,706.0,1331.0,666.0,722.0,947.0,933.0,626.0,547.0,419.0,648.0,735.0,629.0,958.0,703.0,735.0,705.0,0.0,771.0,662.0,558.0,707.0,724.0,558.0,657.0,0.0,510.0,675.0,717.0,757.0,674.0,762.0,674.0,723.0,782.0,503.0,452.0,727.0,617.0,592.0,764.0,724.0,500.0,487.0,728.0,47.0,325.0,655.0,752.0,509.0,663.0,896.0,564.0,718.0,664.0,717.0,1176.0,468.0,72.0,698.0,922.0,766.0,643.0,524.0,753.0,704.0,638.0,644.0,19.0,699.0,715.0,345.0,701.0,703.0,711.0,665.0,860.0,800.0,769.0,562.0,642.0,778.0,724.0,401.0,745.0,701.0,715.0,7.0,538.0,828.0,679.0,705.0,629.0,686.0,730.0,794.0,723.0,739.0,562.0,121.0,572.0
2020-05-22,North America,US,Texas,687.0,1326.0,643.0,703.0,931.0,918.0,606.0,523.0,395.0,626.0,717.0,608.0,943.0,683.0,717.0,686.0,1.0,752.0,643.0,533.0,687.0,705.0,535.0,636.0,0.0,490.0,656.0,698.0,739.0,653.0,744.0,656.0,703.0,766.0,478.0,428.0,709.0,597.0,571.0,746.0,707.0,477.0,463.0,710.0,41.0,302.0,635.0,734.0,484.0,641.0,881.0,540.0,699.0,645.0,697.0,1165.0,443.0,65.0,679.0,906.0,749.0,621.0,501.0,735.0,685.0,617.0,625.0,16.0,680.0,697.0,320.0,680.0,682.0,691.0,643.0,843.0,783.0,750.0,537.0,620.0,762.0,704.0,377.0,726.0,682.0,695.0,7.0,514.0,811.0,659.0,685.0,607.0,667.0,712.0,776.0,705.0,721.0,541.0,112.0,551.0
2020-05-23,North America,US,Texas,668.0,1319.0,622.0,683.0,916.0,901.0,586.0,499.0,371.0,604.0,700.0,586.0,928.0,664.0,700.0,667.0,0.0,735.0,623.0,508.0,669.0,688.0,512.0,615.0,0.0,470.0,636.0,677.0,722.0,631.0,725.0,636.0,683.0,750.0,454.0,405.0,691.0,578.0,548.0,730.0,688.0,453.0,440.0,693.0,36.0,281.0,615.0,716.0,461.0,619.0,864.0,516.0,681.0,624.0,677.0,1154.0,418.0,58.0,660.0,890.0,733.0,599.0,480.0,717.0,667.0,596.0,606.0,13.0,660.0,676.0,298.0,660.0,664.0,672.0,622.0,826.0,764.0,732.0,513.0,599.0,746.0,686.0,356.0,709.0,662.0,674.0,6.0,491.0,794.0,639.0,665.0,586.0,648.0,693.0,758.0,687.0,702.0,518.0,104.0,531.0
2020-05-24,North America,US,Texas,648.0,1312.0,601.0,665.0,899.0,884.0,566.0,478.0,349.0,583.0,683.0,566.0,912.0,645.0,683.0,648.0,0.0,717.0,603.0,486.0,651.0,669.0,490.0,594.0,0.0,450.0,617.0,659.0,704.0,612.0,708.0,618.0,665.0,733.0,430.0,381.0,672.0,559.0,526.0,712.0,671.0,429.0,417.0,675.0,32.0,261.0,595.0,698.0,437.0,598.0,847.0,493.0,663.0,604.0,659.0,1143.0,398.0,51.0,640.0,873.0,715.0,578.0,459.0,699.0,647.0,574.0,587.0,12.0,642.0,658.0,276.0,641.0,645.0,653.0,601.0,808.0,747.0,714.0,492.0,578.0,728.0,668.0,335.0,691.0,643.0,656.0,6.0,470.0,776.0,620.0,646.0,565.0,628.0,674.0,740.0,670.0,683.0,494.0,97.0,509.0
